% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,5.889268592000008E-003,-2.522140182554722E-002,9.796543121337891E-001,-2.044572681188583E-002,1.049732685089111E+000,2.778438106179237E-002,-3.018990531563759E-002,-2.935214154422283E-002,
1.299500000000000E+008,1.115250214934349E-002,5.155256483703852E-003,9.372227787971497E-001,-3.216322064399719E-001,9.368853569030762E-001,-3.138977885246277E-001,1.034797541797161E-002,8.061353000812233E-004,
2.499000000000000E+008,1.445658691227436E-002,1.619363320060074E-004,8.005940914154053E-001,-5.809834599494934E-001,7.997991442680359E-001,-5.816018581390381E-001,1.438697706907988E-002,7.192598655819893E-003,
3.698500000000000E+008,1.628507673740387E-002,-9.391909465193749E-003,5.923315882682800E-001,-7.913287878036499E-001,5.930524468421936E-001,-7.909816503524780E-001,1.568920724093914E-002,7.441516034305096E-003,
4.898000000000000E+008,8.498163893818855E-003,-1.998775079846382E-002,3.304897248744965E-001,-9.289975762367249E-001,3.290422558784485E-001,-9.296769499778748E-001,1.806781068444252E-002,9.505523368716240E-003,
6.097500000000000E+008,-6.197829730808735E-003,-2.534216456115246E-002,4.211017116904259E-002,-9.811903834342957E-001,3.983948752284050E-002,-9.804812669754028E-001,1.680828072130680E-002,1.288661826401949E-002,
7.297000000000000E+008,-2.548425458371639E-002,-1.802036352455616E-002,-2.506146430969238E-001,-9.453762769699097E-001,-2.513429820537567E-001,-9.447460174560547E-001,1.782639883458614E-002,1.787515170872212E-002,
8.496500000000000E+008,-3.914048895239830E-002,5.260507576167584E-003,-5.161874294281006E-001,-8.233432173728943E-001,-5.157314538955689E-001,-8.210040330886841E-001,2.037328667938709E-002,2.628519758582115E-002,
9.696000000000000E+008,-3.118170797824860E-002,4.026043787598610E-002,-7.292402386665344E-001,-6.265575885772705E-001,-7.283959984779358E-001,-6.250975131988525E-001,2.627808414399624E-002,3.489080071449280E-002,
1.089550000000000E+009,9.796891361474991E-003,6.643668562173843E-002,-8.681214451789856E-001,-3.772600889205933E-001,-8.665159940719605E-001,-3.771783709526062E-001,3.880455344915390E-002,4.379134252667427E-002,
1.209500000000000E+009,7.312078773975372E-002,4.238852113485336E-002,-9.163160324096680E-001,-1.123157367110252E-001,-9.152844548225403E-001,-1.110718548297882E-001,5.964529141783714E-002,4.821542650461197E-002,
1.329450000000000E+009,8.299259096384049E-002,-4.259642213582993E-002,-8.965313434600830E-001,1.318262815475464E-001,-8.956237435340881E-001,1.317757517099381E-001,8.032996952533722E-002,3.447766602039337E-002,
1.449400000000000E+009,2.597018145024777E-003,-8.542414009571075E-002,-8.381538987159729E-001,3.628292381763458E-001,-8.381306529045105E-001,3.622664511203766E-001,8.651778846979141E-002,9.732780046761036E-003,
1.569350000000000E+009,-5.845669656991959E-002,-3.766549006104469E-002,-7.224336862564087E-001,5.920874476432800E-001,-7.218208312988281E-001,5.931960940361023E-001,7.656334340572357E-002,-7.552393712103367E-003,
1.689300000000000E+009,-5.117084085941315E-002,2.038770169019699E-002,-5.273305177688599E-001,7.942053675651550E-001,-5.256706476211548E-001,7.941339612007141E-001,6.353272497653961E-002,-1.486064773052931E-002,
1.809250000000000E+009,-1.619692146778107E-002,4.574100673198700E-002,-2.705005109310150E-001,9.257013201713562E-001,-2.697272002696991E-001,9.242724776268005E-001,5.344380810856819E-002,-1.711063645780087E-002,
1.929200000000000E+009,1.846799068152905E-002,4.172170162200928E-002,1.469510607421398E-002,9.693405628204346E-001,1.679854467511177E-002,9.687377810478210E-001,4.464133083820343E-002,-1.774442568421364E-002,
2.049150000000000E+009,3.849096968770027E-002,1.821075193583965E-002,3.032010197639465E-001,9.241579174995422E-001,3.059853613376617E-001,9.232420325279236E-001,3.662088513374329E-002,-1.433632522821426E-002,
2.169100000000000E+009,3.987045213580132E-002,-7.834945805370808E-003,5.608114004135132E-001,7.959337830543518E-001,5.634317398071289E-001,7.942655682563782E-001,3.023442067205906E-002,-1.012652460485697E-002,
2.289050000000000E+009,2.493376098573208E-002,-2.926477976143360E-002,7.720518708229065E-001,5.948347449302673E-001,7.746136188507080E-001,5.930268764495850E-001,2.744644694030285E-002,-4.684952087700367E-003,
2.409000000000000E+009,1.363144489005208E-003,-3.462664783000946E-002,9.153854846954346E-001,3.407329320907593E-001,9.158111214637756E-001,3.385787010192871E-001,2.422023564577103E-002,1.657348708249629E-003,
2.528950000000000E+009,-1.823905296623707E-002,-2.604768425226212E-002,9.715147614479065E-001,5.776068195700645E-002,9.721885323524475E-001,5.853157117962837E-002,2.546462044119835E-002,7.245178800076246E-003,
2.648900000000000E+009,-3.239772841334343E-002,-6.701866164803505E-003,9.464746117591858E-001,-2.270375639200211E-001,9.467422962188721E-001,-2.258133143186569E-001,3.052680939435959E-002,1.185975316911936E-002,
2.768850000000000E+009,-2.985294722020626E-002,1.975275389850140E-002,8.420602083206177E-001,-4.907193183898926E-001,8.412433862686157E-001,-4.894536733627319E-001,3.514216840267181E-002,1.178590860217810E-002,
2.888800000000000E+009,-7.966893725097179E-003,3.740585595369339E-002,6.644551157951355E-001,-7.180501818656921E-001,6.642813086509705E-001,-7.155671715736389E-001,3.809873014688492E-002,8.248815312981606E-003,
3.008750000000000E+009,1.914706453680992E-002,3.499876707792282E-002,4.253780245780945E-001,-8.847330212593079E-001,4.276651740074158E-001,-8.817665576934815E-001,3.879103064537048E-002,3.934472799301148E-003,
3.128700000000000E+009,3.704502806067467E-002,1.760956645011902E-002,1.481111049652100E-001,-9.724492430686951E-001,1.483967453241348E-001,-9.706267118453980E-001,3.670959174633026E-002,-7.134882034733892E-004,
3.248650000000000E+009,4.026186093688011E-002,-4.662783816456795E-003,-1.459168642759323E-001,-9.744236469268799E-001,-1.459969431161881E-001,-9.727144837379456E-001,3.355810791254044E-002,-4.112828057259321E-003,
3.368600000000000E+009,3.110937774181366E-002,-2.440960519015789E-002,-4.274262189865112E-001,-8.885389566421509E-001,-4.253473281860352E-001,-8.866406679153442E-001,2.816043607890606E-002,-5.453338846564293E-003,
3.488550000000000E+009,1.349385920912027E-002,-3.534287959337235E-002,-6.682280302047730E-001,-7.258065342903137E-001,-6.667530536651611E-001,-7.235608100891113E-001,2.413686551153660E-002,-6.532035302370787E-003,
3.608500000000000E+009,-8.697989396750927E-003,-3.456101194024086E-002,-8.513749837875366E-001,-4.975792467594147E-001,-8.492793440818787E-001,-4.981905817985535E-001,2.020513638854027E-002,-4.560518078505993E-003,
3.728450000000000E+009,-2.483625896275044E-002,-2.081046253442764E-002,-9.595158696174622E-001,-2.266800999641419E-001,-9.580115079879761E-001,-2.280288338661194E-001,1.675788871943951E-002,-3.830527188256383E-003,
3.848400000000000E+009,-2.870876155793667E-002,1.672653714194894E-003,-9.835890531539917E-001,6.425122916698456E-002,-9.824681878089905E-001,6.539439409971237E-002,1.591124571859837E-002,-1.346227480098605E-003,
3.968350000000000E+009,-1.946902833878994E-002,1.972938142716885E-002,-9.214522242546082E-001,3.475625514984131E-001,-9.217383861541748E-001,3.488633036613464E-001,1.578555069863796E-002,9.327979059889913E-004,
4.088300000000000E+009,5.640012386720628E-005,2.628971263766289E-002,-7.798781991004944E-001,6.030960679054260E-001,-7.785157561302185E-001,6.025022864341736E-001,1.702435873448849E-002,8.380270446650684E-004,
4.208250000000000E+009,1.699317432940006E-002,2.032951079308987E-002,-5.697972178459168E-001,8.045626878738403E-001,-5.675570368766785E-001,8.050644993782044E-001,1.818203926086426E-002,8.908555610105395E-004,
4.328200000000000E+009,2.384212054312229E-002,5.789628252387047E-003,-3.112589120864868E-001,9.362807273864746E-001,-3.088079690933228E-001,9.360199570655823E-001,1.795710436999798E-002,-2.281151944771409E-003,
4.448150000000000E+009,2.101284451782703E-002,-4.641921259462833E-003,-2.173917181789875E-002,9.857591986656189E-001,-2.082661725580692E-002,9.843578338623047E-001,1.738524995744228E-002,-5.454237572848797E-003,
