% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.770757049322128E-002,1.550420094281435E-002,-5.001999139785767E-001,-8.475477695465088E-001,-5.770757049322128E-002,1.550420094281435E-002,-5.001999139785767E-001,-8.475477695465088E-001,
6.983666666666666E+008,-4.890011250972748E-002,1.613886095583439E-002,-5.237115621566773E-001,-8.392984271049500E-001,-4.890011250972748E-002,1.613886095583439E-002,-5.237115621566773E-001,-8.392984271049500E-001,
7.067333333333334E+008,-4.322052001953125E-002,1.094215083867312E-002,-5.686710476875305E-001,-7.773565053939819E-001,-4.322052001953125E-002,1.094215083867312E-002,-5.686710476875305E-001,-7.773565053939819E-001,
7.151000000000000E+008,-4.397242888808250E-002,3.589986823499203E-003,-5.884514451026917E-001,-7.903768420219421E-001,-4.397242888808250E-002,3.589986823499203E-003,-5.884514451026917E-001,-7.903768420219421E-001,
7.234666666666666E+008,-4.816101491451263E-002,-1.363965682685375E-003,-6.008090376853943E-001,-7.787153720855713E-001,-4.816101491451263E-002,-1.363965682685375E-003,-6.008090376853943E-001,-7.787153720855713E-001,
7.318333333333334E+008,-5.621579289436340E-002,-3.160179825499654E-003,-6.149159073829651E-001,-7.755700349807739E-001,-5.621579289436340E-002,-3.160179825499654E-003,-6.149159073829651E-001,-7.755700349807739E-001,
7.402000000000000E+008,-6.339553743600845E-002,-2.343723783269525E-003,-6.606307029724121E-001,-7.575805187225342E-001,-6.339553743600845E-002,-2.343723783269525E-003,-6.606307029724121E-001,-7.575805187225342E-001,
7.485666666666666E+008,-7.140423357486725E-002,4.543996881693602E-003,-6.581594944000244E-001,-7.542430162429810E-001,-7.140423357486725E-002,4.543996881693602E-003,-6.581594944000244E-001,-7.542430162429810E-001,
7.569333333333334E+008,-7.368553429841995E-002,1.267231721431017E-002,-6.650040745735169E-001,-7.336651086807251E-001,-7.368553429841995E-002,1.267231721431017E-002,-6.650040745735169E-001,-7.336651086807251E-001,
7.653000000000000E+008,-6.983064860105515E-002,2.103298716247082E-002,-6.830962896347046E-001,-7.128676772117615E-001,-6.983064860105515E-002,2.103298716247082E-002,-6.830962896347046E-001,-7.128676772117615E-001,
7.736666666666666E+008,-6.344268471002579E-002,2.709329687058926E-002,-7.157223224639893E-001,-6.876428723335266E-001,-6.344268471002579E-002,2.709329687058926E-002,-7.157223224639893E-001,-6.876428723335266E-001,
7.820333333333334E+008,-5.544535070657730E-002,3.026642650365830E-002,-7.281325459480286E-001,-6.761086583137512E-001,-5.544535070657730E-002,3.026642650365830E-002,-7.281325459480286E-001,-6.761086583137512E-001,
7.904000000000000E+008,-4.631113260984421E-002,2.968742884695530E-002,-7.331104278564453E-001,-6.556524038314819E-001,-4.631113260984421E-002,2.968742884695530E-002,-7.331104278564453E-001,-6.556524038314819E-001,
7.987666666666666E+008,-4.251535609364510E-002,2.445041202008724E-002,-7.676542997360230E-001,-6.336575150489807E-001,-4.251535609364510E-002,2.445041202008724E-002,-7.676542997360230E-001,-6.336575150489807E-001,
8.071333333333334E+008,-4.058236628770828E-002,2.005296759307385E-002,-7.721531987190247E-001,-6.205285787582398E-001,-4.058236628770828E-002,2.005296759307385E-002,-7.721531987190247E-001,-6.205285787582398E-001,
8.155000000000000E+008,-4.752922803163528E-002,1.397236250340939E-002,-7.952099442481995E-001,-5.987897515296936E-001,-4.752922803163528E-002,1.397236250340939E-002,-7.952099442481995E-001,-5.987897515296936E-001,
8.238666666666666E+008,-5.243683606386185E-002,1.137471105903387E-002,-7.965698242187500E-001,-5.708657503128052E-001,-5.243683606386185E-002,1.137471105903387E-002,-7.965698242187500E-001,-5.708657503128052E-001,
8.322333333333334E+008,-6.066787987947464E-002,1.271439623087645E-002,-8.172502517700195E-001,-5.502175688743591E-001,-6.066787987947464E-002,1.271439623087645E-002,-8.172502517700195E-001,-5.502175688743591E-001,
8.406000000000000E+008,-6.710906326770783E-002,1.820313371717930E-002,-8.277447223663330E-001,-5.364947915077210E-001,-6.710906326770783E-002,1.820313371717930E-002,-8.277447223663330E-001,-5.364947915077210E-001,
8.489666666666668E+008,-7.189732789993286E-002,2.549728564918041E-002,-8.385185599327087E-001,-5.225326418876648E-001,-7.189732789993286E-002,2.549728564918041E-002,-8.385185599327087E-001,-5.225326418876648E-001,
8.573333333333334E+008,-7.019665837287903E-002,3.367147967219353E-002,-8.562499284744263E-001,-4.823000133037567E-001,-7.019665837287903E-002,3.367147967219353E-002,-8.562499284744263E-001,-4.823000133037567E-001,
8.657000000000000E+008,-6.372550874948502E-002,4.225382208824158E-002,-8.730657100677490E-001,-4.622849225997925E-001,-6.372550874948502E-002,4.225382208824158E-002,-8.730657100677490E-001,-4.622849225997925E-001,
8.740666666666668E+008,-5.632037296891213E-002,4.560052603483200E-002,-8.705458045005798E-001,-4.512039422988892E-001,-5.632037296891213E-002,4.560052603483200E-002,-8.705458045005798E-001,-4.512039422988892E-001,
8.824333333333334E+008,-4.716519266366959E-002,4.551105201244354E-002,-8.883541226387024E-001,-4.358154535293579E-001,-4.716519266366959E-002,4.551105201244354E-002,-8.883541226387024E-001,-4.358154535293579E-001,
8.908000000000000E+008,-3.902417421340942E-002,4.187560081481934E-002,-8.893147706985474E-001,-4.032049179077148E-001,-3.902417421340942E-002,4.187560081481934E-002,-8.893147706985474E-001,-4.032049179077148E-001,
8.991666666666668E+008,-3.633944317698479E-002,3.583295270800591E-002,-9.047300219535828E-001,-3.769759833812714E-001,-3.633944317698479E-002,3.583295270800591E-002,-9.047300219535828E-001,-3.769759833812714E-001,
9.075333333333334E+008,-3.801584243774414E-002,3.054210357367992E-002,-9.344073534011841E-001,-3.571675717830658E-001,-3.801584243774414E-002,3.054210357367992E-002,-9.344073534011841E-001,-3.571675717830658E-001,
9.159000000000000E+008,-4.214617237448692E-002,2.967512048780918E-002,-9.389258623123169E-001,-3.281866014003754E-001,-4.214617237448692E-002,2.967512048780918E-002,-9.389258623123169E-001,-3.281866014003754E-001,
9.242666666666668E+008,-4.814386367797852E-002,2.812955901026726E-002,-9.443715810775757E-001,-3.122607171535492E-001,-4.814386367797852E-002,2.812955901026726E-002,-9.443715810775757E-001,-3.122607171535492E-001,
9.326333333333334E+008,-5.665330588817596E-002,3.024284541606903E-002,-9.646061062812805E-001,-2.881443202495575E-001,-5.665330588817596E-002,3.024284541606903E-002,-9.646061062812805E-001,-2.881443202495575E-001,
9.410000000000000E+008,-6.095538660883904E-002,3.594353422522545E-002,-9.561513662338257E-001,-2.556418478488922E-001,-6.095538660883904E-002,3.594353422522545E-002,-9.561513662338257E-001,-2.556418478488922E-001,
9.493666666666668E+008,-6.295218318700790E-002,4.395364969968796E-002,-9.552910923957825E-001,-2.381246834993362E-001,-6.295218318700790E-002,4.395364969968796E-002,-9.552910923957825E-001,-2.381246834993362E-001,
9.577333333333334E+008,-6.067594885826111E-002,5.321835726499558E-002,-9.703832864761353E-001,-2.155490666627884E-001,-6.067594885826111E-002,5.321835726499558E-002,-9.703832864761353E-001,-2.155490666627884E-001,
9.661000000000000E+008,-5.359366163611412E-002,6.174970418214798E-002,-9.689704179763794E-001,-1.913716495037079E-001,-5.359366163611412E-002,6.174970418214798E-002,-9.689704179763794E-001,-1.913716495037079E-001,
9.744666666666668E+008,-4.495407268404961E-002,6.272999197244644E-002,-9.747368693351746E-001,-1.670292764902115E-001,-4.495407268404961E-002,6.272999197244644E-002,-9.747368693351746E-001,-1.670292764902115E-001,
9.828333333333334E+008,-3.241099417209625E-002,6.089092418551445E-002,-9.783306121826172E-001,-1.467324942350388E-001,-3.241099417209625E-002,6.089092418551445E-002,-9.783306121826172E-001,-1.467324942350388E-001,
9.912000000000000E+008,-2.611928433179855E-002,5.530629679560661E-002,-9.781428575515747E-001,-1.189896315336227E-001,-2.611928433179855E-002,5.530629679560661E-002,-9.781428575515747E-001,-1.189896315336227E-001,
9.995666666666668E+008,-2.024347707629204E-002,4.827499762177467E-002,-9.947721958160400E-001,-8.166963607072830E-002,-2.024347707629204E-002,4.827499762177467E-002,-9.947721958160400E-001,-8.166963607072830E-002,
1.007933333333333E+009,-2.167042344808579E-002,4.068250209093094E-002,-9.917992353439331E-001,-6.570796668529511E-002,-2.167042344808579E-002,4.068250209093094E-002,-9.917992353439331E-001,-6.570796668529511E-002,
1.016300000000000E+009,-2.840345166623592E-002,3.681637719273567E-002,-9.928328990936279E-001,-3.856686875224114E-002,-2.840345166623592E-002,3.681637719273567E-002,-9.928328990936279E-001,-3.856686875224114E-002,
1.024666666666667E+009,-3.660760819911957E-002,3.268720582127571E-002,-9.933531284332275E-001,-4.889779724180698E-003,-3.660760819911957E-002,3.268720582127571E-002,-9.933531284332275E-001,-4.889779724180698E-003,
1.033033333333333E+009,-4.375377297401428E-002,3.760326281189919E-002,-9.918425679206848E-001,1.295574661344290E-002,-4.375377297401428E-002,3.760326281189919E-002,-9.918425679206848E-001,1.295574661344290E-002,
1.041400000000000E+009,-4.999205842614174E-002,4.526903480291367E-002,-9.770827889442444E-001,5.236086621880531E-002,-4.999205842614174E-002,4.526903480291367E-002,-9.770827889442444E-001,5.236086621880531E-002,
1.049766666666667E+009,-5.102616548538208E-002,5.541341006755829E-002,-9.883584380149841E-001,7.058238983154297E-002,-5.102616548538208E-002,5.541341006755829E-002,-9.883584380149841E-001,7.058238983154297E-002,
1.058133333333333E+009,-4.585597664117813E-002,6.331187486648560E-002,-9.832974076271057E-001,8.781041949987412E-002,-4.585597664117813E-002,6.331187486648560E-002,-9.832974076271057E-001,8.781041949987412E-002,
1.066500000000000E+009,-3.568699955940247E-002,6.969104707241058E-002,-9.903452396392822E-001,1.259774714708328E-001,-3.568699955940247E-002,6.969104707241058E-002,-9.903452396392822E-001,1.259774714708328E-001,
1.074866666666667E+009,-2.502533607184887E-002,6.786022335290909E-002,-9.735642671585083E-001,1.442130357027054E-001,-2.502533607184887E-002,6.786022335290909E-002,-9.735642671585083E-001,1.442130357027054E-001,
1.083233333333334E+009,-1.428550016134977E-002,5.860856920480728E-002,-9.711112976074219E-001,1.651490628719330E-001,-1.428550016134977E-002,5.860856920480728E-002,-9.711112976074219E-001,1.651490628719330E-001,
1.091600000000000E+009,-8.866712450981140E-003,4.954858496785164E-002,-9.636567234992981E-001,1.886267066001892E-001,-8.866712450981140E-003,4.954858496785164E-002,-9.636567234992981E-001,1.886267066001892E-001,
1.099966666666667E+009,-8.826900273561478E-003,3.867584839463234E-002,-9.663817286491394E-001,2.285407036542893E-001,-8.826900273561478E-003,3.867584839463234E-002,-9.663817286491394E-001,2.285407036542893E-001,
1.108333333333334E+009,-1.858719065785408E-002,2.987910434603691E-002,-9.436712861061096E-001,2.312714755535126E-001,-1.858719065785408E-002,2.987910434603691E-002,-9.436712861061096E-001,2.312714755535126E-001,
