% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-2.533271163702011E-002,5.075834318995476E-002,-4.973555803298950E-001,-8.537293076515198E-001,-2.533271163702011E-002,5.075834318995476E-002,-4.973555803298950E-001,-8.537293076515198E-001,
6.983666666666666E+008,-1.534803118556738E-002,5.187830701470375E-002,-5.138382911682129E-001,-8.449597358703613E-001,-1.534803118556738E-002,5.187830701470375E-002,-5.138382911682129E-001,-8.449597358703613E-001,
7.067333333333334E+008,-8.518250659108162E-003,4.689215868711472E-002,-5.617860555648804E-001,-7.824927568435669E-001,-8.518250659108162E-003,4.689215868711472E-002,-5.617860555648804E-001,-7.824927568435669E-001,
7.151000000000000E+008,-7.185940630733967E-003,3.910811617970467E-002,-5.821152329444885E-001,-8.009424209594727E-001,-7.185940630733967E-003,3.910811617970467E-002,-5.821152329444885E-001,-8.009424209594727E-001,
7.234666666666666E+008,-9.777276776731014E-003,3.357823938131332E-002,-5.876362323760986E-001,-7.863456606864929E-001,-9.777276776731014E-003,3.357823938131332E-002,-5.876362323760986E-001,-7.863456606864929E-001,
7.318333333333334E+008,-1.567764393985272E-002,3.139637783169746E-002,-6.065518856048584E-001,-7.853593826293945E-001,-1.567764393985272E-002,3.139637783169746E-002,-6.065518856048584E-001,-7.853593826293945E-001,
7.402000000000000E+008,-2.175841294229031E-002,3.183244168758392E-002,-6.533955931663513E-001,-7.679055333137512E-001,-2.175841294229031E-002,3.183244168758392E-002,-6.533955931663513E-001,-7.679055333137512E-001,
7.485666666666666E+008,-2.771674096584320E-002,3.787557035684586E-002,-6.504258513450623E-001,-7.607709765434265E-001,-2.771674096584320E-002,3.787557035684586E-002,-6.504258513450623E-001,-7.607709765434265E-001,
7.569333333333334E+008,-2.839296869933605E-002,4.603648558259010E-002,-6.551233530044556E-001,-7.415964603424072E-001,-2.839296869933605E-002,4.603648558259010E-002,-6.551233530044556E-001,-7.415964603424072E-001,
7.653000000000000E+008,-2.297709882259369E-002,5.319418758153915E-002,-6.782089471817017E-001,-7.184959053993225E-001,-2.297709882259369E-002,5.319418758153915E-002,-6.782089471817017E-001,-7.184959053993225E-001,
