% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.187302127480507E-002,5.180272087454796E-002,-4.969874322414398E-001,-8.504360914230347E-001,-3.187302127480507E-002,5.180272087454796E-002,-4.969874322414398E-001,-8.504360914230347E-001,
6.983666666666666E+008,-2.171368896961212E-002,5.312857031822205E-002,-5.198476314544678E-001,-8.418346047401428E-001,-2.171368896961212E-002,5.312857031822205E-002,-5.198476314544678E-001,-8.418346047401428E-001,
7.067333333333334E+008,-1.460486091673374E-002,4.846058413386345E-002,-5.644643902778626E-001,-7.800279259681702E-001,-1.460486091673374E-002,4.846058413386345E-002,-5.644643902778626E-001,-7.800279259681702E-001,
7.151000000000000E+008,-1.295804977416992E-002,4.120336845517159E-002,-5.836523175239563E-001,-7.934913039207459E-001,-1.295804977416992E-002,4.120336845517159E-002,-5.836523175239563E-001,-7.934913039207459E-001,
7.234666666666666E+008,-1.528345979750156E-002,3.602384030818939E-002,-5.954577326774597E-001,-7.816135287284851E-001,-1.528345979750156E-002,3.602384030818939E-002,-5.954577326774597E-001,-7.816135287284851E-001,
7.318333333333334E+008,-2.136824838817120E-002,3.376357629895210E-002,-6.105809211730957E-001,-7.798790335655212E-001,-2.136824838817120E-002,3.376357629895210E-002,-6.105809211730957E-001,-7.798790335655212E-001,
7.402000000000000E+008,-2.727918326854706E-002,3.409362584352493E-002,-6.553709506988525E-001,-7.623718976974487E-001,-2.727918326854706E-002,3.409362584352493E-002,-6.553709506988525E-001,-7.623718976974487E-001,
7.485666666666666E+008,-3.361858427524567E-002,4.028451442718506E-002,-6.539809107780457E-001,-7.585505247116089E-001,-3.361858427524567E-002,4.028451442718506E-002,-6.539809107780457E-001,-7.585505247116089E-001,
7.569333333333334E+008,-3.442975506186485E-002,4.833276569843292E-002,-6.619427204132080E-001,-7.376385927200317E-001,-3.442975506186485E-002,4.833276569843292E-002,-6.619427204132080E-001,-7.376385927200317E-001,
7.653000000000000E+008,-2.907602302730084E-002,5.624425411224365E-002,-6.796768903732300E-001,-7.176423072814941E-001,-2.907602302730084E-002,5.624425411224365E-002,-6.796768903732300E-001,-7.176423072814941E-001,
7.736666666666666E+008,-2.176458016037941E-002,6.280321627855301E-002,-7.122859954833984E-001,-6.920309662818909E-001,-2.176458016037941E-002,6.280321627855301E-002,-7.122859954833984E-001,-6.920309662818909E-001,
