% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.269141122698784E-002,1.652014814317226E-002,-4.970290064811707E-001,-8.523793816566467E-001,-5.269141122698784E-002,1.652014814317226E-002,-4.970290064811707E-001,-8.523793816566467E-001,
6.983666666666666E+008,-4.359320923686028E-002,1.700291782617569E-002,-5.221042037010193E-001,-8.426914811134338E-001,-4.359320923686028E-002,1.700291782617569E-002,-5.221042037010193E-001,-8.426914811134338E-001,
7.067333333333334E+008,-3.768580779433250E-002,1.176775526255369E-002,-5.651712417602539E-001,-7.808544039726257E-001,-3.768580779433250E-002,1.176775526255369E-002,-5.651712417602539E-001,-7.808544039726257E-001,
7.151000000000000E+008,-3.797997161746025E-002,4.747901111841202E-003,-5.848214626312256E-001,-7.934381961822510E-001,-3.797997161746025E-002,4.747901111841202E-003,-5.848214626312256E-001,-7.934381961822510E-001,
7.234666666666666E+008,-4.200245812535286E-002,-5.349493585526943E-004,-5.938943028450012E-001,-7.831948995590210E-001,-4.200245812535286E-002,-5.349493585526943E-004,-5.938943028450012E-001,-7.831948995590210E-001,
7.318333333333334E+008,-4.992638155817986E-002,-2.359727397561073E-003,-6.107311248779297E-001,-7.801719903945923E-001,-4.992638155817986E-002,-2.359727397561073E-003,-6.107311248779297E-001,-7.801719903945923E-001,
7.402000000000000E+008,-5.715683847665787E-002,-1.626020763069391E-003,-6.573608517646790E-001,-7.611385583877564E-001,-5.715683847665787E-002,-1.626020763069391E-003,-6.573608517646790E-001,-7.611385583877564E-001,
7.485666666666666E+008,-6.541920453310013E-002,4.777677357196808E-003,-6.547405123710632E-001,-7.589505910873413E-001,-6.541920453310013E-002,4.777677357196808E-003,-6.547405123710632E-001,-7.589505910873413E-001,
7.569333333333334E+008,-6.757153570652008E-002,1.273001823574305E-002,-6.607466340065002E-001,-7.383009195327759E-001,-6.757153570652008E-002,1.273001823574305E-002,-6.607466340065002E-001,-7.383009195327759E-001,
7.653000000000000E+008,-6.372349709272385E-002,2.100929990410805E-002,-6.796922087669373E-001,-7.190445065498352E-001,-6.372349709272385E-002,2.100929990410805E-002,-6.796922087669373E-001,-7.190445065498352E-001,
7.736666666666666E+008,-5.796521157026291E-002,2.700668945908546E-002,-7.130509018898010E-001,-6.920944452285767E-001,-5.796521157026291E-002,2.700668945908546E-002,-7.130509018898010E-001,-6.920944452285767E-001,
