% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.707161031663418E-002,1.625392585992813E-002,-4.656698703765869E-001,-8.715190887451172E-001,-1.707161031663418E-002,1.625392585992813E-002,-4.656698703765869E-001,-8.715190887451172E-001,
6.983666666666666E+008,-7.499462924897671E-003,1.714700274169445E-002,-4.889425933361054E-001,-8.638708591461182E-001,-7.499462924897671E-003,1.714700274169445E-002,-4.889425933361054E-001,-8.638708591461182E-001,
7.067333333333334E+008,-7.442660280503333E-004,1.211219932883978E-002,-5.356783866882324E-001,-8.030431866645813E-001,-7.442660280503333E-004,1.211219932883978E-002,-5.356783866882324E-001,-8.030431866645813E-001,
7.151000000000000E+008,-4.628437091014348E-005,4.049501847475767E-003,-5.536335110664368E-001,-8.178668022155762E-001,-4.628437091014348E-005,4.049501847475767E-003,-5.536335110664368E-001,-8.178668022155762E-001,
7.234666666666666E+008,-3.216147888451815E-003,-1.926978235132992E-003,-5.653125047683716E-001,-8.069420456886292E-001,-3.216147888451815E-003,-1.926978235132992E-003,-5.653125047683716E-001,-8.069420456886292E-001,
7.318333333333334E+008,-1.039193850010634E-002,-5.431450903415680E-003,-5.801957845687866E-001,-8.060566782951355E-001,-1.039193850010634E-002,-5.431450903415680E-003,-5.801957845687866E-001,-8.060566782951355E-001,
7.402000000000000E+008,-1.743739470839500E-002,-5.951244849711657E-003,-6.250334382057190E-001,-7.911632657051086E-001,-1.743739470839500E-002,-5.951244849711657E-003,-6.250334382057190E-001,-7.911632657051086E-001,
7.485666666666666E+008,-2.555502206087112E-002,-9.438273846171796E-004,-6.235226392745972E-001,-7.880409359931946E-001,-2.555502206087112E-002,-9.438273846171796E-004,-6.235226392745972E-001,-7.880409359931946E-001,
7.569333333333334E+008,-2.825073525309563E-002,6.096194032579660E-003,-6.320220828056335E-001,-7.668595314025879E-001,-2.825073525309563E-002,6.096194032579660E-003,-6.320220828056335E-001,-7.668595314025879E-001,
7.653000000000000E+008,-2.492960728704929E-002,1.328776683658361E-002,-6.514669060707092E-001,-7.484548687934876E-001,-2.492960728704929E-002,1.328776683658361E-002,-6.514669060707092E-001,-7.484548687934876E-001,
7.736666666666666E+008,-1.879232749342918E-002,1.952946558594704E-002,-6.852253675460815E-001,-7.239536643028259E-001,-1.879232749342918E-002,1.952946558594704E-002,-6.852253675460815E-001,-7.239536643028259E-001,
7.820333333333334E+008,-1.049595884978771E-002,2.236037515103817E-002,-6.970595121383667E-001,-7.124276161193848E-001,-1.049595884978771E-002,2.236037515103817E-002,-6.970595121383667E-001,-7.124276161193848E-001,
7.904000000000000E+008,-6.824307492934167E-004,2.129452675580978E-002,-7.017287611961365E-001,-6.915026307106018E-001,-6.824307492934167E-004,2.129452675580978E-002,-7.017287611961365E-001,-6.915026307106018E-001,
7.987666666666666E+008,4.122340586036444E-003,1.591935008764267E-002,-7.370926141738892E-001,-6.718290448188782E-001,4.122340586036444E-003,1.591935008764267E-002,-7.370926141738892E-001,-6.718290448188782E-001,
8.071333333333334E+008,6.997728254646063E-003,1.061384472995997E-002,-7.421286702156067E-001,-6.610563993453980E-001,6.997728254646063E-003,1.061384472995997E-002,-7.421286702156067E-001,-6.610563993453980E-001,
8.155000000000000E+008,1.588306506164372E-003,3.798966528847814E-003,-7.661536931991577E-001,-6.407005190849304E-001,1.588306506164372E-003,3.798966528847814E-003,-7.661536931991577E-001,-6.407005190849304E-001,
8.238666666666666E+008,-3.000836586579680E-003,-7.100768270902336E-004,-7.678651213645935E-001,-6.119697093963623E-001,-3.000836586579680E-003,-7.100768270902336E-004,-7.678651213645935E-001,-6.119697093963623E-001,
8.322333333333334E+008,-1.095926482230425E-002,-1.011036452837288E-003,-7.901009917259216E-001,-5.938515663146973E-001,-1.095926482230425E-002,-1.011036452837288E-003,-7.901009917259216E-001,-5.938515663146973E-001,
8.406000000000000E+008,-1.812146231532097E-002,2.618665108457208E-003,-8.012349009513855E-001,-5.824162960052490E-001,-1.812146231532097E-002,2.618665108457208E-003,-8.012349009513855E-001,-5.824162960052490E-001,
8.489666666666668E+008,-2.293368615210056E-002,8.984511718153954E-003,-8.127216100692749E-001,-5.680541396141052E-001,-2.293368615210056E-002,8.984511718153954E-003,-8.127216100692749E-001,-5.680541396141052E-001,
8.573333333333334E+008,-2.218480408191681E-002,1.686496473848820E-002,-8.319244980812073E-001,-5.287267565727234E-001,-2.218480408191681E-002,1.686496473848820E-002,-8.319244980812073E-001,-5.287267565727234E-001,
8.657000000000000E+008,-1.595869101583958E-002,2.368385158479214E-002,-8.496854305267334E-001,-5.096029639244080E-001,-1.595869101583958E-002,2.368385158479214E-002,-8.496854305267334E-001,-5.096029639244080E-001,
8.740666666666668E+008,-9.035917930305004E-003,2.687344327569008E-002,-8.484877347946167E-001,-4.978976249694824E-001,-9.035917930305004E-003,2.687344327569008E-002,-8.484877347946167E-001,-4.978976249694824E-001,
8.824333333333334E+008,3.034308028873056E-004,2.671243995428085E-002,-8.663529157638550E-001,-4.839251935482025E-001,3.034308028873056E-004,2.671243995428085E-002,-8.663529157638550E-001,-4.839251935482025E-001,
8.908000000000000E+008,8.834499865770340E-003,2.242770045995712E-002,-8.685429096221924E-001,-4.521795511245728E-001,8.834499865770340E-003,2.242770045995712E-002,-8.685429096221924E-001,-4.521795511245728E-001,
8.991666666666668E+008,1.247741933912039E-002,1.593950204551220E-002,-8.841574192047119E-001,-4.258843958377838E-001,1.247741933912039E-002,1.593950204551220E-002,-8.841574192047119E-001,-4.258843958377838E-001,
9.075333333333334E+008,1.209015399217606E-002,8.963399566709995E-003,-9.144710302352905E-001,-4.089895784854889E-001,1.209015399217606E-002,8.963399566709995E-003,-9.144710302352905E-001,-4.089895784854889E-001,
9.159000000000000E+008,8.519031107425690E-003,6.264923140406609E-003,-9.209606051445007E-001,-3.809799849987030E-001,8.519031107425690E-003,6.264923140406609E-003,-9.209606051445007E-001,-3.809799849987030E-001,
9.242666666666668E+008,2.544163260608912E-003,2.932929433882237E-003,-9.275180697441101E-001,-3.670354187488556E-001,2.544163260608912E-003,2.932929433882237E-003,-9.275180697441101E-001,-3.670354187488556E-001,
9.326333333333334E+008,-6.007777061313391E-003,3.611333202570677E-003,-9.490219950675964E-001,-3.450248241424561E-001,-6.007777061313391E-003,3.611333202570677E-003,-9.490219950675964E-001,-3.450248241424561E-001,
9.410000000000000E+008,-1.102062966674566E-002,8.013820275664330E-003,-9.437144994735718E-001,-3.124849200248718E-001,-1.102062966674566E-002,8.013820275664330E-003,-9.437144994735718E-001,-3.124849200248718E-001,
9.493666666666668E+008,-1.383149810135365E-002,1.456096488982439E-002,-9.431287050247192E-001,-2.947659790515900E-001,-1.383149810135365E-002,1.456096488982439E-002,-9.431287050247192E-001,-2.947659790515900E-001,
9.577333333333334E+008,-1.269313879311085E-002,2.337188832461834E-002,-9.599494934082031E-001,-2.725674211978912E-001,-1.269313879311085E-002,2.337188832461834E-002,-9.599494934082031E-001,-2.725674211978912E-001,
9.661000000000000E+008,-6.145352497696877E-003,3.060072474181652E-002,-9.597984552383423E-001,-2.488360106945038E-001,-6.145352497696877E-003,3.060072474181652E-002,-9.597984552383423E-001,-2.488360106945038E-001,
9.744666666666668E+008,1.450166688300669E-003,3.200049325823784E-002,-9.671558141708374E-001,-2.250887453556061E-001,1.450166688300669E-003,3.200049325823784E-002,-9.671558141708374E-001,-2.250887453556061E-001,
9.828333333333334E+008,1.403602305799723E-002,2.993499860167503E-002,-9.709624648094177E-001,-2.045387327671051E-001,1.403602305799723E-002,2.993499860167503E-002,-9.709624648094177E-001,-2.045387327671051E-001,
9.912000000000000E+008,2.112716808915138E-002,2.408786118030548E-002,-9.719892144203186E-001,-1.772625148296356E-001,2.112716808915138E-002,2.408786118030548E-002,-9.719892144203186E-001,-1.772625148296356E-001,
9.995666666666668E+008,2.732940576970577E-002,1.617980375885963E-002,-9.894564747810364E-001,-1.408404707908630E-001,2.732940576970577E-002,1.617980375885963E-002,-9.894564747810364E-001,-1.408404707908630E-001,
1.007933333333333E+009,2.705888077616692E-002,7.184956222772598E-003,-9.872399568557739E-001,-1.260961145162582E-001,2.705888077616692E-002,7.184956222772598E-003,-9.872399568557739E-001,-1.260961145162582E-001,
1.016300000000000E+009,2.104478329420090E-002,1.551860943436623E-003,-9.905806779861450E-001,-9.932731091976166E-002,2.104478329420090E-002,1.551860943436623E-003,-9.905806779861450E-001,-9.932731091976166E-002,
1.024666666666667E+009,1.335489191114903E-002,-4.618146922439337E-003,-9.923465251922607E-001,-6.777609884738922E-002,1.335489191114903E-002,-4.618146922439337E-003,-9.923465251922607E-001,-6.777609884738922E-002,
1.033033333333333E+009,5.568552296608686E-003,-1.637807465158403E-003,-9.922174215316773E-001,-4.941619187593460E-002,5.568552296608686E-003,-1.637807465158403E-003,-9.922174215316773E-001,-4.941619187593460E-002,
1.041400000000000E+009,-1.693198573775590E-003,4.418078809976578E-003,-9.800716638565064E-001,-1.130623463541269E-002,-1.693198573775590E-003,4.418078809976578E-003,-9.800716638565064E-001,-1.130623463541269E-002,
1.049766666666667E+009,-4.268904216587544E-003,1.313543505966663E-002,-9.934936761856079E-001,7.118526846170425E-003,-4.268904216587544E-003,1.313543505966663E-002,-9.934936761856079E-001,7.118526846170425E-003,
