% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.330796331167221E-002,1.820519566535950E-002,-5.059748291969299E-001,-8.465818166732788E-001,-6.330796331167221E-002,1.820519566535950E-002,-5.059748291969299E-001,-8.465818166732788E-001,
6.983666666666666E+008,-5.452022328972817E-002,1.860207505524159E-002,-5.291381478309631E-001,-8.361927866935730E-001,-5.452022328972817E-002,1.860207505524159E-002,-5.291381478309631E-001,-8.361927866935730E-001,
7.067333333333334E+008,-4.884023964405060E-002,1.341405045241118E-002,-5.735234022140503E-001,-7.741289138793945E-001,-4.884023964405060E-002,1.341405045241118E-002,-5.735234022140503E-001,-7.741289138793945E-001,
7.151000000000000E+008,-4.939715564250946E-002,6.371167022734880E-003,-5.930092930793762E-001,-7.872448563575745E-001,-4.939715564250946E-002,6.371167022734880E-003,-5.930092930793762E-001,-7.872448563575745E-001,
7.234666666666666E+008,-5.353528633713722E-002,1.720615196973085E-003,-6.054348945617676E-001,-7.746794819831848E-001,-5.353528633713722E-002,1.720615196973085E-003,-6.054348945617676E-001,-7.746794819831848E-001,
7.318333333333334E+008,-6.162119284272194E-002,1.880025083664805E-004,-6.200971603393555E-001,-7.717033028602600E-001,-6.162119284272194E-002,1.880025083664805E-004,-6.200971603393555E-001,-7.717033028602600E-001,
7.402000000000000E+008,-6.872307509183884E-002,1.231922884471715E-003,-6.649061441421509E-001,-7.541546821594238E-001,-6.872307509183884E-002,1.231922884471715E-003,-6.649061441421509E-001,-7.541546821594238E-001,
7.485666666666666E+008,-7.679404318332672E-002,8.351336233317852E-003,-6.631708145141602E-001,-7.505383491516113E-001,-7.679404318332672E-002,8.351336233317852E-003,-6.631708145141602E-001,-7.505383491516113E-001,
7.569333333333334E+008,-7.897510379552841E-002,1.673636958003044E-002,-6.684812307357788E-001,-7.300813198089600E-001,-7.897510379552841E-002,1.673636958003044E-002,-6.684812307357788E-001,-7.300813198089600E-001,
7.653000000000000E+008,-7.521421462297440E-002,2.503677085042000E-002,-6.877405047416687E-001,-7.096012830734253E-001,-7.521421462297440E-002,2.503677085042000E-002,-6.877405047416687E-001,-7.096012830734253E-001,
7.736666666666666E+008,-6.891747564077377E-002,3.110498189926148E-002,-7.202337980270386E-001,-6.841013431549072E-001,-6.891747564077377E-002,3.110498189926148E-002,-7.202337980270386E-001,-6.841013431549072E-001,
