% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.702279552817345E-002,6.192777305841446E-002,-5.053868889808655E-001,-8.453339934349060E-001,-3.702279552817345E-002,6.192777305841446E-002,-5.053868889808655E-001,-8.453339934349060E-001,
6.983666666666666E+008,-2.659479714930058E-002,6.325084716081619E-002,-5.283937454223633E-001,-8.361472487449646E-001,-2.659479714930058E-002,6.325084716081619E-002,-5.283937454223633E-001,-8.361472487449646E-001,
7.067333333333334E+008,-1.931513100862503E-002,5.871969833970070E-002,-5.727447867393494E-001,-7.741823196411133E-001,-1.931513100862503E-002,5.871969833970070E-002,-5.727447867393494E-001,-7.741823196411133E-001,
7.151000000000000E+008,-1.735067367553711E-002,5.186304077506065E-002,-5.921217799186707E-001,-7.874952554702759E-001,-1.735067367553711E-002,5.186304077506065E-002,-5.921217799186707E-001,-7.874952554702759E-001,
7.234666666666666E+008,-1.941334269940853E-002,4.712163284420967E-002,-6.037817597389221E-001,-7.756069898605347E-001,-1.941334269940853E-002,4.712163284420967E-002,-6.037817597389221E-001,-7.756069898605347E-001,
7.318333333333334E+008,-2.513909526169300E-002,4.550862312316895E-002,-6.192786097526550E-001,-7.732467651367188E-001,-2.513909526169300E-002,4.550862312316895E-002,-6.192786097526550E-001,-7.732467651367188E-001,
7.402000000000000E+008,-3.073492832481861E-002,4.632056131958962E-002,-6.637452840805054E-001,-7.552024126052856E-001,-3.073492832481861E-002,4.632056131958962E-002,-6.637452840805054E-001,-7.552024126052856E-001,
7.485666666666666E+008,-3.656311705708504E-002,5.298785120248795E-002,-6.623111963272095E-001,-7.510011792182922E-001,-3.656311705708504E-002,5.298785120248795E-002,-6.623111963272095E-001,-7.510011792182922E-001,
7.569333333333334E+008,-3.690204769372940E-002,6.132566556334496E-002,-6.701615452766419E-001,-7.301669716835022E-001,-3.690204769372940E-002,6.132566556334496E-002,-6.701615452766419E-001,-7.301669716835022E-001,
7.653000000000000E+008,-3.101659752428532E-002,6.924884766340256E-002,-6.877488493919373E-001,-7.095516324043274E-001,-3.101659752428532E-002,6.924884766340256E-002,-6.877488493919373E-001,-7.095516324043274E-001,
7.736666666666666E+008,-2.349162474274635E-002,7.555502653121948E-002,-7.201282382011414E-001,-6.836245059967041E-001,-2.349162474274635E-002,7.555502653121948E-002,-7.201282382011414E-001,-6.836245059967041E-001,
7.820333333333334E+008,-1.331768650561571E-002,7.850795239210129E-002,-7.315964698791504E-001,-6.705701947212219E-001,-1.331768650561571E-002,7.850795239210129E-002,-7.315964698791504E-001,-6.705701947212219E-001,
7.904000000000000E+008,-1.878521870821714E-003,7.758038491010666E-002,-7.356840968132019E-001,-6.494958996772766E-001,-1.878521870821714E-003,7.758038491010666E-002,-7.356840968132019E-001,-6.494958996772766E-001,
7.987666666666666E+008,3.943534567952156E-003,7.217130064964294E-002,-7.699952125549316E-001,-6.284120082855225E-001,3.943534567952156E-003,7.217130064964294E-002,-7.699952125549316E-001,-6.284120082855225E-001,
8.071333333333334E+008,8.216976188123226E-003,6.720560044050217E-002,-7.751068472862244E-001,-6.170529127120972E-001,8.216976188123226E-003,6.720560044050217E-002,-7.751068472862244E-001,-6.170529127120972E-001,
8.155000000000000E+008,3.638483118265867E-003,6.134802848100662E-002,-7.982487678527832E-001,-5.948150753974915E-001,3.638483118265867E-003,6.134802848100662E-002,-7.982487678527832E-001,-5.948150753974915E-001,
8.238666666666666E+008,1.339255017228425E-003,5.752795934677124E-002,-7.994366884231567E-001,-5.654177069664002E-001,1.339255017228425E-003,5.752795934677124E-002,-7.994366884231567E-001,-5.654177069664002E-001,
8.322333333333334E+008,-4.686112049967051E-003,5.852470174431801E-002,-8.208009004592896E-001,-5.454932451248169E-001,-4.686112049967051E-003,5.852470174431801E-002,-8.208009004592896E-001,-5.454932451248169E-001,
8.406000000000000E+008,-8.905189111828804E-003,6.263131648302078E-002,-8.319358825683594E-001,-5.320317745208740E-001,-8.905189111828804E-003,6.263131648302078E-002,-8.319358825683594E-001,-5.320317745208740E-001,
