% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.578700080513954E-002,3.350263088941574E-002,-5.112988948822022E-001,-8.401924371719360E-001,-5.578700080513954E-002,3.350263088941574E-002,-5.112988948822022E-001,-8.401924371719360E-001,
6.983666666666666E+008,-4.388491064310074E-002,3.237974271178246E-002,-5.318295955657959E-001,-8.245819807052612E-001,-4.388491064310074E-002,3.237974271178246E-002,-5.318295955657959E-001,-8.245819807052612E-001,
7.067333333333334E+008,-3.962211310863495E-002,2.771656773984432E-002,-5.685263276100159E-001,-7.805793285369873E-001,-3.962211310863495E-002,2.771656773984432E-002,-5.685263276100159E-001,-7.805793285369873E-001,
7.151000000000000E+008,-3.954499959945679E-002,2.065997570753098E-002,-5.616254210472107E-001,-7.902454733848572E-001,-3.954499959945679E-002,2.065997570753098E-002,-5.616254210472107E-001,-7.902454733848572E-001,
7.234666666666666E+008,-4.087378084659576E-002,1.511403638869524E-002,-5.938460230827332E-001,-7.761985659599304E-001,-4.087378084659576E-002,1.511403638869524E-002,-5.938460230827332E-001,-7.761985659599304E-001,
7.318333333333334E+008,-4.814050346612930E-002,1.400740630924702E-002,-6.096807122230530E-001,-7.690064907073975E-001,-4.814050346612930E-002,1.400740630924702E-002,-6.096807122230530E-001,-7.690064907073975E-001,
7.402000000000000E+008,-5.285978689789772E-002,1.694925315678120E-002,-6.236639618873596E-001,-7.579157352447510E-001,-5.285978689789772E-002,1.694925315678120E-002,-6.236639618873596E-001,-7.579157352447510E-001,
7.485666666666666E+008,-6.050202995538712E-002,2.380252629518509E-002,-6.531449556350708E-001,-7.327920794487000E-001,-6.050202995538712E-002,2.380252629518509E-002,-6.531449556350708E-001,-7.327920794487000E-001,
7.569333333333334E+008,-6.051478162407875E-002,3.436736017465591E-002,-6.587021350860596E-001,-7.243485450744629E-001,-6.051478162407875E-002,3.436736017465591E-002,-6.587021350860596E-001,-7.243485450744629E-001,
7.653000000000000E+008,-5.735109001398087E-002,4.297217354178429E-002,-6.813371777534485E-001,-6.960073113441467E-001,-5.735109001398087E-002,4.297217354178429E-002,-6.813371777534485E-001,-6.960073113441467E-001,
7.736666666666666E+008,-5.128325894474983E-002,5.070028081536293E-002,-7.071436643600464E-001,-6.876108050346375E-001,-5.128325894474983E-002,5.070028081536293E-002,-7.071436643600464E-001,-6.876108050346375E-001,
7.820333333333334E+008,-4.463531076908112E-002,5.352452024817467E-002,-7.572127580642700E-001,-6.698821187019348E-001,-4.463531076908112E-002,5.352452024817467E-002,-7.572127580642700E-001,-6.698821187019348E-001,
7.904000000000000E+008,-3.780576586723328E-002,5.310604721307755E-002,-7.468233108520508E-001,-6.559803485870361E-001,-3.780576586723328E-002,5.310604721307755E-002,-7.468233108520508E-001,-6.559803485870361E-001,
7.987666666666666E+008,-3.361232578754425E-002,4.711120575666428E-002,-7.560014128684998E-001,-6.327240467071533E-001,-3.361232578754425E-002,4.711120575666428E-002,-7.560014128684998E-001,-6.327240467071533E-001,
8.071333333333334E+008,-3.057545237243176E-002,4.056993871927261E-002,-7.689326405525208E-001,-6.021732687950134E-001,-3.057545237243176E-002,4.056993871927261E-002,-7.689326405525208E-001,-6.021732687950134E-001,
8.155000000000000E+008,-3.383062034845352E-002,3.705965355038643E-002,-7.979330420494080E-001,-5.804169774055481E-001,-3.383062034845352E-002,3.705965355038643E-002,-7.979330420494080E-001,-5.804169774055481E-001,
8.238666666666666E+008,-3.875230252742767E-002,3.394690155982971E-002,-8.071036338806152E-001,-5.604626536369324E-001,-3.875230252742767E-002,3.394690155982971E-002,-8.071036338806152E-001,-5.604626536369324E-001,
8.322333333333334E+008,-4.485913738608360E-002,3.570197522640228E-002,-8.178684115409851E-001,-5.414018034934998E-001,-4.485913738608360E-002,3.570197522640228E-002,-8.178684115409851E-001,-5.414018034934998E-001,
8.406000000000000E+008,-4.772142320871353E-002,4.148618876934052E-002,-8.257359862327576E-001,-5.154446959495544E-001,-4.772142320871353E-002,4.148618876934052E-002,-8.257359862327576E-001,-5.154446959495544E-001,
8.489666666666668E+008,-4.992980137467384E-002,5.029187723994255E-002,-8.449702858924866E-001,-4.825933873653412E-001,-4.992980137467384E-002,5.029187723994255E-002,-8.449702858924866E-001,-4.825933873653412E-001,
8.573333333333334E+008,-4.803864657878876E-002,5.906268954277039E-002,-8.442440629005432E-001,-4.839956462383270E-001,-4.803864657878876E-002,5.906268954277039E-002,-8.442440629005432E-001,-4.839956462383270E-001,
8.657000000000000E+008,-4.236991330981255E-002,6.676983088254929E-002,-8.601695299148560E-001,-4.525882303714752E-001,-4.236991330981255E-002,6.676983088254929E-002,-8.601695299148560E-001,-4.525882303714752E-001,
8.740666666666668E+008,-3.174753859639168E-002,7.346681505441666E-002,-8.726046085357666E-001,-4.405110180377960E-001,-3.174753859639168E-002,7.346681505441666E-002,-8.726046085357666E-001,-4.405110180377960E-001,
