% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.963683709502220E-002,4.016862809658051E-002,-5.057410001754761E-001,-8.506963253021240E-001,-4.963683709502220E-002,4.016862809658051E-002,-5.057410001754761E-001,-8.506963253021240E-001,
6.983666666666666E+008,-4.149439930915833E-002,4.068320989608765E-002,-5.310833454132080E-001,-8.397377133369446E-001,-4.149439930915833E-002,4.068320989608765E-002,-5.310833454132080E-001,-8.397377133369446E-001,
7.067333333333334E+008,-3.554230555891991E-002,3.624759614467621E-002,-5.535162091255188E-001,-8.138992190361023E-001,-3.554230555891991E-002,3.624759614467621E-002,-5.535162091255188E-001,-8.138992190361023E-001,
7.151000000000000E+008,-3.504980728030205E-002,2.874395810067654E-002,-5.888444185256958E-001,-8.116939067840576E-001,-3.504980728030205E-002,2.874395810067654E-002,-5.888444185256958E-001,-8.116939067840576E-001,
7.234666666666666E+008,-3.708330541849136E-002,2.358881756663322E-002,-6.024299860000610E-001,-7.961709499359131E-001,-3.708330541849136E-002,2.358881756663322E-002,-6.024299860000610E-001,-7.961709499359131E-001,
7.318333333333334E+008,-4.446741566061974E-002,2.130435407161713E-002,-6.194602847099304E-001,-7.785391211509705E-001,-4.446741566061974E-002,2.130435407161713E-002,-6.194602847099304E-001,-7.785391211509705E-001,
7.402000000000000E+008,-5.073065683245659E-002,2.332180552184582E-002,-6.304168105125427E-001,-7.532805800437927E-001,-5.073065683245659E-002,2.332180552184582E-002,-6.304168105125427E-001,-7.532805800437927E-001,
7.485666666666666E+008,-5.617377161979675E-002,3.040705993771553E-002,-6.602076292037964E-001,-7.400798797607422E-001,-5.617377161979675E-002,3.040705993771553E-002,-6.602076292037964E-001,-7.400798797607422E-001,
7.569333333333334E+008,-5.997763946652412E-002,4.030458629131317E-002,-6.789798140525818E-001,-7.265625596046448E-001,-5.997763946652412E-002,4.030458629131317E-002,-6.789798140525818E-001,-7.265625596046448E-001,
7.653000000000000E+008,-5.443857237696648E-002,4.930532351136208E-002,-6.863486170768738E-001,-7.076211571693420E-001,-5.443857237696648E-002,4.930532351136208E-002,-6.863486170768738E-001,-7.076211571693420E-001,
7.736666666666666E+008,-4.792829230427742E-002,5.611638724803925E-002,-6.988815069198608E-001,-7.033769488334656E-001,-4.792829230427742E-002,5.611638724803925E-002,-6.988815069198608E-001,-7.033769488334656E-001,
7.820333333333334E+008,-3.900733962655067E-002,6.027328595519066E-002,-7.324335575103760E-001,-6.750488281250000E-001,-3.900733962655067E-002,6.027328595519066E-002,-7.324335575103760E-001,-6.750488281250000E-001,
7.904000000000000E+008,-2.879299409687519E-002,5.923652648925781E-002,-7.414225339889526E-001,-6.564356684684753E-001,-2.879299409687519E-002,5.923652648925781E-002,-7.414225339889526E-001,-6.564356684684753E-001,
7.987666666666666E+008,-2.427563816308975E-002,5.406290665268898E-002,-7.467154860496521E-001,-6.402935385704041E-001,-2.427563816308975E-002,5.406290665268898E-002,-7.467154860496521E-001,-6.402935385704041E-001,
8.071333333333334E+008,-2.227544598281384E-002,4.761114716529846E-002,-7.731356024742127E-001,-6.081560850143433E-001,-2.227544598281384E-002,4.761114716529846E-002,-7.731356024742127E-001,-6.081560850143433E-001,
8.155000000000000E+008,-2.518426068127155E-002,4.056401178240776E-002,-7.999338507652283E-001,-5.969262719154358E-001,-2.518426068127155E-002,4.056401178240776E-002,-7.999338507652283E-001,-5.969262719154358E-001,
8.238666666666666E+008,-3.194778785109520E-002,3.864964097738266E-002,-8.060590028762817E-001,-5.734109878540039E-001,-3.194778785109520E-002,3.864964097738266E-002,-8.060590028762817E-001,-5.734109878540039E-001,
8.322333333333334E+008,-3.759657219052315E-002,4.014665260910988E-002,-8.156357407569885E-001,-5.554586052894592E-001,-3.759657219052315E-002,4.014665260910988E-002,-8.156357407569885E-001,-5.554586052894592E-001,
8.406000000000000E+008,-4.237576201558113E-002,4.346122965216637E-002,-8.272880911827087E-001,-5.326796174049377E-001,-4.237576201558113E-002,4.346122965216637E-002,-8.272880911827087E-001,-5.326796174049377E-001,
8.489666666666668E+008,-4.396539926528931E-002,5.477264150977135E-002,-8.391098380088806E-001,-5.033005475997925E-001,-4.396539926528931E-002,5.477264150977135E-002,-8.391098380088806E-001,-5.033005475997925E-001,
8.573333333333334E+008,-4.174553230404854E-002,6.268312036991119E-002,-8.410038352012634E-001,-4.727675616741180E-001,-4.174553230404854E-002,6.268312036991119E-002,-8.410038352012634E-001,-4.727675616741180E-001,
8.657000000000000E+008,-3.624813631176949E-002,7.030212134122849E-002,-8.687462210655212E-001,-4.767181277275085E-001,-3.624813631176949E-002,7.030212134122849E-002,-8.687462210655212E-001,-4.767181277275085E-001,
8.740666666666668E+008,-2.688791975378990E-002,7.539335638284683E-002,-8.751204609870911E-001,-4.516524076461792E-001,-2.688791975378990E-002,7.539335638284683E-002,-8.751204609870911E-001,-4.516524076461792E-001,
8.824333333333334E+008,-1.844926550984383E-002,7.685104757547379E-002,-8.931057453155518E-001,-4.273919463157654E-001,-1.844926550984383E-002,7.685104757547379E-002,-8.931057453155518E-001,-4.273919463157654E-001,
8.908000000000000E+008,-1.014897413551807E-002,7.330465316772461E-002,-9.068433046340942E-001,-4.095879495143890E-001,-1.014897413551807E-002,7.330465316772461E-002,-9.068433046340942E-001,-4.095879495143890E-001,
8.991666666666668E+008,-4.530190024524927E-003,6.727839261293411E-002,-9.066658020019531E-001,-3.822537362575531E-001,-4.530190024524927E-003,6.727839261293411E-002,-9.066658020019531E-001,-3.822537362575531E-001,
9.075333333333334E+008,-4.086688626557589E-003,5.982035025954247E-002,-9.207150936126709E-001,-3.570560514926910E-001,-4.086688626557589E-003,5.982035025954247E-002,-9.207150936126709E-001,-3.570560514926910E-001,
9.159000000000000E+008,-7.029760628938675E-003,5.410851165652275E-002,-9.417929053306580E-001,-3.321382701396942E-001,-7.029760628938675E-003,5.410851165652275E-002,-9.417929053306580E-001,-3.321382701396942E-001,
9.242666666666668E+008,-1.377864275127649E-002,5.442128330469132E-002,-9.333266019821167E-001,-3.101758658885956E-001,-1.377864275127649E-002,5.442128330469132E-002,-9.333266019821167E-001,-3.101758658885956E-001,
9.326333333333334E+008,-1.879800111055374E-002,5.682776123285294E-002,-9.494437575340271E-001,-2.955397665500641E-001,-1.879800111055374E-002,5.682776123285294E-002,-9.494437575340271E-001,-2.955397665500641E-001,
