% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.453329160809517E-002,7.476939260959625E-002,-4.547088444232941E-001,-8.587255477905273E-001,-5.453329160809517E-002,7.476939260959625E-002,-4.547088444232941E-001,-8.587255477905273E-001,
6.983666666666666E+008,-4.488444328308106E-002,7.570995390415192E-002,-4.809172153472900E-001,-8.502848744392395E-001,-4.488444328308106E-002,7.570995390415192E-002,-4.809172153472900E-001,-8.502848744392395E-001,
7.067333333333334E+008,-3.744232654571533E-002,7.170154154300690E-002,-5.048221349716187E-001,-8.256207108497620E-001,-3.744232654571533E-002,7.170154154300690E-002,-5.048221349716187E-001,-8.256207108497620E-001,
7.151000000000000E+008,-3.443178907036781E-002,6.437288224697113E-002,-5.414184331893921E-001,-8.257253170013428E-001,-3.443178907036781E-002,6.437288224697113E-002,-5.414184331893921E-001,-8.257253170013428E-001,
7.234666666666666E+008,-3.447712212800980E-002,5.918386206030846E-002,-5.570831894874573E-001,-8.103334903717041E-001,-3.447712212800980E-002,5.918386206030846E-002,-5.570831894874573E-001,-8.103334903717041E-001,
7.318333333333334E+008,-3.992353007197380E-002,5.578240007162094E-002,-5.745727419853210E-001,-7.937093377113342E-001,-3.992353007197380E-002,5.578240007162094E-002,-5.745727419853210E-001,-7.937093377113342E-001,
7.402000000000000E+008,-4.416126012802124E-002,5.656928196549416E-002,-5.877193212509155E-001,-7.686902284622192E-001,-4.416126012802124E-002,5.656928196549416E-002,-5.877193212509155E-001,-7.686902284622192E-001,
7.485666666666666E+008,-4.821603000164032E-002,6.243280321359634E-002,-6.175511479377747E-001,-7.565328478813171E-001,-4.821603000164032E-002,6.243280321359634E-002,-6.175511479377747E-001,-7.565328478813171E-001,
7.569333333333334E+008,-5.121107771992683E-002,7.113355398178101E-002,-6.373010873794556E-001,-7.434018254280090E-001,-5.121107771992683E-002,7.113355398178101E-002,-6.373010873794556E-001,-7.434018254280090E-001,
7.653000000000000E+008,-4.525393992662430E-002,7.872122526168823E-002,-6.457913517951965E-001,-7.248252034187317E-001,-4.525393992662430E-002,7.872122526168823E-002,-6.457913517951965E-001,-7.248252034187317E-001,
7.736666666666666E+008,-3.845832496881485E-002,8.468533307313919E-002,-6.584799885749817E-001,-7.207264900207520E-001,-3.845832496881485E-002,8.468533307313919E-002,-6.584799885749817E-001,-7.207264900207520E-001,
7.820333333333334E+008,-2.903695404529572E-002,8.811725676059723E-002,-6.919392347335815E-001,-6.942324638366699E-001,-2.903695404529572E-002,8.811725676059723E-002,-6.919392347335815E-001,-6.942324638366699E-001,
7.904000000000000E+008,-1.805837824940682E-002,8.671390265226364E-002,-7.022069692611694E-001,-6.769508719444275E-001,-1.805837824940682E-002,8.671390265226364E-002,-7.022069692611694E-001,-6.769508719444275E-001,
7.987666666666666E+008,-1.197717990726233E-002,8.133079856634140E-002,-7.091541290283203E-001,-6.614413261413574E-001,-1.197717990726233E-002,8.133079856634140E-002,-7.091541290283203E-001,-6.614413261413574E-001,
8.071333333333334E+008,-8.905480615794659E-003,7.501269876956940E-002,-7.361198067665100E-001,-6.303564310073853E-001,-8.905480615794659E-003,7.501269876956940E-002,-7.361198067665100E-001,-6.303564310073853E-001,
8.155000000000000E+008,-1.018980145454407E-002,6.666266918182373E-002,-7.638921141624451E-001,-6.204754710197449E-001,-1.018980145454407E-002,6.666266918182373E-002,-7.638921141624451E-001,-6.204754710197449E-001,
8.238666666666666E+008,-1.535069476813078E-002,6.398157030344009E-002,-7.716456055641174E-001,-5.968222022056580E-001,-1.535069476813078E-002,6.398157030344009E-002,-7.716456055641174E-001,-5.968222022056580E-001,
8.322333333333334E+008,-1.965234614908695E-002,6.399271637201309E-002,-7.822691798210144E-001,-5.783239006996155E-001,-1.965234614908695E-002,6.399271637201309E-002,-7.822691798210144E-001,-5.783239006996155E-001,
8.406000000000000E+008,-2.375556156039238E-002,6.600696593523026E-002,-7.954707145690918E-001,-5.566537976264954E-001,-2.375556156039238E-002,6.600696593523026E-002,-7.954707145690918E-001,-5.566537976264954E-001,
8.489666666666668E+008,-2.438733726739883E-002,7.583029568195343E-002,-8.088061809539795E-001,-5.271756649017334E-001,-2.438733726739883E-002,7.583029568195343E-002,-8.088061809539795E-001,-5.271756649017334E-001,
8.573333333333334E+008,-2.207996509969235E-002,8.230830729007721E-002,-8.116729855537415E-001,-4.967399239540100E-001,-2.207996509969235E-002,8.230830729007721E-002,-8.116729855537415E-001,-4.967399239540100E-001,
8.657000000000000E+008,-1.694897562265396E-002,8.860690146684647E-002,-8.393558859825134E-001,-5.006449818611145E-001,-1.694897562265396E-002,8.860690146684647E-002,-8.393558859825134E-001,-5.006449818611145E-001,
8.740666666666668E+008,-7.645774632692337E-003,9.280835092067719E-002,-8.456773161888123E-001,-4.763554036617279E-001,-7.645774632692337E-003,9.280835092067719E-002,-8.456773161888123E-001,-4.763554036617279E-001,
8.824333333333334E+008,9.252532618120313E-004,9.379035234451294E-002,-8.652369379997253E-001,-4.532710909843445E-001,9.252532618120313E-004,9.379035234451294E-002,-8.652369379997253E-001,-4.532710909843445E-001,
8.908000000000000E+008,9.817185811698437E-003,8.974085003137589E-002,-8.789078593254089E-001,-4.356866478919983E-001,9.817185811698437E-003,8.974085003137589E-002,-8.789078593254089E-001,-4.356866478919983E-001,
8.991666666666668E+008,1.616578549146652E-002,8.272738009691238E-002,-8.802178502082825E-001,-4.085504412651062E-001,1.616578549146652E-002,8.272738009691238E-002,-8.802178502082825E-001,-4.085504412651062E-001,
9.075333333333334E+008,1.794002950191498E-002,7.421989738941193E-002,-8.954482674598694E-001,-3.850311636924744E-001,1.794002950191498E-002,7.421989738941193E-002,-8.954482674598694E-001,-3.850311636924744E-001,
9.159000000000000E+008,1.596616953611374E-002,6.769401580095291E-002,-9.173024296760559E-001,-3.601677119731903E-001,1.596616953611374E-002,6.769401580095291E-002,-9.173024296760559E-001,-3.601677119731903E-001,
9.242666666666668E+008,1.027081813663244E-002,6.656019389629364E-002,-9.107482433319092E-001,-3.378651142120361E-001,1.027081813663244E-002,6.656019389629364E-002,-9.107482433319092E-001,-3.378651142120361E-001,
9.326333333333334E+008,5.737135186791420E-003,6.738495826721191E-002,-9.272301197052002E-001,-3.239594697952271E-001,5.737135186791420E-003,6.738495826721191E-002,-9.272301197052002E-001,-3.239594697952271E-001,
9.410000000000000E+008,1.935766660608351E-003,6.993188709020615E-002,-9.375608563423157E-001,-2.874660789966583E-001,1.935766660608351E-003,6.993188709020615E-002,-9.375608563423157E-001,-2.874660789966583E-001,
9.493666666666668E+008,2.658303128555417E-004,7.765648514032364E-002,-9.435958862304688E-001,-2.567039430141449E-001,2.658303128555417E-004,7.765648514032364E-002,-9.435958862304688E-001,-2.567039430141449E-001,
9.577333333333334E+008,3.770612645894289E-003,8.642796427011490E-002,-9.498413801193237E-001,-2.426096051931381E-001,3.770612645894289E-003,8.642796427011490E-002,-9.498413801193237E-001,-2.426096051931381E-001,
9.661000000000000E+008,1.189470570534468E-002,9.239389002323151E-002,-9.509710073471069E-001,-2.007459253072739E-001,1.189470570534468E-002,9.239389002323151E-002,-9.509710073471069E-001,-2.007459253072739E-001,
9.744666666666668E+008,2.190825529396534E-002,9.174320101737976E-002,-9.502078294754028E-001,-1.920417994260788E-001,2.190825529396534E-002,9.174320101737976E-002,-9.502078294754028E-001,-1.920417994260788E-001,
9.828333333333334E+008,3.118662908673286E-002,9.236188232898712E-002,-9.658041000366211E-001,-1.717468053102493E-001,3.118662908673286E-002,9.236188232898712E-002,-9.658041000366211E-001,-1.717468053102493E-001,
9.912000000000000E+008,4.215693846344948E-002,8.548597246408463E-002,-9.640374183654785E-001,-1.496774703264237E-001,4.215693846344948E-002,8.548597246408463E-002,-9.640374183654785E-001,-1.496774703264237E-001,
9.995666666666668E+008,4.643684998154640E-002,7.713139057159424E-002,-9.772441387176514E-001,-1.140702515840530E-001,4.643684998154640E-002,7.713139057159424E-002,-9.772441387176514E-001,-1.140702515840530E-001,
1.007933333333333E+009,5.079714208841324E-002,6.633556634187698E-002,-9.926636815071106E-001,-9.620167315006256E-002,5.079714208841324E-002,6.633556634187698E-002,-9.926636815071106E-001,-9.620167315006256E-002,
1.016300000000000E+009,4.519454389810562E-002,5.892398953437805E-002,-9.796220660209656E-001,-7.010751962661743E-002,4.519454389810562E-002,5.892398953437805E-002,-9.796220660209656E-001,-7.010751962661743E-002,
1.024666666666667E+009,3.774473816156387E-002,5.398366600275040E-002,-9.764727354049683E-001,-4.398517310619354E-002,3.774473816156387E-002,5.398366600275040E-002,-9.764727354049683E-001,-4.398517310619354E-002,
1.033033333333333E+009,3.284836933016777E-002,5.736245214939117E-002,-9.840038418769836E-001,-1.762546785175800E-002,3.284836933016777E-002,5.736245214939117E-002,-9.840038418769836E-001,-1.762546785175800E-002,
1.041400000000000E+009,2.589524909853935E-002,6.122674420475960E-002,-9.839752316474915E-001,3.782275365665555E-003,2.589524909853935E-002,6.122674420475960E-002,-9.839752316474915E-001,3.782275365665555E-003,
1.049766666666667E+009,2.812453173100948E-002,6.947392225265503E-002,-9.709065556526184E-001,4.063913598656654E-002,2.812453173100948E-002,6.947392225265503E-002,-9.709065556526184E-001,4.063913598656654E-002,
1.058133333333333E+009,3.194123134016991E-002,7.793442904949188E-002,-9.727952480316162E-001,6.279774755239487E-002,3.194123134016991E-002,7.793442904949188E-002,-9.727952480316162E-001,6.279774755239487E-002,
1.066500000000000E+009,4.251544922590256E-002,8.156306296586990E-002,-9.873351454734802E-001,9.736131876707077E-002,4.251544922590256E-002,8.156306296586990E-002,-9.873351454734802E-001,9.736131876707077E-002,
1.074866666666667E+009,5.556348338723183E-002,7.968986779451370E-002,-9.819142222404480E-001,1.172493770718575E-001,5.556348338723183E-002,7.968986779451370E-002,-9.819142222404480E-001,1.172493770718575E-001,
1.083233333333334E+009,6.417901813983917E-002,7.129967212677002E-002,-9.657062292098999E-001,1.379403322935104E-001,6.417901813983917E-002,7.129967212677002E-002,-9.657062292098999E-001,1.379403322935104E-001,
1.091600000000000E+009,7.104340940713882E-002,5.994891747832298E-002,-9.493818879127502E-001,1.582820266485214E-001,7.104340940713882E-002,5.994891747832298E-002,-9.493818879127502E-001,1.582820266485214E-001,
1.099966666666667E+009,7.050489634275436E-002,4.577330499887466E-002,-9.458323717117310E-001,1.958161294460297E-001,7.050489634275436E-002,4.577330499887466E-002,-9.458323717117310E-001,1.958161294460297E-001,
1.108333333333334E+009,6.296379864215851E-002,3.670821711421013E-002,-9.462496042251587E-001,2.051014006137848E-001,6.296379864215851E-002,3.670821711421013E-002,-9.462496042251587E-001,2.051014006137848E-001,
1.116700000000000E+009,5.280416086316109E-002,3.218017891049385E-002,-9.399040937423706E-001,2.387769967317581E-001,5.280416086316109E-002,3.218017891049385E-002,-9.399040937423706E-001,2.387769967317581E-001,
1.125066666666667E+009,4.169348254799843E-002,3.533498197793961E-002,-9.415241479873657E-001,2.557882964611054E-001,4.169348254799843E-002,3.533498197793961E-002,-9.415241479873657E-001,2.557882964611054E-001,
1.133433333333334E+009,3.326902166008949E-002,4.393691942095757E-002,-9.395544528961182E-001,3.010136783123016E-001,3.326902166008949E-002,4.393691942095757E-002,-9.395544528961182E-001,3.010136783123016E-001,
1.141800000000000E+009,3.125241398811340E-002,5.639737099409103E-002,-9.162297248840332E-001,3.163701891899109E-001,3.125241398811340E-002,5.639737099409103E-002,-9.162297248840332E-001,3.163701891899109E-001,
1.150166666666667E+009,3.908963501453400E-002,7.019821554422379E-002,-9.068182706832886E-001,3.181372284889221E-001,3.908963501453400E-002,7.019821554422379E-002,-9.068182706832886E-001,3.181372284889221E-001,
1.158533333333334E+009,5.398948490619659E-002,7.672552019357681E-002,-9.006027579307556E-001,3.581686317920685E-001,5.398948490619659E-002,7.672552019357681E-002,-9.006027579307556E-001,3.581686317920685E-001,
1.166900000000000E+009,7.228957861661911E-002,7.644952833652496E-002,-8.845694661140442E-001,3.782486021518707E-001,7.228957861661911E-002,7.644952833652496E-002,-8.845694661140442E-001,3.782486021518707E-001,
1.175266666666667E+009,8.739234507083893E-002,6.554145365953445E-002,-8.784383535385132E-001,4.075154662132263E-001,8.739234507083893E-002,6.554145365953445E-002,-8.784383535385132E-001,4.075154662132263E-001,
1.183633333333334E+009,9.904952347278595E-002,5.063908919692040E-002,-8.778328299522400E-001,4.190395474433899E-001,9.904952347278595E-002,5.063908919692040E-002,-8.778328299522400E-001,4.190395474433899E-001,
1.192000000000000E+009,9.908583015203476E-002,3.151342272758484E-002,-8.654900193214417E-001,4.415050745010376E-001,9.908583015203476E-002,3.151342272758484E-002,-8.654900193214417E-001,4.415050745010376E-001,
1.200366666666667E+009,8.995626866817474E-002,1.447858661413193E-002,-8.534206151962280E-001,4.636139273643494E-001,8.995626866817474E-002,1.447858661413193E-002,-8.534206151962280E-001,4.636139273643494E-001,
1.208733333333334E+009,7.518082112073898E-002,4.697093740105629E-003,-8.471789956092835E-001,5.059309601783752E-001,7.518082112073898E-002,4.697093740105629E-003,-8.471789956092835E-001,5.059309601783752E-001,
1.217100000000000E+009,5.907483771443367E-002,4.868128802627325E-003,-8.427877426147461E-001,5.160822868347168E-001,5.907483771443367E-002,4.868128802627325E-003,-8.427877426147461E-001,5.160822868347168E-001,
1.225466666666667E+009,4.682559520006180E-002,1.480449736118317E-002,-8.117280006408691E-001,5.416354537010193E-001,4.682559520006180E-002,1.480449736118317E-002,-8.117280006408691E-001,5.416354537010193E-001,
1.233833333333334E+009,4.170931503176689E-002,3.069686330854893E-002,-8.064023256301880E-001,5.540733337402344E-001,4.170931503176689E-002,3.069686330854893E-002,-8.064023256301880E-001,5.540733337402344E-001,
1.242200000000000E+009,4.920914769172669E-002,4.453368112444878E-002,-7.819954752922058E-001,5.879099965095520E-001,4.920914769172669E-002,4.453368112444878E-002,-7.819954752922058E-001,5.879099965095520E-001,
1.250566666666667E+009,6.138947233557701E-002,5.427443608641625E-002,-7.600079774856567E-001,5.933380722999573E-001,6.138947233557701E-002,5.427443608641625E-002,-7.600079774856567E-001,5.933380722999573E-001,
1.258933333333334E+009,8.098740875720978E-002,5.466085299849510E-002,-7.550504803657532E-001,6.146271824836731E-001,8.098740875720978E-002,5.466085299849510E-002,-7.550504803657532E-001,6.146271824836731E-001,
1.267300000000000E+009,9.959556907415390E-002,4.384019225835800E-002,-7.350335121154785E-001,6.294040083885193E-001,9.959556907415390E-002,4.384019225835800E-002,-7.350335121154785E-001,6.294040083885193E-001,
1.275666666666667E+009,1.082230955362320E-001,2.576495334506035E-002,-7.225615382194519E-001,6.380795240402222E-001,1.082230955362320E-001,2.576495334506035E-002,-7.225615382194519E-001,6.380795240402222E-001,
1.284033333333334E+009,1.098907813429833E-001,4.710643552243710E-003,-7.080084085464478E-001,6.794855594635010E-001,1.098907813429833E-001,4.710643552243710E-003,-7.080084085464478E-001,6.794855594635010E-001,
1.292400000000000E+009,9.959839284420013E-002,-1.460899505764246E-002,-6.959854960441589E-001,6.837978959083557E-001,9.959839284420013E-002,-1.460899505764246E-002,-6.959854960441589E-001,6.837978959083557E-001,
1.300766666666667E+009,8.000173419713974E-002,-2.384240552783012E-002,-6.738163232803345E-001,7.084072232246399E-001,8.000173419713974E-002,-2.384240552783012E-002,-6.738163232803345E-001,7.084072232246399E-001,
1.309133333333334E+009,5.938059464097023E-002,-2.323854155838490E-002,-6.502559185028076E-001,7.235084772109985E-001,5.938059464097023E-002,-2.323854155838490E-002,-6.502559185028076E-001,7.235084772109985E-001,
1.317500000000000E+009,4.455294460058212E-002,-1.192993018776178E-002,-6.374658346176148E-001,7.537360191345215E-001,4.455294460058212E-002,-1.192993018776178E-002,-6.374658346176148E-001,7.537360191345215E-001,
1.325866666666667E+009,3.947587683796883E-002,4.336140118539333E-003,-6.167587041854858E-001,7.692172527313232E-001,3.947587683796883E-002,4.336140118539333E-003,-6.167587041854858E-001,7.692172527313232E-001,
1.334233333333334E+009,4.697000235319138E-002,2.184381522238255E-002,-5.990926027297974E-001,7.763767838478088E-001,4.697000235319138E-002,2.184381522238255E-002,-5.990926027297974E-001,7.763767838478088E-001,
1.342600000000000E+009,6.172454357147217E-002,3.087749332189560E-002,-5.810264945030212E-001,7.933070659637451E-001,6.172454357147217E-002,3.087749332189560E-002,-5.810264945030212E-001,7.933070659637451E-001,
1.350966666666667E+009,8.106968551874161E-002,2.821543067693710E-002,-5.548898577690125E-001,8.055991530418396E-001,8.106968551874161E-002,2.821543067693710E-002,-5.548898577690125E-001,8.055991530418396E-001,
1.359333333333334E+009,9.540167450904846E-002,1.521812565624714E-002,-5.415897369384766E-001,8.050724267959595E-001,9.540167450904846E-002,1.521812565624714E-002,-5.415897369384766E-001,8.050724267959595E-001,
1.367700000000000E+009,1.008863672614098E-001,-4.196939989924431E-003,-5.086162686347961E-001,8.242620229721069E-001,1.008863672614098E-001,-4.196939989924431E-003,-5.086162686347961E-001,8.242620229721069E-001,
1.376066666666667E+009,9.672097116708756E-002,-2.617272362112999E-002,-4.939852654933929E-001,8.334237933158875E-001,9.672097116708756E-002,-2.617272362112999E-002,-4.939852654933929E-001,8.334237933158875E-001,
1.384433333333334E+009,7.967536896467209E-002,-4.155116155743599E-002,-4.793036580085754E-001,8.646531701087952E-001,7.967536896467209E-002,-4.155116155743599E-002,-4.793036580085754E-001,8.646531701087952E-001,
1.392800000000000E+009,5.891595408320427E-002,-4.436749964952469E-002,-4.582673907279968E-001,8.738496303558350E-001,5.891595408320427E-002,-4.436749964952469E-002,-4.582673907279968E-001,8.738496303558350E-001,
1.401166666666667E+009,3.822553157806397E-002,-3.768223151564598E-002,-4.308801889419556E-001,8.811897039413452E-001,3.822553157806397E-002,-3.768223151564598E-002,-4.308801889419556E-001,8.811897039413452E-001,
1.409533333333334E+009,2.419102378189564E-002,-2.064803242683411E-002,-4.014707505702972E-001,8.967410922050476E-001,2.419102378189564E-002,-2.064803242683411E-002,-4.014707505702972E-001,8.967410922050476E-001,
1.417900000000000E+009,2.469018101692200E-002,1.971869729459286E-003,-3.816235959529877E-001,8.937190175056458E-001,2.469018101692200E-002,1.971869729459286E-003,-3.816235959529877E-001,8.937190175056458E-001,
1.426266666666667E+009,3.495400771498680E-002,1.858806423842907E-002,-3.444111645221710E-001,9.192781448364258E-001,3.495400771498680E-002,1.858806423842907E-002,-3.444111645221710E-001,9.192781448364258E-001,
1.434633333333334E+009,5.489237606525421E-002,2.693220786750317E-002,-3.343270719051361E-001,9.139183759689331E-001,5.489237606525421E-002,2.693220786750317E-002,-3.343270719051361E-001,9.139183759689331E-001,
1.443000000000000E+009,7.488263398408890E-002,2.443761564791203E-002,-3.106122314929962E-001,9.212963581085205E-001,7.488263398408890E-002,2.443761564791203E-002,-3.106122314929962E-001,9.212963581085205E-001,
1.451366666666667E+009,9.038529545068741E-002,9.270584210753441E-003,-2.843225598335266E-001,9.221814870834351E-001,9.038529545068741E-002,9.270584210753441E-003,-2.843225598335266E-001,9.221814870834351E-001,
1.459733333333334E+009,9.648182243108749E-002,-1.051879487931728E-002,-2.589907944202423E-001,9.491051435470581E-001,9.648182243108749E-002,-1.051879487931728E-002,-2.589907944202423E-001,9.491051435470581E-001,
1.468100000000000E+009,9.298834949731827E-002,-3.228274360299110E-002,-2.426677346229553E-001,9.487141966819763E-001,9.298834949731827E-002,-3.228274360299110E-002,-2.426677346229553E-001,9.487141966819763E-001,
1.476466666666667E+009,7.324260473251343E-002,-4.694268852472305E-002,-2.137254774570465E-001,9.541761279106140E-001,7.324260473251343E-002,-4.694268852472305E-002,-2.137254774570465E-001,9.541761279106140E-001,
1.484833333333334E+009,5.190869793295860E-002,-4.817584902048111E-002,-1.885285377502441E-001,9.626780152320862E-001,5.190869793295860E-002,-4.817584902048111E-002,-1.885285377502441E-001,9.626780152320862E-001,
1.493200000000000E+009,3.230183944106102E-002,-4.047242179512978E-002,-1.697393953800201E-001,9.655032157897949E-001,3.230183944106102E-002,-4.047242179512978E-002,-1.697393953800201E-001,9.655032157897949E-001,
1.501566666666667E+009,2.369707636535168E-002,-2.151522971689701E-002,-1.412047743797302E-001,9.748588204383850E-001,2.369707636535168E-002,-2.151522971689701E-002,-1.412047743797302E-001,9.748588204383850E-001,
1.509933333333334E+009,2.418310381472111E-002,-1.342677162028849E-003,-1.104768589138985E-001,9.787825345993042E-001,2.418310381472111E-002,-1.342677162028849E-003,-1.104768589138985E-001,9.787825345993042E-001,
