% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.241384938359261E-002,9.090661071240902E-003,-4.800288379192352E-001,-8.351894021034241E-001,-4.241384938359261E-002,9.090661071240902E-003,-4.800288379192352E-001,-8.351894021034241E-001,
6.983666666666666E+008,-3.496539220213890E-002,1.032041106373072E-002,-5.061079859733582E-001,-8.261273503303528E-001,-3.496539220213890E-002,1.032041106373072E-002,-5.061079859733582E-001,-8.261273503303528E-001,
7.067333333333334E+008,-2.938212454319000E-002,6.341408006846905E-003,-5.287196040153503E-001,-8.011817336082459E-001,-2.938212454319000E-002,6.341408006846905E-003,-5.287196040153503E-001,-8.011817336082459E-001,
7.151000000000000E+008,-2.972996421158314E-002,-9.170185658149421E-004,-5.639082789421082E-001,-7.994499802589417E-001,-2.972996421158314E-002,-9.170185658149421E-004,-5.639082789421082E-001,-7.994499802589417E-001,
7.234666666666666E+008,-3.157188370823860E-002,-6.042438559234142E-003,-5.759872198104858E-001,-7.841011285781860E-001,-3.157188370823860E-002,-6.042438559234142E-003,-5.759872198104858E-001,-7.841011285781860E-001,
7.318333333333334E+008,-3.891234472393990E-002,-8.015722036361694E-003,-5.936146974563599E-001,-7.669477462768555E-001,-3.891234472393990E-002,-8.015722036361694E-003,-5.936146974563599E-001,-7.669477462768555E-001,
7.402000000000000E+008,-4.529318585991859E-002,-6.250082980841398E-003,-6.044518351554871E-001,-7.432218790054321E-001,-4.529318585991859E-002,-6.250082980841398E-003,-6.044518351554871E-001,-7.432218790054321E-001,
7.485666666666666E+008,-5.073967203497887E-002,3.246645210310817E-004,-6.333496570587158E-001,-7.308062314987183E-001,-5.073967203497887E-002,3.246645210310817E-004,-6.333496570587158E-001,-7.308062314987183E-001,
7.569333333333334E+008,-5.505473166704178E-002,9.574349969625473E-003,-6.517940163612366E-001,-7.186803817749023E-001,-5.505473166704178E-002,9.574349969625473E-003,-6.517940163612366E-001,-7.186803817749023E-001,
7.653000000000000E+008,-5.044502392411232E-002,1.829058118164539E-002,-6.588785052299500E-001,-7.004821300506592E-001,-5.044502392411232E-002,1.829058118164539E-002,-6.588785052299500E-001,-7.004821300506592E-001,
7.736666666666666E+008,-4.494649544358254E-002,2.487219125032425E-002,-6.718444824218750E-001,-6.962174773216248E-001,-4.494649544358254E-002,2.487219125032425E-002,-6.718444824218750E-001,-6.962174773216248E-001,
7.820333333333334E+008,-3.734061121940613E-002,2.897093631327152E-002,-7.045952677726746E-001,-6.695255041122437E-001,-3.734061121940613E-002,2.897093631327152E-002,-7.045952677726746E-001,-6.695255041122437E-001,
7.904000000000000E+008,-2.839290536940098E-002,2.806413732469082E-002,-7.137667536735535E-001,-6.517792940139771E-001,-2.839290536940098E-002,2.806413732469082E-002,-7.137667536735535E-001,-6.517792940139771E-001,
7.987666666666666E+008,-2.523046731948853E-002,2.319769375026226E-002,-7.193131446838379E-001,-6.370021104812622E-001,-2.523046731948853E-002,2.319769375026226E-002,-7.193131446838379E-001,-6.370021104812622E-001,
