% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.763654619455338E-002,3.895414993166924E-002,-5.033208727836609E-001,-8.520034551620483E-001,-4.763654619455338E-002,3.895414993166924E-002,-5.033208727836609E-001,-8.520034551620483E-001,
6.983666666666666E+008,-3.942505642771721E-002,3.913478925824165E-002,-5.291024446487427E-001,-8.390951752662659E-001,-3.942505642771721E-002,3.913478925824165E-002,-5.291024446487427E-001,-8.390951752662659E-001,
7.067333333333334E+008,-3.364687412977219E-002,3.480979427695274E-002,-5.518950819969177E-001,-8.153544068336487E-001,-3.364687412977219E-002,3.480979427695274E-002,-5.518950819969177E-001,-8.153544068336487E-001,
7.151000000000000E+008,-3.339111804962158E-002,2.701902389526367E-002,-5.873267054557800E-001,-8.125246167182922E-001,-3.339111804962158E-002,2.701902389526367E-002,-5.873267054557800E-001,-8.125246167182922E-001,
7.234666666666666E+008,-3.534052520990372E-002,2.181018516421318E-002,-6.000816226005554E-001,-7.975674271583557E-001,-3.534052520990372E-002,2.181018516421318E-002,-6.000816226005554E-001,-7.975674271583557E-001,
7.318333333333334E+008,-4.267066717147827E-002,1.956886798143387E-002,-6.183509826660156E-001,-7.789017558097839E-001,-4.267066717147827E-002,1.956886798143387E-002,-6.183509826660156E-001,-7.789017558097839E-001,
7.402000000000000E+008,-4.890020191669464E-002,2.182815410196781E-002,-6.283137202262878E-001,-7.546141147613525E-001,-4.890020191669464E-002,2.182815410196781E-002,-6.283137202262878E-001,-7.546141147613525E-001,
7.485666666666666E+008,-5.413792282342911E-002,2.907949313521385E-002,-6.584041714668274E-001,-7.415199279785156E-001,-5.413792282342911E-002,2.907949313521385E-002,-6.584041714668274E-001,-7.415199279785156E-001,
7.569333333333334E+008,-5.772537365555763E-002,3.878812491893768E-002,-6.749347448348999E-001,-7.290007472038269E-001,-5.772537365555763E-002,3.878812491893768E-002,-6.749347448348999E-001,-7.290007472038269E-001,
7.653000000000000E+008,-5.222142860293388E-002,4.764176532626152E-002,-6.832965016365051E-001,-7.082209587097168E-001,-5.222142860293388E-002,4.764176532626152E-002,-6.832965016365051E-001,-7.082209587097168E-001,
7.736666666666666E+008,-4.594055190682411E-002,5.425909906625748E-002,-6.988027095794678E-001,-7.043757438659668E-001,-4.594055190682411E-002,5.425909906625748E-002,-6.988027095794678E-001,-7.043757438659668E-001,
7.820333333333334E+008,-3.709240630269051E-002,5.827627703547478E-002,-7.310528159141541E-001,-6.762461066246033E-001,-3.709240630269051E-002,5.827627703547478E-002,-7.310528159141541E-001,-6.762461066246033E-001,
7.904000000000000E+008,-2.707904204726219E-002,5.703593045473099E-002,-7.396431565284729E-001,-6.564034819602966E-001,-2.707904204726219E-002,5.703593045473099E-002,-7.396431565284729E-001,-6.564034819602966E-001,
7.987666666666666E+008,-2.279728837311268E-002,5.172362551093102E-002,-7.456582188606262E-001,-6.429476141929627E-001,-2.279728837311268E-002,5.172362551093102E-002,-7.456582188606262E-001,-6.429476141929627E-001,
8.071333333333334E+008,-2.081655524671078E-002,4.522072151303291E-002,-7.713875174522400E-001,-6.080494523048401E-001,-2.081655524671078E-002,4.522072151303291E-002,-7.713875174522400E-001,-6.080494523048401E-001,
8.155000000000000E+008,-2.377470582723618E-002,3.802929446101189E-002,-7.978354096412659E-001,-5.991386771202087E-001,-2.377470582723618E-002,3.802929446101189E-002,-7.978354096412659E-001,-5.991386771202087E-001,
8.238666666666666E+008,-3.071758337318897E-002,3.624662011861801E-002,-8.042527437210083E-001,-5.761229991912842E-001,-3.071758337318897E-002,3.624662011861801E-002,-8.042527437210083E-001,-5.761229991912842E-001,
8.322333333333334E+008,-3.608534112572670E-002,3.768824413418770E-002,-8.135936856269836E-001,-5.574390292167664E-001,-3.608534112572670E-002,3.768824413418770E-002,-8.135936856269836E-001,-5.574390292167664E-001,
8.406000000000000E+008,-4.072147607803345E-002,4.099171981215477E-002,-8.252893686294556E-001,-5.351848602294922E-001,-4.072147607803345E-002,4.099171981215477E-002,-8.252893686294556E-001,-5.351848602294922E-001,
8.489666666666668E+008,-4.203741252422333E-002,5.236651003360748E-002,-8.367605209350586E-001,-5.052387118339539E-001,-4.203741252422333E-002,5.236651003360748E-002,-8.367605209350586E-001,-5.052387118339539E-001,
8.573333333333334E+008,-3.974829614162445E-002,6.006736308336258E-002,-8.407256603240967E-001,-4.753642976284027E-001,-3.974829614162445E-002,6.006736308336258E-002,-8.407256603240967E-001,-4.753642976284027E-001,
8.657000000000000E+008,-3.453798219561577E-002,6.769281625747681E-002,-8.684765696525574E-001,-4.791958630084992E-001,-3.453798219561577E-002,6.769281625747681E-002,-8.684765696525574E-001,-4.791958630084992E-001,
8.740666666666668E+008,-2.536973170936108E-002,7.260450720787048E-002,-8.732603192329407E-001,-4.540629684925079E-001,-2.536973170936108E-002,7.260450720787048E-002,-8.732603192329407E-001,-4.540629684925079E-001,
8.824333333333334E+008,-1.721525005996227E-002,7.403185963630676E-002,-8.919998407363892E-001,-4.301708340644836E-001,-1.721525005996227E-002,7.403185963630676E-002,-8.919998407363892E-001,-4.301708340644836E-001,
8.908000000000000E+008,-9.277390316128731E-003,7.040209323167801E-002,-9.055373668670654E-001,-4.127195775508881E-001,-9.277390316128731E-003,7.040209323167801E-002,-9.055373668670654E-001,-4.127195775508881E-001,
8.991666666666668E+008,-3.830635221675038E-003,6.445773690938950E-002,-9.063527584075928E-001,-3.863697350025177E-001,-3.830635221675038E-003,6.445773690938950E-002,-9.063527584075928E-001,-3.863697350025177E-001,
9.075333333333334E+008,-3.446954302489758E-003,5.692862719297409E-002,-9.189304113388062E-001,-3.594174385070801E-001,-3.446954302489758E-003,5.692862719297409E-002,-9.189304113388062E-001,-3.594174385070801E-001,
9.159000000000000E+008,-6.307566072791815E-003,5.113858357071877E-002,-9.404223561286926E-001,-3.343699872493744E-001,-6.307566072791815E-003,5.113858357071877E-002,-9.404223561286926E-001,-3.343699872493744E-001,
9.242666666666668E+008,-1.299679186195135E-002,5.122917145490646E-002,-9.320779442787170E-001,-3.119668960571289E-001,-1.299679186195135E-002,5.122917145490646E-002,-9.320779442787170E-001,-3.119668960571289E-001,
9.326333333333334E+008,-1.762131601572037E-002,5.348920077085495E-002,-9.480819702148438E-001,-2.973006367683411E-001,-1.762131601572037E-002,5.348920077085495E-002,-9.480819702148438E-001,-2.973006367683411E-001,
9.410000000000000E+008,-2.147652581334114E-002,5.776266008615494E-002,-9.583332538604736E-001,-2.625195682048798E-001,-2.147652581334114E-002,5.776266008615494E-002,-9.583332538604736E-001,-2.625195682048798E-001,
9.493666666666668E+008,-2.285237051546574E-002,6.700629740953445E-002,-9.638853073120117E-001,-2.317425459623337E-001,-2.285237051546574E-002,6.700629740953445E-002,-9.638853073120117E-001,-2.317425459623337E-001,
9.577333333333334E+008,-1.891735568642616E-002,7.685149461030960E-002,-9.688897728919983E-001,-2.172548025846481E-001,-1.891735568642616E-002,7.685149461030960E-002,-9.688897728919983E-001,-2.172548025846481E-001,
