% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.922533035278320E-002,4.212548956274986E-002,-5.110857486724854E-001,-8.549256324768066E-001,-4.922533035278320E-002,4.212548956274986E-002,-5.110857486724854E-001,-8.549256324768066E-001,
6.983666666666666E+008,-4.126490652561188E-002,4.172563180327416E-002,-5.319920182228088E-001,-8.355338573455811E-001,-4.126490652561188E-002,4.172563180327416E-002,-5.319920182228088E-001,-8.355338573455811E-001,
7.067333333333334E+008,-3.562553599476814E-002,3.724811598658562E-002,-5.555273294448853E-001,-8.104755878448486E-001,-3.562553599476814E-002,3.724811598658562E-002,-5.555273294448853E-001,-8.104755878448486E-001,
7.151000000000000E+008,-3.511827811598778E-002,2.976269647479057E-002,-5.958496332168579E-001,-8.094106912612915E-001,-3.511827811598778E-002,2.976269647479057E-002,-5.958496332168579E-001,-8.094106912612915E-001,
7.234666666666666E+008,-3.693883121013641E-002,2.445518970489502E-002,-6.030308008193970E-001,-7.874184846878052E-001,-3.693883121013641E-002,2.445518970489502E-002,-6.030308008193970E-001,-7.874184846878052E-001,
7.318333333333334E+008,-4.458725079894066E-002,2.223494276404381E-002,-6.198438405990601E-001,-7.721481323242188E-001,-4.458725079894066E-002,2.223494276404381E-002,-6.198438405990601E-001,-7.721481323242188E-001,
7.402000000000000E+008,-5.018689110875130E-002,2.470525912940502E-002,-6.360920071601868E-001,-7.475193738937378E-001,-5.018689110875130E-002,2.470525912940502E-002,-6.360920071601868E-001,-7.475193738937378E-001,
7.485666666666666E+008,-5.599873512983322E-002,3.155552595853806E-002,-6.656414866447449E-001,-7.349142432212830E-001,-5.599873512983322E-002,3.155552595853806E-002,-6.656414866447449E-001,-7.349142432212830E-001,
7.569333333333334E+008,-5.930880829691887E-002,4.130605235695839E-002,-6.794274449348450E-001,-7.233515977859497E-001,-5.930880829691887E-002,4.130605235695839E-002,-6.794274449348450E-001,-7.233515977859497E-001,
7.653000000000000E+008,-5.362020805478096E-002,5.080847442150116E-002,-6.884671449661255E-001,-7.000721096992493E-001,-5.362020805478096E-002,5.080847442150116E-002,-6.884671449661255E-001,-7.000721096992493E-001,
7.736666666666666E+008,-4.710226505994797E-002,5.740733072161675E-002,-6.998432874679565E-001,-6.953921318054199E-001,-4.710226505994797E-002,5.740733072161675E-002,-6.998432874679565E-001,-6.953921318054199E-001,
7.820333333333334E+008,-3.831651434302330E-002,6.096749007701874E-002,-7.353985905647278E-001,-6.694853901863098E-001,-3.831651434302330E-002,6.096749007701874E-002,-7.353985905647278E-001,-6.694853901863098E-001,
7.904000000000000E+008,-2.807889506220818E-002,6.018757447600365E-002,-7.444749474525452E-001,-6.521117687225342E-001,-2.807889506220818E-002,6.018757447600365E-002,-7.444749474525452E-001,-6.521117687225342E-001,
7.987666666666666E+008,-2.387071028351784E-002,5.519846081733704E-002,-7.514476180076599E-001,-6.361339688301086E-001,-2.387071028351784E-002,5.519846081733704E-002,-7.514476180076599E-001,-6.361339688301086E-001,
8.071333333333334E+008,-2.195791341364384E-002,4.863501712679863E-002,-7.744814753532410E-001,-6.015765070915222E-001,-2.195791341364384E-002,4.863501712679863E-002,-7.744814753532410E-001,-6.015765070915222E-001,
8.155000000000000E+008,-2.523582614958286E-002,4.165785387158394E-002,-8.028158545494080E-001,-5.907429456710815E-001,-2.523582614958286E-002,4.165785387158394E-002,-8.028158545494080E-001,-5.907429456710815E-001,
8.238666666666666E+008,-3.186261653900147E-002,3.995608910918236E-002,-8.058105111122131E-001,-5.676398277282715E-001,-3.186261653900147E-002,3.995608910918236E-002,-8.058105111122131E-001,-5.676398277282715E-001,
