% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.045535057783127E-001,5.042014643549919E-003,-4.567698538303375E-001,-8.709179162979126E-001,-1.045535057783127E-001,5.042014643549919E-003,-4.567698538303375E-001,-8.709179162979126E-001,
6.983666666666666E+008,-9.574788063764572E-002,7.822573184967041E-003,-4.890953302383423E-001,-8.602442741394043E-001,-9.574788063764572E-002,7.822573184967041E-003,-4.890953302383423E-001,-8.602442741394043E-001,
7.067333333333334E+008,-8.980136364698410E-002,4.761079326272011E-003,-5.117607712745667E-001,-8.338496685028076E-001,-8.980136364698410E-002,4.761079326272011E-003,-5.117607712745667E-001,-8.338496685028076E-001,
7.151000000000000E+008,-8.911217004060745E-002,-3.201231011189520E-004,-5.485013127326965E-001,-8.319726586341858E-001,-8.911217004060745E-002,-3.201231011189520E-004,-5.485013127326965E-001,-8.319726586341858E-001,
7.234666666666666E+008,-9.056787192821503E-002,-4.973780363798142E-003,-5.634133219718933E-001,-8.174180984497070E-001,-9.056787192821503E-002,-4.973780363798142E-003,-5.634133219718933E-001,-8.174180984497070E-001,
7.318333333333334E+008,-9.718772023916245E-002,-6.219561677426100E-003,-5.809310078620911E-001,-8.006290793418884E-001,-9.718772023916245E-002,-6.219561677426100E-003,-5.809310078620911E-001,-8.006290793418884E-001,
7.402000000000000E+008,-1.030540838837624E-001,-3.210494760423899E-003,-5.941994190216065E-001,-7.759347558021545E-001,-1.030540838837624E-001,-3.210494760423899E-003,-5.941994190216065E-001,-7.759347558021545E-001,
7.485666666666666E+008,-1.087786108255386E-001,4.329929593950510E-003,-6.248685717582703E-001,-7.636234760284424E-001,-1.087786108255386E-001,4.329929593950510E-003,-6.248685717582703E-001,-7.636234760284424E-001,
7.569333333333334E+008,-1.129384785890579E-001,1.519293431192637E-002,-6.445265412330627E-001,-7.512530088424683E-001,-1.129384785890579E-001,1.519293431192637E-002,-6.445265412330627E-001,-7.512530088424683E-001,
7.653000000000000E+008,-1.074207052588463E-001,2.525206655263901E-002,-6.541227698326111E-001,-7.326618432998657E-001,-1.074207052588463E-001,2.525206655263901E-002,-6.541227698326111E-001,-7.326618432998657E-001,
7.736666666666666E+008,-1.013183817267418E-001,3.322277218103409E-002,-6.672670245170593E-001,-7.289311289787293E-001,-1.013183817267418E-001,3.322277218103409E-002,-6.672670245170593E-001,-7.289311289787293E-001,
7.820333333333334E+008,-9.244091063737869E-002,3.922076895833015E-002,-7.018206119537354E-001,-7.017821073532105E-001,-9.244091063737869E-002,3.922076895833015E-002,-7.018206119537354E-001,-7.017821073532105E-001,
7.904000000000000E+008,-8.208319544792175E-002,3.992299363017082E-002,-7.116799950599670E-001,-6.851073503494263E-001,-8.208319544792175E-002,3.992299363017082E-002,-7.116799950599670E-001,-6.851073503494263E-001,
7.987666666666666E+008,-7.759746909141541E-002,3.720263764262199E-002,-7.196561098098755E-001,-6.664059162139893E-001,-7.759746909141541E-002,3.720263764262199E-002,-7.196561098098755E-001,-6.664059162139893E-001,
8.071333333333334E+008,-7.522816210985184E-002,3.148619830608368E-002,-7.471185922622681E-001,-6.357873678207398E-001,-7.522816210985184E-002,3.148619830608368E-002,-7.471185922622681E-001,-6.357873678207398E-001,
8.155000000000000E+008,-7.672391831874847E-002,2.604225836694241E-002,-7.745863199234009E-001,-6.235574483871460E-001,-7.672391831874847E-002,2.604225836694241E-002,-7.745863199234009E-001,-6.235574483871460E-001,
8.238666666666666E+008,-8.251079916954041E-002,2.481996826827526E-002,-7.798431515693665E-001,-6.011753082275391E-001,-8.251079916954041E-002,2.481996826827526E-002,-7.798431515693665E-001,-6.011753082275391E-001,
8.322333333333334E+008,-8.774336427450180E-002,2.700257115066052E-002,-7.933050394058228E-001,-5.793105959892273E-001,-8.774336427450180E-002,2.700257115066052E-002,-7.933050394058228E-001,-5.793105959892273E-001,
8.406000000000000E+008,-9.241151809692383E-002,3.069456107914448E-002,-8.038278222084045E-001,-5.624995827674866E-001,-9.241151809692383E-002,3.069456107914448E-002,-8.038278222084045E-001,-5.624995827674866E-001,
8.489666666666668E+008,-9.420275688171387E-002,4.285869374871254E-002,-8.180966377258301E-001,-5.308167934417725E-001,-9.420275688171387E-002,4.285869374871254E-002,-8.180966377258301E-001,-5.308167934417725E-001,
8.573333333333334E+008,-9.186019003391266E-002,5.168373510241509E-002,-8.212303519248962E-001,-5.005523562431335E-001,-9.186019003391266E-002,5.168373510241509E-002,-8.212303519248962E-001,-5.005523562431335E-001,
8.657000000000000E+008,-8.593837171792984E-002,6.028090789914131E-002,-8.508154749870300E-001,-5.011518001556397E-001,-8.593837171792984E-002,6.028090789914131E-002,-8.508154749870300E-001,-5.011518001556397E-001,
8.740666666666668E+008,-7.683429121971130E-002,6.720367819070816E-002,-8.574056625366211E-001,-4.793999195098877E-001,-7.683429121971130E-002,6.720367819070816E-002,-8.574056625366211E-001,-4.793999195098877E-001,
8.824333333333334E+008,-6.819105893373489E-002,6.977301090955734E-002,-8.758336901664734E-001,-4.556998014450073E-001,-6.819105893373489E-002,6.977301090955734E-002,-8.758336901664734E-001,-4.556998014450073E-001,
8.908000000000000E+008,-5.942300334572792E-002,6.790870428085327E-002,-8.901017308235169E-001,-4.380051493644714E-001,-5.942300334572792E-002,6.790870428085327E-002,-8.901017308235169E-001,-4.380051493644714E-001,
8.991666666666668E+008,-5.243761464953423E-002,6.383293867111206E-002,-8.923863768577576E-001,-4.089894890785217E-001,-5.243761464953423E-002,6.383293867111206E-002,-8.923863768577576E-001,-4.089894890785217E-001,
9.075333333333334E+008,-5.153165757656097E-002,5.778660997748375E-002,-9.061844944953919E-001,-3.850354850292206E-001,-5.153165757656097E-002,5.778660997748375E-002,-9.061844944953919E-001,-3.850354850292206E-001,
9.159000000000000E+008,-5.353075265884399E-002,5.213149636983872E-002,-9.296698570251465E-001,-3.594205379486084E-001,-5.353075265884399E-002,5.213149636983872E-002,-9.296698570251465E-001,-3.594205379486084E-001,
9.242666666666668E+008,-5.945108830928803E-002,5.283495783805847E-002,-9.223485589027405E-001,-3.355490565299988E-001,-5.945108830928803E-002,5.283495783805847E-002,-9.223485589027405E-001,-3.355490565299988E-001,
9.326333333333334E+008,-6.388515233993530E-002,5.526759475469589E-002,-9.361642599105835E-001,-3.225909173488617E-001,-6.388515233993530E-002,5.526759475469589E-002,-9.361642599105835E-001,-3.225909173488617E-001,
9.410000000000000E+008,-6.768538802862167E-002,6.014551967382431E-002,-9.489173293113709E-001,-2.868594527244568E-001,-6.768538802862167E-002,6.014551967382431E-002,-9.489173293113709E-001,-2.868594527244568E-001,
9.493666666666668E+008,-6.856817752122879E-002,7.022675871849060E-002,-9.542860388755798E-001,-2.556529343128204E-001,-6.856817752122879E-002,7.022675871849060E-002,-9.542860388755798E-001,-2.556529343128204E-001,
9.577333333333334E+008,-6.527210772037506E-002,8.095407485961914E-002,-9.611126184463501E-001,-2.430775612592697E-001,-6.527210772037506E-002,8.095407485961914E-002,-9.611126184463501E-001,-2.430775612592697E-001,
9.661000000000000E+008,-5.613954737782478E-002,8.844973146915436E-002,-9.642323851585388E-001,-2.010521143674851E-001,-5.613954737782478E-002,8.844973146915436E-002,-9.642323851585388E-001,-2.010521143674851E-001,
9.744666666666668E+008,-4.438599571585655E-002,9.002052992582321E-002,-9.588471651077271E-001,-1.893157660961151E-001,-4.438599571585655E-002,9.002052992582321E-002,-9.588471651077271E-001,-1.893157660961151E-001,
9.828333333333334E+008,-3.427879512310028E-002,9.202887862920761E-002,-9.792293310165405E-001,-1.686360836029053E-001,-3.427879512310028E-002,9.202887862920761E-002,-9.792293310165405E-001,-1.686360836029053E-001,
9.912000000000000E+008,-2.233051881194115E-002,8.675828576087952E-002,-9.750210046768189E-001,-1.461548358201981E-001,-2.233051881194115E-002,8.675828576087952E-002,-9.750210046768189E-001,-1.461548358201981E-001,
