% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.128151118755341E-001,2.076223641633987E-001,-5.750048160552979E-001,-6.787329912185669E-001,-1.128151118755341E-001,2.076223641633987E-001,-5.750048160552979E-001,-6.787329912185669E-001,
6.983666666666666E+008,-1.015950664877892E-001,2.085395902395248E-001,-6.008761525154114E-001,-6.642291545867920E-001,-1.015950664877892E-001,2.085395902395248E-001,-6.008761525154114E-001,-6.642291545867920E-001,
7.067333333333334E+008,-9.780195355415344E-002,2.070305347442627E-001,-6.137847304344177E-001,-6.385035514831543E-001,-9.780195355415344E-002,2.070305347442627E-001,-6.137847304344177E-001,-6.385035514831543E-001,
7.151000000000000E+008,-9.167142957448959E-002,2.040215581655502E-001,-6.509070992469788E-001,-6.317384839057922E-001,-9.167142957448959E-002,2.040215581655502E-001,-6.509070992469788E-001,-6.317384839057922E-001,
7.234666666666666E+008,-9.098871797323227E-002,2.045410871505737E-001,-6.601615548133850E-001,-6.148325800895691E-001,-9.098871797323227E-002,2.045410871505737E-001,-6.601615548133850E-001,-6.148325800895691E-001,
7.318333333333334E+008,-9.157680720090866E-002,2.054090201854706E-001,-6.670660376548767E-001,-5.841388702392578E-001,-9.157680720090866E-002,2.054090201854706E-001,-6.670660376548767E-001,-5.841388702392578E-001,
7.402000000000000E+008,-9.034870564937592E-002,2.124771773815155E-001,-6.744175553321838E-001,-5.633254051208496E-001,-9.034870564937592E-002,2.124771773815155E-001,-6.744175553321838E-001,-5.633254051208496E-001,
7.485666666666666E+008,-8.724246919155121E-002,2.233253568410873E-001,-6.980675458908081E-001,-5.452073216438294E-001,-8.724246919155121E-002,2.233253568410873E-001,-6.980675458908081E-001,-5.452073216438294E-001,
7.569333333333334E+008,-8.416256308555603E-002,2.358433455228806E-001,-7.136880159378052E-001,-5.298249721527100E-001,-8.416256308555603E-002,2.358433455228806E-001,-7.136880159378052E-001,-5.298249721527100E-001,
7.653000000000000E+008,-7.277496159076691E-002,2.438228726387024E-001,-7.138437628746033E-001,-5.093550086021423E-001,-7.277496159076691E-002,2.438228726387024E-001,-7.138437628746033E-001,-5.093550086021423E-001,
7.736666666666666E+008,-6.264720857143402E-002,2.502659261226654E-001,-7.254659533500671E-001,-5.062448382377625E-001,-6.264720857143402E-002,2.502659261226654E-001,-7.254659533500671E-001,-5.062448382377625E-001,
7.820333333333334E+008,-5.152368173003197E-002,2.536603212356567E-001,-7.525182962417603E-001,-4.759741425514221E-001,-5.152368173003197E-002,2.536603212356567E-001,-7.525182962417603E-001,-4.759741425514221E-001,
7.904000000000000E+008,-3.969576954841614E-002,2.517739832401276E-001,-7.555170059204102E-001,-4.583464264869690E-001,-3.969576954841614E-002,2.517739832401276E-001,-7.555170059204102E-001,-4.583464264869690E-001,
7.987666666666666E+008,-3.004316985607147E-002,2.499850243330002E-001,-7.618423700332642E-001,-4.425167441368103E-001,-3.004316985607147E-002,2.499850243330002E-001,-7.618423700332642E-001,-4.425167441368103E-001,
8.071333333333334E+008,-2.774100005626679E-002,2.483555078506470E-001,-7.778504490852356E-001,-4.033304750919342E-001,-2.774100005626679E-002,2.483555078506470E-001,-7.778504490852356E-001,-4.033304750919342E-001,
8.155000000000000E+008,-2.392853237688541E-002,2.409939169883728E-001,-7.995643019676209E-001,-3.883722722530365E-001,-2.392853237688541E-002,2.409939169883728E-001,-7.995643019676209E-001,-3.883722722530365E-001,
8.238666666666666E+008,-2.493278868496418E-002,2.435221672058106E-001,-7.984270453453064E-001,-3.648105859756470E-001,-2.493278868496418E-002,2.435221672058106E-001,-7.984270453453064E-001,-3.648105859756470E-001,
8.322333333333334E+008,-1.932682096958160E-002,2.470196634531021E-001,-8.043558597564697E-001,-3.423736691474915E-001,-1.932682096958160E-002,2.470196634531021E-001,-8.043558597564697E-001,-3.423736691474915E-001,
8.406000000000000E+008,-1.654798723757267E-002,2.509037554264069E-001,-8.117567896842957E-001,-3.182723820209503E-001,-1.654798723757267E-002,2.509037554264069E-001,-8.117567896842957E-001,-3.182723820209503E-001,
8.489666666666668E+008,-9.604391641914845E-003,2.648437619209290E-001,-8.156495690345764E-001,-2.932928204536438E-001,-9.604391641914845E-003,2.648437619209290E-001,-8.156495690345764E-001,-2.932928204536438E-001,
8.573333333333334E+008,9.471343364566565E-004,2.715096473693848E-001,-8.111892342567444E-001,-2.660274505615234E-001,9.471343364566565E-004,2.715096473693848E-001,-8.111892342567444E-001,-2.660274505615234E-001,
8.657000000000000E+008,1.157142873853445E-002,2.752312719821930E-001,-8.334991931915283E-001,-2.693852484226227E-001,1.157142873853445E-002,2.752312719821930E-001,-8.334991931915283E-001,-2.693852484226227E-001,
8.740666666666668E+008,2.747892588376999E-002,2.793202698230743E-001,-8.377289175987244E-001,-2.451246231794357E-001,2.747892588376999E-002,2.793202698230743E-001,-8.377289175987244E-001,-2.451246231794357E-001,
8.824333333333334E+008,3.660501912236214E-002,2.806170284748077E-001,-8.476289510726929E-001,-2.207350581884384E-001,3.660501912236214E-002,2.806170284748077E-001,-8.476289510726929E-001,-2.207350581884384E-001,
