% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.031782597303391E-002,2.994051203131676E-002,-4.950397610664368E-001,-8.487711548805237E-001,-4.031782597303391E-002,2.994051203131676E-002,-4.950397610664368E-001,-8.487711548805237E-001,
6.983666666666666E+008,-3.276508674025536E-002,3.015909157693386E-002,-5.199677944183350E-001,-8.359439969062805E-001,-3.276508674025536E-002,3.015909157693386E-002,-5.199677944183350E-001,-8.359439969062805E-001,
7.067333333333334E+008,-2.681743353605270E-002,2.574911713600159E-002,-5.432699918746948E-001,-8.111872673034668E-001,-2.681743353605270E-002,2.574911713600159E-002,-5.432699918746948E-001,-8.111872673034668E-001,
7.151000000000000E+008,-2.671813406050205E-002,1.796114258468151E-002,-5.778737068176270E-001,-8.113625049591065E-001,-2.671813406050205E-002,1.796114258468151E-002,-5.778737068176270E-001,-8.113625049591065E-001,
7.234666666666666E+008,-2.893973141908646E-002,1.286826748400927E-002,-5.931873917579651E-001,-7.935566306114197E-001,-2.893973141908646E-002,1.286826748400927E-002,-5.931873917579651E-001,-7.935566306114197E-001,
7.318333333333334E+008,-3.653303906321526E-002,1.028894633054733E-002,-6.078873872756958E-001,-7.767263650894165E-001,-3.653303906321526E-002,1.028894633054733E-002,-6.078873872756958E-001,-7.767263650894165E-001,
7.402000000000000E+008,-4.218009859323502E-002,1.182329747825861E-002,-6.192063093185425E-001,-7.516245245933533E-001,-4.218009859323502E-002,1.182329747825861E-002,-6.192063093185425E-001,-7.516245245933533E-001,
7.485666666666666E+008,-4.751906916499138E-002,1.858261413872242E-002,-6.491097807884216E-001,-7.403317093849182E-001,-4.751906916499138E-002,1.858261413872242E-002,-6.491097807884216E-001,-7.403317093849182E-001,
7.569333333333334E+008,-5.122217163443565E-002,2.789870463311672E-002,-6.646618247032166E-001,-7.256820797920227E-001,-5.122217163443565E-002,2.789870463311672E-002,-6.646618247032166E-001,-7.256820797920227E-001,
7.653000000000000E+008,-4.609156772494316E-002,3.640924021601677E-002,-6.725996136665344E-001,-7.066461443901062E-001,-4.609156772494316E-002,3.640924021601677E-002,-6.725996136665344E-001,-7.066461443901062E-001,
7.736666666666666E+008,-3.974675387144089E-002,4.280644655227661E-002,-6.881830692291260E-001,-7.047762274742127E-001,-3.974675387144089E-002,4.280644655227661E-002,-6.881830692291260E-001,-7.047762274742127E-001,
7.820333333333334E+008,-3.139652684330940E-002,4.655915126204491E-002,-7.209021449089050E-001,-6.758737564086914E-001,-3.139652684330940E-002,4.655915126204491E-002,-7.209021449089050E-001,-6.758737564086914E-001,
7.904000000000000E+008,-2.187919430434704E-002,4.574901983141899E-002,-7.303526401519775E-001,-6.590690016746521E-001,-2.187919430434704E-002,4.574901983141899E-002,-7.303526401519775E-001,-6.590690016746521E-001,
7.987666666666666E+008,-1.767181605100632E-002,4.031902179121971E-002,-7.360503673553467E-001,-6.380467414855957E-001,-1.767181605100632E-002,4.031902179121971E-002,-7.360503673553467E-001,-6.380467414855957E-001,
8.071333333333334E+008,-1.623951829969883E-002,3.413823992013931E-002,-7.615426778793335E-001,-6.117616295814514E-001,-1.623951829969883E-002,3.413823992013931E-002,-7.615426778793335E-001,-6.117616295814514E-001,
8.155000000000000E+008,-1.935022510588169E-002,2.696833573281765E-002,-7.875118851661682E-001,-5.995250344276428E-001,-1.935022510588169E-002,2.696833573281765E-002,-7.875118851661682E-001,-5.995250344276428E-001,
8.238666666666666E+008,-2.623622119426727E-002,2.516558021306992E-002,-7.936429977416992E-001,-5.742436051368713E-001,-2.623622119426727E-002,2.516558021306992E-002,-7.936429977416992E-001,-5.742436051368713E-001,
8.322333333333334E+008,-3.164604306221008E-002,2.598493359982967E-002,-8.034434318542481E-001,-5.586194992065430E-001,-3.164604306221008E-002,2.598493359982967E-002,-8.034434318542481E-001,-5.586194992065430E-001,
8.406000000000000E+008,-3.633704036474228E-002,2.906797453761101E-002,-8.161337375640869E-001,-5.356810688972473E-001,-3.633704036474228E-002,2.906797453761101E-002,-8.161337375640869E-001,-5.356810688972473E-001,
8.489666666666668E+008,-3.843871131539345E-002,3.943021595478058E-002,-8.271383643150330E-001,-5.066524147987366E-001,-3.843871131539345E-002,3.943021595478058E-002,-8.271383643150330E-001,-5.066524147987366E-001,
8.573333333333334E+008,-3.622649237513542E-002,4.694242775440216E-002,-8.307451605796814E-001,-4.782104492187500E-001,-3.622649237513542E-002,4.694242775440216E-002,-8.307451605796814E-001,-4.782104492187500E-001,
8.657000000000000E+008,-3.149401769042015E-002,5.448333173990250E-002,-8.578982949256897E-001,-4.790906608104706E-001,-3.149401769042015E-002,5.448333173990250E-002,-8.578982949256897E-001,-4.790906608104706E-001,
8.740666666666668E+008,-2.250338345766068E-002,5.946621671319008E-002,-8.627244234085083E-001,-4.577631652355194E-001,-2.250338345766068E-002,5.946621671319008E-002,-8.627244234085083E-001,-4.577631652355194E-001,
8.824333333333334E+008,-1.463326346129179E-002,6.078221648931503E-002,-8.812589049339294E-001,-4.324599206447601E-001,-1.463326346129179E-002,6.078221648931503E-002,-8.812589049339294E-001,-4.324599206447601E-001,
8.908000000000000E+008,-6.626378744840622E-003,5.763524025678635E-002,-8.956006169319153E-001,-4.163988232612610E-001,-6.626378744840622E-003,5.763524025678635E-002,-8.956006169319153E-001,-4.163988232612610E-001,
