% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.502563923597336E-002,3.554650768637657E-002,-4.989642500877380E-001,-8.530902862548828E-001,-4.502563923597336E-002,3.554650768637657E-002,-4.989642500877380E-001,-8.530902862548828E-001,
6.983666666666666E+008,-3.706943616271019E-002,3.588948026299477E-002,-5.242967605590820E-001,-8.424355983734131E-001,-3.706943616271019E-002,3.588948026299477E-002,-5.242967605590820E-001,-8.424355983734131E-001,
7.067333333333334E+008,-3.098375722765923E-002,3.140098229050636E-002,-5.472732186317444E-001,-8.167765140533447E-001,-3.098375722765923E-002,3.140098229050636E-002,-5.472732186317444E-001,-8.167765140533447E-001,
7.151000000000000E+008,-3.037968650460243E-002,2.383340895175934E-002,-5.821306705474854E-001,-8.149496316909790E-001,-3.037968650460243E-002,2.383340895175934E-002,-5.821306705474854E-001,-8.149496316909790E-001,
7.234666666666666E+008,-3.200018778443337E-002,1.877242140471935E-002,-5.954142808914185E-001,-7.997309565544128E-001,-3.200018778443337E-002,1.877242140471935E-002,-5.954142808914185E-001,-7.997309565544128E-001,
7.318333333333334E+008,-3.906763345003128E-002,1.656983792781830E-002,-6.126202940940857E-001,-7.824369072914124E-001,-3.906763345003128E-002,1.656983792781830E-002,-6.126202940940857E-001,-7.824369072914124E-001,
7.402000000000000E+008,-4.510754719376564E-002,1.853037998080254E-002,-6.235046982765198E-001,-7.573706507682800E-001,-4.510754719376564E-002,1.853037998080254E-002,-6.235046982765198E-001,-7.573706507682800E-001,
7.485666666666666E+008,-5.040502548217773E-002,2.545520663261414E-002,-6.535353660583496E-001,-7.446857690811157E-001,-5.040502548217773E-002,2.545520663261414E-002,-6.535353660583496E-001,-7.446857690811157E-001,
7.569333333333334E+008,-5.443136394023895E-002,3.504497930407524E-002,-6.719951033592224E-001,-7.312260270118713E-001,-5.443136394023895E-002,3.504497930407524E-002,-6.719951033592224E-001,-7.312260270118713E-001,
7.653000000000000E+008,-4.935479909181595E-002,4.370757564902306E-002,-6.795053482055664E-001,-7.119752168655396E-001,-4.935479909181595E-002,4.370757564902306E-002,-6.795053482055664E-001,-7.119752168655396E-001,
7.736666666666666E+008,-4.348929971456528E-002,5.005060136318207E-002,-6.923276782035828E-001,-7.085826992988586E-001,-4.348929971456528E-002,5.005060136318207E-002,-6.923276782035828E-001,-7.085826992988586E-001,
