% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.063438624143601E-002,2.953253127634525E-002,-4.949411749839783E-001,-8.557524681091309E-001,-4.063438624143601E-002,2.953253127634525E-002,-4.949411749839783E-001,-8.557524681091309E-001,
6.983666666666666E+008,-3.280487656593323E-002,2.974054217338562E-002,-5.197579860687256E-001,-8.459479808807373E-001,-3.280487656593323E-002,2.974054217338562E-002,-5.197579860687256E-001,-8.459479808807373E-001,
7.067333333333334E+008,-2.671235799789429E-002,2.498667500913143E-002,-5.426547527313232E-001,-8.204313516616821E-001,-2.671235799789429E-002,2.498667500913143E-002,-5.426547527313232E-001,-8.204313516616821E-001,
7.151000000000000E+008,-2.605231106281281E-002,1.712074689567089E-002,-5.773184299468994E-001,-8.189726471900940E-001,-2.605231106281281E-002,1.712074689567089E-002,-5.773184299468994E-001,-8.189726471900940E-001,
7.234666666666666E+008,-2.748539112508297E-002,1.165745127946138E-002,-5.903895497322083E-001,-8.040072917938232E-001,-2.748539112508297E-002,1.165745127946138E-002,-5.903895497322083E-001,-8.040072917938232E-001,
7.318333333333334E+008,-3.457690030336380E-002,9.287548251450062E-003,-6.084110736846924E-001,-7.866316437721252E-001,-3.457690030336380E-002,9.287548251450062E-003,-6.084110736846924E-001,-7.866316437721252E-001,
7.402000000000000E+008,-4.071832075715065E-002,1.095659937709570E-002,-6.190093159675598E-001,-7.621235847473145E-001,-4.071832075715065E-002,1.095659937709570E-002,-6.190093159675598E-001,-7.621235847473145E-001,
7.485666666666666E+008,-4.620121046900749E-002,1.765003427863121E-002,-6.491540670394898E-001,-7.495630383491516E-001,-4.620121046900749E-002,1.765003427863121E-002,-6.491540670394898E-001,-7.495630383491516E-001,
7.569333333333334E+008,-5.060985684394836E-002,2.711318992078304E-002,-6.677939891815186E-001,-7.365725636482239E-001,-5.060985684394836E-002,2.711318992078304E-002,-6.677939891815186E-001,-7.365725636482239E-001,
7.653000000000000E+008,-4.602703452110291E-002,3.583952039480209E-002,-6.752552390098572E-001,-7.167509198188782E-001,-4.602703452110291E-002,3.583952039480209E-002,-6.752552390098572E-001,-7.167509198188782E-001,
7.736666666666666E+008,-4.062487930059433E-002,4.223584011197090E-002,-6.880407333374023E-001,-7.130672931671143E-001,-4.062487930059433E-002,4.223584011197090E-002,-6.880407333374023E-001,-7.130672931671143E-001,
7.820333333333334E+008,-3.273953869938850E-002,4.602764546871185E-002,-7.218949198722839E-001,-6.855326294898987E-001,-3.273953869938850E-002,4.602764546871185E-002,-7.218949198722839E-001,-6.855326294898987E-001,
7.904000000000000E+008,-2.344253845512867E-002,4.466759413480759E-002,-7.311005592346191E-001,-6.669959425926209E-001,-2.344253845512867E-002,4.466759413480759E-002,-7.311005592346191E-001,-6.669959425926209E-001,
7.987666666666666E+008,-1.944379508495331E-002,3.910347074270248E-002,-7.377021908760071E-001,-6.511415839195252E-001,-1.944379508495331E-002,3.910347074270248E-002,-7.377021908760071E-001,-6.511415839195252E-001,
8.071333333333334E+008,-1.716035604476929E-002,3.218129649758339E-002,-7.635619640350342E-001,-6.203555464744568E-001,-1.716035604476929E-002,3.218129649758339E-002,-7.635619640350342E-001,-6.203555464744568E-001,
8.155000000000000E+008,-1.993087306618691E-002,2.496620640158653E-002,-7.901080250740051E-001,-6.091598868370056E-001,-1.993087306618691E-002,2.496620640158653E-002,-7.901080250740051E-001,-6.091598868370056E-001,
8.238666666666666E+008,-2.613157965242863E-002,2.260809391736984E-002,-7.963119149208069E-001,-5.856513381004334E-001,-2.613157965242863E-002,2.260809391736984E-002,-7.963119149208069E-001,-5.856513381004334E-001,
8.322333333333334E+008,-3.144986182451248E-002,2.352973259985447E-002,-8.062793612480164E-001,-5.678352117538452E-001,-3.144986182451248E-002,2.352973259985447E-002,-8.062793612480164E-001,-5.678352117538452E-001,
8.406000000000000E+008,-3.620661795139313E-002,2.655966021120548E-002,-8.182861804962158E-001,-5.461214780807495E-001,-3.620661795139313E-002,2.655966021120548E-002,-8.182861804962158E-001,-5.461214780807495E-001,
8.489666666666668E+008,-3.827643766999245E-002,3.757361695170403E-002,-8.308100700378418E-001,-5.173119306564331E-001,-3.827643766999245E-002,3.757361695170403E-002,-8.308100700378418E-001,-5.173119306564331E-001,
8.573333333333334E+008,-3.691755607724190E-002,4.557711631059647E-002,-8.332846760749817E-001,-4.867192506790161E-001,-3.691755607724190E-002,4.557711631059647E-002,-8.332846760749817E-001,-4.867192506790161E-001,
8.657000000000000E+008,-3.237737715244293E-002,5.354297906160355E-002,-8.607994914054871E-001,-4.915165007114410E-001,-3.237737715244293E-002,5.354297906160355E-002,-8.607994914054871E-001,-4.915165007114410E-001,
8.740666666666668E+008,-2.426677010953426E-002,5.871443450450897E-002,-8.670707941055298E-001,-4.668963849544525E-001,-2.426677010953426E-002,5.871443450450897E-002,-8.670707941055298E-001,-4.668963849544525E-001,
8.824333333333334E+008,-1.673862896859646E-002,6.019625440239906E-002,-8.861629366874695E-001,-4.425170123577118E-001,-1.673862896859646E-002,6.019625440239906E-002,-8.861629366874695E-001,-4.425170123577118E-001,
8.908000000000000E+008,-9.240264073014259E-003,5.659953132271767E-002,-9.000740647315979E-001,-4.254341125488281E-001,-9.240264073014259E-003,5.659953132271767E-002,-9.000740647315979E-001,-4.254341125488281E-001,
8.991666666666668E+008,-4.057144280523062E-003,5.040715262293816E-002,-8.998260498046875E-001,-3.976420462131500E-001,-4.057144280523062E-003,5.040715262293816E-002,-8.998260498046875E-001,-3.976420462131500E-001,
9.075333333333334E+008,-3.805320942774415E-003,4.233875870704651E-002,-9.146049618721008E-001,-3.726317882537842E-001,-3.805320942774415E-003,4.233875870704651E-002,-9.146049618721008E-001,-3.726317882537842E-001,
9.159000000000000E+008,-6.220069713890553E-003,3.594940528273583E-002,-9.356126785278320E-001,-3.481061160564423E-001,-6.220069713890553E-003,3.594940528273583E-002,-9.356126785278320E-001,-3.481061160564423E-001,
9.242666666666668E+008,-1.275233738124371E-002,3.559206053614616E-002,-9.277870655059815E-001,-3.263652324676514E-001,-1.275233738124371E-002,3.559206053614616E-002,-9.277870655059815E-001,-3.263652324676514E-001,
9.326333333333334E+008,-1.761808060109615E-002,3.723560273647308E-002,-9.435801506042481E-001,-3.129796981811523E-001,-1.761808060109615E-002,3.723560273647308E-002,-9.435801506042481E-001,-3.129796981811523E-001,
9.410000000000000E+008,-2.186288498342037E-002,4.132375493645668E-002,-9.542614221572876E-001,-2.768487036228180E-001,-2.186288498342037E-002,4.132375493645668E-002,-9.542614221572876E-001,-2.768487036228180E-001,
9.493666666666668E+008,-2.388465218245983E-002,5.067337676882744E-002,-9.591801762580872E-001,-2.468891739845276E-001,-2.388465218245983E-002,5.067337676882744E-002,-9.591801762580872E-001,-2.468891739845276E-001,
9.577333333333334E+008,-2.103854157030582E-002,6.066840514540672E-002,-9.656944870948792E-001,-2.330076247453690E-001,-2.103854157030582E-002,6.066840514540672E-002,-9.656944870948792E-001,-2.330076247453690E-001,
9.661000000000000E+008,-1.301351096481085E-002,6.786380708217621E-002,-9.668265581130981E-001,-1.914266943931580E-001,-1.301351096481085E-002,6.786380708217621E-002,-9.668265581130981E-001,-1.914266943931580E-001,
9.744666666666668E+008,-3.016958246007562E-003,6.887028366327286E-002,-9.655451774597168E-001,-1.809410601854324E-001,-3.016958246007562E-003,6.887028366327286E-002,-9.655451774597168E-001,-1.809410601854324E-001,
9.828333333333334E+008,5.562894977629185E-003,7.017583400011063E-002,-9.814903140068054E-001,-1.614318937063217E-001,5.562894977629185E-003,7.017583400011063E-002,-9.814903140068054E-001,-1.614318937063217E-001,
9.912000000000000E+008,1.557753048837185E-002,6.387002766132355E-002,-9.787712693214417E-001,-1.394627392292023E-001,1.557753048837185E-002,6.387002766132355E-002,-9.787712693214417E-001,-1.394627392292023E-001,
9.995666666666668E+008,1.916569471359253E-002,5.581171065568924E-002,-9.917790889739990E-001,-1.026178523898125E-001,1.916569471359253E-002,5.581171065568924E-002,-9.917790889739990E-001,-1.026178523898125E-001,
1.007933333333333E+009,2.255538664758205E-002,4.570624232292175E-002,-1.005174994468689E+000,-8.533221483230591E-002,2.255538664758205E-002,4.570624232292175E-002,-1.005174994468689E+000,-8.533221483230591E-002,
1.016300000000000E+009,1.643361710011959E-002,3.910499811172485E-002,-9.924665689468384E-001,-5.943701416254044E-002,1.643361710011959E-002,3.910499811172485E-002,-9.924665689468384E-001,-5.943701416254044E-002,
1.024666666666667E+009,8.884076029062271E-003,3.448266535997391E-002,-9.883502721786499E-001,-3.352347016334534E-002,8.884076029062271E-003,3.448266535997391E-002,-9.883502721786499E-001,-3.352347016334534E-002,
1.033033333333333E+009,3.791286144405603E-003,3.871190547943115E-002,-9.957214593887329E-001,-7.614869624376297E-003,3.791286144405603E-003,3.871190547943115E-002,-9.957214593887329E-001,-7.614869624376297E-003,
1.041400000000000E+009,-2.978735836222768E-003,4.359913617372513E-002,-9.956063628196716E-001,1.366677321493626E-002,-2.978735836222768E-003,4.359913617372513E-002,-9.956063628196716E-001,1.366677321493626E-002,
1.049766666666667E+009,-3.268680011387914E-004,5.363861843943596E-002,-9.828386902809143E-001,4.969220608472824E-002,-3.268680011387914E-004,5.363861843943596E-002,-9.828386902809143E-001,4.969220608472824E-002,
1.058133333333333E+009,3.379767760634422E-003,6.321951001882553E-002,-9.840167760848999E-001,7.176166772842407E-002,3.379767760634422E-003,6.321951001882553E-002,-9.840167760848999E-001,7.176166772842407E-002,
1.066500000000000E+009,1.416325848549604E-002,6.841802597045898E-002,-9.997776746749878E-001,1.056001409888268E-001,1.416325848549604E-002,6.841802597045898E-002,-9.997776746749878E-001,1.056001409888268E-001,
1.074866666666667E+009,2.716161683201790E-002,6.804826855659485E-002,-9.938953518867493E-001,1.258979737758637E-001,2.716161683201790E-002,6.804826855659485E-002,-9.938953518867493E-001,1.258979737758637E-001,
1.083233333333334E+009,3.552525863051415E-002,6.052114814519882E-002,-9.773571491241455E-001,1.474324464797974E-001,3.552525863051415E-002,6.052114814519882E-002,-9.773571491241455E-001,1.474324464797974E-001,
1.091600000000000E+009,4.180399700999260E-002,5.000701174139977E-002,-9.598782658576965E-001,1.673455983400345E-001,4.180399700999260E-002,5.000701174139977E-002,-9.598782658576965E-001,1.673455983400345E-001,
1.099966666666667E+009,4.082009941339493E-002,3.614249825477600E-002,-9.557813405990601E-001,2.058227360248566E-001,4.082009941339493E-002,3.614249825477600E-002,-9.557813405990601E-001,2.058227360248566E-001,
1.108333333333334E+009,3.259967267513275E-002,2.725701034069061E-002,-9.553530812263489E-001,2.142018228769302E-001,3.259967267513275E-002,2.725701034069061E-002,-9.553530812263489E-001,2.142018228769302E-001,
1.116700000000000E+009,2.198921516537666E-002,2.293066494166851E-002,-9.484835267066956E-001,2.477382272481918E-001,2.198921516537666E-002,2.293066494166851E-002,-9.484835267066956E-001,2.477382272481918E-001,
1.125066666666667E+009,1.043572369962931E-002,2.664145082235336E-002,-9.493606090545654E-001,2.636250853538513E-001,1.043572369962931E-002,2.664145082235336E-002,-9.493606090545654E-001,2.636250853538513E-001,
1.133433333333334E+009,2.251336351037026E-003,3.599581494927406E-002,-9.474880099296570E-001,3.083819746971130E-001,2.251336351037026E-003,3.599581494927406E-002,-9.474880099296570E-001,3.083819746971130E-001,
1.141800000000000E+009,5.315277958288789E-004,4.940856248140335E-002,-9.250496625900269E-001,3.220234513282776E-001,5.315277958288789E-004,4.940856248140335E-002,-9.250496625900269E-001,3.220234513282776E-001,
1.150166666666667E+009,9.210093878209591E-003,6.440795212984085E-002,-9.161244630813599E-001,3.238278329372406E-001,9.210093878209591E-003,6.440795212984085E-002,-9.161244630813599E-001,3.238278329372406E-001,
1.158533333333334E+009,2.459285221993923E-002,7.237908989191055E-002,-9.097627997398377E-001,3.642655014991760E-001,2.459285221993923E-002,7.237908989191055E-002,-9.097627997398377E-001,3.642655014991760E-001,
1.166900000000000E+009,4.352249950170517E-002,7.346031814813614E-002,-8.939391970634460E-001,3.852539658546448E-001,4.352249950170517E-002,7.346031814813614E-002,-8.939391970634460E-001,3.852539658546448E-001,
1.175266666666667E+009,5.943035334348679E-002,6.361178308725357E-002,-8.884347677230835E-001,4.153814613819122E-001,5.943035334348679E-002,6.361178308725357E-002,-8.884347677230835E-001,4.153814613819122E-001,
1.183633333333334E+009,7.125774025917053E-002,4.953707754611969E-002,-8.866303563117981E-001,4.270681440830231E-001,7.125774025917053E-002,4.953707754611969E-002,-8.866303563117981E-001,4.270681440830231E-001,
1.192000000000000E+009,7.112240046262741E-002,3.090562298893929E-002,-8.740341067314148E-001,4.493806958198547E-001,7.112240046262741E-002,3.090562298893929E-002,-8.740341067314148E-001,4.493806958198547E-001,
1.200366666666667E+009,6.158495694398880E-002,1.397440955042839E-002,-8.614614605903626E-001,4.709379971027374E-001,6.158495694398880E-002,1.397440955042839E-002,-8.614614605903626E-001,4.709379971027374E-001,
1.208733333333334E+009,4.634040966629982E-002,4.387110471725464E-003,-8.555796146392822E-001,5.125994086265564E-001,4.634040966629982E-002,4.387110471725464E-003,-8.555796146392822E-001,5.125994086265564E-001,
1.217100000000000E+009,2.997250482439995E-002,4.828982520848513E-003,-8.509265780448914E-001,5.220175981521606E-001,2.997250482439995E-002,4.828982520848513E-003,-8.509265780448914E-001,5.220175981521606E-001,
1.225466666666667E+009,1.692148856818676E-002,1.499206665903330E-002,-8.193371295928955E-001,5.466138720512390E-001,1.692148856818676E-002,1.499206665903330E-002,-8.193371295928955E-001,5.466138720512390E-001,
1.233833333333334E+009,1.202349830418825E-002,3.132690861821175E-002,-8.145915865898132E-001,5.585584044456482E-001,1.202349830418825E-002,3.132690861821175E-002,-8.145915865898132E-001,5.585584044456482E-001,
1.242200000000000E+009,1.999144069850445E-002,4.615645110607147E-002,-7.898126244544983E-001,5.924603939056397E-001,1.999144069850445E-002,4.615645110607147E-002,-7.898126244544983E-001,5.924603939056397E-001,
1.250566666666667E+009,3.308343887329102E-002,5.709353461861610E-002,-7.686521410942078E-001,5.983167290687561E-001,3.308343887329102E-002,5.709353461861610E-002,-7.686521410942078E-001,5.983167290687561E-001,
1.258933333333334E+009,5.391949787735939E-002,5.820661783218384E-002,-7.638065218925476E-001,6.209487915039063E-001,5.391949787735939E-002,5.820661783218384E-002,-7.638065218925476E-001,6.209487915039063E-001,
1.267300000000000E+009,7.363444566726685E-002,4.841873422265053E-002,-7.445341348648071E-001,6.352426409721375E-001,7.363444566726685E-002,4.841873422265053E-002,-7.445341348648071E-001,6.352426409721375E-001,
1.275666666666667E+009,8.312342315912247E-002,3.099028579890728E-002,-7.320770025253296E-001,6.434534788131714E-001,8.312342315912247E-002,3.099028579890728E-002,-7.320770025253296E-001,6.434534788131714E-001,
1.284033333333334E+009,8.551086485385895E-002,1.011897437274456E-002,-7.161572575569153E-001,6.856653690338135E-001,8.551086485385895E-002,1.011897437274456E-002,-7.161572575569153E-001,6.856653690338135E-001,
1.292400000000000E+009,7.493115216493607E-002,-8.804664947092533E-003,-7.042199373245239E-001,6.893178820610046E-001,7.493115216493607E-002,-8.804664947092533E-003,-7.042199373245239E-001,6.893178820610046E-001,
1.300766666666667E+009,5.487138405442238E-002,-1.782329566776753E-002,-6.818739771842957E-001,7.131553888320923E-001,5.487138405442238E-002,-1.782329566776753E-002,-6.818739771842957E-001,7.131553888320923E-001,
1.309133333333334E+009,3.371391072869301E-002,-1.701550558209419E-002,-6.575624942779541E-001,7.274595499038696E-001,3.371391072869301E-002,-1.701550558209419E-002,-6.575624942779541E-001,7.274595499038696E-001,
1.317500000000000E+009,1.839009299874306E-002,-5.649259779602289E-003,-6.458628773689270E-001,7.589193582534790E-001,1.839009299874306E-002,-5.649259779602289E-003,-6.458628773689270E-001,7.589193582534790E-001,
1.325866666666667E+009,1.282432861626148E-002,1.103573385626078E-002,-6.265256404876709E-001,7.731978297233582E-001,1.282432861626148E-002,1.103573385626078E-002,-6.265256404876709E-001,7.731978297233582E-001,
1.334233333333334E+009,2.035393938422203E-002,2.904485352337360E-002,-6.086207032203674E-001,7.792153358459473E-001,2.035393938422203E-002,2.904485352337360E-002,-6.086207032203674E-001,7.792153358459473E-001,
1.342600000000000E+009,3.585471212863922E-002,3.870000317692757E-002,-5.912070870399475E-001,7.966542243957520E-001,3.585471212863922E-002,3.870000317692757E-002,-5.912070870399475E-001,7.966542243957520E-001,
