% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-3.915582969784737E-002,3.314110264182091E-002,-4.940057694911957E-001,-8.573175072669983E-001,-3.915582969784737E-002,3.314110264182091E-002,-4.940057694911957E-001,-8.573175072669983E-001,
6.983666666666666E+008,-3.109658509492874E-002,3.335365280508995E-002,-5.185866355895996E-001,-8.473827242851257E-001,-3.109658509492874E-002,3.335365280508995E-002,-5.185866355895996E-001,-8.473827242851257E-001,
7.067333333333334E+008,-2.486944198608398E-002,2.869782596826553E-002,-5.421832203865051E-001,-8.214281797409058E-001,-2.486944198608398E-002,2.869782596826553E-002,-5.421832203865051E-001,-8.214281797409058E-001,
7.151000000000000E+008,-2.413875609636307E-002,2.085952833294869E-002,-5.773513913154602E-001,-8.198525905609131E-001,-2.413875609636307E-002,2.085952833294869E-002,-5.773513913154602E-001,-8.198525905609131E-001,
7.234666666666666E+008,-2.568033151328564E-002,1.549982465803623E-002,-5.900649428367615E-001,-8.041809201240540E-001,-2.568033151328564E-002,1.549982465803623E-002,-5.900649428367615E-001,-8.041809201240540E-001,
7.318333333333334E+008,-3.295797109603882E-002,1.302944123744965E-002,-6.084527969360352E-001,-7.872968912124634E-001,-3.295797109603882E-002,1.302944123744965E-002,-6.084527969360352E-001,-7.872968912124634E-001,
7.402000000000000E+008,-3.917026892304421E-002,1.469890959560871E-002,-6.195135116577148E-001,-7.625135779380798E-001,-3.917026892304421E-002,1.469890959560871E-002,-6.195135116577148E-001,-7.625135779380798E-001,
7.485666666666666E+008,-4.466021806001663E-002,2.140624821186066E-002,-6.489484310150147E-001,-7.505968809127808E-001,-4.466021806001663E-002,2.140624821186066E-002,-6.489484310150147E-001,-7.505968809127808E-001,
7.569333333333334E+008,-4.883077368140221E-002,3.078182972967625E-002,-6.680000424385071E-001,-7.375022172927856E-001,-4.883077368140221E-002,3.078182972967625E-002,-6.680000424385071E-001,-7.375022172927856E-001,
7.653000000000000E+008,-4.396127536892891E-002,3.936256840825081E-002,-6.753407120704651E-001,-7.176631689071655E-001,-4.396127536892891E-002,3.936256840825081E-002,-6.753407120704651E-001,-7.176631689071655E-001,
7.736666666666666E+008,-3.807937353849411E-002,4.564829543232918E-002,-6.881965994834900E-001,-7.149341106414795E-001,-3.807937353849411E-002,4.564829543232918E-002,-6.881965994834900E-001,-7.149341106414795E-001,
7.820333333333334E+008,-2.979313023388386E-002,4.927216097712517E-002,-7.218160629272461E-001,-6.868218779563904E-001,-2.979313023388386E-002,4.927216097712517E-002,-7.218160629272461E-001,-6.868218779563904E-001,
7.904000000000000E+008,-2.010311186313629E-002,4.787475615739822E-002,-7.312998771667481E-001,-6.687931418418884E-001,-2.010311186313629E-002,4.787475615739822E-002,-7.312998771667481E-001,-6.687931418418884E-001,
7.987666666666666E+008,-1.588102802634239E-002,4.207416251301765E-002,-7.365214824676514E-001,-6.527031064033508E-001,-1.588102802634239E-002,4.207416251301765E-002,-7.365214824676514E-001,-6.527031064033508E-001,
8.071333333333334E+008,-1.341224927455187E-002,3.531608358025551E-002,-7.633194327354431E-001,-6.206917166709900E-001,-1.341224927455187E-002,3.531608358025551E-002,-7.633194327354431E-001,-6.206917166709900E-001,
8.155000000000000E+008,-1.624130830168724E-002,2.803304046392441E-002,-7.898358702659607E-001,-6.104116439819336E-001,-1.624130830168724E-002,2.803304046392441E-002,-7.898358702659607E-001,-6.104116439819336E-001,
8.238666666666666E+008,-2.256839908659458E-002,2.567716687917709E-002,-7.962048649787903E-001,-5.872076749801636E-001,-2.256839908659458E-002,2.567716687917709E-002,-7.962048649787903E-001,-5.872076749801636E-001,
8.322333333333334E+008,-2.815128676593304E-002,2.681012265384197E-002,-8.066417574882507E-001,-5.702379345893860E-001,-2.815128676593304E-002,2.681012265384197E-002,-8.066417574882507E-001,-5.702379345893860E-001,
