% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.575195230543613E-002,1.879434287548065E-002,-4.719408154487610E-001,-8.737483620643616E-001,-1.575195230543613E-002,1.879434287548065E-002,-4.719408154487610E-001,-8.737483620643616E-001,
6.983666666666666E+008,-7.694366853684187E-003,1.894609071314335E-002,-4.971311390399933E-001,-8.648331165313721E-001,-7.694366853684187E-003,1.894609071314335E-002,-4.971311390399933E-001,-8.648331165313721E-001,
7.067333333333334E+008,-9.949160739779472E-004,1.384166069328785E-002,-5.212221145629883E-001,-8.395026922225952E-001,-9.949160739779472E-004,1.384166069328785E-002,-5.212221145629883E-001,-8.395026922225952E-001,
7.151000000000000E+008,-4.165190621279180E-004,4.876695107668638E-003,-5.558798909187317E-001,-8.386322259902954E-001,-4.165190621279180E-004,4.876695107668638E-003,-5.558798909187317E-001,-8.386322259902954E-001,
7.234666666666666E+008,-1.692188787274063E-003,-1.595794688910246E-003,-5.689721703529358E-001,-8.238865137100220E-001,-1.692188787274063E-003,-1.595794688910246E-003,-5.689721703529358E-001,-8.238865137100220E-001,
7.318333333333334E+008,-9.307716041803360E-003,-5.398827139288187E-003,-5.864804387092590E-001,-8.083293437957764E-001,-9.307716041803360E-003,-5.398827139288187E-003,-5.864804387092590E-001,-8.083293437957764E-001,
7.402000000000000E+008,-1.612990535795689E-002,-5.326209589838982E-003,-5.979882478713989E-001,-7.837657928466797E-001,-1.612990535795689E-002,-5.326209589838982E-003,-5.979882478713989E-001,-7.837657928466797E-001,
7.485666666666666E+008,-2.223192341625691E-002,-9.196710016112775E-005,-6.283913850784302E-001,-7.729191184043884E-001,-2.223192341625691E-002,-9.196710016112775E-005,-6.283913850784302E-001,-7.729191184043884E-001,
7.569333333333334E+008,-2.706139162182808E-002,8.255424909293652E-003,-6.471692323684692E-001,-7.600380778312683E-001,-2.706139162182808E-002,8.255424909293652E-003,-6.471692323684692E-001,-7.600380778312683E-001,
7.653000000000000E+008,-2.295020967721939E-002,1.638395711779594E-002,-6.561458110809326E-001,-7.408241033554077E-001,-2.295020967721939E-002,1.638395711779594E-002,-6.561458110809326E-001,-7.408241033554077E-001,
