% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.097487449645996E-002,2.069352008402348E-002,9.820675849914551E-001,-6.259553134441376E-002,9.352013468742371E-001,6.267108023166657E-003,3.424803912639618E-002,-1.724185794591904E-002,
3.399000000000000E+007,7.340327720157802E-004,3.070870414376259E-003,9.841917753219605E-001,-8.639234304428101E-002,9.974662661552429E-001,-8.324927091598511E-002,7.006555795669556E-003,-8.952124044299126E-003,
5.798000000000000E+007,-6.596808321774006E-003,-3.090571612119675E-003,9.868109822273254E-001,-1.425491124391556E-001,9.785584807395935E-001,-1.529713273048401E-001,-2.107561798766255E-003,-5.570514127612114E-003,
8.197000000000000E+007,-5.335513269528747E-004,-8.464113809168339E-003,9.780402779579163E-001,-2.099184840917587E-001,9.726484417915344E-001,-2.030657231807709E-001,-3.658683737739921E-003,-2.065202861558646E-004,
1.059600000000000E+008,5.272045731544495E-003,-9.433349594473839E-003,9.574613571166992E-001,-2.733491063117981E-001,9.515836834907532E-001,-2.638872861862183E-001,2.895229961723089E-003,-5.104279611259699E-003,
1.299500000000000E+008,6.841003894805908E-003,-4.030901473015547E-003,9.337610602378845E-001,-3.252632021903992E-001,9.380140304565430E-001,-3.286946415901184E-001,5.925691686570644E-003,-9.397079236805439E-003,
1.539400000000000E+008,-9.899233700707555E-004,-1.784670399501920E-003,9.155235290527344E-001,-3.758415281772614E-001,9.141570329666138E-001,-3.832217156887054E-001,-9.419191046617925E-004,-1.390588749200106E-002,
1.779300000000000E+008,-1.046748552471399E-002,-5.982817616313696E-003,8.894869685173035E-001,-4.399093091487885E-001,8.890690803527832E-001,-4.389852881431580E-001,-8.328210562467575E-003,-1.277500949800015E-002,
2.019200000000000E+008,-1.019996311515570E-002,-1.776099950075150E-002,8.631620407104492E-001,-4.901826381683350E-001,8.591772317886353E-001,-4.885408878326416E-001,-6.381635088473558E-003,-7.591772358864546E-003,
2.259100000000000E+008,-5.684858770109713E-004,-2.166488580405712E-002,8.302403688430786E-001,-5.409024953842163E-001,8.314033150672913E-001,-5.419192314147949E-001,-2.098776865750551E-003,-7.705945055931807E-003,
2.499000000000000E+008,5.468680988997221E-003,-1.541529502719641E-002,7.946958541870117E-001,-5.924583077430725E-001,7.923737764358521E-001,-5.937427282333374E-001,-4.629358008969575E-004,-1.467124558985233E-002,
2.738900000000000E+008,-1.027471385896206E-003,-4.828237928450108E-003,7.547909021377564E-001,-6.394355297088623E-001,7.563625574111939E-001,-6.394989490509033E-001,-7.617292460054159E-003,-2.036180347204208E-002,
2.978800000000000E+008,-1.675648055970669E-002,-5.521862767636776E-003,7.163631916046143E-001,-6.828610301017761E-001,7.153398990631104E-001,-6.848785877227783E-001,-1.515687443315983E-002,-1.861752383410931E-002,
3.218700000000000E+008,-2.413750812411308E-002,-1.970409415662289E-002,6.726772785186768E-001,-7.296151518821716E-001,6.727321743965149E-001,-7.292947173118591E-001,-1.512454356998205E-002,-1.234789285808802E-002,
3.458600000000000E+008,-1.744402013719082E-002,-2.985685504972935E-002,6.287956833839417E-001,-7.656974196434021E-001,6.249295473098755E-001,-7.646475434303284E-001,-1.354166585952044E-002,-1.094449684023857E-002,
3.698500000000000E+008,-6.426440086215735E-003,-2.570780366659164E-002,5.801863670349121E-001,-8.064514994621277E-001,5.784052610397339E-001,-8.029391169548035E-001,-1.008660253137350E-002,-1.749986223876476E-002,
3.938400000000000E+008,-4.817688371986151E-003,-9.944612160325050E-003,5.272315740585327E-001,-8.353288769721985E-001,5.277215242385864E-001,-8.356785774230957E-001,-1.759586855769157E-002,-2.333495952188969E-002,
4.178300000000000E+008,-2.049101889133453E-002,8.885157876648009E-005,4.778827130794525E-001,-8.665308952331543E-001,4.772964417934418E-001,-8.648416399955750E-001,-2.575162053108215E-002,-2.141641639173031E-002,
4.418200000000000E+008,-3.849315643310547E-002,-7.467948831617832E-003,4.225587844848633E-001,-8.933750987052918E-001,4.228437244892120E-001,-8.940374851226807E-001,-2.900571562349796E-002,-1.406425423920155E-002,
4.658100000000000E+008,-4.184032976627350E-002,-2.447835914790630E-002,3.661533296108246E-001,-9.190659523010254E-001,3.653695583343506E-001,-9.201617836952210E-001,-2.618781663477421E-002,-9.441440925002098E-003,
4.898000000000000E+008,-2.690221741795540E-002,-3.122057020664215E-002,3.102909624576569E-001,-9.407164454460144E-001,3.075108826160431E-001,-9.395846724510193E-001,-2.399488724768162E-002,-1.264043338596821E-002,
5.137900000000000E+008,-1.540279202163220E-002,-1.757460646331310E-002,2.494280785322189E-001,-9.585750699043274E-001,2.509564161300659E-001,-9.568009972572327E-001,-2.960586547851563E-002,-1.734308898448944E-002,
5.377800000000000E+008,-2.243756875395775E-002,4.390817601233721E-003,1.933936327695847E-001,-9.679279327392578E-001,1.919088512659073E-001,-9.688174128532410E-001,-3.905985876917839E-002,-1.533646043390036E-002,
5.617700000000000E+008,-4.578706622123718E-002,1.123604644089937E-002,1.326704323291779E-001,-9.797058701515198E-001,1.316180676221848E-001,-9.777504801750183E-001,-4.427594318985939E-002,-8.763913065195084E-003,
5.857600000000000E+008,-6.205072626471520E-002,-5.098536144942045E-003,7.127366214990616E-002,-9.879077076911926E-001,7.308442890644074E-002,-9.833026528358460E-001,-4.062829911708832E-002,-1.578822033479810E-003,
6.097500000000000E+008,-5.379933118820190E-002,-2.272154204547405E-002,7.602929137647152E-003,-9.889993667602539E-001,1.268604677170515E-002,-9.888166785240173E-001,-3.582319989800453E-002,-1.517255441285670E-003,
6.337400000000000E+008,-3.144708648324013E-002,-1.896606385707855E-002,-5.193613097071648E-002,-9.864273667335510E-001,-4.857012629508972E-002,-9.873464703559876E-001,-3.907009586691856E-002,-4.667508415877819E-003,
6.577300000000000E+008,-2.172878384590149E-002,6.138054654002190E-003,-1.089627742767334E-001,-9.814462661743164E-001,-1.095306351780891E-001,-9.820199608802795E-001,-4.812629893422127E-002,-3.605473320931196E-003,
6.817200000000000E+008,-3.997653722763062E-002,3.028693608939648E-002,-1.690935194492340E-001,-9.740632772445679E-001,-1.685596853494644E-001,-9.728575348854065E-001,-5.662232264876366E-002,5.216246005147696E-003,
7.057100000000000E+008,-6.803724169731140E-002,2.837339043617249E-002,-2.300416976213455E-001,-9.597190618515015E-001,-2.275553792715073E-001,-9.599686264991760E-001,-5.336310341954231E-002,1.554383523762226E-002,
