% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-1.635753363370895E-002,-9.872596263885498E-001,8.654931298224255E-005,1.673043698247057E-005,1.016564965539146E-005,-5.680869435309432E-005,7.425804138183594E-001,-6.696705222129822E-001,
5.470000000000000E+008,-2.382825911045075E-001,-9.267742037773132E-001,-5.870571840205230E-005,2.194638454966480E-006,-1.458601618651301E-004,4.140759119763970E-005,6.934515237808228E-001,-7.193601131439209E-001,
5.940000000000000E+008,-3.682445287704468E-001,-9.134849905967712E-001,-3.903066954080714E-006,3.774662036448717E-005,7.809349881426897E-006,-1.573148983879946E-005,6.429381370544434E-001,-7.649371623992920E-001,
6.410000000000000E+008,-4.500764012336731E-001,-8.704786300659180E-001,8.983869338408113E-005,-2.962891358038178E-006,1.563211844768375E-005,1.524772596894763E-005,5.901992321014404E-001,-8.071199655532837E-001,
6.880000000000000E+008,-6.266217231750488E-001,-7.118135690689087E-001,-2.940002013929188E-005,7.047707640595036E-006,-3.907493737642653E-005,7.720778376096860E-005,5.307883620262146E-001,-8.462728857994080E-001,
7.350000000000000E+008,-6.977548003196716E-001,-6.902929544448853E-001,1.271298242500052E-004,-2.091989881591871E-005,2.038716411334463E-005,-5.253468407317996E-005,4.713706970214844E-001,-8.801738619804382E-001,
7.820000000000000E+008,-7.928634881973267E-001,-5.452753305435181E-001,1.174309363705106E-004,-5.089730620966293E-005,1.126423012465239E-005,-6.673137977486476E-005,4.104366600513458E-001,-9.098997712135315E-001,
8.290000000000000E+008,-8.589788079261780E-001,-3.685572743415833E-001,-7.297989668586524E-006,8.951043128035963E-005,3.648210986284539E-005,2.390100780758075E-005,3.453325629234314E-001,-9.358398914337158E-001,
8.760000000000000E+008,-9.201444983482361E-001,-3.410700559616089E-001,7.584984996356070E-005,-5.093991148896748E-006,2.322883301530965E-005,-4.709656423074193E-005,2.815155386924744E-001,-9.581456184387207E-001,
9.230000000000000E+008,-9.104710221290588E-001,-9.946069866418839E-002,-4.386506407172419E-005,-6.070253220968880E-005,3.598775219870731E-005,1.290994350711117E-005,2.137903124094009E-001,-9.732818007469177E-001,
9.700000000000000E+008,-9.297026395797730E-001,2.736458554863930E-003,4.395623909658752E-005,-2.520760426705238E-005,-5.022004643251421E-006,1.634350383028504E-006,1.450608372688294E-001,-9.875041842460632E-001,
1.017000000000000E+009,-9.599165916442871E-001,8.766513317823410E-002,-1.897796464618295E-004,3.696231033245567E-006,-8.487155719194561E-005,8.448721928289160E-006,7.794120907783508E-002,-9.947000741958618E-001,
1.064000000000000E+009,-7.923095226287842E-001,2.913137078285217E-001,-5.184077599551529E-005,1.451766293030232E-004,-4.652244024327956E-005,-2.243073140562046E-005,7.874459028244019E-003,-9.963327050209045E-001,
1.111000000000000E+009,-8.718090057373047E-001,3.640872240066528E-001,-7.365354395005852E-005,-4.748682840727270E-005,4.009684926131740E-005,-2.053533535217866E-005,-6.219381093978882E-002,-9.951887726783752E-001,
1.158000000000000E+009,-7.779120206832886E-001,4.637012481689453E-001,-5.550831701839343E-005,-8.947942842496559E-005,-1.439927382307360E-005,-2.748204860836268E-005,-1.289298534393311E-001,-9.883490800857544E-001,
1.205000000000000E+009,-5.656608343124390E-001,5.246789455413818E-001,1.763740146998316E-005,1.504600641055731E-005,2.896676414820831E-005,-1.851690649345983E-005,-1.977155506610870E-001,-9.755265116691589E-001,
1.252000000000000E+009,-6.785985231399536E-001,7.077883481979370E-001,-1.158118629973615E-005,-4.738804818771314E-006,2.085842061205767E-005,7.969976286403835E-005,-2.659179568290710E-001,-9.610589742660523E-001,
1.299000000000000E+009,-4.973781704902649E-001,6.687130928039551E-001,-5.587837949860841E-005,3.670814476208761E-005,3.796903911279514E-005,3.898183058481664E-005,-3.289399743080139E-001,-9.390714764595032E-001,
1.346000000000000E+009,-3.679523468017578E-001,6.431519985198975E-001,4.300535147194751E-005,-2.956528078357223E-005,8.816257832222618E-006,-2.376688280492090E-005,-3.944862782955170E-001,-9.130120277404785E-001,
1.393000000000000E+009,-2.776820659637451E-001,9.288526773452759E-001,6.609784031752497E-005,5.689915997209027E-005,-4.973149771103635E-005,9.280448284698650E-005,-4.564727544784546E-001,-8.843367695808411E-001,
1.440000000000000E+009,-2.400704920291901E-001,7.615091800689697E-001,-1.211978997162078E-005,-4.456264650798403E-005,2.583128207334084E-006,5.542346116271801E-005,-5.160130262374878E-001,-8.502080440521240E-001,
1.487000000000000E+009,-1.933410614728928E-001,7.910059690475464E-001,-4.441581495484570E-006,-9.931215026881546E-005,-6.640153515036218E-006,-3.384004230611026E-005,-5.726721286773682E-001,-8.104384541511536E-001,
1.534000000000000E+009,6.705184280872345E-002,8.626336455345154E-001,4.091009395779111E-005,-7.678428119106684E-006,-3.005728217431170E-007,1.205519220093265E-005,-6.296141147613525E-001,-7.690669894218445E-001,
1.581000000000000E+009,-6.013177335262299E-004,8.383480310440064E-001,-4.346809146227315E-005,8.118199730233755E-006,-1.452938704460394E-005,-5.909725587116554E-005,-6.798803210258484E-001,-7.238859534263611E-001,
1.628000000000000E+009,1.573128551244736E-001,9.151325821876526E-001,1.474225769015902E-006,1.756778510753065E-005,-1.592128319316544E-005,1.482577499700710E-005,-7.282881140708923E-001,-6.725492477416992E-001,
1.675000000000000E+009,3.223538100719452E-001,8.076056838035584E-001,-7.257513061631471E-005,-2.909345857915469E-005,-3.946423748857342E-005,5.787588452221826E-005,-7.741457223892212E-001,-6.218565702438355E-001,
1.722000000000000E+009,3.774224519729614E-001,8.784253597259522E-001,1.131059689214453E-004,-4.522655581240542E-005,-1.593260458321311E-005,3.382868817425333E-005,-8.141583204269409E-001,-5.673272013664246E-001,
1.769000000000000E+009,5.595804452896118E-001,7.875174283981323E-001,1.112589779950213E-005,5.186817725189030E-005,-2.359075915592257E-005,-1.593463457538746E-005,-8.508655428886414E-001,-5.069339871406555E-001,
1.816000000000000E+009,6.203960180282593E-001,6.733944416046143E-001,2.631185225254740E-006,-7.269235356943682E-005,2.562560439400841E-005,-3.458255014265887E-005,-8.853603005409241E-001,-4.472034275531769E-001,
1.863000000000000E+009,7.819476127624512E-001,6.520959734916687E-001,2.413605386664131E-007,-1.409979540767381E-005,-1.095404695661273E-005,-1.769361188053154E-005,-9.130644798278809E-001,-3.854947686195374E-001,
1.910000000000000E+009,8.313179016113281E-001,4.966519474983215E-001,1.546118801343255E-005,6.653609034401598E-006,7.332143286475912E-005,-1.810589128581341E-005,-9.368710517883301E-001,-3.193655610084534E-001,
1.957000000000000E+009,8.733216524124146E-001,3.861209750175476E-001,-4.975017509423196E-005,-1.111559467972256E-004,-4.816855289391242E-005,-2.415035123704001E-005,-9.580623507499695E-001,-2.551533281803131E-001,
2.004000000000000E+009,9.913928508758545E-001,2.511841654777527E-001,-4.673042349168100E-005,-5.286927262204699E-005,-2.502851202734746E-005,4.005620940006338E-005,-9.721474647521973E-001,-1.877904534339905E-001,
2.051000000000000E+009,9.589641094207764E-001,1.295839697122574E-001,-8.020086534088478E-005,-3.249110886827111E-005,-3.366633245605044E-005,2.119711280101910E-005,-9.826003909111023E-001,-1.188395023345947E-001,
2.098000000000000E+009,9.746428132057190E-001,-6.654621101915836E-003,-7.021937926765531E-005,5.656993744196370E-005,-9.619481716072187E-005,-1.430379052180797E-005,-9.893291592597961E-001,-5.085723102092743E-002,
2.145000000000000E+009,9.933329224586487E-001,-1.668949872255325E-001,-7.360938616329804E-005,1.361232170893345E-005,-5.950778358965181E-005,-3.251547605032101E-005,-9.893808364868164E-001,1.751454547047615E-002,
2.192000000000000E+009,9.290456175804138E-001,-2.526003718376160E-001,1.012593384075444E-005,-2.198201036662795E-005,-2.515395317459479E-005,3.943967021768913E-005,-9.852200746536255E-001,8.741460740566254E-002,
2.239000000000000E+009,8.950468897819519E-001,-4.020214378833771E-001,-7.785666821291670E-005,5.923466960666701E-005,-4.270946374163032E-005,5.009527012589388E-005,-9.775155186653137E-001,1.544954031705856E-001,
2.286000000000000E+009,8.383037447929382E-001,-5.260206460952759E-001,-9.791907359613106E-006,5.185917325434275E-005,-1.173431883216836E-005,3.211198054486886E-005,-9.632623195648193E-001,2.215664386749268E-001,
2.333000000000000E+009,7.548512220382690E-001,-5.947127938270569E-001,-3.513312549330294E-005,5.966547178104520E-005,5.536832077268628E-007,8.692894334672019E-005,-9.450446367263794E-001,2.891070544719696E-001,
2.380000000000000E+009,6.630228757858276E-001,-7.207542061805725E-001,-8.047863047977444E-006,5.051039624959230E-005,-2.081219645333476E-005,1.861055352492258E-006,-9.229810237884522E-001,3.534580767154694E-001,
2.427000000000000E+009,5.659511089324951E-001,-7.906978726387024E-001,-6.616129212488886E-006,4.343399996287189E-005,6.553617276949808E-005,-4.065284429088933E-006,-8.958058953285217E-001,4.159813225269318E-001,
2.474000000000000E+009,4.595447182655335E-001,-8.394985795021057E-001,-9.954533197742421E-006,-2.395533556409646E-005,4.537292625172995E-005,1.700466782494914E-005,-8.645714521408081E-001,4.782004356384277E-001,
2.521000000000000E+009,3.303326666355133E-001,-9.182280898094177E-001,-7.257526158355176E-005,1.275044633075595E-005,4.967433051206172E-005,1.088046474251314E-006,-8.297666311264038E-001,5.370260477066040E-001,
2.568000000000000E+009,2.213920205831528E-001,-9.325993061065674E-001,-4.187146623735316E-005,-5.389879515860230E-005,-6.237869092728943E-005,-7.517339690821245E-005,-7.897472977638245E-001,5.928080677986145E-001,
2.615000000000000E+009,9.446099400520325E-002,-9.479721188545227E-001,-1.920721479109488E-005,2.443139237584546E-007,-6.390684575308114E-005,-7.420914698741399E-006,-7.461165785789490E-001,6.469742059707642E-001,
2.662000000000000E+009,-5.536425858736038E-002,-9.664657711982727E-001,-4.571885801851749E-005,-6.674480391666293E-005,1.594747300259769E-005,-7.193001511041075E-005,-6.991007328033447E-001,6.971348524093628E-001,
2.709000000000000E+009,-1.516537070274353E-001,-9.354175925254822E-001,1.153143693954917E-005,-2.330509596504271E-005,-7.290373105206527E-008,-4.069677015650086E-005,-6.481597423553467E-001,7.435864806175232E-001,
2.756000000000000E+009,-2.780409157276154E-001,-8.985008597373962E-001,-6.871535151731223E-005,-3.942932380596176E-005,1.561158933327533E-005,3.457454658928327E-005,-5.954220294952393E-001,7.868993878364563E-001,
