% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-8.870303630828857E-002,-2.755063585937023E-002,2.486522793769836E-001,-9.534369111061096E-001,2.486772537231445E-001,-9.511163830757141E-001,-9.084720164537430E-002,-2.941595762968063E-002,
5.470000000000000E+008,-8.348567783832550E-002,-1.978668011724949E-002,1.326831281185150E-001,-9.774755835533142E-001,1.314321309328079E-001,-9.760697484016419E-001,-9.253426641225815E-002,1.225150772370398E-003,
5.940000000000000E+008,-1.002604439854622E-001,5.630378145724535E-003,9.480412118136883E-003,-9.899361133575440E-001,7.104708813130856E-003,-9.850401282310486E-001,-9.830103814601898E-002,-9.036983363330364E-003,
6.410000000000000E+008,-1.166910603642464E-001,5.058827344328165E-003,-1.124480888247490E-001,-9.790170192718506E-001,-1.123494952917099E-001,-9.768360853195190E-001,-1.189039722084999E-001,2.331124246120453E-002,
6.880000000000000E+008,-1.057723164558411E-001,2.085123956203461E-002,-2.338867336511612E-001,-9.585635662078857E-001,-2.352083921432495E-001,-9.576830863952637E-001,-1.029874533414841E-001,3.182097524404526E-002,
7.350000000000000E+008,-1.198351085186005E-001,5.580956488847733E-002,-3.568849563598633E-001,-9.231511950492859E-001,-3.518543839454651E-001,-9.192799925804138E-001,-1.268852353096008E-001,4.409346729516983E-002,
7.820000000000000E+008,-1.345423758029938E-001,5.430603027343750E-002,-4.632567465305328E-001,-8.720274567604065E-001,-4.618324041366577E-001,-8.707213401794434E-001,-1.116704568266869E-001,8.014003932476044E-002,
8.290000000000000E+008,-1.063568890094757E-001,7.207690179347992E-002,-5.691975951194763E-001,-8.063498139381409E-001,-5.684112310409546E-001,-8.051617145538330E-001,-1.126542016863823E-001,7.795117795467377E-002,
8.760000000000000E+008,-1.116769760847092E-001,1.184814348816872E-001,-6.633599400520325E-001,-7.201510667800903E-001,-6.604466438293457E-001,-7.264342308044434E-001,-1.140411123633385E-001,1.176169663667679E-001,
9.230000000000000E+008,-1.307019144296646E-001,1.193564385175705E-001,-7.507476210594177E-001,-6.415773034095764E-001,-7.475053668022156E-001,-6.410963535308838E-001,-8.542706072330475E-002,1.247685626149178E-001,
9.700000000000000E+008,-8.340656757354736E-002,1.223033219575882E-001,-8.278657793998718E-001,-5.335838794708252E-001,-8.200175166130066E-001,-5.387160181999207E-001,-9.561350941658020E-002,1.432466953992844E-001,
1.017000000000000E+009,-7.347272336483002E-002,1.859770268201828E-001,-8.676665425300598E-001,-4.355548024177551E-001,-8.781089186668396E-001,-4.347845315933228E-001,-5.804951488971710E-002,1.709242463111877E-001,
1.064000000000000E+009,-9.805157780647278E-002,1.964375972747803E-001,-9.342476129531860E-001,-3.227809965610504E-001,-9.296127557754517E-001,-3.225033879280090E-001,-5.085430294275284E-002,1.650103032588959E-001,
1.111000000000000E+009,-4.575543478131294E-002,1.664669811725617E-001,-9.405274391174316E-001,-1.978659331798554E-001,-9.569210410118103E-001,-2.016684859991074E-001,-3.048099204897881E-002,2.028792202472687E-001,
1.158000000000000E+009,2.077295258641243E-002,2.537261247634888E-001,-9.742092490196228E-001,-1.012615263462067E-001,-9.772900342941284E-001,-8.622990548610687E-002,8.538356982171536E-003,1.915146708488464E-001,
1.205000000000000E+009,-4.592650569975376E-003,2.677285969257355E-001,-9.759312868118286E-001,5.267943069338799E-002,-9.820901155471802E-001,4.757665097713471E-002,7.853735238313675E-003,2.087056040763855E-001,
1.252000000000000E+009,4.960592091083527E-002,2.007815837860107E-001,-9.811145067214966E-001,1.551046073436737E-001,-9.605476856231690E-001,1.609241366386414E-001,6.623952835798264E-002,2.180457860231400E-001,
1.299000000000000E+009,1.654119491577148E-001,1.985084712505341E-001,-9.667366147041321E-001,3.111418783664703E-001,-9.339070916175842E-001,2.928470075130463E-001,6.688346713781357E-002,1.906228959560394E-001,
1.346000000000000E+009,1.348046362400055E-001,2.369392365217209E-001,-8.838265538215637E-001,3.863846361637116E-001,-8.782187700271606E-001,4.010642468929291E-001,1.121966019272804E-001,2.220232784748077E-001,
