% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-4.620955884456635E-002,1.562063116580248E-002,1.048766136169434E+000,-7.922851294279099E-002,9.837803244590759E-001,-2.935869246721268E-002,2.031495049595833E-002,1.575313159264624E-003,
3.399000000000000E+007,-1.155119156464934E-003,-1.434985641390085E-002,1.004557847976685E+000,-1.069149225950241E-001,1.005510687828064E+000,-7.921636104583740E-002,1.313219196163118E-003,-9.806220419704914E-003,
5.798000000000000E+007,1.741067972034216E-003,-1.445505768060684E-003,9.793570637702942E-001,-1.463228762149811E-001,9.817283153533936E-001,-1.559025496244431E-001,-1.165258465334773E-003,-6.991949863731861E-003,
8.197000000000000E+007,3.852880035992712E-004,-1.426535937935114E-002,9.761019349098206E-001,-2.158477902412415E-001,9.722123146057129E-001,-2.251322269439697E-001,-1.582695054821670E-003,-1.627809926867485E-002,
1.059600000000000E+008,-3.775178221985698E-003,-1.647474244236946E-002,9.631559848785400E-001,-2.898111045360565E-001,9.539053440093994E-001,-2.769170999526978E-001,-6.304624490439892E-003,-1.957489177584648E-002,
1.299500000000000E+008,-9.618747048079968E-003,-2.211124263703823E-002,9.464540481567383E-001,-3.447295725345612E-001,9.393999576568604E-001,-3.389064073562622E-001,-7.887886837124825E-003,-2.228576503694058E-002,
1.539400000000000E+008,-1.083552464842796E-002,-2.644323557615280E-002,9.115310907363892E-001,-3.980214893817902E-001,9.085192084312439E-001,-4.024150371551514E-001,-8.930996060371399E-003,-2.444906719028950E-002,
1.779300000000000E+008,-1.334895007312298E-002,-3.151161596179009E-002,8.853828907012940E-001,-4.570308923721314E-001,8.847579956054688E-001,-4.571837186813355E-001,-1.187282986938953E-002,-2.920261770486832E-002,
2.019200000000000E+008,-1.564834453165531E-002,-3.226645663380623E-002,8.574939966201782E-001,-5.118057131767273E-001,8.565911054611206E-001,-5.125080347061157E-001,-1.554177980870009E-002,-3.242464736104012E-002,
2.259100000000000E+008,-1.890620216727257E-002,-3.224631398916245E-002,8.164538741111755E-001,-5.667375326156616E-001,8.189545869827271E-001,-5.655169486999512E-001,-2.198516577482224E-002,-3.315123915672302E-002,
2.499000000000000E+008,-2.620894275605679E-002,-3.190181031823158E-002,7.826424837112427E-001,-6.187041997909546E-001,7.809408307075501E-001,-6.185095906257629E-001,-2.551342733204365E-002,-3.376432135701180E-002,
2.738900000000000E+008,-3.407855704426765E-002,-3.487621992826462E-002,7.405204176902771E-001,-6.645905971527100E-001,7.412640452384949E-001,-6.656504869461060E-001,-3.014246374368668E-002,-3.772454336285591E-002,
2.978800000000000E+008,-3.960122168064117E-002,-4.125326499342918E-002,6.959993839263916E-001,-7.109645009040833E-001,6.969934105873108E-001,-7.085602283477783E-001,-3.497719764709473E-002,-4.051785543560982E-002,
3.218700000000000E+008,-3.987473621964455E-002,-4.523710533976555E-002,6.511825919151306E-001,-7.510437369346619E-001,6.497206687927246E-001,-7.533717155456543E-001,-4.141997173428536E-002,-3.936851024627686E-002,
3.458600000000000E+008,-4.179279133677483E-002,-3.912507370114327E-002,5.985008478164673E-001,-7.940157055854797E-001,5.988692641258240E-001,-7.923828363418579E-001,-4.949487000703812E-002,-3.828408941626549E-002,
3.698500000000000E+008,-5.061696842312813E-002,-2.910678833723068E-002,5.466096401214600E-001,-8.283430933952332E-001,5.455319881439209E-001,-8.286289572715759E-001,-5.348597094416618E-002,-3.623811528086662E-002,
3.938400000000000E+008,-6.491490453481674E-002,-2.702143788337708E-002,4.917366802692413E-001,-8.598040342330933E-001,4.913061559200287E-001,-8.613791465759277E-001,-5.775438994169235E-002,-3.570432588458061E-002,
4.178300000000000E+008,-7.775400578975678E-002,-3.198428452014923E-002,4.364359378814697E-001,-8.877021670341492E-001,4.336794018745422E-001,-8.897409439086914E-001,-6.520674377679825E-002,-3.607853874564171E-002,
4.418200000000000E+008,-7.942327857017517E-002,-3.977514058351517E-002,3.775847852230072E-001,-9.153643846511841E-001,3.779441416263580E-001,-9.132653474807739E-001,-7.312715053558350E-002,-3.285347670316696E-002,
4.658100000000000E+008,-7.233081758022308E-002,-3.751702979207039E-002,3.185703456401825E-001,-9.353656768798828E-001,3.184878826141357E-001,-9.364731907844544E-001,-7.908964902162552E-002,-2.705070748925209E-002,
4.898000000000000E+008,-7.063516974449158E-002,-1.995897479355335E-002,2.586579322814941E-001,-9.541919827461243E-001,2.570320665836334E-001,-9.545769095420837E-001,-8.255569636821747E-002,-2.236724272370338E-002,
5.137900000000000E+008,-8.270008862018585E-002,-5.514943040907383E-005,1.963942348957062E-001,-9.702552556991577E-001,1.965512186288834E-001,-9.673488140106201E-001,-8.746728301048279E-002,-2.010863646864891E-002,
5.377800000000000E+008,-1.069002002477646E-001,5.004991311579943E-003,1.320704519748688E-001,-9.716075062751770E-001,1.351788640022278E-001,-9.764302968978882E-001,-9.553629159927368E-002,-1.641305722296238E-002,
5.617700000000000E+008,-1.215609461069107E-001,-5.923360120505095E-003,7.539492100477219E-002,-9.818708896636963E-001,7.269103080034256E-002,-9.813836216926575E-001,-1.019638255238533E-001,-9.150561876595020E-003,
5.857600000000000E+008,-1.137901395559311E-001,-2.023474499583244E-002,6.119290366768837E-003,-9.844270944595337E-001,9.866151958703995E-003,-9.819218516349793E-001,-1.061439737677574E-001,-5.473236087709665E-004,
6.097500000000000E+008,-9.349023550748825E-002,-1.101861149072647E-002,-5.303448811173439E-002,-9.809243083000183E-001,-5.132958292961121E-002,-9.795226454734802E-001,-1.073040440678597E-001,6.506575271487236E-003,
6.337400000000000E+008,-8.463840931653976E-002,2.342610433697701E-002,-1.158322244882584E-001,-9.770969748497009E-001,-1.128781661391258E-001,-9.742835760116577E-001,-1.114488467574120E-001,1.196258421987295E-002,
6.577300000000000E+008,-1.029492393136025E-001,5.682795867323875E-002,-1.750547736883164E-001,-9.628634452819824E-001,-1.732338517904282E-001,-9.641316533088684E-001,-1.161206513643265E-001,1.849177852272987E-002,
6.817200000000000E+008,-1.374559998512268E-001,6.253987550735474E-002,-2.343418300151825E-001,-9.494902491569519E-001,-2.356217056512833E-001,-9.506146907806397E-001,-1.217510625720024E-001,2.946832589805126E-002,
7.057100000000000E+008,-1.546620428562164E-001,3.753082081675530E-002,-2.997863888740540E-001,-9.307338595390320E-001,-2.953641116619110E-001,-9.320030212402344E-001,-1.213835477828980E-001,4.159448295831680E-002,
7.297000000000000E+008,-1.322817653417587E-001,1.614988781511784E-002,-3.568912744522095E-001,-9.089849591255188E-001,-3.528281152248383E-001,-9.105009436607361E-001,-1.189859285950661E-001,5.024706944823265E-002,
7.536900000000000E+008,-9.012594074010849E-002,3.428651392459869E-002,-4.158121645450592E-001,-8.881286382675171E-001,-4.086254239082336E-001,-8.861198425292969E-001,-1.200347021222115E-001,5.510557070374489E-002,
7.776800000000000E+008,-6.994300335645676E-002,8.636675029993057E-002,-4.662991762161255E-001,-8.541327714920044E-001,-4.629292190074921E-001,-8.578265905380249E-001,-1.231776848435402E-001,6.533822417259216E-002,
8.016700000000000E+008,-9.686671942472458E-002,1.346142739057541E-001,-5.135279297828674E-001,-8.277300596237183E-001,-5.163622498512268E-001,-8.265924453735352E-001,-1.257480233907700E-001,7.924787700176239E-002,
8.256600000000000E+008,-1.446965485811234E-001,1.369130462408066E-001,-5.699244141578674E-001,-7.808436751365662E-001,-5.685490965843201E-001,-7.914605140686035E-001,-1.212021112442017E-001,9.282256662845612E-002,
8.496500000000000E+008,-1.644024103879929E-001,9.234882146120071E-002,-6.114464402198792E-001,-7.403657436370850E-001,-6.183414459228516E-001,-7.537016868591309E-001,-1.128785163164139E-001,1.016076654195786E-001,
8.736400000000000E+008,-1.241831406950951E-001,5.805400386452675E-002,-6.667144894599915E-001,-7.053361535072327E-001,-6.627123355865479E-001,-7.111231684684753E-001,-1.097590103745461E-001,1.053332462906838E-001,
8.976300000000000E+008,-5.439743027091026E-002,7.948304712772369E-002,-7.125013470649719E-001,-6.611597537994385E-001,-7.053460478782654E-001,-6.647635698318481E-001,-1.117726340889931E-001,1.148544549942017E-001,
9.216200000000000E+008,-2.124028652906418E-002,1.473595798015595E-001,-7.411280274391174E-001,-6.173070073127747E-001,-7.425264120101929E-001,-6.180631518363953E-001,-1.096908971667290E-001,1.317706555128098E-001,
9.456100000000000E+008,-5.515497177839279E-002,2.098852992057800E-001,-7.757788300514221E-001,-5.690692663192749E-001,-7.784569859504700E-001,-5.719653367996216E-001,-9.691758453845978E-002,1.472959518432617E-001,
9.696000000000000E+008,-1.238172799348831E-001,2.056699842214584E-001,-7.950367927551270E-001,-5.050486326217651E-001,-8.149378895759583E-001,-5.218020677566528E-001,-8.374468237161636E-002,1.521593332290649E-001,
