% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-2.068821713328362E-002,1.193346735090017E-002,3.276068568229675E-001,-9.438812136650085E-001,3.252869844436646E-001,-9.452933669090271E-001,-2.891512773931027E-002,-1.769070513546467E-002,
5.470000000000000E+008,-2.836164459586144E-002,-2.099361270666122E-002,2.138664573431015E-001,-9.783585667610169E-001,2.100448608398438E-001,-9.782503843307495E-001,-8.617186918854713E-003,6.813771557062864E-003,
5.940000000000000E+008,-2.618809812702239E-004,-9.920900687575340E-003,9.314583986997604E-002,-9.977195858955383E-001,9.224519878625870E-002,-9.947213530540466E-001,-1.548863295465708E-002,-2.184689976274967E-002,
6.410000000000000E+008,-2.534217759966850E-002,1.363295782357454E-002,-2.533482015132904E-002,-1.000761866569519E+000,-2.338241040706635E-002,-9.988929629325867E-001,-3.212994709610939E-002,7.568433415144682E-003,
6.880000000000000E+008,-3.533882647752762E-002,-8.148412220180035E-003,-1.437107920646668E-001,-9.907909631729126E-001,-1.430844664573669E-001,-9.909747838973999E-001,-9.135236963629723E-003,-7.212409400381148E-004,
7.350000000000000E+008,-1.345157716423273E-002,-1.055462984368205E-003,-2.623726427555084E-001,-9.668134450912476E-001,-2.588123679161072E-001,-9.658102393150330E-001,-3.818033263087273E-002,-3.738825907930732E-003,
7.820000000000000E+008,-2.895016595721245E-002,2.160631492733955E-002,-3.732959330081940E-001,-9.278485774993897E-001,-3.705874681472778E-001,-9.297766089439392E-001,-2.198198810219765E-002,2.241975069046021E-002,
8.290000000000000E+008,-3.631870076060295E-002,7.989907637238503E-003,-4.824263453483582E-001,-8.789383172988892E-001,-4.801127314567566E-001,-8.800529241561890E-001,-2.427924051880837E-002,-9.020038414746523E-004,
8.760000000000000E+008,-1.841728575527668E-002,1.674263924360275E-002,-5.800133347511292E-001,-8.156840205192566E-001,-5.815207362174988E-001,-8.159241676330566E-001,-3.857383504509926E-002,2.632731199264526E-002,
9.230000000000000E+008,-3.113687597215176E-002,3.474421054124832E-002,-6.721578240394592E-001,-7.412402629852295E-001,-6.736723780632019E-001,-7.431622743606567E-001,-1.286149676889181E-002,2.385890111327171E-002,
9.700000000000000E+008,-2.888682484626770E-002,2.138638496398926E-002,-7.569380402565002E-001,-6.545273661613464E-001,-7.571260929107666E-001,-6.585388779640198E-001,-3.600471466779709E-002,2.043299004435539E-002,
1.017000000000000E+009,-1.119898259639740E-002,3.937931358814240E-002,-8.300968408584595E-001,-5.662779808044434E-001,-8.296876549720764E-001,-5.655522346496582E-001,-1.745394617319107E-002,4.716831818223000E-002,
1.064000000000000E+009,-2.832698822021484E-002,5.227022990584374E-002,-8.971462249755859E-001,-4.591460824012756E-001,-8.938781023025513E-001,-4.621810019016266E-001,-1.394294016063213E-002,2.474845014512539E-002,
1.111000000000000E+009,-1.554443780332804E-002,2.570313960313797E-002,-9.392135739326477E-001,-3.531116545200348E-001,-9.410793185234070E-001,-3.523922264575958E-001,-2.598774433135986E-002,5.192409455776215E-002,
