% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-3.746656477451325E-001,1.843724250793457E-001,-8.926960825920105E-002,-7.669557332992554E-001,-9.239492565393448E-002,-7.610691785812378E-001,-3.721702992916107E-001,1.917032003402710E-001,
5.470000000000000E+008,-3.796926140785217E-001,2.340103089809418E-001,-1.928339153528214E-001,-7.277649641036987E-001,-1.987462788820267E-001,-7.294756174087524E-001,-3.492133617401123E-001,2.502230405807495E-001,
5.940000000000000E+008,-3.409385979175568E-001,2.932438552379608E-001,-2.993219494819641E-001,-6.693214178085327E-001,-2.946538925170898E-001,-6.728857755661011E-001,-3.339320123195648E-001,3.052237927913666E-001,
6.410000000000000E+008,-3.222929537296295E-001,3.612800836563110E-001,-3.772168457508087E-001,-6.226186752319336E-001,-3.725548684597015E-001,-6.177678704261780E-001,-2.952209711074829E-001,3.712772428989410E-001,
6.880000000000000E+008,-2.815198600292206E-001,4.065267443656921E-001,-4.490365684032440E-001,-5.471034646034241E-001,-4.555758833885193E-001,-5.486756563186646E-001,-2.483547478914261E-001,4.113097488880158E-001,
7.350000000000000E+008,-2.257338464260101E-001,4.559021294116974E-001,-5.083658099174500E-001,-4.604973196983337E-001,-5.075436234474182E-001,-4.657793939113617E-001,-2.057277560234070E-001,4.628599286079407E-001,
7.820000000000000E+008,-1.827993988990784E-001,5.012038350105286E-001,-5.639948248863220E-001,-3.924049735069275E-001,-5.586621165275574E-001,-3.935748934745789E-001,-1.317299157381058E-001,4.993906915187836E-001,
8.290000000000000E+008,-1.005122885107994E-001,5.254134535789490E-001,-5.958831906318665E-001,-2.993638515472412E-001,-6.006581783294678E-001,-2.978394031524658E-001,-7.816381752490997E-002,5.168480277061462E-001,
8.760000000000000E+008,-4.899504035711289E-002,5.632156729698181E-001,-6.089495420455933E-001,-2.148144841194153E-001,-6.120331883430481E-001,-2.156760990619659E-001,-4.357503727078438E-003,5.480729937553406E-001,
9.230000000000000E+008,1.972303353250027E-002,5.664257407188416E-001,-6.370370388031006E-001,-1.268241852521896E-001,-6.374639272689819E-001,-1.322358995676041E-001,7.537744194269180E-002,5.405166745185852E-001,
9.700000000000000E+008,1.231923326849937E-001,5.613391995429993E-001,-6.240735650062561E-001,-3.881668299436569E-002,-6.283338665962219E-001,-3.404699265956879E-002,1.330991387367249E-001,5.449808239936829E-001,
1.017000000000000E+009,1.604001224040985E-001,6.028822660446167E-001,-6.172696948051453E-001,2.580333873629570E-002,-6.172117590904236E-001,2.794982679188252E-002,2.231487184762955E-001,5.344256758689880E-001,
1.064000000000000E+009,2.410355806350708E-001,5.234720110893250E-001,-5.972416996955872E-001,1.257481426000595E-001,-6.088182926177979E-001,1.261997073888779E-001,2.800377011299133E-001,4.945408105850220E-001,
1.111000000000000E+009,3.623788058757782E-001,5.151233077049255E-001,-5.614820718765259E-001,1.853522956371307E-001,-5.591416954994202E-001,1.914207786321640E-001,3.490469157695770E-001,4.829853177070618E-001,
1.158000000000000E+009,3.918652236461639E-001,5.733281373977661E-001,-5.597853660583496E-001,2.496042400598526E-001,-5.503329634666443E-001,2.482827752828598E-001,4.260568916797638E-001,4.184376299381256E-001,
1.205000000000000E+009,4.104144573211670E-001,3.856966197490692E-001,-4.814134836196899E-001,3.105615079402924E-001,-4.873870909214020E-001,3.368189334869385E-001,4.560917615890503E-001,3.771372735500336E-001,
1.252000000000000E+009,6.108853220939636E-001,3.647615015506744E-001,-4.404269158840179E-001,3.692331910133362E-001,-4.439216256141663E-001,3.592451512813568E-001,5.347793698310852E-001,3.250078260898590E-001,
1.299000000000000E+009,6.439421176910400E-001,4.217908382415772E-001,-4.124258458614349E-001,4.738564789295197E-001,-4.096473753452301E-001,4.485451281070709E-001,5.498020648956299E-001,2.333700060844421E-001,
1.346000000000000E+009,5.106341242790222E-001,2.178241759538651E-001,-3.635716438293457E-001,4.625447094440460E-001,-3.063892126083374E-001,4.740280807018280E-001,5.904161334037781E-001,2.030527740716934E-001,
1.393000000000000E+009,7.607014179229736E-001,5.216233432292938E-002,-2.760275900363922E-001,4.957989156246185E-001,-3.020335137844086E-001,5.252574682235718E-001,6.283490061759949E-001,8.566627651453018E-002,
1.440000000000000E+009,7.634375691413879E-001,1.093817949295044E-001,-1.288928836584091E-001,5.682941079139710E-001,-1.522592306137085E-001,5.742421746253967E-001,6.078714728355408E-001,4.986429214477539E-002,
