% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,7.568713277578354E-003,5.377644207328558E-003,9.523115754127502E-001,-2.301377803087235E-002,1.040321111679077E+000,-1.752442121505737E-002,-1.901235990226269E-002,-2.443425357341766E-002,
3.399000000000000E+007,-6.883873138576746E-003,-2.002045698463917E-002,9.970843195915222E-001,-1.056177020072937E-001,9.852951169013977E-001,-1.231094226241112E-001,-6.186456419527531E-003,-2.027142047882080E-002,
5.798000000000000E+007,-7.339038886129856E-003,-3.599833697080612E-002,9.755456447601318E-001,-1.845696270465851E-001,9.795646667480469E-001,-1.949131041765213E-001,-1.058464404195547E-002,-4.177130013704300E-002,
8.197000000000000E+007,-2.022385597229004E-002,-5.674717575311661E-002,9.455914497375488E-001,-2.698508501052856E-001,9.547786712646484E-001,-2.755825221538544E-001,-1.664374396204948E-002,-4.776895418763161E-002,
1.059600000000000E+008,-2.232370153069496E-002,-6.708797067403793E-002,9.282475113868713E-001,-3.339997828006744E-001,9.278686642646790E-001,-3.317849338054657E-001,-2.748018130660057E-002,-6.008791923522949E-002,
1.299500000000000E+008,-3.118043579161167E-002,-7.330579310655594E-002,8.948790431022644E-001,-4.084693491458893E-001,8.882261514663696E-001,-4.093811511993408E-001,-3.328421339392662E-002,-7.519927620887756E-002,
1.539400000000000E+008,-5.098283663392067E-002,-7.870675623416901E-002,8.575348258018494E-001,-4.748136997222900E-001,8.575739860534668E-001,-4.698547720909119E-001,-4.934318363666534E-002,-8.791083097457886E-002,
1.779300000000000E+008,-7.104141265153885E-002,-8.968086540699005E-002,8.153154850006104E-001,-5.375123023986816E-001,8.175938725471497E-001,-5.365791916847229E-001,-7.181494683027268E-002,-9.527809172868729E-002,
2.019200000000000E+008,-8.487180620431900E-002,-1.009811013936997E-001,7.658079862594605E-001,-5.938050746917725E-001,7.673985362052918E-001,-5.961077213287354E-001,-8.969600498676300E-002,-9.136758744716644E-002,
2.259100000000000E+008,-9.630571305751801E-002,-1.076363995671272E-001,7.186127901077271E-001,-6.486843228340149E-001,7.175462841987610E-001,-6.467775702476502E-001,-1.016583293676376E-001,-8.875767886638641E-002,
2.499000000000000E+008,-1.107031926512718E-001,-1.013132929801941E-001,6.621068120002747E-001,-7.013468146324158E-001,6.606193184852600E-001,-7.002132534980774E-001,-1.157462894916534E-001,-9.673486649990082E-002,
2.738900000000000E+008,-1.311254650354385E-001,-9.259876608848572E-002,6.037200689315796E-001,-7.445862293243408E-001,6.023560762405396E-001,-7.437434196472168E-001,-1.364012807607651E-001,-1.025009974837303E-001,
2.978800000000000E+008,-1.572144180536270E-001,-9.111857414245606E-002,5.409492850303650E-001,-7.863070964813232E-001,5.414044857025147E-001,-7.829186320304871E-001,-1.632422655820847E-001,-9.599661082029343E-002,
3.218700000000000E+008,-1.783018857240677E-001,-9.273541718721390E-002,4.779785275459290E-001,-8.171550035476685E-001,4.820219278335571E-001,-8.195616602897644E-001,-1.836494654417038E-001,-7.756438106298447E-002,
3.458600000000000E+008,-1.898918896913528E-001,-9.126590192317963E-002,4.160845875740051E-001,-8.522111773490906E-001,4.166028797626495E-001,-8.482389450073242E-001,-1.929183006286621E-001,-6.277277320623398E-002,
3.698500000000000E+008,-1.982944011688232E-001,-7.591850310564041E-002,3.458694815635681E-001,-8.757527470588684E-001,3.462024331092835E-001,-8.742349147796631E-001,-2.011382132768631E-001,-5.802147090435028E-002,
3.938400000000000E+008,-2.136649191379547E-001,-5.307631194591522E-002,2.759451866149902E-001,-8.918924331665039E-001,2.776418924331665E-001,-8.913856744766235E-001,-2.250169515609741E-001,-5.480349808931351E-002,
4.178300000000000E+008,-2.373558133840561E-001,-3.464701026678085E-002,2.071524113416672E-001,-9.021559953689575E-001,2.069384902715683E-001,-9.040883183479309E-001,-2.512716352939606E-001,-3.578973188996315E-002,
4.418200000000000E+008,-2.611735463142395E-001,-2.662784978747368E-002,1.398153901100159E-001,-9.131359457969666E-001,1.429113447666168E-001,-9.097903370857239E-001,-2.638133168220520E-001,-6.101506296545267E-003,
4.658100000000000E+008,-2.724156081676483E-001,-2.055040001869202E-002,7.190670073032379E-002,-9.173102974891663E-001,7.587904483079910E-002,-9.149967432022095E-001,-2.625833451747894E-001,2.053152769804001E-002,
4.898000000000000E+008,-2.708627879619598E-001,-2.133165486156941E-003,1.321945339441299E-003,-9.144883751869202E-001,5.420451983809471E-003,-9.138257503509522E-001,-2.631962299346924E-001,3.282241895794869E-002,
5.137900000000000E+008,-2.700355648994446E-001,3.173313289880753E-002,-6.660854816436768E-002,-9.040665626525879E-001,-6.426939368247986E-002,-9.048077464103699E-001,-2.815485000610352E-001,4.470811784267426E-002,
5.377800000000000E+008,-2.812719047069550E-001,6.456853449344635E-002,-1.308595240116119E-001,-8.876407146453857E-001,-1.295706331729889E-001,-8.877029418945313E-001,-2.999928891658783E-001,7.320849597454071E-002,
5.617700000000000E+008,-3.018346726894379E-001,8.643435686826706E-002,-1.901273578405380E-001,-8.686776161193848E-001,-1.899556666612625E-001,-8.697435855865479E-001,-3.021676540374756E-001,1.133346557617188E-001,
5.857600000000000E+008,-3.142850399017334E-001,9.657675027847290E-002,-2.553417384624481E-001,-8.495322465896606E-001,-2.506944537162781E-001,-8.511500358581543E-001,-2.873868644237518E-001,1.409773975610733E-001,
6.097500000000000E+008,-3.060998022556305E-001,1.093539521098137E-001,-3.179280459880829E-001,-8.201472759246826E-001,-3.128912448883057E-001,-8.286691904067993E-001,-2.783013582229614E-001,1.539812386035919E-001,
6.337400000000000E+008,-2.859583199024200E-001,1.401303857564926E-001,-3.729825317859650E-001,-7.897086739540100E-001,-3.737359941005707E-001,-7.939661145210266E-001,-2.835273742675781E-001,1.712559759616852E-001,
6.577300000000000E+008,-2.746746242046356E-001,1.813492923974991E-001,-4.250866472721100E-001,-7.540017366409302E-001,-4.238501191139221E-001,-7.536497712135315E-001,-2.920845746994019E-001,2.062618583440781E-001,
6.817200000000000E+008,-2.829093635082245E-001,2.157828807830811E-001,-4.700489640235901E-001,-7.150605320930481E-001,-4.681216478347778E-001,-7.172293066978455E-001,-2.800884842872620E-001,2.476324737071991E-001,
7.057100000000000E+008,-2.976333498954773E-001,2.331370264291763E-001,-5.156506896018982E-001,-6.764427423477173E-001,-5.143035650253296E-001,-6.818321943283081E-001,-2.524358332157135E-001,2.729336619377136E-001,
7.297000000000000E+008,-2.906236350536346E-001,2.387784421443939E-001,-5.643602013587952E-001,-6.289567351341248E-001,-5.653324723243713E-001,-6.401063799858093E-001,-2.309514880180359E-001,2.820657789707184E-001,
7.536900000000000E+008,-2.572773396968842E-001,2.539592385292053E-001,-6.043013334274292E-001,-5.816157460212708E-001,-6.082195639610291E-001,-5.888363718986511E-001,-2.269206643104553E-001,2.973189651966095E-001,
7.776800000000000E+008,-2.196037918329239E-001,2.877110838890076E-001,-6.387451291084290E-001,-5.328364372253418E-001,-6.394256353378296E-001,-5.337901711463928E-001,-2.221955507993698E-001,3.313437104225159E-001,
8.016700000000000E+008,-2.032501101493835E-001,3.285934925079346E-001,-6.647813320159912E-001,-4.841837882995606E-001,-6.637625694274902E-001,-4.855095148086548E-001,-1.954040229320526E-001,3.697678446769714E-001,
8.256600000000000E+008,-2.129661440849304E-001,3.580125570297241E-001,-6.897790431976318E-001,-4.385406374931335E-001,-6.908674240112305E-001,-4.424550235271454E-001,-1.564300954341888E-001,3.878785371780396E-001,
8.496500000000000E+008,-2.172685861587524E-001,3.641631603240967E-001,-7.129330635070801E-001,-3.835097551345825E-001,-7.235527634620667E-001,-3.906900286674500E-001,-1.268119364976883E-001,3.883748948574066E-001,
8.736400000000000E+008,-1.878673434257507E-001,3.607647716999054E-001,-7.360738515853882E-001,-3.252106606960297E-001,-7.474430799484253E-001,-3.275171816349030E-001,-1.142444685101509E-001,3.943015336990356E-001,
8.976300000000000E+008,-1.324292421340942E-001,3.686235547065735E-001,-7.517063021659851E-001,-2.667780816555023E-001,-7.563919425010681E-001,-2.665492594242096E-001,-9.818924963474274E-002,4.223254919052124E-001,
9.216200000000000E+008,-8.825931698083878E-002,3.989312648773193E-001,-7.588686347007752E-001,-2.138645946979523E-001,-7.592563629150391E-001,-2.160712480545044E-001,-6.055913865566254E-002,4.508352577686310E-001,
9.456100000000000E+008,-7.753026485443115E-002,4.371252357959747E-001,-7.664600014686585E-001,-1.685435175895691E-001,-7.682594656944275E-001,-1.701305657625198E-001,-1.197106670588255E-002,4.578089416027069E-001,
9.696000000000000E+008,-8.549725264310837E-002,4.557008147239685E-001,-7.720707058906555E-001,-1.158327236771584E-001,-7.815924882888794E-001,-1.166677474975586E-001,2.095528133213520E-002,4.472369253635407E-001,
9.935900000000000E+008,-7.338596880435944E-002,4.459717273712158E-001,-7.698063850402832E-001,-5.739297717809677E-002,-7.856183648109436E-001,-5.064173787832260E-002,3.777916729450226E-002,4.431118369102478E-001,
1.017580000000000E+009,-2.056281268596649E-002,4.251262247562408E-001,-7.652245163917542E-001,2.715784125030041E-003,-7.706375718116760E-001,1.056897360831499E-002,5.827220901846886E-002,4.592745900154114E-001,
1.041570000000000E+009,4.145976528525353E-002,4.229399263858795E-001,-7.534345984458923E-001,5.350130051374435E-002,-7.552841901779175E-001,5.554989725351334E-002,1.037623435258865E-001,4.759046137332916E-001,
1.065560000000000E+009,8.010097593069077E-002,4.521905183792114E-001,-7.468619942665100E-001,9.867807477712631E-002,-7.466204762458801E-001,9.689448773860931E-002,1.549884080886841E-001,4.675937294960022E-001,
1.089550000000000E+009,8.518421649932861E-002,4.869592487812042E-001,-7.398768067359924E-001,1.440915912389755E-001,-7.429257631301880E-001,1.473728269338608E-001,1.887743175029755E-001,4.432672858238220E-001,
1.113540000000000E+009,8.402960002422333E-002,4.883326888084412E-001,-7.230193018913269E-001,1.946207433938980E-001,-7.271179556846619E-001,2.075463086366653E-001,2.031051516532898E-001,4.291519522666931E-001,
1.137530000000000E+009,1.111544519662857E-001,4.494583308696747E-001,-6.935386657714844E-001,2.456860840320587E-001,-6.950982809066773E-001,2.612290382385254E-001,2.257055193185806E-001,4.343170225620270E-001,
1.161520000000000E+009,1.679697781801224E-001,4.090336561203003E-001,-6.639184951782227E-001,2.890544533729553E-001,-6.615750193595886E-001,2.966340184211731E-001,2.716416418552399E-001,4.362786710262299E-001,
1.185510000000000E+009,2.247697561979294E-001,4.076459705829620E-001,-6.405030488967896E-001,3.272353112697601E-001,-6.406798362731934E-001,3.276236653327942E-001,3.211939930915833E-001,4.127104580402374E-001,
1.209500000000000E+009,2.569805681705475E-001,4.397235214710236E-001,-6.235995888710022E-001,3.680891990661621E-001,-6.248541474342346E-001,3.687056601047516E-001,3.495086431503296E-001,3.751327693462372E-001,
1.233490000000000E+009,2.627423703670502E-001,4.620023071765900E-001,-5.981489419937134E-001,4.095084965229034E-001,-5.945479273796082E-001,4.196815490722656E-001,3.583477139472961E-001,3.505679368972778E-001,
1.257480000000000E+009,2.629628181457520E-001,4.312878549098969E-001,-5.607774853706360E-001,4.453610181808472E-001,-5.489795804023743E-001,4.592173993587494E-001,3.780736327171326E-001,3.469352126121521E-001,
