% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.240281701087952E+000,-2.860804557800293E+000,1.355888724327087E+000,3.194511890411377E+000,1.177928805351257E+000,3.194331407546997E+000,-1.855592012405396E+000,-2.795883178710938E+000,
3.399000000000000E+007,-3.365541100502014E-001,1.008859649300575E-001,8.993999361991882E-001,-4.292055070400238E-001,8.824204802513123E-001,-4.472627937793732E-001,3.020115494728088E-001,-1.536171734333038E-001,
5.798000000000000E+007,-1.594370007514954E-001,-1.092178151011467E-001,8.911472558975220E-001,-3.070320785045624E-001,8.928269743919373E-001,-3.025828003883362E-001,-5.225636065006256E-002,-1.680865585803986E-001,
8.197000000000000E+007,-2.464812621474266E-002,-1.973174661397934E-001,8.752011656761169E-001,-3.701624274253845E-001,8.759912848472595E-001,-3.526914119720459E-001,-1.420798748731613E-001,-3.050540201365948E-002,
1.059600000000000E+008,6.315826624631882E-002,-1.237197518348694E-001,8.760125637054443E-001,-3.922038674354553E-001,8.801855444908142E-001,-3.744446337223053E-001,-3.073128312826157E-002,3.116926923394203E-002,
1.299500000000000E+008,8.764593303203583E-002,-3.243224695324898E-002,8.434476852416992E-001,-4.423855543136597E-001,8.424602150917053E-001,-4.409554600715637E-001,3.438669443130493E-002,-2.880883030593395E-002,
1.539400000000000E+008,1.150741800665855E-002,2.939992398023605E-002,8.258764147758484E-001,-4.858269393444061E-001,8.129854798316956E-001,-4.837045669555664E-001,-1.039894483983517E-002,-1.024832203984261E-001,
1.779300000000000E+008,-8.403181284666061E-002,1.433368679136038E-002,7.864522933959961E-001,-5.410808324813843E-001,7.823399305343628E-001,-5.318690538406372E-001,-7.691990584135056E-002,-8.959851413965225E-002,
2.019200000000000E+008,-1.339815109968185E-001,-6.134672090411186E-002,7.493807673454285E-001,-5.865618586540222E-001,7.486674785614014E-001,-5.841351151466370E-001,-8.727184683084488E-002,-4.676374420523644E-002,
2.259100000000000E+008,-1.103356927633286E-001,-1.334559768438339E-001,6.913480758666992E-001,-6.507714986801148E-001,7.080332636833191E-001,-6.417616605758667E-001,-6.138705462217331E-002,-3.900485485792160E-002,
2.499000000000000E+008,-4.607654735445976E-002,-1.403940469026566E-001,6.451032757759094E-001,-6.988657712936401E-001,6.568375229835510E-001,-6.932137608528137E-001,-5.974803492426872E-002,-7.132516056299210E-002,
