% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-1.849687471985817E-002,1.816359581425786E-004,2.926841974258423E-001,-9.488005638122559E-001,2.915771007537842E-001,-9.512025117874146E-001,-2.926126867532730E-002,-1.392764691263437E-002,
5.470000000000000E+008,-4.832227900624275E-002,-4.621014930307865E-003,1.771791279315949E-001,-9.776388406753540E-001,1.749805808067322E-001,-9.782336950302124E-001,-3.395894169807434E-002,-1.042907126247883E-002,
5.940000000000000E+008,-3.342400491237640E-002,-2.122859284281731E-002,5.674139410257340E-002,-9.937220215797424E-001,5.723238363862038E-002,-9.894978404045105E-001,-3.871582075953484E-002,-6.982394959777594E-003,
6.410000000000000E+008,-2.979934215545654E-002,1.140439789742231E-002,-6.196604296565056E-002,-9.908103346824646E-001,-5.950362235307694E-002,-9.898601770401001E-001,-4.311350360512734E-002,-2.472841297276318E-004,
6.880000000000000E+008,-6.103071942925453E-002,1.347650215029717E-002,-1.782431751489639E-001,-9.760838150978088E-001,-1.775982230901718E-001,-9.760342240333557E-001,-4.592985659837723E-002,5.196807906031609E-003,
7.350000000000000E+008,-4.657737165689468E-002,-4.126944113522768E-003,-2.958284616470337E-001,-9.469472765922546E-001,-2.921882569789887E-001,-9.473280906677246E-001,-4.985106736421585E-002,1.208860706537962E-002,
7.820000000000000E+008,-3.523687645792961E-002,3.085234574973583E-002,-4.049265384674072E-001,-9.040079116821289E-001,-4.032923281192780E-001,-9.059840440750122E-001,-5.041535198688507E-002,2.118945494294167E-002,
8.290000000000000E+008,-6.406863778829575E-002,3.788933530449867E-002,-5.102067589759827E-001,-8.494282960891724E-001,-5.079491734504700E-001,-8.521456718444824E-001,-5.193738639354706E-002,2.764127217233181E-002,
8.760000000000000E+008,-4.863761365413666E-002,2.306293882429600E-002,-6.065463423728943E-001,-7.828536033630371E-001,-6.062012910842896E-001,-7.830543518066406E-001,-4.982518032193184E-002,3.822454437613487E-002,
9.230000000000000E+008,-3.456654399633408E-002,5.652333796024323E-002,-6.942954063415527E-001,-7.038113474845886E-001,-6.948544979095459E-001,-7.051693797111511E-001,-4.760596528649330E-002,4.672743007540703E-002,
9.700000000000000E+008,-5.441044643521309E-002,6.131252273917198E-002,-7.732475996017456E-001,-6.139069795608521E-001,-7.739742398262024E-001,-6.186410784721375E-001,-4.437698796391487E-002,5.644088611006737E-002,
1.017000000000000E+009,-3.370368853211403E-002,5.427451804280281E-002,-8.430892825126648E-001,-5.208661556243897E-001,-8.420789241790772E-001,-5.207622647285461E-001,-3.690366074442864E-002,6.438696384429932E-002,
1.064000000000000E+009,-2.166347578167915E-002,8.524740487337112E-002,-9.010749459266663E-001,-4.105372726917267E-001,-8.992659449577332E-001,-4.155012369155884E-001,-3.242351114749908E-002,7.228871434926987E-002,
1.111000000000000E+009,-3.423502296209335E-002,7.592404633760452E-002,-9.375794529914856E-001,-3.054540455341339E-001,-9.395884871482849E-001,-3.048432767391205E-001,-2.147534675896168E-002,7.991813868284226E-002,
1.158000000000000E+009,8.585846982896328E-003,7.774174958467484E-002,-9.696525931358337E-001,-1.907571703195572E-001,-9.691377282142639E-001,-1.912722289562225E-001,-1.471461728215218E-002,8.478096872568131E-002,
1.205000000000000E+009,4.877361934632063E-003,1.139693334698677E-001,-9.708186388015747E-001,-6.203717365860939E-002,-9.839171767234802E-001,-7.206112146377564E-002,-1.880950760096312E-003,9.567359834909439E-002,
1.252000000000000E+009,-1.979409344494343E-002,7.765763998031616E-002,-9.828815460205078E-001,4.850839078426361E-002,-9.829209446907044E-001,4.698822274804115E-002,9.755201637744904E-003,8.874192088842392E-002,
1.299000000000000E+009,6.185883656144142E-002,5.366183072328568E-002,-9.718595743179321E-001,1.601665019989014E-001,-9.653356671333313E-001,1.621938645839691E-001,1.967835053801537E-002,1.021521911025047E-001,
1.346000000000000E+009,6.803079694509506E-002,1.276229768991470E-001,-9.299794435501099E-001,2.556690275669098E-001,-9.375653266906738E-001,2.710244953632355E-001,4.354869201779366E-002,8.798500150442123E-002,
1.393000000000000E+009,-4.107496235519648E-003,1.127741560339928E-001,-8.890178799629211E-001,3.810643851757050E-001,-8.941415548324585E-001,3.788480758666992E-001,3.558892011642456E-002,9.857036918401718E-002,
1.440000000000000E+009,3.324144706130028E-002,2.506143599748612E-002,-8.469231724739075E-001,4.768333733081818E-001,-8.416782021522522E-001,4.658773839473724E-001,7.764129340648651E-002,8.703172206878662E-002,
1.487000000000000E+009,1.008065715432167E-001,5.913983657956123E-002,-8.212227821350098E-001,5.681295394897461E-001,-8.025046586990356E-001,5.634194612503052E-001,5.218355357646942E-002,8.789418637752533E-002,
1.534000000000000E+009,8.209583163261414E-002,1.005249097943306E-001,-7.238338589668274E-001,6.562253236770630E-001,-7.351416349411011E-001,6.603196859359741E-001,1.066178828477860E-001,8.106128871440888E-002,
1.581000000000000E+009,6.144485250115395E-002,8.393035084009171E-002,-6.485623121261597E-001,7.586707472801209E-001,-6.526921391487122E-001,7.577007412910461E-001,7.949373871088028E-002,5.848041549324989E-002,
1.628000000000000E+009,7.621235400438309E-002,5.970272049307823E-002,-5.549103021621704E-001,8.476318120956421E-001,-5.474561452865601E-001,8.348195552825928E-001,1.202580481767654E-001,6.856513768434525E-002,
1.675000000000000E+009,1.035870015621185E-001,3.835577517747879E-002,-4.444733262062073E-001,8.836438655853272E-001,-4.409475326538086E-001,8.919002413749695E-001,1.117673888802528E-001,3.159336373209953E-002,
1.722000000000000E+009,1.338303238153458E-001,5.328778550028801E-002,-3.235508501529694E-001,9.441760182380676E-001,-3.268416821956635E-001,9.375402331352234E-001,1.228415295481682E-001,4.048517718911171E-002,
1.769000000000000E+009,1.077245771884918E-001,5.271956697106361E-002,-2.103073447942734E-001,9.740532636642456E-001,-2.123177200555801E-001,9.677621126174927E-001,1.334321051836014E-001,9.021081030368805E-003,
1.816000000000000E+009,1.108969971537590E-001,-3.337301313877106E-004,-1.040536239743233E-001,9.797623157501221E-001,-9.244370460510254E-002,9.809997081756592E-001,1.252764612436295E-001,2.386070322245359E-003,
1.863000000000000E+009,1.561949998140335E-001,-1.272049150429666E-003,2.511936053633690E-002,9.849274158477783E-001,2.171454392373562E-002,9.821137189865112E-001,1.390410363674164E-001,-1.457867771387100E-002,
1.910000000000000E+009,1.268644034862518E-001,1.185698248445988E-002,1.441376805305481E-001,9.763836264610291E-001,1.357326805591583E-001,9.752944111824036E-001,1.291327625513077E-001,-3.444622457027435E-002,
1.957000000000000E+009,1.142237782478333E-001,-4.452204331755638E-002,2.492738217115402E-001,9.519567489624023E-001,2.563787996768951E-001,9.505637288093567E-001,1.304848343133926E-001,-4.317935928702354E-002,
2.004000000000000E+009,1.535660922527313E-001,-5.265033245086670E-002,3.644341230392456E-001,9.097524881362915E-001,3.638347685337067E-001,9.096161723136902E-001,1.272230893373489E-001,-6.659659743309021E-002,
