% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-9.017274715006352E-003,1.009378116577864E-003,9.938465952873230E-001,-3.402307629585266E-002,9.612156748771668E-001,-6.355161964893341E-002,2.313417755067349E-002,7.888084277510643E-003,
3.399000000000000E+007,-4.965403117239475E-003,1.326049584895372E-002,9.912146925926209E-001,-9.629917144775391E-002,9.985839128494263E-001,-8.060796558856964E-002,3.360118949785829E-003,-1.771792769432068E-002,
5.798000000000000E+007,-3.633609740063548E-003,-1.645660726353526E-003,9.581096172332764E-001,-1.809933185577393E-001,9.761349558830261E-001,-1.840700209140778E-001,-1.815321971662343E-003,-8.024484850466251E-003,
8.197000000000000E+007,3.538501216098666E-003,-1.232714112848043E-002,9.477656483650208E-001,-2.303768247365952E-001,9.535301327705383E-001,-2.460861802101135E-001,6.057772785425186E-003,2.787099452689290E-003,
1.059600000000000E+008,1.331224292516708E-002,-1.902387849986553E-002,9.211333990097046E-001,-3.032051920890808E-001,9.257338643074036E-001,-3.040675222873688E-001,1.689599640667439E-002,-4.803048446774483E-003,
1.299500000000000E+008,2.103547751903534E-002,-1.478100940585136E-002,9.007012248039246E-001,-3.609411120414734E-001,8.993517756462097E-001,-3.624534308910370E-001,2.089724130928516E-002,-2.020185999572277E-002,
1.539400000000000E+008,9.906506165862083E-003,-1.281826943159103E-002,8.707251548767090E-001,-4.252062439918518E-001,8.722379207611084E-001,-4.221608042716980E-001,1.056736987084150E-002,-2.899516187608242E-002,
1.779300000000000E+008,3.375954693183303E-003,-2.211072482168675E-002,8.370790481567383E-001,-4.811130464076996E-001,8.373509645462036E-001,-4.843819737434387E-001,1.304116100072861E-003,-3.125557675957680E-002,
2.019200000000000E+008,-2.891600131988525E-003,-3.811531141400337E-002,7.951905727386475E-001,-5.329149961471558E-001,7.985286116600037E-001,-5.354223847389221E-001,2.412635134533048E-003,-2.786892093718052E-002,
2.259100000000000E+008,3.972769714891911E-003,-4.885178059339523E-002,7.575431466102600E-001,-5.851792097091675E-001,7.578387856483460E-001,-5.880149006843567E-001,6.707192398607731E-003,-3.135396540164948E-002,
2.499000000000000E+008,7.299436256289482E-003,-4.755369201302528E-002,7.163859009742737E-001,-6.334173679351807E-001,7.154059410095215E-001,-6.302127242088318E-001,6.682861596345902E-003,-4.527172818779945E-002,
2.738900000000000E+008,9.924531332217157E-005,-4.096470773220062E-002,6.691409945487976E-001,-6.756137609481812E-001,6.685156822204590E-001,-6.796952486038208E-001,-5.139322951436043E-003,-5.821450054645538E-002,
2.978800000000000E+008,-1.865451410412788E-002,-4.384485259652138E-002,6.184162497520447E-001,-7.175608873367310E-001,6.194911003112793E-001,-7.179748415946960E-001,-2.092553116381168E-002,-5.931906029582024E-002,
3.218700000000000E+008,-3.272710368037224E-002,-5.936027318239212E-002,5.674219727516174E-001,-7.557444572448731E-001,5.707864165306091E-001,-7.559135556221008E-001,-2.862045727670193E-002,-5.239259824156761E-002,
3.458600000000000E+008,-3.233536332845688E-002,-7.151761651039124E-002,5.168579816818237E-001,-7.887030839920044E-001,5.196034312248230E-001,-7.918930649757385E-001,-2.482204325497150E-002,-5.066451057791710E-002,
3.698500000000000E+008,-2.717417106032372E-002,-7.159342616796494E-002,4.619412720203400E-001,-8.215540647506714E-001,4.622754454612732E-001,-8.203727006912231E-001,-2.701855823397636E-002,-6.125957146286964E-002,
3.938400000000000E+008,-3.265888243913651E-002,-5.976280942559242E-002,4.044872820377350E-001,-8.480874300003052E-001,4.036832153797150E-001,-8.484602570533752E-001,-4.147091135382652E-002,-7.154492288827896E-002,
4.178300000000000E+008,-5.233941599726677E-002,-5.017900094389916E-002,3.447929024696350E-001,-8.680809140205383E-001,3.457444906234741E-001,-8.682144284248352E-001,-6.241797283291817E-002,-6.939154863357544E-002,
4.418200000000000E+008,-7.430530339479446E-002,-5.725627020001411E-002,2.867443561553955E-001,-8.853149414062500E-001,2.880279719829559E-001,-8.878019452095032E-001,-7.363425195217133E-002,-5.626986920833588E-002,
4.658100000000000E+008,-8.265902847051621E-002,-7.094157487154007E-002,2.281759679317474E-001,-9.017732143402100E-001,2.283241152763367E-001,-9.027754068374634E-001,-7.123096287250519E-002,-4.742114245891571E-002,
4.898000000000000E+008,-7.662401348352432E-002,-7.524894177913666E-002,1.662147641181946E-001,-9.142816066741943E-001,1.666939705610275E-001,-9.141106605529785E-001,-7.055265456438065E-002,-5.272151902318001E-002,
5.137900000000000E+008,-7.350632548332214E-002,-5.868151783943176E-002,1.031245216727257E-001,-9.207359552383423E-001,1.034948676824570E-001,-9.213181734085083E-001,-8.488921821117401E-002,-6.057659536600113E-002,
5.377800000000000E+008,-8.732698857784271E-002,-3.682492673397064E-002,4.283188655972481E-002,-9.210423827171326E-001,4.465019330382347E-002,-9.219195246696472E-001,-1.080205813050270E-001,-5.445992946624756E-002,
