% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,5.193698685616255E-003,-7.748202420771122E-003,1.003925204277039E+000,-1.689076423645020E-003,1.010774254798889E+000,-7.649251073598862E-002,-1.845744624733925E-002,2.808640524744988E-002,
3.399000000000000E+007,2.813561295624822E-004,8.646091446280479E-003,9.892555475234985E-001,-8.791248500347138E-002,9.703436493873596E-001,-7.835695147514343E-002,5.992325954139233E-003,5.253721494227648E-003,
5.798000000000000E+007,-6.868313997983933E-003,-4.389729816466570E-003,9.881813526153565E-001,-1.489437371492386E-001,9.754327535629273E-001,-1.362756192684174E-001,-9.945310885086656E-004,7.790209259837866E-003,
8.197000000000000E+007,4.145403858274221E-003,-4.395240452140570E-003,9.781503677368164E-001,-2.006485313177109E-001,9.761630892753601E-001,-2.035269886255264E-001,4.135381605010480E-004,1.803346094675362E-004,
1.059600000000000E+008,3.617407055571675E-003,-4.016861319541931E-003,9.573242068290710E-001,-2.694786190986633E-001,9.611247777938843E-001,-2.630840241909027E-001,2.060335129499435E-003,-1.121544046327472E-003,
1.299500000000000E+008,4.032902419567108E-003,-2.528651617467403E-003,9.414877891540527E-001,-3.226054310798645E-001,9.428575038909912E-001,-3.188816308975220E-001,2.777048619464040E-003,-6.220406387001276E-003,
1.539400000000000E+008,2.380735939368606E-003,-1.478901715017855E-003,9.217963814735413E-001,-3.696082830429077E-001,9.189584255218506E-001,-3.783629238605499E-001,2.019109902903438E-003,-3.965436946600676E-003,
1.779300000000000E+008,-3.515881719067693E-003,-1.918657217174768E-003,8.967487812042236E-001,-4.279596209526062E-001,8.958467841148377E-001,-4.295018613338471E-001,-3.965539508499205E-004,-5.412647034972906E-003,
2.019200000000000E+008,-2.365260384976864E-003,-7.515797391533852E-003,8.702059984207153E-001,-4.858471155166626E-001,8.685309886932373E-001,-4.862596392631531E-001,2.485976787284017E-003,-4.059905186295509E-003,
2.259100000000000E+008,1.540520344860852E-003,-9.793815203011036E-003,8.374418616294861E-001,-5.358372926712036E-001,8.430889844894409E-001,-5.350584983825684E-001,2.099434379488230E-003,-2.579385414719582E-003,
2.499000000000000E+008,2.818213310092688E-003,-6.299962289631367E-003,8.040567040443420E-001,-5.842322707176209E-001,8.020260930061340E-001,-5.853681564331055E-001,1.263357815332711E-003,-7.348375394940376E-003,
2.738900000000000E+008,-5.950229824520648E-004,-3.056779969483614E-003,7.655632495880127E-001,-6.360108852386475E-001,7.672321796417236E-001,-6.323541402816773E-001,-1.447737799026072E-003,-9.875081479549408E-003,
2.978800000000000E+008,-6.566694937646389E-003,-6.725810933858156E-003,7.274417281150818E-001,-6.762031912803650E-001,7.283954024314880E-001,-6.782492399215698E-001,-4.711149260401726E-003,-8.180234581232071E-003,
3.218700000000000E+008,-6.089288741350174E-003,-1.249412726610899E-002,6.868421435356140E-001,-7.199565172195435E-001,6.868926882743835E-001,-7.205607295036316E-001,-4.238110035657883E-003,-6.198807153850794E-003,
3.458600000000000E+008,-1.660121604800224E-003,-1.395855564624071E-002,6.406322717666626E-001,-7.583891749382019E-001,6.394758820533752E-001,-7.613407373428345E-001,-2.991417888551951E-003,-6.672795396298170E-003,
3.698500000000000E+008,1.631492399610579E-003,-8.847246877849102E-003,5.951497554779053E-001,-7.971192598342896E-001,5.919576883316040E-001,-7.961681485176086E-001,-4.294416401535273E-003,-8.782274089753628E-003,
3.938400000000000E+008,-4.868830088526011E-003,-2.828402444720268E-003,5.437647104263306E-001,-8.314657807350159E-001,5.437074899673462E-001,-8.305888175964356E-001,-8.014374412596226E-003,-1.094207167625427E-002,
4.178300000000000E+008,-1.498390454798937E-002,-4.864658694714308E-003,4.942632317543030E-001,-8.639856576919556E-001,4.913940727710724E-001,-8.632042407989502E-001,-1.057084556668997E-002,-1.028563361614943E-002,
4.418200000000000E+008,-1.799774914979935E-002,-1.330770831555128E-002,4.411925971508026E-001,-8.897304534912109E-001,4.404518902301788E-001,-8.890798091888428E-001,-1.178120914846659E-002,-7.999511435627937E-003,
4.658100000000000E+008,-1.172725204378367E-002,-1.995048858225346E-002,3.866034746170044E-001,-9.167268872261047E-001,3.844825029373169E-001,-9.159843921661377E-001,-1.021251082420349E-002,-7.057047914713621E-003,
4.898000000000000E+008,-2.436732873320580E-003,-1.456901431083679E-002,3.299919068813324E-001,-9.365860223770142E-001,3.291359841823578E-001,-9.376422762870789E-001,-1.007985044270754E-002,-8.603363297879696E-003,
