% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.012682244181633E-001,2.129630744457245E-002,8.537777662277222E-001,5.514107644557953E-003,8.826341032981873E-001,3.368144482374191E-002,9.179505705833435E-002,-6.169614195823669E-002,
3.399000000000000E+007,1.923306472599506E-002,8.651017397642136E-002,9.089080691337585E-001,-5.846346169710159E-002,9.130173921585083E-001,-4.303007572889328E-002,-3.589458018541336E-002,-7.081405818462372E-002,
5.798000000000000E+007,-4.112052544951439E-002,6.288927793502808E-002,9.333322644233704E-001,-9.381584823131561E-002,9.210138320922852E-001,-9.359205514192581E-002,-6.831779330968857E-002,3.540672734379768E-002,
8.197000000000000E+007,-7.193086296319962E-002,-1.749277114868164E-003,9.291952848434448E-001,-1.530341207981110E-001,9.299237132072449E-001,-1.469742506742477E-001,1.404336187988520E-002,6.851620972156525E-002,
1.059600000000000E+008,-3.053124435245991E-002,-5.773017928004265E-002,9.307956695556641E-001,-2.098148465156555E-001,9.377485513687134E-001,-2.135813981294632E-001,6.102923676371574E-002,-3.156805643811822E-003,
1.299500000000000E+008,2.788512781262398E-002,-5.448430404067040E-002,9.265496134757996E-001,-2.659390568733215E-001,9.277421236038208E-001,-2.695176601409912E-001,1.071752049028873E-002,-5.813146382570267E-002,
1.539400000000000E+008,5.455521121621132E-002,-6.462221965193749E-003,9.108905792236328E-001,-3.317803442478180E-001,9.091504216194153E-001,-3.294779062271118E-001,-4.350418969988823E-002,-2.419530972838402E-002,
1.779300000000000E+008,2.924328669905663E-002,3.689512610435486E-002,8.978795409202576E-001,-3.892255425453186E-001,8.944742083549500E-001,-3.817429542541504E-001,-2.845306694507599E-002,3.224583342671394E-002,
2.019200000000000E+008,-2.046547271311283E-002,3.657227009534836E-002,8.707836866378784E-001,-4.416440725326538E-001,8.722888827323914E-001,-4.411819577217102E-001,2.475256659090519E-002,3.034701198339462E-002,
2.259100000000000E+008,-4.330057278275490E-002,-3.383105155080557E-003,8.464600443840027E-001,-4.993335604667664E-001,8.457039594650269E-001,-4.968412816524506E-001,3.623522818088532E-002,-1.902053318917751E-002,
2.499000000000000E+008,-2.043577469885349E-002,-3.950451314449310E-002,8.179470896720886E-001,-5.495508909225464E-001,8.147273659706116E-001,-5.505805015563965E-001,-2.834998536854982E-003,-4.311445727944374E-002,
2.738900000000000E+008,1.738889329135418E-002,-3.895562887191773E-002,7.837110161781311E-001,-6.018766760826111E-001,7.812489867210388E-001,-6.016723513603210E-001,-3.486465290188789E-002,-1.506299804896116E-002,
2.978800000000000E+008,3.240243345499039E-002,-6.824414245784283E-003,7.455111145973206E-001,-6.462692022323608E-001,7.453172206878662E-001,-6.505835056304932E-001,-1.894358359277248E-002,2.018596604466438E-002,
3.218700000000000E+008,1.011663116514683E-002,2.186035737395287E-002,7.050762772560120E-001,-6.937857866287231E-001,7.024507522583008E-001,-6.949376463890076E-001,1.725047081708908E-002,1.308801770210266E-002,
3.458600000000000E+008,-2.344116941094399E-002,1.616855338215828E-002,6.608855724334717E-001,-7.382890582084656E-001,6.646379828453064E-001,-7.369516491889954E-001,2.127586677670479E-002,-2.204703167080879E-002,
3.698500000000000E+008,-3.699925914406776E-002,-1.353682950139046E-002,6.170283555984497E-001,-7.772474884986877E-001,6.169050931930542E-001,-7.779111266136169E-001,-1.117366831749678E-002,-3.692808374762535E-002,
3.938400000000000E+008,-1.863848417997360E-002,-3.625646978616715E-002,5.660807490348816E-001,-8.180387616157532E-001,5.669827461242676E-001,-8.135333061218262E-001,-3.361249342560768E-002,-1.467126607894898E-002,
