% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,5.016733892261982E-003,-2.713461033999920E-002,9.974291324615479E-001,2.657860144972801E-002,1.053693652153015E+000,2.065291255712509E-002,-1.261395495384932E-002,-3.341938555240631E-002,
3.399000000000000E+007,-3.829514142125845E-003,4.866292700171471E-003,9.964124560356140E-001,-9.219031035900116E-002,9.813428521156311E-001,-8.720473945140839E-002,-4.302343950257637E-005,-2.211543498560786E-003,
5.798000000000000E+007,-9.086729958653450E-003,9.588167886249721E-004,9.713345170021057E-001,-1.547014266252518E-001,9.866714477539063E-001,-1.375816464424133E-001,-3.634229302406311E-003,-1.874261186458170E-003,
8.197000000000000E+007,-5.949941929429770E-003,-1.083389762789011E-002,9.708290696144104E-001,-2.054290324449539E-001,9.625407457351685E-001,-1.995123028755188E-001,-5.691970698535442E-003,5.714956205338240E-003,
1.059600000000000E+008,3.991002449765801E-005,-1.086916774511337E-002,9.582084417343140E-001,-2.569313049316406E-001,9.547106027603149E-001,-2.695827484130859E-001,7.350468542426825E-003,-3.496388439089060E-003,
1.299500000000000E+008,4.789605271071196E-003,-6.941692437976599E-003,9.331423044204712E-001,-3.174692690372467E-001,9.389480352401733E-001,-3.208573758602142E-001,2.540682908147574E-003,-8.608981035649777E-003,
1.539400000000000E+008,8.232028631027788E-005,7.711471989750862E-004,9.111491441726685E-001,-3.727225661277771E-001,9.149246811866760E-001,-3.761804401874542E-001,-5.123282782733440E-003,-1.444881316274405E-002,
1.779300000000000E+008,-7.492396049201489E-003,-9.630477870814502E-004,8.903658986091614E-001,-4.303259253501892E-001,8.872016668319702E-001,-4.278947412967682E-001,-9.808924980461597E-003,-5.626649130135775E-003,
2.019200000000000E+008,-1.305978000164032E-002,-9.603546001017094E-003,8.600061535835266E-001,-4.845289885997772E-001,8.588042855262756E-001,-4.860934913158417E-001,-5.949838552623987E-003,-2.247842960059643E-003,
2.259100000000000E+008,-9.903737343847752E-003,-1.740537211298943E-002,8.301681876182556E-001,-5.320039987564087E-001,8.288847208023071E-001,-5.316452383995056E-001,-2.502772258594632E-004,-6.103407591581345E-003,
2.499000000000000E+008,-1.256399555131793E-004,-1.488882023841143E-002,7.949804067611694E-001,-5.832507610321045E-001,7.955666780471802E-001,-5.839319825172424E-001,-3.819868201389909E-003,-1.442700158804655E-002,
2.738900000000000E+008,-1.879191586340312E-005,-7.164873648434877E-003,7.596545219421387E-001,-6.289156079292297E-001,7.607066631317139E-001,-6.306886076927185E-001,-1.366017851978540E-002,-1.406323537230492E-002,
2.978800000000000E+008,-9.257389232516289E-003,-3.890697262249887E-004,7.186110019683838E-001,-6.728106141090393E-001,7.191016674041748E-001,-6.761281490325928E-001,-1.652926765382290E-002,-7.678003516048193E-003,
3.218700000000000E+008,-1.917874999344349E-002,-4.816635977476835E-003,6.813429594039917E-001,-7.203744053840637E-001,6.768373250961304E-001,-7.167318463325501E-001,-9.037792682647705E-003,-3.668917343020439E-003,
3.458600000000000E+008,-2.042160369455814E-002,-1.363060157746077E-002,6.312113404273987E-001,-7.570995688438416E-001,6.334796547889710E-001,-7.551075220108032E-001,-7.061434444040060E-003,-9.721714071929455E-003,
3.698500000000000E+008,-1.445219665765762E-002,-1.944105885922909E-002,5.852545499801636E-001,-7.911673784255981E-001,5.852710604667664E-001,-7.896856665611267E-001,-1.345603633671999E-002,-1.536263432353735E-002,
3.938400000000000E+008,-8.603179827332497E-003,-1.331160496920347E-002,5.389410257339478E-001,-8.235569000244141E-001,5.363872051239014E-001,-8.241786360740662E-001,-2.195585891604424E-002,-1.237147860229015E-002,
4.178300000000000E+008,-1.134758908301592E-002,-3.391943173483014E-003,4.872623383998871E-001,-8.565421700477600E-001,4.858217835426331E-001,-8.558877110481262E-001,-2.342564053833485E-002,-3.523446619510651E-003,
4.418200000000000E+008,-2.014800533652306E-002,1.605113619007170E-003,4.326213896274567E-001,-8.850210905075073E-001,4.334290921688080E-001,-8.847334384918213E-001,-1.750280708074570E-002,-1.738486927933991E-003,
4.658100000000000E+008,-2.899458259344101E-002,-2.775424625724554E-003,3.781449496746063E-001,-9.076744318008423E-001,3.784812986850739E-001,-9.080448150634766E-001,-1.537070516496897E-002,-7.949508726596832E-003,
