% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,4.894204065203667E-002,6.576171144843102E-004,8.453850746154785E-001,-8.178555965423584E-002,9.711433649063110E-001,1.023675128817558E-002,2.349280752241612E-002,1.318367198109627E-002,
3.399000000000000E+007,2.978614531457424E-003,-1.519178040325642E-003,1.017930626869202E+000,-7.380013167858124E-002,1.015265226364136E+000,-7.933489978313446E-002,1.809815410524607E-003,-7.198164705187082E-003,
5.798000000000000E+007,-2.831368241459131E-003,-7.680812850594521E-004,9.843556880950928E-001,-1.534236222505570E-001,9.688382744789124E-001,-1.453110575675964E-001,-4.039152699988335E-004,3.120642388239503E-003,
8.197000000000000E+007,-5.996771506033838E-004,2.079418161883950E-003,9.713307619094849E-001,-2.000937461853027E-001,9.691070318222046E-001,-2.018425017595291E-001,-6.916490383446217E-004,2.049002563580871E-003,
1.059600000000000E+008,1.949576660990715E-003,1.856096088886261E-003,9.577553272247315E-001,-2.585709095001221E-001,9.591506719589233E-001,-2.583621740341187E-001,4.661928396672010E-003,2.615729812532663E-003,
1.299500000000000E+008,2.935583936050534E-003,2.352239564061165E-003,9.421491026878357E-001,-3.179748654365540E-001,9.528088569641113E-001,-3.173274099826813E-001,2.540448680520058E-003,1.433094148524106E-003,
1.539400000000000E+008,2.086153253912926E-003,6.719470256939530E-004,9.256713390350342E-001,-3.715694248676300E-001,9.206914901733398E-001,-3.719464540481567E-001,3.819831181317568E-003,2.039405284449458E-003,
1.779300000000000E+008,4.291346762329340E-003,3.795222379267216E-003,8.988103270530701E-001,-4.234441816806793E-001,9.010499715805054E-001,-4.260985553264618E-001,4.558043088763952E-003,5.945925367996097E-004,
2.019200000000000E+008,3.841051366180182E-003,-1.604639575816691E-003,8.735752701759338E-001,-4.820368587970734E-001,8.713238239288330E-001,-4.810027778148651E-001,4.516242071986198E-003,2.036178251728416E-003,
2.259100000000000E+008,7.632965687662363E-003,1.281028031371534E-003,8.436455130577087E-001,-5.312110185623169E-001,8.435599207878113E-001,-5.316143631935120E-001,4.378638230264187E-003,1.709809061139822E-003,
2.499000000000000E+008,5.602143239229918E-003,1.731284311972559E-003,8.080618381500244E-001,-5.787519216537476E-001,8.109100461006165E-001,-5.810663104057312E-001,5.987057927995920E-003,1.939095789566636E-003,
2.738900000000000E+008,6.443308200687170E-003,1.583262113854289E-003,7.736558318138123E-001,-6.251398324966431E-001,7.747969031333923E-001,-6.307407021522522E-001,5.070274230092764E-003,1.143549801781774E-003,
2.978800000000000E+008,4.711296875029802E-003,5.182906170375645E-004,7.365675568580627E-001,-6.727067828178406E-001,7.327450513839722E-001,-6.713097095489502E-001,6.627421360462904E-003,-4.316844569984824E-004,
3.218700000000000E+008,5.720483139157295E-003,-1.550868852064014E-003,6.945003271102905E-001,-7.145759463310242E-001,6.917988657951355E-001,-7.135391235351563E-001,5.685021635144949E-003,2.688739623408765E-004,
3.458600000000000E+008,6.429038010537624E-003,-2.552842022851110E-003,6.508316993713379E-001,-7.517925500869751E-001,6.501291990280151E-001,-7.546205520629883E-001,6.193706765770912E-003,4.889931879006326E-004,
3.698500000000000E+008,7.779969368129969E-003,-2.732890425249934E-003,6.034464240074158E-001,-7.927413582801819E-001,6.040318608283997E-001,-7.919220328330994E-001,6.640815641731024E-003,1.574716414324939E-003,
3.938400000000000E+008,7.863435894250870E-003,-9.424121817573905E-004,5.565895438194275E-001,-8.247544765472412E-001,5.567828416824341E-001,-8.224970102310181E-001,6.747595965862274E-003,-8.962467545643449E-004,
4.178300000000000E+008,5.352203268557787E-003,-1.585423364304006E-003,5.060593485832214E-001,-8.564132452011108E-001,5.035209655761719E-001,-8.580633997917175E-001,6.101498845964670E-003,-9.342899429611862E-004,
4.418200000000000E+008,4.654022399336100E-003,-3.935354296118021E-003,4.538081884384155E-001,-8.851186633110046E-001,4.536618292331696E-001,-8.848052024841309E-001,5.306927952915430E-003,-1.244874321855605E-003,
4.658100000000000E+008,4.914577584713697E-003,-5.199705250561237E-003,4.004417061805725E-001,-9.105361700057983E-001,3.993366956710815E-001,-9.107097387313843E-001,4.008115269243717E-003,4.877613537246361E-005,
4.898000000000000E+008,6.832604296505451E-003,-5.561361089348793E-003,3.455480039119721E-001,-9.327445030212402E-001,3.452430963516235E-001,-9.318448305130005E-001,5.344707518815994E-003,-8.617577259428799E-004,
5.137900000000000E+008,6.398421712219715E-003,-4.035627469420433E-003,2.904805243015289E-001,-9.511103630065918E-001,2.887730300426483E-001,-9.512255191802979E-001,6.480697542428970E-003,-1.909203594550490E-003,
5.377800000000000E+008,5.143246147781611E-003,-1.788701629266143E-003,2.317942082881928E-001,-9.670664668083191E-001,2.309027314186096E-001,-9.657706022262573E-001,4.897811915725470E-003,-2.824378432705998E-003,
5.617700000000000E+008,3.080435562878847E-003,-3.088544122874737E-003,1.741662174463272E-001,-9.774383306503296E-001,1.742163449525833E-001,-9.785980582237244E-001,3.259976394474506E-003,-2.842065878212452E-003,
5.857600000000000E+008,4.330912779550999E-004,-3.791933180764318E-003,1.156379133462906E-001,-9.866286516189575E-001,1.151748895645142E-001,-9.871769547462463E-001,2.987557789310813E-003,-1.416812418028712E-003,
6.097500000000000E+008,1.816151081584394E-003,-7.185856346040964E-003,5.876822024583817E-002,-9.934317469596863E-001,5.701939016580582E-002,-9.925093650817871E-001,4.426019266247749E-003,-4.719904391095042E-004,
6.337400000000000E+008,3.647358156740665E-003,-7.001557387411594E-003,-2.533223712816834E-003,-9.946599006652832E-001,-1.725319540128112E-003,-9.936525225639343E-001,3.615118563175201E-003,-1.205731881782413E-003,
6.577300000000000E+008,3.621852491050959E-003,-4.532316233962774E-003,-6.037192791700363E-002,-9.917860031127930E-001,-6.151702255010605E-002,-9.909328222274780E-001,2.485806820914149E-003,-2.408458851277828E-003,
6.817200000000000E+008,1.497693010605872E-003,-1.910731312818825E-003,-1.181333661079407E-001,-9.857303500175476E-001,-1.184621155261993E-001,-9.858055710792542E-001,6.186123355291784E-004,-1.311999862082303E-003,
7.057100000000000E+008,-2.101023681461811E-003,-3.293900052085519E-003,-1.781223118305206E-001,-9.759894609451294E-001,-1.779685914516449E-001,-9.761073589324951E-001,1.754051918396726E-004,-5.506320158019662E-004,
7.297000000000000E+008,-3.560009412467480E-003,-4.923167172819376E-003,-2.347611635923386E-001,-9.643309712409973E-001,-2.343461215496063E-001,-9.639696478843689E-001,2.374224422965199E-004,-1.847390958573669E-004,
7.536900000000000E+008,-1.845435588620603E-003,-6.029465235769749E-003,-2.909029126167297E-001,-9.485810399055481E-001,-2.914100289344788E-001,-9.485687017440796E-001,1.256696530617774E-003,-2.376277261646465E-004,
7.776800000000000E+008,3.461765300016850E-004,-4.200697410851717E-003,-3.475345969200134E-001,-9.296259880065918E-001,-3.476614058017731E-001,-9.297531247138977E-001,-1.767665380612016E-004,-1.050465391017497E-003,
8.016700000000000E+008,7.689291378483176E-004,-6.777892122045159E-004,-4.027357399463654E-001,-9.062193632125855E-001,-4.028737545013428E-001,-9.067441821098328E-001,-1.760969869792461E-003,-1.130101969465613E-003,
8.256600000000000E+008,-2.611830830574036E-003,1.182406907901168E-003,-4.549560546875000E-001,-8.817746043205261E-001,-4.557400941848755E-001,-8.822653293609619E-001,-1.218167715705931E-003,1.445647329092026E-003,
8.496500000000000E+008,-5.500121042132378E-003,6.570662371814251E-004,-5.056996941566467E-001,-8.536002635955811E-001,-5.069366097450256E-001,-8.527576327323914E-001,-7.780703599564731E-004,1.909030019305646E-003,
8.736400000000000E+008,-5.624030716717243E-003,-1.670914352871478E-003,-5.560078024864197E-001,-8.218096494674683E-001,-5.560638904571533E-001,-8.218057155609131E-001,-5.116314277984202E-004,2.384652616456151E-003,
8.976300000000000E+008,-3.057886613532901E-003,-1.714032841846347E-003,-6.036837100982666E-001,-7.866417765617371E-001,-6.039726734161377E-001,-7.863695025444031E-001,-6.613360601477325E-004,1.476021017879248E-003,
9.216200000000000E+008,-1.342713600024581E-003,5.853029433637857E-004,-6.500537991523743E-001,-7.497568130493164E-001,-6.493629813194275E-001,-7.498723864555359E-001,-2.185349818319082E-003,2.438659081235528E-003,
9.456100000000000E+008,-1.797782839275897E-003,3.833297640085220E-003,-6.920702457427979E-001,-7.090311646461487E-001,-6.922633647918701E-001,-7.094916701316834E-001,-2.111513167619705E-003,3.436889266595244E-003,
9.696000000000000E+008,-4.187392070889473E-003,5.334414541721344E-003,-7.320060133934021E-001,-6.673763990402222E-001,-7.335934638977051E-001,-6.673277020454407E-001,-1.088278484530747E-003,5.011626519262791E-003,
9.935900000000000E+008,-6.436654366552830E-003,4.315849859267473E-003,-7.720441818237305E-001,-6.233419775962830E-001,-7.721061110496521E-001,-6.227710843086243E-001,1.969254226423800E-004,4.617420490831137E-003,
1.017580000000000E+009,-4.385040607303381E-003,2.739792922511697E-003,-8.059898018836975E-001,-5.760505199432373E-001,-8.074127435684204E-001,-5.746413469314575E-001,-8.071344927884638E-004,4.155469592660666E-003,
1.041570000000000E+009,-1.914126100018621E-003,3.508544526994228E-003,-8.390632867813110E-001,-5.269445180892944E-001,-8.406783342361450E-001,-5.266541242599487E-001,-2.135073766112328E-003,4.987146705389023E-003,
1.065560000000000E+009,-3.290737222414464E-004,5.755834281444550E-003,-8.698503971099854E-001,-4.754092097282410E-001,-8.695076704025269E-001,-4.755342900753021E-001,-1.525079482235014E-003,6.924149114638567E-003,
1.089550000000000E+009,-9.387604659423232E-004,8.742054924368858E-003,-8.959938883781433E-001,-4.238681495189667E-001,-8.957992792129517E-001,-4.228723645210266E-001,-4.775221896125004E-005,8.109752088785172E-003,
1.113540000000000E+009,-3.198865568265319E-003,8.789923042058945E-003,-9.195231199264526E-001,-3.695234954357147E-001,-9.194493293762207E-001,-3.692180514335632E-001,1.917808316648006E-003,7.335684727877379E-003,
1.137530000000000E+009,-2.841458888724446E-003,7.169665303081274E-003,-9.399225115776062E-001,-3.144117891788483E-001,-9.397900700569153E-001,-3.137741684913635E-001,7.096421904861927E-004,6.504140794277191E-003,
1.161520000000000E+009,-5.722362548112869E-004,6.533279549330473E-003,-9.559087753295898E-001,-2.581801414489746E-001,-9.564501047134399E-001,-2.577676773071289E-001,1.352644030703232E-004,7.302955724298954E-003,
1.185510000000000E+009,2.505705459043384E-003,7.818176411092281E-003,-9.698408246040344E-001,-2.011374235153198E-001,-9.697127342224121E-001,-2.005399614572525E-001,4.120637313462794E-004,9.731462225317955E-003,
1.209500000000000E+009,3.544433042407036E-003,1.065891236066818E-002,-9.797557592391968E-001,-1.432999521493912E-001,-9.797323942184448E-001,-1.428208798170090E-001,2.846142509952188E-003,1.062096934765577E-002,
1.233490000000000E+009,2.711649518460035E-003,1.179432217031717E-002,-9.875405430793762E-001,-8.446852862834930E-002,-9.864245057106018E-001,-8.406302332878113E-002,4.407488275319338E-003,1.001442316919565E-002,
1.257480000000000E+009,2.032567746937275E-003,1.074630301445723E-002,-9.895409941673279E-001,-2.602940611541271E-002,-9.895472526550293E-001,-2.546934969723225E-002,4.429988563060761E-003,8.804739452898502E-003,
1.281470000000000E+009,3.335067536681891E-003,8.777818642556667E-003,-9.895341396331787E-001,3.298220410943031E-002,-9.892171621322632E-001,3.319949656724930E-002,3.270346904173493E-003,9.068874642252922E-003,
1.305460000000000E+009,6.503013893961906E-003,8.802331052720547E-003,-9.857394099235535E-001,9.176888316869736E-002,-9.856039881706238E-001,9.186235815286636E-002,3.884044010192156E-003,1.075808238238096E-002,
1.329450000000000E+009,8.471626788377762E-003,9.752850048244000E-003,-9.786579608917236E-001,1.497408896684647E-001,-9.783051013946533E-001,1.498358845710754E-001,5.530731286853552E-003,1.191432215273380E-002,
1.353440000000000E+009,8.503077551722527E-003,1.108544692397118E-002,-9.671452045440674E-001,2.067381292581558E-001,-9.681360721588135E-001,2.084365338087082E-001,8.410139940679073E-003,1.122645754367113E-002,
1.377430000000000E+009,7.786683272570372E-003,1.097798720002174E-002,-9.543436765670776E-001,2.645739018917084E-001,-9.535785317420960E-001,2.650525271892548E-001,8.270632475614548E-003,8.857208304107189E-003,
1.401420000000000E+009,8.290008641779423E-003,8.431285619735718E-003,-9.363554716110230E-001,3.202783167362213E-001,-9.360073804855347E-001,3.211165070533752E-001,7.087350822985172E-003,8.778383024036884E-003,
1.425410000000000E+009,1.054092310369015E-002,7.107704412192106E-003,-9.154916405677795E-001,3.749644160270691E-001,-9.149776101112366E-001,3.750153183937073E-001,6.955803837627173E-003,1.075852289795876E-002,
1.449400000000000E+009,1.290762890130281E-002,7.076793815940619E-003,-8.915855884552002E-001,4.296922981739044E-001,-8.912177681922913E-001,4.293794333934784E-001,9.655548259615898E-003,1.109840907156467E-002,
1.473390000000000E+009,1.339144725352526E-002,7.908876053988934E-003,-8.647254109382629E-001,4.809324145317078E-001,-8.642438054084778E-001,4.815094470977783E-001,1.199795491993427E-002,9.498672559857369E-003,
1.497380000000000E+009,1.236656028777361E-002,8.006398566067219E-003,-8.340516686439514E-001,5.313678979873657E-001,-8.343173265457153E-001,5.320048332214356E-001,1.207340229302645E-002,7.362357340753079E-003,
1.521370000000000E+009,1.182486955076456E-002,5.503199063241482E-003,-8.012861609458923E-001,5.799778103828430E-001,-8.008989095687866E-001,5.798760056495667E-001,1.013723947107792E-002,7.189707364886999E-003,
1.545360000000000E+009,1.330862566828728E-002,2.667034510523081E-003,-7.654544711112976E-001,6.267789006233215E-001,-7.650527954101563E-001,6.270793676376343E-001,1.031584199517965E-002,8.269624784588814E-003,
1.569350000000000E+009,1.544009707868099E-002,1.698872656561434E-003,-7.272075414657593E-001,6.703036427497864E-001,-7.269220948219299E-001,6.713377833366394E-001,1.225604675710201E-002,9.023728780448437E-003,
1.593340000000000E+009,1.664469577372074E-002,2.790278056636453E-003,-6.855789422988892E-001,7.126096487045288E-001,-6.854717135429382E-001,7.126059532165527E-001,1.453298050910235E-002,7.209938485175371E-003,
1.617330000000000E+009,1.519348006695509E-002,3.441905137151480E-003,-6.426295042037964E-001,7.516248822212219E-001,-6.420065164566040E-001,7.520201206207275E-001,1.403985824435949E-002,4.434337373822928E-003,
1.641320000000000E+009,1.312068663537502E-002,1.609377912245691E-003,-5.962730050086975E-001,7.885224223136902E-001,-5.957763195037842E-001,7.891356348991394E-001,1.244748104363680E-002,3.830215660855174E-003,
1.665310000000000E+009,1.263055298477411E-002,-1.809696666896343E-003,-5.483723282814026E-001,8.223678469657898E-001,-5.483763813972473E-001,8.229525089263916E-001,1.172003801912069E-002,4.944612737745047E-003,
1.689300000000000E+009,1.480193343013525E-002,-4.440989345312119E-003,-4.992860257625580E-001,8.535869121551514E-001,-4.984804391860962E-001,8.539428710937500E-001,1.348051149398089E-002,5.308762658387423E-003,
1.713290000000000E+009,1.638531126081944E-002,-3.755874233320355E-003,-4.474983215332031E-001,8.815255761146545E-001,-4.464808702468872E-001,8.817666172981262E-001,1.522254478186369E-002,3.459303872659802E-003,
1.737280000000000E+009,1.569246686995029E-002,-1.797297503799200E-003,-3.947115838527679E-001,9.063683152198792E-001,-3.946672677993774E-001,9.067099094390869E-001,1.464412640780211E-002,5.909787141717970E-004,
1.761270000000000E+009,1.232160255312920E-002,-2.174306893721223E-003,-3.398518860340118E-001,9.280844330787659E-001,-3.393636941909790E-001,9.284518957138062E-001,1.193649414926767E-002,-6.412178045138717E-004,
1.785260000000000E+009,9.131395258009434E-003,-5.361550487577915E-003,-2.844791114330292E-001,9.468752741813660E-001,-2.831614613533020E-001,9.467958211898804E-001,1.112146023660898E-002,9.206066606566310E-004,
