% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,3.888997435569763E-002,5.030157975852490E-003,8.969040513038635E-001,-5.856759473681450E-002,9.858483672142029E-001,-3.346680849790573E-002,4.096499644219875E-003,-1.611191546544433E-003,
3.399000000000000E+007,-6.712203379720449E-003,-7.521520368754864E-003,9.831842780113220E-001,-1.137347370386124E-001,9.821704030036926E-001,-1.135176420211792E-001,-3.396854037418962E-003,-3.517943620681763E-002,
5.798000000000000E+007,-2.167055197060108E-002,-2.762019261717796E-002,9.649815559387207E-001,-1.941829323768616E-001,9.519393444061279E-001,-1.872646808624268E-001,-1.988984085619450E-002,-2.886951714754105E-002,
8.197000000000000E+007,-2.066143974661827E-002,-5.080473050475121E-002,9.416337013244629E-001,-2.659389078617096E-001,9.468374848365784E-001,-2.648660242557526E-001,-1.562683656811714E-002,-3.231625631451607E-002,
1.059600000000000E+008,-1.988766528666019E-002,-6.419760733842850E-002,9.170989394187927E-001,-3.352990150451660E-001,9.151909351348877E-001,-3.361634612083435E-001,-1.238288450986147E-002,-4.877049103379250E-002,
1.299500000000000E+008,-1.853192597627640E-002,-6.343481689691544E-002,8.828255534172058E-001,-4.065372645854950E-001,8.913273811340332E-001,-4.027568697929382E-001,-2.275033853948116E-002,-7.311152666807175E-002,
1.539400000000000E+008,-3.917571902275085E-002,-6.075630709528923E-002,8.486627340316773E-001,-4.697033762931824E-001,8.426959514617920E-001,-4.702492952346802E-001,-4.452915862202644E-002,-8.315441757440567E-002,
1.779300000000000E+008,-6.178858131170273E-002,-6.621811538934708E-002,8.049945831298828E-001,-5.333055257797241E-001,8.053961396217346E-001,-5.329390764236450E-001,-6.619138270616531E-002,-8.129066973924637E-002,
2.019200000000000E+008,-8.049883693456650E-002,-8.532384783029556E-002,7.607123255729675E-001,-5.927818417549133E-001,7.600666880607605E-001,-5.953679084777832E-001,-7.147887349128723E-002,-7.392740994691849E-002,
2.259100000000000E+008,-8.163697272539139E-002,-9.846892207860947E-002,7.130136489868164E-001,-6.526870727539063E-001,7.122142910957336E-001,-6.507501006126404E-001,-7.555679976940155E-002,-8.123834431171417E-002,
2.499000000000000E+008,-8.562324196100235E-002,-9.486631304025650E-002,6.536020636558533E-001,-6.993571519851685E-001,6.544522643089294E-001,-7.000855803489685E-001,-8.813777565956116E-002,-9.606706351041794E-002,
2.738900000000000E+008,-1.002833023667336E-001,-7.970322668552399E-002,5.960394144058228E-001,-7.444944381713867E-001,5.976090431213379E-001,-7.477895617485046E-001,-1.173617243766785E-001,-1.020193696022034E-001,
2.978800000000000E+008,-1.308302432298660E-001,-7.121127098798752E-002,5.355120897293091E-001,-7.832951545715332E-001,5.355821847915649E-001,-7.837608456611633E-001,-1.415674239397049E-001,-9.032423794269562E-002,
3.218700000000000E+008,-1.571009755134583E-001,-7.745448499917984E-002,4.765187501907349E-001,-8.215770125389099E-001,4.744674563407898E-001,-8.201993107795715E-001,-1.513615548610687E-001,-7.356144487857819E-002,
3.458600000000000E+008,-1.696399301290512E-001,-8.465454727411270E-002,4.085658192634583E-001,-8.527197837829590E-001,4.062315821647644E-001,-8.522464632987976E-001,-1.555461436510086E-001,-7.089873403310776E-002,
3.698500000000000E+008,-1.715775281190872E-001,-7.800761610269547E-002,3.357246518135071E-001,-8.790302872657776E-001,3.376261889934540E-001,-8.799034953117371E-001,-1.707454621791840E-001,-7.452155649662018E-002,
3.938400000000000E+008,-1.783644109964371E-001,-5.254043266177177E-002,2.669378221035004E-001,-8.962450027465820E-001,2.671708166599274E-001,-8.943350911140442E-001,-1.986546367406845E-001,-7.053426653146744E-002,
4.178300000000000E+008,-1.997894495725632E-001,-2.892969548702240E-002,1.983725875616074E-001,-9.062674045562744E-001,1.983512490987778E-001,-9.064406752586365E-001,-2.208926081657410E-001,-4.753899201750755E-002,
4.418200000000000E+008,-2.281121909618378E-001,-1.770539954304695E-002,1.331445425748825E-001,-9.158684611320496E-001,1.312990784645081E-001,-9.164447188377380E-001,-2.288220822811127E-001,-2.300963364541531E-002,
4.658100000000000E+008,-2.456821352243424E-001,-1.488588377833366E-002,5.956415832042694E-002,-9.217151403427124E-001,5.996975302696228E-002,-9.214060902595520E-001,-2.293555140495300E-001,-8.049050346016884E-003,
4.898000000000000E+008,-2.445435076951981E-001,-8.080455474555492E-003,-1.261362154036760E-002,-9.189389944076538E-001,-1.427899114787579E-002,-9.185431599617004E-001,-2.388560175895691E-001,-3.298455616459251E-003,
5.137900000000000E+008,-2.391027957201004E-001,1.866862364113331E-002,-8.271850645542145E-002,-9.073926210403442E-001,-8.315208554267883E-002,-9.078072309494019E-001,-2.601227760314941E-001,8.955275639891625E-003,
5.377800000000000E+008,-2.447320073843002E-001,5.530172213912010E-002,-1.493687033653259E-001,-8.923094272613525E-001,-1.499807238578796E-001,-8.920028209686279E-001,-2.777635753154755E-001,3.982872888445854E-002,
5.617700000000000E+008,-2.655068337917328E-001,8.333612233400345E-002,-2.111678570508957E-001,-8.743929266929627E-001,-2.113695591688156E-001,-8.744212985038757E-001,-2.791483104228973E-001,7.285900413990021E-002,
5.857600000000000E+008,-2.847975492477417E-001,9.643834829330444E-002,-2.741202116012573E-001,-8.558276891708374E-001,-2.746618092060089E-001,-8.549125790596008E-001,-2.703851759433746E-001,9.459464997053146E-002,
6.097500000000000E+008,-2.816467285156250E-001,1.033057272434235E-001,-3.404571115970612E-001,-8.282158374786377E-001,-3.409868776798248E-001,-8.281691670417786E-001,-2.688038349151611E-001,1.051505506038666E-001,
6.337400000000000E+008,-2.624808847904205E-001,1.252516359090805E-001,-4.031077325344086E-001,-7.927563786506653E-001,-4.007447063922882E-001,-7.918878197669983E-001,-2.814198136329651E-001,1.237396001815796E-001,
6.577300000000000E+008,-2.465517520904541E-001,1.641266345977783E-001,-4.533050060272217E-001,-7.516063451766968E-001,-4.541286528110504E-001,-7.510219812393189E-001,-2.884161472320557E-001,1.576995402574539E-001,
