% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-2.435103058815002E-001,-1.695504412055016E-003,7.971163988113403E-001,-6.882197409868240E-002,7.983209490776062E-001,-7.003515213727951E-002,-2.075499892234802E-001,5.039270967245102E-003,
3.399000000000000E+007,-2.172188162803650E-001,2.047640457749367E-002,7.572399973869324E-001,-1.186525970697403E-001,7.580101490020752E-001,-1.161063089966774E-001,-2.282828390598297E-001,-1.418123021721840E-003,
5.798000000000000E+007,-2.314754724502564E-001,1.311158109456301E-002,7.560320496559143E-001,-1.601259559392929E-001,7.571907043457031E-001,-1.607370674610138E-001,-2.307554781436920E-001,4.950308240950108E-003,
8.197000000000000E+007,-2.350618541240692E-001,7.660292088985443E-003,7.278369665145874E-001,-2.350233197212219E-001,7.238363027572632E-001,-2.315515577793121E-001,-2.336023598909378E-001,2.053630352020264E-002,
1.059600000000000E+008,-2.255778610706329E-001,1.462943386286497E-002,6.916314959526062E-001,-2.826596498489380E-001,6.914392113685608E-001,-2.877475023269653E-001,-2.305443733930588E-001,2.861146815121174E-002,
1.299500000000000E+008,-2.221221923828125E-001,4.112244397401810E-002,6.686965823173523E-001,-3.366016447544098E-001,6.689105629920960E-001,-3.340710103511810E-001,-2.428983896970749E-001,3.172436356544495E-002,
1.539400000000000E+008,-2.336738109588623E-001,6.434068083763123E-002,6.360211372375488E-001,-3.810013830661774E-001,6.338093876838684E-001,-3.859854638576508E-001,-2.514260113239288E-001,4.572359472513199E-002,
1.779300000000000E+008,-2.526577115058899E-001,7.749103009700775E-002,6.040524840354919E-001,-4.332769513130188E-001,6.007899045944214E-001,-4.372507333755493E-001,-2.567850351333618E-001,7.002495229244232E-002,
2.019200000000000E+008,-2.556676864624023E-001,8.145051449537277E-002,5.567619204521179E-001,-4.794726371765137E-001,5.585180521011353E-001,-4.819190204143524E-001,-2.499017268419266E-001,8.739700913429260E-002,
2.259100000000000E+008,-2.435410618782044E-001,9.059958904981613E-002,5.137566328048706E-001,-5.210628509521484E-001,5.110055208206177E-001,-5.193827152252197E-001,-2.488170266151428E-001,9.889644384384155E-002,
2.499000000000000E+008,-2.286470532417297E-001,1.158136054873467E-001,4.679452180862427E-001,-5.555232763290405E-001,4.667785167694092E-001,-5.536903738975525E-001,-2.510022521018982E-001,1.114036887884140E-001,
2.738900000000000E+008,-2.275825589895248E-001,1.456957906484604E-001,4.244938492774963E-001,-5.828410387039185E-001,4.193764925003052E-001,-5.833509564399719E-001,-2.545750439167023E-001,1.290977001190186E-001,
2.978800000000000E+008,-2.391832470893860E-001,1.687954962253571E-001,3.751338124275208E-001,-6.098675131797791E-001,3.754147291183472E-001,-6.147926449775696E-001,-2.511943876743317E-001,1.542771905660629E-001,
3.218700000000000E+008,-2.429735064506531E-001,1.750078201293945E-001,3.236480951309204E-001,-6.383835673332214E-001,3.198905289173126E-001,-6.403009295463562E-001,-2.381097525358200E-001,1.745968759059906E-001,
3.458600000000000E+008,-2.259701490402222E-001,1.802372783422470E-001,2.658853828907013E-001,-6.586290001869202E-001,2.652988135814667E-001,-6.572968959808350E-001,-2.281548529863358E-001,1.866554319858551E-001,
3.698500000000000E+008,-1.974200904369354E-001,1.973734349012375E-001,2.114074677228928E-001,-6.755359172821045E-001,2.139810323715210E-001,-6.698728203773499E-001,-2.246396392583847E-001,2.010150849819183E-001,
3.938400000000000E+008,-1.805760264396668E-001,2.323903888463974E-001,1.635689139366150E-001,-6.818583607673645E-001,1.643041372299194E-001,-6.800647974014282E-001,-2.203271538019180E-001,2.222078591585159E-001,
4.178300000000000E+008,-1.829156875610352E-001,2.617336809635162E-001,1.173990815877914E-001,-6.910694837570190E-001,1.119810044765472E-001,-6.900452375411987E-001,-2.065098732709885E-001,2.443813830614090E-001,
4.418200000000000E+008,-1.872943937778473E-001,2.741298377513886E-001,5.821384489536285E-002,-6.937084197998047E-001,5.630333721637726E-002,-6.946841478347778E-001,-1.867660582065582E-001,2.617470324039459E-001,
4.658100000000000E+008,-1.706302016973496E-001,2.684259414672852E-001,-8.071344345808029E-004,-6.924986839294434E-001,-3.135101869702339E-004,-6.911348700523377E-001,-1.706086397171021E-001,2.716072797775269E-001,
4.898000000000000E+008,-1.325227320194244E-001,2.693957090377808E-001,-5.668283998966217E-002,-6.851716041564941E-001,-5.124932527542114E-002,-6.835856437683106E-001,-1.597902029752731E-001,2.843404114246368E-001,
5.137900000000000E+008,-9.480348229408264E-002,2.946605086326599E-001,-1.055033355951309E-001,-6.764761805534363E-001,-1.000359132885933E-001,-6.751376390457153E-001,-1.469387859106064E-001,3.040736913681030E-001,
5.377800000000000E+008,-7.886464893817902E-002,3.322776257991791E-001,-1.455228030681610E-001,-6.664174795150757E-001,-1.487357467412949E-001,-6.653935313224793E-001,-1.244433671236038E-001,3.235305249691010E-001,
5.617700000000000E+008,-8.317480981349945E-002,3.514515161514282E-001,-1.956238448619843E-001,-6.551085710525513E-001,-2.011368572711945E-001,-6.494822502136231E-001,-9.729095548391342E-002,3.311869800090790E-001,
5.857600000000000E+008,-7.750562578439713E-002,3.417858779430389E-001,-2.473727911710739E-001,-6.270946264266968E-001,-2.495002150535584E-001,-6.270690560340881E-001,-7.671758532524109E-002,3.356712758541107E-001,
6.097500000000000E+008,-4.313486069440842E-002,3.218871057033539E-001,-2.975522279739380E-001,-6.017438769340515E-001,-2.935144603252411E-001,-6.011908054351807E-001,-5.937474966049194E-002,3.442190587520599E-001,
6.337400000000000E+008,1.140780188143253E-002,3.197276592254639E-001,-3.438168764114380E-001,-5.724594593048096E-001,-3.316467702388763E-001,-5.785303115844727E-001,-3.904941305518150E-002,3.581059575080872E-001,
6.577300000000000E+008,5.152824148535729E-002,3.475549221038818E-001,-3.788488805294037E-001,-5.519685745239258E-001,-3.758387267589569E-001,-5.535699129104614E-001,-9.361967444419861E-003,3.673955500125885E-001,
6.817200000000000E+008,6.209894642233849E-002,3.796050846576691E-001,-4.154040813446045E-001,-5.276448726654053E-001,-4.193057417869568E-001,-5.201413631439209E-001,2.075157128274441E-002,3.669326305389404E-001,
7.057100000000000E+008,5.777828022837639E-002,3.805581927299500E-001,-4.502973258495331E-001,-4.891484677791596E-001,-4.553766548633575E-001,-4.818027317523956E-001,4.371599853038788E-002,3.631320893764496E-001,
7.297000000000000E+008,7.191836088895798E-002,3.463559448719025E-001,-4.830256700515747E-001,-4.420976936817169E-001,-4.839611649513245E-001,-4.435732960700989E-001,6.358367204666138E-002,3.646325170993805E-001,
7.536900000000000E+008,1.180668249726296E-001,3.107793629169464E-001,-5.173680186271668E-001,-3.949134945869446E-001,-5.105863213539124E-001,-4.078261852264404E-001,8.850471675395966E-002,3.698719143867493E-001,
7.776800000000000E+008,1.743847429752350E-001,3.078517913818359E-001,-5.425702333450317E-001,-3.589369356632233E-001,-5.425333976745606E-001,-3.712731301784515E-001,1.221028268337250E-001,3.685697019100189E-001,
8.016700000000000E+008,2.113660871982575E-001,3.353098630905151E-001,-5.728598237037659E-001,-3.311672508716583E-001,-5.708054304122925E-001,-3.260021209716797E-001,1.515241414308548E-001,3.583960533142090E-001,
8.256600000000000E+008,2.138424813747406E-001,3.518807291984558E-001,-5.897322893142700E-001,-2.885584533214569E-001,-5.897401571273804E-001,-2.772552669048309E-001,1.727420836687088E-001,3.447169661521912E-001,
