% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-1.769513078033924E-002,1.634745299816132E-002,1.030849099159241E+000,-9.008959680795670E-002,1.071818947792053E+000,3.708239644765854E-002,-2.157302200794220E-002,-3.543014824390411E-002,
3.399000000000000E+007,-2.855624479707331E-004,-3.791571361944079E-003,1.000499606132507E+000,-9.776621311903000E-002,9.757593274116516E-001,-9.137000888586044E-002,8.100965060293675E-003,-6.377227837219834E-004,
5.798000000000000E+007,4.750345833599567E-003,-2.368961693719029E-003,9.847784638404846E-001,-1.830266416072846E-001,9.774442315101624E-001,-1.684841215610504E-001,-2.466090954840183E-004,2.809178782626987E-003,
8.197000000000000E+007,-1.351630664430559E-003,-8.436709758825600E-004,9.612915515899658E-001,-2.429622560739517E-001,9.712251424789429E-001,-2.475194483995438E-001,4.860914312303066E-003,-1.470384770072997E-003,
1.059600000000000E+008,-3.788551781326532E-003,-5.383513402193785E-003,9.469833970069885E-001,-3.119575977325440E-001,9.399280548095703E-001,-3.162555396556854E-001,4.512557759881020E-003,-8.270620368421078E-003,
1.299500000000000E+008,-3.179046791046858E-003,-1.185463648289442E-002,9.208644628524780E-001,-3.879391551017761E-001,9.176867604255676E-001,-3.857355117797852E-001,-3.417440457269549E-004,-1.194126997143030E-002,
1.539400000000000E+008,1.422304892912507E-003,-1.378600299358368E-002,8.867616057395935E-001,-4.499197602272034E-001,8.880686759948731E-001,-4.478684961795807E-001,-4.281276836991310E-003,-9.999404661357403E-003,
1.779300000000000E+008,4.891244228929281E-003,-9.288257919251919E-003,8.530297875404358E-001,-5.136425495147705E-001,8.557206988334656E-001,-5.127947926521301E-001,-3.209772054105997E-003,-5.651748273521662E-003,
2.019200000000000E+008,4.443960497155786E-004,-6.635122466832399E-003,8.109468817710877E-001,-5.762445926666260E-001,8.178032636642456E-001,-5.737603306770325E-001,2.155751222744584E-003,-6.945803761482239E-003,
2.259100000000000E+008,-9.114901535212994E-003,-4.580198321491480E-003,7.687752246856690E-001,-6.336466670036316E-001,7.685052156448364E-001,-6.328887343406677E-001,-3.032883862033486E-003,-1.957304775714874E-002,
2.499000000000000E+008,-1.719779148697853E-002,-1.245650276541710E-002,7.220718264579773E-001,-6.863106489181519E-001,7.210270166397095E-001,-6.857927441596985E-001,-1.294680777937174E-002,-2.038936503231525E-002,
2.738900000000000E+008,-1.585078611969948E-002,-2.128957584500313E-002,6.679347753524780E-001,-7.386612892150879E-001,6.710039377212524E-001,-7.389290332794190E-001,-1.757573895156384E-002,-1.085877791047096E-002,
2.978800000000000E+008,-8.937411941587925E-003,-2.374009601771832E-002,6.109676957130432E-001,-7.855573892593384E-001,6.131438016891480E-001,-7.857404351234436E-001,-1.140188891440630E-002,-4.819177091121674E-003,
3.218700000000000E+008,-3.564490936696529E-003,-1.709943637251854E-002,5.558456182479858E-001,-8.308035135269165E-001,5.578350424766541E-001,-8.298649787902832E-001,-4.575873725116253E-003,-1.307878643274307E-002,
3.458600000000000E+008,-8.943218737840653E-003,-6.069899536669254E-003,4.902764260768890E-001,-8.629137873649597E-001,4.920714497566223E-001,-8.692703247070313E-001,-1.313258521258831E-002,-2.420780807733536E-002,
3.698500000000000E+008,-2.136063203215599E-002,-1.410932629369199E-003,4.320018887519836E-001,-9.025999307632446E-001,4.260272681713104E-001,-8.996543884277344E-001,-2.986833453178406E-002,-1.952211745083332E-002,
3.938400000000000E+008,-3.393750265240669E-002,-7.927197962999344E-003,3.619841039180756E-001,-9.297316074371338E-001,3.602773547172546E-001,-9.280698299407959E-001,-3.290763869881630E-002,-6.508666090667248E-003,
4.178300000000000E+008,-3.559311851859093E-002,-1.841310225427151E-002,2.940662503242493E-001,-9.509311914443970E-001,2.922712564468384E-001,-9.531859755516052E-001,-2.098545618355274E-002,5.139540880918503E-004,
4.418200000000000E+008,-2.766413427889347E-002,-2.200672216713429E-002,2.223788946866989E-001,-9.719995260238648E-001,2.240109592676163E-001,-9.728348851203919E-001,-1.503537036478519E-002,-1.067347079515457E-002,
4.658100000000000E+008,-1.875282824039459E-002,-1.340990513563156E-002,1.498158276081085E-001,-9.860914945602417E-001,1.513324677944183E-001,-9.867460131645203E-001,-2.779755927622318E-002,-2.119992114603519E-002,
4.898000000000000E+008,-2.159674651920795E-002,8.489726460538805E-004,8.112485706806183E-002,-9.930201172828674E-001,7.935966551303864E-002,-9.967035651206970E-001,-4.678493738174439E-002,-1.354022417217493E-002,
5.137900000000000E+008,-3.431727737188339E-002,1.066254638135433E-002,8.041907101869583E-003,-9.992981553077698E-001,5.406111478805542E-003,-9.968374371528626E-001,-4.684893041849136E-002,8.288609795272350E-003,
5.377800000000000E+008,-4.893424734473229E-002,9.671053849160671E-003,-6.406155228614807E-002,-9.923614859580994E-001,-6.816223263740540E-002,-9.949213862419128E-001,-3.091718442738056E-002,1.410535350441933E-002,
5.617700000000000E+008,-5.228655040264130E-002,1.024843892082572E-003,-1.390308886766434E-001,-9.911676645278931E-001,-1.380459070205689E-001,-9.881556630134583E-001,-2.474460564553738E-002,-1.289400272071362E-003,
5.857600000000000E+008,-4.552015289664269E-002,-4.889387171715498E-003,-2.119084149599075E-001,-9.718570113182068E-001,-2.093969732522965E-001,-9.749680757522583E-001,-4.089669883251190E-002,-1.190274488180876E-002,
6.097500000000000E+008,-3.460591286420822E-002,1.672651385888457E-003,-2.778613865375519E-001,-9.652895331382752E-001,-2.781842947006226E-001,-9.580825567245483E-001,-6.099920719861984E-002,5.237373057752848E-003,
6.337400000000000E+008,-2.911319769918919E-002,1.611351780593395E-002,-3.539283275604248E-001,-9.390426874160767E-001,-3.466828465461731E-001,-9.373627901077271E-001,-5.478492379188538E-002,3.067796304821968E-002,
6.577300000000000E+008,-3.718830272555351E-002,3.259246423840523E-002,-4.166937470436096E-001,-9.098559021949768E-001,-4.154009819030762E-001,-9.103178381919861E-001,-3.224060684442520E-002,3.514472022652626E-002,
6.817200000000000E+008,-4.857330396771431E-002,3.917932882905006E-002,-4.831812977790833E-001,-8.783507347106934E-001,-4.831069707870483E-001,-8.780999779701233E-001,-2.731460332870483E-002,1.490541454404593E-002,
7.057100000000000E+008,-5.646932870149612E-002,3.481854870915413E-002,-5.466868281364441E-001,-8.372083902359009E-001,-5.457405447959900E-001,-8.392268419265747E-001,-4.909878224134445E-002,6.311749573796988E-003,
7.297000000000000E+008,-5.403328686952591E-002,2.697443030774593E-002,-6.039751768112183E-001,-8.000209927558899E-001,-6.049181818962097E-001,-7.962388992309570E-001,-6.702639162540436E-002,2.955422736704350E-002,
7.536900000000000E+008,-4.167375713586807E-002,2.537004649639130E-002,-6.708880662918091E-001,-7.548096776008606E-001,-6.593264937400818E-001,-7.528120875358582E-001,-5.301288142800331E-002,5.922000482678413E-002,
7.776800000000000E+008,-2.692861668765545E-002,3.478469699621201E-002,-7.155524492263794E-001,-7.000455856323242E-001,-7.157002687454224E-001,-7.064598202705383E-001,-2.266043983399868E-002,5.951299145817757E-002,
8.016700000000000E+008,-2.131995558738709E-002,5.420041456818581E-002,-7.684308886528015E-001,-6.531468629837036E-001,-7.673917412757874E-001,-6.525520086288452E-001,-1.886585541069508E-002,3.457926586270332E-002,
8.256600000000000E+008,-2.622199244797230E-002,7.098328322172165E-002,-8.119150400161743E-001,-5.889158248901367E-001,-8.157823085784912E-001,-5.930964946746826E-001,-4.553352296352387E-002,2.699795365333557E-002,
8.496500000000000E+008,-3.838777542114258E-002,7.483947277069092E-002,-8.537371158599854E-001,-5.314328074455261E-001,-8.554781675338745E-001,-5.304139256477356E-001,-6.177182123064995E-002,5.618093535304070E-002,
8.736400000000000E+008,-4.610941186547279E-002,6.542490422725678E-002,-8.923108577728272E-001,-4.638873934745789E-001,-8.900878429412842E-001,-4.662638902664185E-001,-3.929454088211060E-002,8.667993545532227E-002,
8.976300000000000E+008,-3.760710731148720E-002,5.158415064215660E-002,-9.252270460128784E-001,-3.990210592746735E-001,-9.234430193901062E-001,-4.031259417533875E-001,-2.454470144584775E-003,8.041594922542572E-002,
9.216200000000000E+008,-1.290968526154757E-002,4.792274534702301E-002,-9.537444114685059E-001,-3.347696065902710E-001,-9.538562893867493E-001,-3.362409770488739E-001,1.397725543938577E-003,4.985829070210457E-002,
9.456100000000000E+008,1.107346080243588E-002,6.395338475704193E-002,-9.761613607406616E-001,-2.622278630733490E-001,-9.775226116180420E-001,-2.635040581226349E-001,-3.026987984776497E-002,4.482264444231987E-002,
9.696000000000000E+008,1.620544679462910E-002,9.036181867122650E-002,-9.860439300537109E-001,-1.942256689071655E-001,-9.940578937530518E-001,-1.897258311510086E-001,-4.374031722545624E-002,8.120719343423843E-002,
9.935900000000000E+008,7.522659143432975E-004,1.077665016055107E-001,-1.005968451499939E+000,-1.145834401249886E-001,-1.003048419952393E+000,-1.178524717688561E-001,-1.117547973990440E-002,1.114881709218025E-001,
1.017580000000000E+009,-2.006129361689091E-002,1.000119075179100E-001,-1.004761099815369E+000,-4.294073581695557E-002,-1.011982440948486E+000,-4.526773095130920E-002,3.209127113223076E-002,9.256489574909210E-002,
1.041570000000000E+009,-2.117450721561909E-002,7.202877104282379E-002,-1.018175840377808E+000,2.944895625114441E-002,-1.015645027160645E+000,2.973328344523907E-002,2.902887016534805E-002,5.373560637235642E-002,
1.065560000000000E+009,7.651365362107754E-003,4.852584004402161E-002,-1.010363340377808E+000,1.051088348031044E-001,-1.010303258895874E+000,1.068134307861328E-001,-9.097488597035408E-003,5.302591249346733E-002,
1.089550000000000E+009,5.048193782567978E-002,5.374299362301827E-002,-1.001311421394348E+000,1.729394346475601E-001,-9.980558156967163E-001,1.785152852535248E-001,-1.761911809444428E-002,9.721504896879196E-002,
1.113540000000000E+009,7.302974909543991E-002,8.750558644533157E-002,-9.846348762512207E-001,2.461276799440384E-001,-9.835133552551270E-001,2.474633157253265E-001,2.817357517778873E-002,1.246559098362923E-001,
1.137530000000000E+009,5.868296325206757E-002,1.212033554911614E-001,-9.638462066650391E-001,3.207339942455292E-001,-9.677697420120239E-001,3.175851404666901E-001,7.302663475275040E-002,9.211260080337524E-002,
1.161520000000000E+009,2.311466634273529E-002,1.228361129760742E-001,-9.430316090583801E-001,3.943417072296143E-001,-9.479810595512390E-001,3.914985358715057E-001,5.893956497311592E-002,4.345290735363960E-002,
1.185510000000000E+009,3.323156852275133E-003,8.436569571495056E-002,-9.146717786788940E-001,4.667716026306152E-001,-9.168132543563843E-001,4.640685021877289E-001,1.262248866260052E-002,5.108981579542160E-002,
1.209500000000000E+009,2.745916321873665E-002,3.587653860449791E-002,-8.819125294685364E-001,5.297225117683411E-001,-8.763303160667419E-001,5.303096175193787E-001,1.289857085794210E-002,1.036770865321159E-001,
1.233490000000000E+009,8.305381983518601E-002,1.942676492035389E-002,-8.442854285240173E-001,5.897944569587708E-001,-8.376975655555725E-001,5.896001458168030E-001,7.241827994585037E-002,1.235594898462296E-001,
