% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,2.993253245949745E-002,-8.702952414751053E-003,1.910277158021927E-001,-9.516526460647583E-001,1.880179792642593E-001,-9.539881944656372E-001,2.750201895833015E-002,-2.473411336541176E-002,
5.470000000000000E+008,5.675224587321281E-002,6.255041807889938E-005,6.173080578446388E-002,-9.755859971046448E-001,5.874556303024292E-002,-9.695180654525757E-001,3.668259456753731E-002,2.622795477509499E-002,
5.940000000000000E+008,2.883851900696755E-002,1.108145061880350E-002,-6.731419265270233E-002,-9.700506925582886E-001,-6.769496202468872E-002,-9.689117074012756E-001,6.250442564487457E-002,-2.454116195440292E-002,
6.410000000000000E+008,2.761206775903702E-002,-3.199940547347069E-002,-1.985212415456772E-001,-9.576441049575806E-001,-1.981217414140701E-001,-9.571083784103394E-001,1.816909015178680E-002,-8.131668902933598E-003,
6.880000000000000E+008,6.397855281829834E-002,-1.698671281337738E-002,-3.256383836269379E-001,-9.211458563804627E-001,-3.242922723293304E-001,-9.213806390762329E-001,6.175751984119415E-002,-3.740505315363407E-003,
7.350000000000000E+008,1.977089792490006E-002,3.264931030571461E-003,-4.447765350341797E-001,-8.696346282958984E-001,-4.441559612751007E-001,-8.695758581161499E-001,3.372870758175850E-002,-4.008243978023529E-002,
7.820000000000000E+008,-8.314201841130853E-005,-4.939930886030197E-002,-5.518969893455505E-001,-7.969347834587097E-001,-5.529837012290955E-001,-7.965195775032044E-001,3.594555705785751E-002,-1.414891518652439E-002,
8.290000000000000E+008,5.288555473089218E-002,-1.683879457414150E-002,-6.432036757469177E-001,-7.270379066467285E-001,-6.434789299964905E-001,-7.262368798255920E-001,3.481171280145645E-002,-4.884386062622070E-002,
8.760000000000000E+008,1.605877280235291E-002,2.065407484769821E-002,-7.409416437149048E-001,-6.405481100082398E-001,-7.396360635757446E-001,-6.400477886199951E-001,-8.783838711678982E-004,-3.375298902392387E-002,
9.230000000000000E+008,-6.087615620344877E-003,-3.875648602843285E-002,-8.236740827560425E-001,-5.371237397193909E-001,-8.238120675086975E-001,-5.345569849014282E-001,2.126253210008144E-002,-2.022271230816841E-002,
9.700000000000000E+008,5.382834374904633E-002,-3.450763598084450E-002,-8.893215656280518E-001,-4.215403497219086E-001,-8.869110345840454E-001,-4.187859296798706E-001,3.660815535113215E-003,-4.035423323512077E-002,
1.017000000000000E+009,1.970300078392029E-002,2.279637753963471E-002,-9.415206909179688E-001,-3.014401793479919E-001,-9.325726628303528E-001,-2.985413074493408E-001,-4.180930089205504E-003,-1.394577696919441E-002,
1.064000000000000E+009,-2.049869112670422E-002,-2.682017534971237E-002,-9.707056879997253E-001,-1.687430143356323E-001,-9.677420258522034E-001,-1.737952977418900E-001,6.983262021094561E-003,-2.292026579380035E-002,
1.111000000000000E+009,4.198475927114487E-002,-3.993763774633408E-002,-9.822538495063782E-001,-4.113579168915749E-002,-9.828996062278748E-001,-4.153595864772797E-002,-1.378044392913580E-002,-1.745020784437656E-002,
1.158000000000000E+009,3.122848272323608E-002,2.681870013475418E-002,-9.829115271568298E-001,9.298669546842575E-002,-9.781570434570313E-001,8.782614767551422E-002,-2.420844044536352E-003,-1.486436929553747E-003,
1.205000000000000E+009,-1.843884959816933E-002,-9.049771470017731E-004,-9.574351906776428E-001,2.223439663648605E-001,-9.602731466293335E-001,2.173192501068115E-001,-4.473859444260597E-003,-7.607816718518734E-003,
1.252000000000000E+009,2.530194446444511E-002,-3.189688920974731E-002,-9.209681749343872E-001,3.458259701728821E-001,-9.238457679748535E-001,3.466660976409912E-001,-1.020935829728842E-002,7.981656119227409E-003,
1.299000000000000E+009,4.298600181937218E-002,1.280438806861639E-002,-8.684463500976563E-001,4.640684723854065E-001,-8.652151823043823E-001,4.656444191932678E-001,3.609618404880166E-003,1.302084140479565E-002,
1.346000000000000E+009,1.970050483942032E-002,1.209280360490084E-002,-7.951918244361877E-001,5.754510164260864E-001,-7.964877486228943E-001,5.756316184997559E-001,3.111699828878045E-003,1.450655423104763E-002,
1.393000000000000E+009,3.503246605396271E-002,1.071231253445149E-002,-7.096812129020691E-001,6.808309555053711E-001,-7.105446457862854E-001,6.765147447586060E-001,9.011667221784592E-003,2.590785361826420E-002,
1.440000000000000E+009,1.962645351886749E-002,1.302573084831238E-002,-6.139000058174133E-001,7.722569108009338E-001,-6.159501075744629E-001,7.632876038551331E-001,2.398247830569744E-002,2.669866196811199E-002,
1.487000000000000E+009,4.300703853368759E-002,-3.600804880261421E-002,-5.099672675132752E-001,8.309822678565979E-001,-5.082730054855347E-001,8.432911634445190E-001,2.860433980822563E-002,2.512320131063461E-002,
1.534000000000000E+009,1.150683760643005E-001,4.063814878463745E-003,-3.827328085899353E-001,8.987315297126770E-001,-3.829890191555023E-001,8.999279141426086E-001,4.032113403081894E-002,3.239409998059273E-002,
1.581000000000000E+009,4.353721439838409E-002,5.534521862864494E-002,-2.538901865482330E-001,9.550660252571106E-001,-2.660067081451416E-001,9.364788532257080E-001,6.052478402853012E-002,1.993945986032486E-002,
1.628000000000000E+009,1.823378168046475E-002,-5.830129981040955E-002,-1.373341679573059E-001,9.615581035614014E-001,-1.378061920404434E-001,9.697526693344116E-001,5.816841498017311E-002,1.301683206111193E-002,
1.675000000000000E+009,1.501123607158661E-001,-6.482916325330734E-002,4.158938303589821E-003,9.643596410751343E-001,2.922525629401207E-003,9.739165306091309E-001,8.269947767257690E-002,1.390474382787943E-002,
1.722000000000000E+009,9.877461194992065E-002,4.264156520366669E-002,1.434803605079651E-001,9.634295701980591E-001,1.277448832988739E-001,9.543426036834717E-001,8.687596023082733E-002,-2.421234175562859E-002,
1.769000000000000E+009,1.609898358583450E-002,-8.172983676195145E-002,2.509738206863403E-001,9.178034663200378E-001,2.498733103275299E-001,9.271204471588135E-001,7.224250584840775E-002,-1.839964464306831E-002,
1.816000000000000E+009,1.390771120786667E-001,-1.477851122617722E-001,3.594374060630798E-001,8.617017269134522E-001,3.649600148200989E-001,8.823587894439697E-001,9.606845676898956E-002,-2.984586730599403E-002,
1.863000000000000E+009,1.065076962113380E-001,-6.016444414854050E-003,4.745269119739533E-001,8.356897234916687E-001,4.792073667049408E-001,8.313739895820618E-001,7.816800475120544E-002,-5.027166381478310E-002,
1.910000000000000E+009,-1.889600791037083E-002,-1.037062332034111E-001,5.896871685981751E-001,7.608706355094910E-001,5.854480862617493E-001,7.543433308601379E-001,1.080109998583794E-001,-3.578523546457291E-002,
1.957000000000000E+009,1.129649206995964E-001,-1.914641559123993E-001,6.731575131416321E-001,6.549371480941773E-001,6.806586980819702E-001,6.731236577033997E-001,1.134729981422424E-001,-1.070923134684563E-001,
2.004000000000000E+009,1.155931875109673E-001,-4.695025458931923E-002,7.668001651763916E-001,5.725867748260498E-001,7.745135426521301E-001,5.712555646896362E-001,7.218851149082184E-002,-9.112603217363358E-002,
2.051000000000000E+009,-4.202425479888916E-002,-1.286399960517883E-001,8.360314369201660E-001,4.520108103752136E-001,8.307127356529236E-001,4.424578249454498E-001,1.211076453328133E-001,-1.274363547563553E-001,
2.098000000000000E+009,7.449218630790710E-002,-2.431100010871887E-001,8.656525015830994E-001,3.410308957099915E-001,8.678329586982727E-001,3.398438692092896E-001,4.337221011519432E-002,-1.770005673170090E-001,
2.145000000000000E+009,8.663240820169449E-002,-9.656822681427002E-002,9.196561574935913E-001,2.066408097743988E-001,9.115145206451416E-001,2.119997143745422E-001,6.690376996994019E-002,-1.357550323009491E-001,
2.192000000000000E+009,-9.412397444248200E-002,-1.553732454776764E-001,9.063204526901245E-001,8.874101936817169E-002,9.045281410217285E-001,8.428402245044708E-002,4.067463427782059E-002,-2.400563657283783E-001,
2.239000000000000E+009,1.251357141882181E-002,-2.867341637611389E-001,9.093134999275208E-001,-2.241153456270695E-002,9.094008803367615E-001,-2.384787425398827E-002,-4.033442959189415E-002,-1.746954619884491E-001,
