% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,4.711597040295601E-002,8.647613227367401E-003,2.283823788166046E-001,-9.709936380386353E-001,2.289694845676422E-001,-9.686414003372192E-001,7.729970663785934E-002,2.070768177509308E-002,
5.470000000000000E+008,1.195500046014786E-001,-2.023857086896896E-002,9.837371855974197E-002,-9.868762493133545E-001,1.062607690691948E-001,-9.911390542984009E-001,9.568715840578079E-002,6.719707977026701E-003,
5.940000000000000E+008,1.122855916619301E-001,3.258459642529488E-002,-2.115097455680370E-002,-9.939647316932678E-001,-2.233064919710159E-002,-9.962741136550903E-001,9.299003332853317E-002,-8.243977092206478E-003,
6.410000000000000E+008,6.639829277992249E-002,-1.843889430165291E-002,-1.468490064144135E-001,-9.822028279304504E-001,-1.512317955493927E-001,-9.812359213829041E-001,1.020777523517609E-001,-1.270155888050795E-002,
6.880000000000000E+008,1.221542358398438E-001,-5.819717794656754E-002,-2.663880288600922E-001,-9.472321867942810E-001,-2.716911137104034E-001,-9.511919021606445E-001,1.011071652173996E-001,-3.326734900474548E-002,
7.350000000000000E+008,1.235552728176117E-001,-1.728555001318455E-002,-3.871074020862579E-001,-9.077574610710144E-001,-3.884598314762116E-001,-9.098545908927918E-001,1.004465818405151E-001,-4.196099936962128E-002,
7.820000000000000E+008,7.163266837596893E-002,-5.253570526838303E-002,-4.997507929801941E-001,-8.543275594711304E-001,-4.988020956516266E-001,-8.495923280715942E-001,1.016717404127121E-001,-5.676540359854698E-002,
8.290000000000000E+008,1.017371118068695E-001,-1.027553379535675E-001,-5.958020091056824E-001,-7.841672301292419E-001,-5.999140143394470E-001,-7.800717949867249E-001,8.993110060691834E-002,-6.966849416494370E-002,
8.760000000000000E+008,1.112966611981392E-001,-7.510548084974289E-002,-6.942817568778992E-001,-6.963477134704590E-001,-6.915084719657898E-001,-6.981469392776489E-001,8.934775739908218E-002,-8.175273239612579E-002,
9.230000000000000E+008,5.875717103481293E-002,-8.690581470727921E-002,-7.755541801452637E-001,-6.047834753990173E-001,-7.731345891952515E-001,-6.046690344810486E-001,7.775900512933731E-002,-9.588561207056046E-002,
9.700000000000000E+008,5.893120914697647E-002,-1.380588263273239E-001,-8.416184186935425E-001,-5.048559904098511E-001,-8.405191302299500E-001,-5.006926059722900E-001,6.538873165845871E-002,-1.000284254550934E-001,
1.017000000000000E+009,7.048460096120834E-002,-1.242581456899643E-001,-8.960119485855103E-001,-3.880217671394348E-001,-8.943579196929932E-001,-3.946595788002014E-001,5.797836184501648E-002,-1.115625128149986E-001,
1.064000000000000E+009,2.223488315939903E-002,-1.121298149228096E-001,-9.378956556320190E-001,-2.819021046161652E-001,-9.373700022697449E-001,-2.818378508090973E-001,4.268689453601837E-002,-1.134506314992905E-001,
1.111000000000000E+009,-3.515671472996473E-003,-1.497747302055359E-001,-9.665743112564087E-001,-1.633864492177963E-001,-9.675015211105347E-001,-1.613745540380478E-001,3.799651563167572E-002,-1.178171411156654E-001,
1.158000000000000E+009,1.336047053337097E-002,-1.414412707090378E-001,-9.747162461280823E-001,-3.730193153023720E-002,-9.811090826988220E-001,-3.956847265362740E-002,2.084937319159508E-002,-1.336422413587570E-001,
1.205000000000000E+009,-2.389606088399887E-002,-1.140510663390160E-001,-9.803354144096375E-001,8.595213294029236E-002,-9.807630181312561E-001,8.572722971439362E-002,3.947517368942499E-003,-1.237151548266411E-001,
1.252000000000000E+009,-5.862622335553169E-002,-1.365895420312882E-001,-9.598414897918701E-001,2.086548954248428E-001,-9.606252908706665E-001,2.121603637933731E-001,-8.885764400474727E-004,-1.328748613595963E-001,
1.299000000000000E+009,-4.248670488595963E-002,-1.286252140998840E-001,-9.256283640861511E-001,3.241949081420898E-001,-9.271762371063232E-001,3.286867141723633E-001,-3.245441988110542E-002,-1.331645399332047E-001,
1.346000000000000E+009,-7.929749041795731E-002,-9.498754888772965E-002,-8.794636130332947E-001,4.504573345184326E-001,-8.792937397956848E-001,4.483873248100281E-001,-2.994740195572376E-002,-1.135265082120895E-001,
1.393000000000000E+009,-9.760407358407974E-002,-1.120335981249809E-001,-8.129977583885193E-001,5.551156997680664E-001,-8.099150061607361E-001,5.588023662567139E-001,-5.087176337838173E-002,-1.364978998899460E-001,
1.440000000000000E+009,-7.523206621408463E-002,-7.811491191387177E-002,-7.396520972251892E-001,6.548918485641480E-001,-7.362256050109863E-001,6.587748527526856E-001,-7.728710025548935E-002,-9.568494558334351E-002,
1.487000000000000E+009,-1.361935734748840E-001,-3.711457923054695E-002,-6.320274472236633E-001,7.540825009346008E-001,-6.345774531364441E-001,7.543593049049377E-001,-4.824435338377953E-002,-1.134332343935967E-001,
1.534000000000000E+009,-1.260962933301926E-001,-9.482330828905106E-002,-5.343534350395203E-001,8.236093521118164E-001,-5.264270901679993E-001,8.223844170570374E-001,-1.229573562741280E-001,-9.908490628004074E-002,
1.581000000000000E+009,-4.381085187196732E-002,-2.141162194311619E-002,-4.095164239406586E-001,8.867076635360718E-001,-4.067811667919159E-001,8.890367150306702E-001,-5.513558909296989E-002,-5.180544406175613E-002,
1.628000000000000E+009,-1.466876268386841E-001,7.211608439683914E-002,-2.702867984771729E-001,9.024057388305664E-001,-2.683182954788208E-001,9.071558713912964E-001,-1.283784359693527E-001,-1.200769022107124E-001,
1.675000000000000E+009,-1.778993755578995E-001,-7.393447309732437E-002,-1.651817113161087E-001,9.209808111190796E-001,-1.593467295169830E-001,9.149597287178040E-001,-9.890031069517136E-002,1.445047184824944E-002,
1.722000000000000E+009,1.256661023944616E-002,-5.129006505012512E-002,-4.750875756144524E-002,8.958558440208435E-001,-4.293019697070122E-002,8.949069976806641E-001,-8.925084769725800E-002,-1.202585324645042E-001,
1.769000000000000E+009,-5.986510589718819E-002,1.380564421415329E-001,1.783495396375656E-002,8.779141902923584E-001,2.235248126089573E-002,8.740310072898865E-001,-1.495708078145981E-001,4.044285044074059E-002,
1.816000000000000E+009,-2.126611471176148E-001,9.613491594791412E-003,1.113599538803101E-001,8.871855139732361E-001,1.151191443204880E-001,8.794165253639221E-001,-4.870752990245819E-002,-7.392801344394684E-002,
1.863000000000000E+009,-4.114509373903275E-002,-8.000470697879791E-002,1.939373612403870E-001,8.767210841178894E-001,1.923722177743912E-001,8.712332844734192E-001,-1.735611408948898E-001,1.309463568031788E-002,
1.910000000000000E+009,-1.471308991312981E-002,1.179428994655609E-001,3.081248998641968E-001,8.774815201759338E-001,3.053897023200989E-001,8.780563473701477E-001,-4.627259820699692E-002,1.078829076141119E-002,
1.957000000000000E+009,-1.709050685167313E-001,7.645825296640396E-002,4.282996058464050E-001,8.333305716514587E-001,4.249966144561768E-001,8.336179852485657E-001,-1.458107680082321E-001,-1.396358758211136E-002,
2.004000000000000E+009,-5.629412457346916E-002,-3.157114610075951E-002,5.300869345664978E-001,7.911252379417419E-001,5.266656875610352E-001,7.861614227294922E-001,-7.773750275373459E-002,6.694981455802918E-002,
2.051000000000000E+009,5.050378851592541E-003,1.089145466685295E-001,6.318336129188538E-001,7.121796011924744E-001,6.363562345504761E-001,7.168427109718323E-001,-8.142738789319992E-002,2.955255331471562E-005,
2.098000000000000E+009,-1.141790598630905E-001,9.424657374620438E-002,7.283079624176025E-001,6.194089055061340E-001,7.254510521888733E-001,6.306533813476563E-001,-1.015677452087402E-001,6.595535576343536E-002,
