% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-1.376044154167175E-001,-9.770307540893555E-001,-5.926832091063261E-005,2.872820368793327E-005,7.273888331837952E-005,-9.565867367200553E-005,7.434808015823364E-001,-6.700513958930969E-001,
5.470000000000000E+008,-3.422791063785553E-001,-8.634984493255615E-001,7.879149052314460E-005,-8.395526674576104E-005,-4.795125278178603E-005,-7.461909262929112E-005,6.950939893722534E-001,-7.174999713897705E-001,
5.940000000000000E+008,-4.759383499622345E-001,-8.450852036476135E-001,-2.441445940348785E-005,7.600111985084368E-006,-8.159760000125971E-006,7.548830581072252E-006,6.425004601478577E-001,-7.649663686752319E-001,
6.410000000000000E+008,-5.722879171371460E-001,-7.869476079940796E-001,3.561887933756225E-005,-4.372957482701168E-005,1.864985242718831E-004,2.218185181845911E-005,5.889812707901001E-001,-8.071753978729248E-001,
6.880000000000000E+008,-6.893129944801331E-001,-5.970964431762695E-001,-5.682842675014399E-005,3.287334766355343E-005,-3.829414708889090E-005,-8.437198266619816E-005,5.310362577438355E-001,-8.474273085594177E-001,
7.350000000000000E+008,-7.938752174377441E-001,-5.717091560363770E-001,-4.854190046899021E-005,2.262175257783383E-005,-4.531315062195063E-005,1.636773813515902E-004,4.713521897792816E-001,-8.801440000534058E-001,
7.820000000000000E+008,-8.470655083656311E-001,-4.027649164199829E-001,-2.299155858054292E-005,2.664021303644404E-005,4.723917299997993E-005,1.267984589503612E-005,4.100484549999237E-001,-9.091710448265076E-001,
8.290000000000000E+008,-8.719398975372315E-001,-2.396798580884934E-001,3.341145929880440E-005,-2.940731246781070E-005,3.960149479098618E-005,6.555706204380840E-005,3.455651104450226E-001,-9.363098144531250E-001,
8.760000000000000E+008,-9.665266871452332E-001,-1.717151701450348E-001,1.123104993894231E-006,-6.080542516428977E-005,1.015458838082850E-004,3.834785093204118E-005,2.806259691715241E-001,-9.586412310600281E-001,
9.230000000000000E+008,-8.831767439842224E-001,2.552284300327301E-002,-5.433126352727413E-005,-6.784405559301376E-005,-2.979689816129394E-005,4.801401155418716E-005,2.141553461551666E-001,-9.734902381896973E-001,
9.700000000000000E+008,-9.092636108398438E-001,1.384053081274033E-001,1.907340811158065E-005,1.268696269107750E-005,-3.269536591687938E-006,1.261472061742097E-005,1.452013701200485E-001,-9.879271388053894E-001,
1.017000000000000E+009,-9.233994483947754E-001,2.582366466522217E-001,-4.042482942168135E-006,-5.626302299788222E-005,8.833211177261546E-005,-1.341896495432593E-005,7.768602669239044E-002,-9.947635531425476E-001,
1.064000000000000E+009,-7.484582066535950E-001,3.657337725162506E-001,3.852599911624566E-005,4.045606328872964E-005,-3.456327976891771E-005,-2.179466537199915E-005,7.966415956616402E-003,-9.961572289466858E-001,
1.111000000000000E+009,-8.033487200737000E-001,5.160828828811646E-001,-5.884356505703181E-005,1.614043503650464E-005,4.959936632076278E-005,-1.119319713325240E-004,-6.216699630022049E-002,-9.956242442131043E-001,
1.158000000000000E+009,-7.081462144851685E-001,5.777394771575928E-001,-7.792087853886187E-005,-2.630390736158006E-005,-1.700986103969626E-005,-1.076848275261000E-005,-1.286341547966003E-001,-9.883090853691101E-001,
1.205000000000000E+009,-5.358238220214844E-001,5.985342860221863E-001,-1.421603428752860E-005,-2.535372550482862E-005,-5.909131141379476E-005,5.027535735280253E-005,-1.973058283329010E-001,-9.749652743339539E-001,
1.252000000000000E+009,-5.237041115760803E-001,8.436799049377441E-001,1.382503796776291E-005,-2.516622407711111E-005,-2.403983853582759E-005,3.093839404755272E-005,-2.656532824039459E-001,-9.608498215675354E-001,
1.299000000000000E+009,-4.500014483928680E-001,7.836169004440308E-001,4.813730629393831E-005,9.222076914738864E-005,-1.609790706424974E-005,8.384934335481376E-005,-3.293817639350891E-001,-9.388825893402100E-001,
1.346000000000000E+009,-2.965806424617767E-001,7.448302507400513E-001,8.747586980462074E-005,2.863275403797161E-005,6.876879342598841E-005,8.368412818526849E-005,-3.944324851036072E-001,-9.135008454322815E-001,
1.393000000000000E+009,-6.814789026975632E-002,9.768536686897278E-001,8.797055488685146E-005,6.882257002871484E-005,5.637436697725207E-005,-1.616590816411190E-005,-4.570379853248596E-001,-8.843780755996704E-001,
1.440000000000000E+009,-1.233803033828735E-001,9.508492946624756E-001,5.692957529390696E-006,-3.520998507156037E-005,-6.835111889813561E-006,-3.065433338633739E-005,-5.158451199531555E-001,-8.504123687744141E-001,
1.487000000000000E+009,-4.160605370998383E-002,8.585240244865418E-001,-7.081903459038585E-005,-2.410001798125450E-005,6.261312591959722E-006,-5.144491296960041E-005,-5.727143883705139E-001,-8.104906082153320E-001,
1.534000000000000E+009,2.841852605342865E-001,8.462110161781311E-001,-7.047194958431646E-005,-9.651948494138196E-005,-1.416264149156632E-005,1.626189441594761E-005,-6.296935081481934E-001,-7.692576646804810E-001,
1.581000000000000E+009,2.927792072296143E-001,9.327151775360107E-001,-1.057780536939390E-005,-1.694126513029914E-005,-6.193167791934684E-006,6.913599645486102E-005,-6.800529956817627E-001,-7.242649793624878E-001,
1.628000000000000E+009,3.380181193351746E-001,8.796280622482300E-001,-3.965872747357935E-005,-3.585444937925786E-005,-4.354096745373681E-005,-3.535980067681521E-005,-7.281068563461304E-001,-6.732577085494995E-001,
1.675000000000000E+009,5.432775616645813E-001,6.904596090316773E-001,-2.042007508862298E-005,-3.432239736866904E-006,-8.087776222964749E-005,7.543343235738576E-005,-7.738922238349915E-001,-6.224014163017273E-001,
1.722000000000000E+009,6.466627120971680E-001,7.571520805358887E-001,9.390516061102971E-005,-7.590641325805336E-005,2.204226802859921E-005,-2.292430690431502E-005,-8.143242001533508E-001,-5.672706365585327E-001,
1.769000000000000E+009,6.993622183799744E-001,6.656194925308228E-001,5.944524309597910E-005,-1.153259472630452E-005,5.807167326565832E-005,7.071453728713095E-005,-8.508176207542419E-001,-5.071165561676025E-001,
1.816000000000000E+009,7.634999752044678E-001,4.563202261924744E-001,4.489585990086198E-005,-8.795897883828729E-005,-3.293361805845052E-005,-2.046466033789329E-005,-8.855362534523010E-001,-4.474478363990784E-001,
1.863000000000000E+009,9.098879694938660E-001,4.518456757068634E-001,-2.553225567680784E-005,3.682322494569235E-005,-1.509170215285849E-005,1.860175325418823E-005,-9.130491018295288E-001,-3.858539462089539E-001,
1.910000000000000E+009,8.960667252540588E-001,3.166341185569763E-001,1.922792034747545E-005,-2.340492937946692E-005,-4.108025314053521E-005,-2.212854269600939E-005,-9.370582699775696E-001,-3.196988105773926E-001,
1.957000000000000E+009,8.954719901084900E-001,1.482259780168533E-001,-2.764156670309603E-005,2.711669185373467E-005,-5.101268470752984E-005,-2.121602847182658E-005,-9.578595161437988E-001,-2.552092671394348E-001,
2.004000000000000E+009,1.017159581184387E+000,5.953463539481163E-002,4.655584780266509E-005,4.533312676358037E-005,-6.870858669572044E-006,2.873302946682088E-005,-9.720172286033630E-001,-1.874025017023087E-001,
2.051000000000000E+009,9.276376962661743E-001,-5.718278884887695E-002,-5.331288321031025E-006,-3.313284469186328E-005,-4.989713124814443E-005,5.892353146919049E-005,-9.823845624923706E-001,-1.189440563321114E-001,
2.098000000000000E+009,9.113343954086304E-001,-1.988253146409988E-001,1.233683997270418E-005,1.052291918313131E-005,-5.909938408876769E-005,5.433605110738426E-005,-9.896263480186462E-001,-5.089280009269714E-002,
2.145000000000000E+009,9.465512037277222E-001,-3.282592892646790E-001,1.938241621246561E-005,4.729711508844048E-005,5.215912460698746E-005,1.696046638244297E-005,-9.887270927429199E-001,1.719823293387890E-002,
2.192000000000000E+009,8.200993537902832E-001,-3.952830135822296E-001,-6.387176108546555E-005,-4.583147529046983E-005,-3.087727964157239E-005,-2.558723963375087E-006,-9.853125810623169E-001,8.732809126377106E-002,
2.239000000000000E+009,7.902792096138001E-001,-5.357334613800049E-001,-5.667447840096429E-005,1.502472878200933E-005,-1.279263778997120E-005,8.368092494492885E-006,-9.778896570205689E-001,1.545227766036987E-001,
