% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,1.133698672056198E-001,-9.804348945617676E-001,6.493533146567643E-005,8.453996997559443E-006,1.351265673292801E-004,-1.209304391522892E-004,7.431396245956421E-001,-6.683405041694641E-001,
5.470000000000000E+008,-2.883658558130264E-002,-9.565917849540710E-001,8.040116517804563E-005,-2.439866875647567E-005,-3.031712913070805E-005,-8.919362153392285E-005,6.946797966957092E-001,-7.198502421379089E-001,
5.940000000000000E+008,-1.730346530675888E-001,-9.676893353462219E-001,-8.301002526422963E-005,-5.867610070708906E-006,-5.101597707835026E-005,-3.565193765098229E-005,6.421248912811279E-001,-7.648748159408569E-001,
6.410000000000000E+008,-2.979083955287933E-001,-9.392041563987732E-001,-1.207799141411670E-005,8.756718671065755E-006,-1.903968041006010E-005,6.590424618480029E-006,5.895787477493286E-001,-8.067759275436401E-001,
6.880000000000000E+008,-4.244193732738495E-001,-8.688863515853882E-001,1.823153525037924E-006,9.623429650673643E-005,-9.070462692761794E-005,3.994577491539531E-005,5.309190750122070E-001,-8.464516997337341E-001,
7.350000000000000E+008,-5.507605075836182E-001,-8.162086606025696E-001,-5.135065657668747E-005,1.026921745506115E-004,-1.091175145120360E-004,1.264428574359044E-004,4.707629084587097E-001,-8.804614543914795E-001,
7.820000000000000E+008,-6.648559570312500E-001,-7.273089885711670E-001,6.982241757214069E-005,-3.387011929589789E-006,2.495934677426703E-005,-1.677237605690607E-006,4.096437692642212E-001,-9.100688695907593E-001,
8.290000000000000E+008,-7.529393434524536E-001,-6.164416670799255E-001,-2.341740946576465E-005,3.698157161124982E-005,-1.918026682687923E-004,5.537396646104753E-005,3.448390364646912E-001,-9.363929033279419E-001,
8.760000000000000E+008,-8.342659473419190E-001,-5.179971456527710E-001,1.019030023599044E-004,-5.784156746813096E-005,2.820572444761638E-005,6.479217699961737E-005,2.807730734348297E-001,-9.584188461303711E-001,
9.230000000000000E+008,-9.094544649124146E-001,-3.645491898059845E-001,3.863558958983049E-005,9.352975030196831E-005,3.722141264006496E-005,4.358817386673763E-005,2.131413519382477E-001,-9.727077484130859E-001,
9.700000000000000E+008,-9.400179982185364E-001,-2.511170208454132E-001,-3.062563791900175E-006,-9.195802704198286E-006,4.195721703581512E-005,4.111491580260918E-005,1.454637497663498E-001,-9.880053997039795E-001,
1.017000000000000E+009,-9.658989310264587E-001,-1.234906911849976E-001,2.825821502483450E-005,-1.790319038263988E-005,3.087082222918980E-005,2.301058520970400E-005,7.727215439081192E-002,-9.949954152107239E-001,
1.064000000000000E+009,-9.525715112686157E-001,7.640188932418823E-002,1.368339962937171E-005,4.003811409347691E-005,-5.953462459729053E-005,6.620659405598417E-005,8.186733350157738E-003,-9.961745142936707E-001,
