% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-2.367626130580902E-001,1.934189349412918E-001,7.815825939178467E-002,-7.391147613525391E-001,7.974459230899811E-002,-7.366761565208435E-001,-2.368214726448059E-001,2.058135271072388E-001,
5.470000000000000E+008,-2.307930141687393E-001,2.328842729330063E-001,-1.306392624974251E-002,-7.365737557411194E-001,-1.652728766202927E-002,-7.333242893218994E-001,-2.218575030565262E-001,2.375265806913376E-001,
5.940000000000000E+008,-2.123159319162369E-001,2.584413588047028E-001,-1.127735525369644E-001,-7.194240093231201E-001,-1.095952391624451E-001,-7.174156308174133E-001,-2.021965533494949E-001,2.726173400878906E-001,
6.410000000000000E+008,-1.831514984369278E-001,2.908670902252197E-001,-2.002253979444504E-001,-6.933323740959168E-001,-1.994314640760422E-001,-6.901668310165405E-001,-1.733891516923904E-001,3.036642968654633E-001,
6.880000000000000E+008,-1.596383601427078E-001,3.275711834430695E-001,-2.826502621173859E-001,-6.544369459152222E-001,-2.825294435024262E-001,-6.517356634140015E-001,-1.449266821146011E-001,3.311661183834076E-001,
7.350000000000000E+008,-1.275015324354172E-001,3.461075723171234E-001,-3.656514585018158E-001,-6.025915741920471E-001,-3.597214221954346E-001,-6.054238677024841E-001,-1.071317270398140E-001,3.574821352958679E-001,
7.820000000000000E+008,-8.932954072952271E-002,3.706395924091339E-001,-4.340215921401978E-001,-5.507270693778992E-001,-4.300107061862946E-001,-5.486001968383789E-001,-6.690318137407303E-002,3.771314322948456E-001,
8.290000000000000E+008,-4.674188047647476E-002,3.932290971279144E-001,-4.927297532558441E-001,-4.861332774162293E-001,-4.895467162132263E-001,-4.862881302833557E-001,-2.398464083671570E-002,3.946464061737061E-001,
8.760000000000000E+008,-8.384034037590027E-003,3.993627727031708E-001,-5.392169952392578E-001,-4.064526557922363E-001,-5.426643490791321E-001,-4.150953888893127E-001,2.560151182115078E-002,4.027632176876068E-001,
9.230000000000000E+008,4.168045520782471E-002,4.193437993526459E-001,-5.903514027595520E-001,-3.394228219985962E-001,-5.837410688400269E-001,-3.410597145557404E-001,7.252158969640732E-002,4.073876440525055E-001,
9.700000000000000E+008,8.998529613018036E-002,4.126300513744354E-001,-6.150476932525635E-001,-2.566651403903961E-001,-6.163437366485596E-001,-2.642893195152283E-001,1.234614998102188E-001,4.052544534206390E-001,
1.017000000000000E+009,1.298534572124481E-001,4.248527288436890E-001,-6.226862668991089E-001,-1.847758740186691E-001,-6.377268433570862E-001,-1.802321672439575E-001,1.749330312013626E-001,3.931219875812531E-001,
1.064000000000000E+009,1.985184401273727E-001,4.164432585239410E-001,-6.534554362297058E-001,-9.570296853780747E-002,-6.510594487190247E-001,-1.011506468057632E-001,2.236405313014984E-001,3.796156048774719E-001,
1.111000000000000E+009,2.354290187358856E-001,4.125842452049255E-001,-6.327199339866638E-001,-3.492212295532227E-002,-6.516466736793518E-001,-1.857562176883221E-002,2.735263109207153E-001,3.558121323585510E-001,
1.158000000000000E+009,3.317213654518127E-001,4.346401393413544E-001,-6.552748680114746E-001,3.228040039539337E-002,-6.438927650451660E-001,5.719520151615143E-002,3.188334107398987E-001,3.278810977935791E-001,
1.205000000000000E+009,3.577392399311066E-001,3.410082757472992E-001,-6.194925308227539E-001,1.374703198671341E-001,-6.270892620086670E-001,1.401731669902802E-001,3.626377880573273E-001,2.930156886577606E-001,
1.252000000000000E+009,5.058209896087647E-001,2.363277077674866E-001,-6.476814150810242E-001,2.208717465400696E-001,-6.078066229820252E-001,2.059508711099625E-001,4.033704400062561E-001,2.529621124267578E-001,
1.299000000000000E+009,5.468732118606567E-001,1.566553860902786E-001,-5.643993020057678E-001,3.332656919956207E-001,-5.611262321472168E-001,2.891645133495331E-001,4.312255680561066E-001,2.040334641933441E-001,
1.346000000000000E+009,4.672589004039764E-001,1.829893290996552E-001,-5.391375422477722E-001,3.416358530521393E-001,-5.210961103439331E-001,3.475738167762756E-001,4.623778760433197E-001,1.544687598943710E-001,
1.393000000000000E+009,4.270561635494232E-001,5.198732018470764E-003,-4.588078856468201E-001,4.268937706947327E-001,-4.761957228183746E-001,4.200395345687866E-001,4.836653769016266E-001,9.419499337673187E-002,
1.440000000000000E+009,4.854003489017487E-001,-7.557132281363010E-003,-3.786706328392029E-001,4.421545565128326E-001,-4.028380811214447E-001,4.530846774578095E-001,5.001391768455505E-001,4.514333978295326E-002,
1.487000000000000E+009,4.825128316879273E-001,2.790436893701553E-002,-3.520711958408356E-001,5.330865383148193E-001,-3.500841557979584E-001,5.035925507545471E-001,5.104763507843018E-001,-2.311674878001213E-002,
1.534000000000000E+009,3.921232223510742E-001,-5.894911289215088E-002,-2.802800834178925E-001,5.208126902580261E-001,-2.799948155879974E-001,5.298980474472046E-001,5.028946995735169E-001,-7.911261171102524E-002,
1.581000000000000E+009,4.907626211643219E-001,-1.223860234022141E-001,-2.213639765977860E-001,5.404637455940247E-001,-2.158866822719574E-001,5.573533177375794E-001,5.006381273269653E-001,-1.425931453704834E-001,
1.628000000000000E+009,4.844609498977661E-001,-1.199719160795212E-001,-1.243984326720238E-001,5.845854878425598E-001,-1.416293531656265E-001,5.789483189582825E-001,4.791456460952759E-001,-2.038267254829407E-001,
1.675000000000000E+009,4.177063107490540E-001,-1.782721728086472E-001,-8.561033010482788E-002,5.784519314765930E-001,-7.645846903324127E-002,5.812468528747559E-001,4.599472880363464E-001,-2.602624297142029E-001,
1.722000000000000E+009,4.609121680259705E-001,-2.884087264537811E-001,-8.767884224653244E-003,5.850830078125000E-001,-4.100430756807327E-003,5.875598192214966E-001,4.276100695133209E-001,-3.186869621276856E-001,
1.769000000000000E+009,4.306472539901733E-001,-2.864217162132263E-001,7.812096178531647E-002,5.724363923072815E-001,7.049111276865006E-002,5.782826542854309E-001,3.894392549991608E-001,-3.671338558197022E-001,
1.816000000000000E+009,3.664711713790894E-001,-3.491091430187225E-001,1.247138530015945E-001,5.675271153450012E-001,1.327417194843292E-001,5.614866018295288E-001,3.464332222938538E-001,-4.182186126708984E-001,
1.863000000000000E+009,3.515654802322388E-001,-4.402344822883606E-001,2.013090401887894E-001,5.382565259933472E-001,2.020850628614426E-001,5.398173332214356E-001,2.946861088275909E-001,-4.588429331779480E-001,
1.910000000000000E+009,3.082574307918549E-001,-4.327887594699860E-001,2.640611827373505E-001,5.011162161827087E-001,2.637599706649780E-001,5.072035193443298E-001,2.415604591369629E-001,-4.933265745639801E-001,
1.957000000000000E+009,2.309182584285736E-001,-4.900752902030945E-001,3.196705579757690E-001,4.767810404300690E-001,3.209527134895325E-001,4.692592024803162E-001,1.799152493476868E-001,-5.246932506561279E-001,
2.004000000000000E+009,1.876231282949448E-001,-5.409025549888611E-001,3.728684186935425E-001,4.218151867389679E-001,3.746565580368042E-001,4.235333800315857E-001,1.168705299496651E-001,-5.447776317596436E-001,
2.051000000000000E+009,1.329566985368729E-001,-5.297545194625855E-001,4.161135256290436E-001,3.712342977523804E-001,4.175167977809906E-001,3.732430934906006E-001,5.217527970671654E-002,-5.588598251342773E-001,
2.098000000000000E+009,4.500417783856392E-002,-5.657575130462647E-001,4.624122381210327E-001,3.208708167076111E-001,4.592991471290588E-001,3.183879554271698E-001,-1.677629910409451E-002,-5.647440552711487E-001,
2.145000000000000E+009,-6.364457309246063E-003,-5.767211318016052E-001,4.894440174102783E-001,2.558663189411163E-001,4.917838871479034E-001,2.572299242019653E-001,-8.378379791975021E-002,-5.610973238945007E-001,
