% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-4.619014915078878E-003,5.074043199419975E-002,6.319251060485840E-001,-1.065598614513874E-002,6.319341063499451E-001,-1.339894253760576E-002,-1.041965708136559E-001,-3.840067610144615E-002,
3.399000000000000E+007,-1.059110760688782E-001,1.001212149858475E-001,6.822718977928162E-001,-1.273322105407715E-002,6.938005089759827E-001,-9.510766714811325E-003,-2.841147184371948E-001,-7.083145529031754E-002,
5.798000000000000E+007,-2.353670895099640E-001,6.791187077760696E-002,7.321633100509644E-001,-8.648610860109329E-002,7.272328138351440E-001,-8.377817273139954E-002,-2.708242535591126E-001,4.200833290815353E-002,
8.197000000000000E+007,-3.029772043228149E-001,-1.519743725657463E-002,7.065842747688294E-001,-1.583870947360992E-001,7.062160372734070E-001,-1.541849374771118E-001,-1.971493661403656E-001,4.596713930368424E-002,
1.059600000000000E+008,-2.793585360050201E-001,-9.462685137987137E-002,6.980718970298767E-001,-2.011840343475342E-001,6.994085907936096E-001,-2.027425616979599E-001,-1.987068057060242E-001,-2.109809778630734E-002,
1.299500000000000E+008,-2.116116285324097E-001,-1.068657189607620E-001,6.932404041290283E-001,-2.472090125083923E-001,6.904881596565247E-001,-2.507802844047546E-001,-2.569455802440643E-001,-3.757465258240700E-002,
1.539400000000000E+008,-1.864951997995377E-001,-4.213954135775566E-002,6.776201128959656E-001,-3.131674528121948E-001,6.767759919166565E-001,-3.112532794475555E-001,-2.927889823913574E-001,1.064695604145527E-002,
1.779300000000000E+008,-2.247459888458252E-001,2.893559448421001E-002,6.499832272529602E-001,-3.821948766708374E-001,6.462401151657105E-001,-3.783867955207825E-001,-2.741442024707794E-001,5.215649306774139E-002,
2.019200000000000E+008,-2.899354398250580E-001,5.100294947624207E-002,6.019091606140137E-001,-4.243183732032776E-001,6.031309366226196E-001,-4.271115958690643E-001,-2.506484091281891E-001,4.403211921453476E-002,
2.259100000000000E+008,-3.295291662216187E-001,2.070923149585724E-002,5.626519322395325E-001,-4.621390700340271E-001,5.610662698745728E-001,-4.602628946304321E-001,-2.670243084430695E-001,2.538381703197956E-002,
2.499000000000000E+008,-3.229375779628754E-001,-1.162059605121613E-002,5.316084623336792E-001,-4.964006543159485E-001,5.282239913940430E-001,-4.935947954654694E-001,-3.046088218688965E-001,3.925680369138718E-002,
2.738900000000000E+008,-2.921025454998016E-001,2.530973404645920E-003,4.986744225025177E-001,-5.365531444549561E-001,4.959427416324616E-001,-5.338873863220215E-001,-3.192461431026459E-001,7.823815941810608E-002,
2.978800000000000E+008,-2.786040604114533E-001,5.626606941223145E-002,4.502565562725067E-001,-5.723209381103516E-001,4.500432908535004E-001,-5.738270878791809E-001,-3.051806688308716E-001,1.107701137661934E-001,
3.218700000000000E+008,-3.005391657352448E-001,1.086159273982048E-001,3.950189352035523E-001,-5.990396738052368E-001,3.943082988262177E-001,-6.018792390823364E-001,-2.916706800460815E-001,1.161637455224991E-001,
3.458600000000000E+008,-3.392186760902405E-001,1.256628185510635E-001,3.452652096748352E-001,-6.146590709686279E-001,3.454378843307495E-001,-6.153027415275574E-001,-3.018107414245606E-001,1.181275695562363E-001,
3.698500000000000E+008,-3.579852283000946E-001,1.142805367708206E-001,3.042808771133423E-001,-6.311456561088562E-001,3.054001927375794E-001,-6.292495727539063E-001,-3.203661441802979E-001,1.400841027498245E-001,
3.938400000000000E+008,-3.449495136737824E-001,1.129167228937149E-001,2.611382305622101E-001,-6.537610292434692E-001,2.636041343212128E-001,-6.479442715644836E-001,-3.227887451648712E-001,1.765920817852020E-001,
4.178300000000000E+008,-3.138590157032013E-001,1.416944563388825E-001,2.107808291912079E-001,-6.680892705917358E-001,2.139336913824081E-001,-6.682063937187195E-001,-3.053704798221588E-001,2.078878432512283E-001,
4.418200000000000E+008,-3.002423942089081E-001,1.937032938003540E-001,1.567724794149399E-001,-6.757667064666748E-001,1.572598069906235E-001,-6.759691238403320E-001,-2.877120673656464E-001,2.194276601076126E-001,
4.658100000000000E+008,-3.137318491935730E-001,2.334175109863281E-001,1.081440076231957E-001,-6.714228987693787E-001,1.070199608802795E-001,-6.723507642745972E-001,-2.890629172325134E-001,2.289308458566666E-001,
4.898000000000000E+008,-3.329156637191773E-001,2.464916259050369E-001,6.594099104404450E-002,-6.696074008941650E-001,6.602331995964050E-002,-6.696239113807678E-001,-2.941781282424927E-001,2.549079954624176E-001,
5.137900000000000E+008,-3.338474035263062E-001,2.469121813774109E-001,2.233316935598850E-002,-6.724004149436951E-001,2.453819476068020E-002,-6.718505024909973E-001,-2.845156192779541E-001,2.906534671783447E-001,
5.377800000000000E+008,-3.057244718074799E-001,2.599659562110901E-001,-2.761667966842651E-002,-6.710852384567261E-001,-2.294360473752022E-002,-6.729747653007507E-001,-2.609986066818237E-001,3.176274001598358E-001,
5.617700000000000E+008,-2.696273922920227E-001,2.925361692905426E-001,-7.476400583982468E-002,-6.627609133720398E-001,-7.469237595796585E-002,-6.648566126823425E-001,-2.368450611829758E-001,3.288158178329468E-001,
5.857600000000000E+008,-2.524369955062866E-001,3.330301940441132E-001,-1.195018440485001E-001,-6.456875205039978E-001,-1.199041754007340E-001,-6.467252969741821E-001,-2.271188050508499E-001,3.396205306053162E-001,
6.097500000000000E+008,-2.581432759761810E-001,3.629107773303986E-001,-1.554042249917984E-001,-6.302066445350647E-001,-1.565617918968201E-001,-6.297194957733154E-001,-2.189285010099411E-001,3.633043766021729E-001,
6.337400000000000E+008,-2.614022791385651E-001,3.748408854007721E-001,-1.921377778053284E-001,-6.178799271583557E-001,-1.902849376201630E-001,-6.177356243133545E-001,-1.995244473218918E-001,3.928435742855072E-001,
6.577300000000000E+008,-2.415155619382858E-001,3.788069486618042E-001,-2.343858331441879E-001,-6.033024787902832E-001,-2.324197292327881E-001,-6.065985560417175E-001,-1.671119183301926E-001,4.136679172515869E-001,
6.817200000000000E+008,-1.993710845708847E-001,3.899487555027008E-001,-2.764316797256470E-001,-5.806756615638733E-001,-2.764996290206909E-001,-5.850849747657776E-001,-1.379010677337647E-001,4.196507930755615E-001,
7.057100000000000E+008,-1.601187139749527E-001,4.149711728096008E-001,-3.130236864089966E-001,-5.522844791412354E-001,-3.137814402580261E-001,-5.547265410423279E-001,-1.209562271833420E-001,4.262499511241913E-001,
7.297000000000000E+008,-1.437517851591110E-001,4.468927383422852E-001,-3.410183787345886E-001,-5.261970758438110E-001,-3.410187661647797E-001,-5.258581638336182E-001,-1.039441004395485E-001,4.428718984127045E-001,
