% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-5.505955591797829E-002,-2.988881431519985E-002,2.833602428436279E-001,-9.593868255615234E-001,2.864170372486115E-001,-9.570659995079041E-001,-2.837327495217323E-002,-2.944279927760363E-003,
5.470000000000000E+008,-1.331967301666737E-002,-2.606910280883312E-002,1.632673740386963E-001,-9.887548685073853E-001,1.692050397396088E-001,-9.879238009452820E-001,-3.563916683197022E-002,-1.866405457258225E-002,
5.940000000000000E+008,-3.678213059902191E-002,1.855294778943062E-002,5.126230418682098E-002,-9.992492794990540E-001,4.676392674446106E-002,-9.995286464691162E-001,-4.713191092014313E-002,1.955199055373669E-003,
6.410000000000000E+008,-6.911953538656235E-002,-6.582113448530436E-003,-7.013495266437531E-002,-9.939113259315491E-001,-7.550583034753799E-002,-9.955258965492249E-001,-3.399895504117012E-002,6.373607320711017E-004,
6.880000000000000E+008,-3.641441091895104E-002,-1.201634667813778E-002,-1.918627768754959E-001,-9.761480689048767E-001,-1.939132958650589E-001,-9.763708710670471E-001,-5.841119959950447E-002,3.157149534672499E-003,
7.350000000000000E+008,-3.884249925613403E-002,2.927116863429546E-002,-3.050956428050995E-001,-9.450826644897461E-001,-3.088594675064087E-001,-9.458104968070984E-001,-4.406619071960449E-002,2.459444478154182E-002,
7.820000000000000E+008,-7.192947715520859E-002,2.907416410744190E-002,-4.188837110996246E-001,-9.006561040878296E-001,-4.211898446083069E-001,-8.989918231964111E-001,-4.929197579622269E-002,1.190444268286228E-002,
8.290000000000000E+008,-5.677100643515587E-002,1.105280127376318E-002,-5.224055647850037E-001,-8.447796702384949E-001,-5.214160084724426E-001,-8.391123414039612E-001,-6.255978345870972E-002,4.172833636403084E-002,
8.760000000000000E+008,-3.204562142491341E-002,4.049088805913925E-002,-6.184235811233521E-001,-7.739106416702271E-001,-6.190874576568604E-001,-7.718490958213806E-001,-3.509623929858208E-002,3.921656683087349E-002,
9.230000000000000E+008,-5.642094090580940E-002,6.925740092992783E-002,-7.071648836135864E-001,-6.888883113861084E-001,-7.071802616119385E-001,-6.879230141639710E-001,-6.007177382707596E-002,4.171881079673767E-002,
9.700000000000000E+008,-6.558603793382645E-002,4.255054891109467E-002,-7.859133481979370E-001,-5.997964143753052E-001,-7.805449962615967E-001,-5.969809889793396E-001,-3.670066967606545E-002,7.594363391399384E-002,
1.017000000000000E+009,-1.424814760684967E-002,4.804368689656258E-002,-8.521453738212585E-001,-4.976486861705780E-001,-8.483090996742249E-001,-4.985891282558441E-001,-3.113675490021706E-002,4.734883829951286E-002,
1.064000000000000E+009,-2.271715551614761E-002,1.094450876116753E-001,-8.973147273063660E-001,-3.894177377223969E-001,-8.988815546035767E-001,-3.893193006515503E-001,-4.747828841209412E-002,8.989586681127548E-002,
1.111000000000000E+009,-6.411358714103699E-002,7.414938509464264E-002,-9.368025064468384E-001,-2.764784991741180E-001,-9.369601607322693E-001,-2.765999734401703E-001,6.452833767980337E-003,8.242658525705338E-002,
1.158000000000000E+009,1.530798710882664E-002,4.158068448305130E-002,-9.597681760787964E-001,-1.538804173469544E-001,-9.600051641464233E-001,-1.538250595331192E-001,-3.854275867342949E-002,6.891485303640366E-002,
1.205000000000000E+009,3.518695756793022E-002,1.375718861818314E-001,-9.574220180511475E-001,-4.061765223741531E-002,-9.592224955558777E-001,-3.865604475140572E-002,1.608823798596859E-002,1.304613947868347E-001,
1.252000000000000E+009,-5.660818144679070E-002,1.044685915112495E-001,-9.499495625495911E-001,7.762078195810318E-002,-9.506575465202332E-001,8.018358796834946E-002,1.954424381256104E-002,4.716143012046814E-002,
1.299000000000000E+009,3.331566601991653E-002,3.373180981725454E-003,-9.096789360046387E-001,1.878856420516968E-001,-9.068263769149780E-001,1.879131495952606E-001,-1.037668436765671E-002,1.453024893999100E-001,
1.346000000000000E+009,1.152885854244232E-001,1.279331445693970E-001,-8.737109899520874E-001,2.637375295162201E-001,-8.718297481536865E-001,2.671202123165131E-001,1.025741621851921E-001,6.178065016865730E-002,
