% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-3.932101652026177E-002,6.031882949173451E-003,3.075237870216370E-001,-9.495589137077332E-001,3.062293827533722E-001,-9.517069458961487E-001,-4.860039055347443E-002,-2.188757620751858E-002,
5.470000000000000E+008,-5.041172727942467E-002,-2.528369612991810E-002,1.924276351928711E-001,-9.821903109550476E-001,1.875532567501068E-001,-9.824228286743164E-001,-2.996588870882988E-002,4.205038771033287E-003,
5.940000000000000E+008,-2.431967295706272E-002,-1.247723586857319E-002,6.821184605360031E-002,-9.999331831932068E-001,6.733322143554688E-002,-9.954031109809876E-001,-4.086582362651825E-002,-2.213944122195244E-002,
6.410000000000000E+008,-5.121342837810516E-002,1.505605410784483E-002,-5.159474164247513E-002,-9.994221925735474E-001,-4.990372806787491E-002,-9.969157576560974E-001,-5.721838772296906E-002,1.174380257725716E-002,
6.880000000000000E+008,-6.332070380449295E-002,-3.967742901295424E-003,-1.727811843156815E-001,-9.852453470230103E-001,-1.715598553419113E-001,-9.864519834518433E-001,-3.573238477110863E-002,5.067501682788134E-003,
7.350000000000000E+008,-4.198167845606804E-002,7.467269431799650E-003,-2.919161021709442E-001,-9.570428729057312E-001,-2.879580557346344E-001,-9.560456275939941E-001,-6.691666692495346E-002,8.541899733245373E-003,
7.820000000000000E+008,-5.809673666954041E-002,3.470470011234283E-002,-4.030804634094238E-001,-9.149001836776733E-001,-4.002207219600678E-001,-9.168220758438110E-001,-4.819319397211075E-002,3.754292055964470E-002,
8.290000000000000E+008,-6.570599228143692E-002,2.465261705219746E-002,-5.111981034278870E-001,-8.606567382812500E-001,-5.097710490226746E-001,-8.627188205718994E-001,-5.317295342683792E-002,1.805876009166241E-002,
8.760000000000000E+008,-4.647170752286911E-002,3.837680071592331E-002,-6.091660261154175E-001,-7.931883931159973E-001,-6.090856790542603E-001,-7.939012646675110E-001,-6.339558959007263E-002,5.237531289458275E-002,
9.230000000000000E+008,-5.841217935085297E-002,6.152496486902237E-002,-7.003654241561890E-001,-7.155433297157288E-001,-6.993883252143860E-001,-7.166447639465332E-001,-3.597099334001541E-002,5.116872861981392E-002,
9.700000000000000E+008,-5.372197180986404E-002,5.186070129275322E-002,-7.819905281066895E-001,-6.217399835586548E-001,-7.823671698570252E-001,-6.268326044082642E-001,-5.856364592909813E-002,5.528682842850685E-002,
1.017000000000000E+009,-3.214969858527184E-002,7.559107244014740E-002,-8.514293432235718E-001,-5.306220650672913E-001,-8.513286709785461E-001,-5.297091603279114E-001,-3.200339898467064E-002,8.466316759586334E-002,
1.064000000000000E+009,-4.635364189743996E-002,9.408226609230042E-002,-9.165456295013428E-001,-4.164028763771057E-001,-9.122936129570007E-001,-4.225797057151794E-001,-2.938544563949108E-002,6.396878510713577E-002,
1.111000000000000E+009,-2.972131036221981E-002,6.790757924318314E-002,-9.521762132644653E-001,-3.087139129638672E-001,-9.546512961387634E-001,-3.076074719429016E-001,-3.271879255771637E-002,9.910617023706436E-002,
1.158000000000000E+009,1.570893824100494E-002,1.087353304028511E-001,-9.899993538856506E-001,-1.947835385799408E-001,-9.887720346450806E-001,-1.944685131311417E-001,5.938680842518807E-003,8.870361745357513E-002,
1.205000000000000E+009,-1.984725520014763E-002,1.291618943214417E-001,-9.919691681861877E-001,-5.374420434236527E-002,-1.007115840911865E+000,-6.635793298482895E-002,-1.861908286809921E-002,9.606359153985977E-002,
1.252000000000000E+009,-1.092563476413488E-002,6.545421481132507E-002,-1.004683375358582E+000,5.926449224352837E-002,-1.006386876106262E+000,5.667746439576149E-002,2.874146401882172E-002,1.148854717612267E-001,
1.299000000000000E+009,8.813136070966721E-002,8.773714303970337E-002,-1.000743746757507E+000,1.828783452510834E-001,-9.923031926155090E-001,1.856161057949066E-001,2.002879418432713E-002,8.135878294706345E-002,
1.346000000000000E+009,4.624979943037033E-002,1.521873474121094E-001,-9.406133294105530E-001,2.885556817054749E-001,-9.519741535186768E-001,3.079330921173096E-001,4.368899017572403E-002,1.266125142574310E-001,
1.393000000000000E+009,8.472513291053474E-004,8.357521146535873E-002,-8.953379392623901E-001,4.239224195480347E-001,-8.993732929229736E-001,4.259001910686493E-001,6.165020912885666E-002,7.094489037990570E-002,
1.440000000000000E+009,8.774466067552567E-002,3.047548606991768E-002,-8.189799189567566E-001,5.309256315231323E-001,-8.129240870475769E-001,5.162663459777832E-001,5.813701823353767E-002,1.225833222270012E-001,
1.487000000000000E+009,1.000275164842606E-001,1.038063392043114E-001,-7.815914750099182E-001,5.898319482803345E-001,-7.586014270782471E-001,5.879137516021729E-001,9.318857640028000E-002,6.561067700386047E-002,
1.534000000000000E+009,4.241960123181343E-002,9.503499418497086E-002,-6.778513193130493E-001,6.555981636047363E-001,-6.868190765380859E-001,6.599919795989990E-001,8.844334632158279E-002,1.038808748126030E-001,
1.581000000000000E+009,6.664898991584778E-002,5.680443346500397E-002,-6.225959658622742E-001,7.369024157524109E-001,-6.286959052085877E-001,7.370373606681824E-001,1.141526103019714E-001,4.834764450788498E-002,
1.628000000000000E+009,9.790229052305222E-002,7.494130730628967E-002,-5.454800724983215E-001,8.361288309097290E-001,-5.364577174186707E-001,8.223891258239746E-001,1.141762882471085E-001,7.181879132986069E-002,
1.675000000000000E+009,9.870999306440353E-002,5.954916030168533E-002,-4.396171569824219E-001,8.732259869575501E-001,-4.353782534599304E-001,8.814930319786072E-001,1.350252479314804E-001,3.187334537506104E-002,
1.722000000000000E+009,1.342544704675674E-001,5.358350649476051E-002,-3.212187886238098E-001,9.400713443756104E-001,-3.234799504280090E-001,9.337407946586609E-001,1.271855235099793E-001,3.213165327906609E-002,
1.769000000000000E+009,1.239156201481819E-001,5.970901250839233E-002,-2.042905092239380E-001,9.725525975227356E-001,-2.062499821186066E-001,9.656072258949280E-001,1.483664214611054E-001,9.545390494167805E-003,
1.816000000000000E+009,1.188234165310860E-001,1.334570534527302E-002,-9.957920014858246E-002,9.782989621162415E-001,-8.714677393436432E-002,9.796811938285828E-001,1.362244039773941E-001,-9.909110143780708E-003,
1.863000000000000E+009,1.636599451303482E-001,6.101443432271481E-004,3.260229527950287E-002,9.843378663063049E-001,3.024952486157417E-002,9.813119173049927E-001,1.474298089742661E-001,-1.922802254557610E-002,
1.910000000000000E+009,1.437788456678391E-001,1.470354013144970E-002,1.514341682195664E-001,9.741705060005188E-001,1.434158384799957E-001,9.726426601409912E-001,1.418098211288452E-001,-4.581265151500702E-002,
