% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-2.706245481967926E-001,1.382406428456307E-002,1.762717217206955E-002,-9.177659749984741E-001,6.393875926733017E-003,-9.136077761650085E-001,-2.868201732635498E-001,3.226483613252640E-002,
5.470000000000000E+008,-3.047204017639160E-001,4.532432928681374E-002,-1.137893721461296E-001,-9.008725285530090E-001,-1.199501007795334E-001,-9.006735682487488E-001,-2.784358561038971E-001,9.399395436048508E-002,
5.940000000000000E+008,-3.002895414829254E-001,8.732617646455765E-002,-2.497542649507523E-001,-8.619377613067627E-001,-2.492680996656418E-001,-8.623688817024231E-001,-2.889538109302521E-001,1.199843659996986E-001,
6.410000000000000E+008,-3.005150854587555E-001,1.453281342983246E-001,-3.597093224525452E-001,-8.211000561714172E-001,-3.561816513538361E-001,-8.092197179794312E-001,-2.876913845539093E-001,1.937064677476883E-001,
6.880000000000000E+008,-3.064529001712799E-001,1.996141225099564E-001,-4.619050621986389E-001,-7.481512427330017E-001,-4.680686593055725E-001,-7.493448257446289E-001,-2.554284036159515E-001,2.294977307319641E-001,
7.350000000000000E+008,-2.834891378879547E-001,2.395443469285965E-001,-5.598245263099670E-001,-6.602122187614441E-001,-5.594722628593445E-001,-6.592127680778503E-001,-2.513963580131531E-001,2.813881039619446E-001,
7.820000000000000E+008,-2.586020529270172E-001,2.914866507053375E-001,-6.441347002983093E-001,-5.818843841552734E-001,-6.344237327575684E-001,-5.771983861923218E-001,-1.981969028711319E-001,3.374263346195221E-001,
8.290000000000000E+008,-2.262156903743744E-001,3.465330004692078E-001,-7.017315626144409E-001,-4.769638776779175E-001,-7.096626758575440E-001,-4.720247089862824E-001,-1.679563373327255E-001,3.581617176532745E-001,
8.760000000000000E+008,-1.902597397565842E-001,3.794297575950623E-001,-7.507454156875610E-001,-3.629147410392761E-001,-7.470636963844299E-001,-3.651603758335114E-001,-1.175996959209442E-001,4.134486019611359E-001,
9.230000000000000E+008,-1.445224285125732E-001,4.183836579322815E-001,-8.012857437133789E-001,-2.593470811843872E-001,-7.900767922401428E-001,-2.633742988109589E-001,-4.949839785695076E-002,4.220989942550659E-001,
9.700000000000000E+008,-7.802268862724304E-002,4.483950436115265E-001,-8.021959662437439E-001,-1.486306935548782E-001,-8.053092360496521E-001,-1.396785676479340E-001,-1.088880281895399E-002,4.476956725120544E-001,
1.017000000000000E+009,-3.578022867441177E-002,4.790746867656708E-001,-8.035517930984497E-001,-3.492945432662964E-002,-8.053179383277893E-001,-4.215836897492409E-002,7.604200392961502E-002,4.591667652130127E-001,
1.064000000000000E+009,3.360281884670258E-002,4.887667298316956E-001,-8.099094629287720E-001,9.288486093282700E-002,-8.043383955955505E-001,8.082059025764465E-002,1.206589639186859E-001,4.413987994194031E-001,
1.111000000000000E+009,1.144357025623322E-001,4.811409711837769E-001,-7.693539857864380E-001,1.693397760391235E-001,-7.619538307189941E-001,1.788947433233261E-001,1.939329057931900E-001,4.560112655162811E-001,
1.158000000000000E+009,1.802050769329071E-001,5.231350064277649E-001,-7.369821667671204E-001,2.762406468391419E-001,-7.437602281570435E-001,2.747956812381744E-001,2.652267217636108E-001,4.057666957378388E-001,
1.205000000000000E+009,2.388991564512253E-001,4.596140682697296E-001,-6.568670868873596E-001,3.932574987411499E-001,-6.718288660049439E-001,3.860562741756439E-001,3.056286275386810E-001,4.022095203399658E-001,
1.252000000000000E+009,3.505216240882874E-001,4.200860261917114E-001,-6.416844129562378E-001,4.585974514484406E-001,-6.233026385307312E-001,4.455815553665161E-001,3.965671658515930E-001,3.474879264831543E-001,
1.299000000000000E+009,4.710507094860077E-001,4.177924394607544E-001,-5.403994321823120E-001,5.663565397262573E-001,-5.418021082878113E-001,5.608897209167481E-001,4.036646783351898E-001,2.977924346923828E-001,
1.346000000000000E+009,3.746539652347565E-001,3.312320113182068E-001,-4.518765509128571E-001,5.639981031417847E-001,-4.383017420768738E-001,5.898317098617554E-001,4.900492429733276E-001,2.575542926788330E-001,
1.393000000000000E+009,4.646358788013458E-001,1.230836063623428E-001,-3.297674357891083E-001,6.771463155746460E-001,-3.587696850299835E-001,6.783925890922546E-001,4.829674065113068E-001,1.642557233572006E-001,
1.440000000000000E+009,5.291974544525147E-001,1.148691326379776E-001,-2.082941234111786E-001,6.314789652824402E-001,-2.190312445163727E-001,6.443870067596436E-001,5.533262491226196E-001,1.376182585954666E-001,
1.487000000000000E+009,4.623679816722870E-001,2.316171228885651E-001,-1.804417222738266E-001,7.059967517852783E-001,-1.628863066434860E-001,6.712638735771179E-001,5.444445610046387E-001,2.664786577224731E-002,
1.534000000000000E+009,3.530354797840118E-001,7.949525117874146E-002,-7.763916999101639E-002,6.381002068519592E-001,-6.987933814525604E-002,6.471096873283386E-001,5.672556757926941E-001,-9.599709883332253E-003,
1.581000000000000E+009,5.052868127822876E-001,2.961161360144615E-002,-2.763277105987072E-002,6.506655812263489E-001,-1.769697479903698E-002,6.603763699531555E-001,5.554404854774475E-001,-1.103260070085526E-001,
1.628000000000000E+009,5.544366836547852E-001,6.041513755917549E-002,1.005898192524910E-001,6.664370894432068E-001,8.284579962491989E-002,6.559882164001465E-001,5.446262359619141E-001,-1.649369597434998E-001,
1.675000000000000E+009,4.746347069740295E-001,-2.449601888656616E-004,1.339031308889389E-001,6.323041915893555E-001,1.480747461318970E-001,6.332615613937378E-001,5.255914926528931E-001,-2.493948638439179E-001,
1.722000000000000E+009,5.528533458709717E-001,-1.396015286445618E-001,2.335467338562012E-001,6.118627786636353E-001,2.369701415300369E-001,6.108612418174744E-001,4.899811446666718E-001,-3.100636005401611E-001,
1.769000000000000E+009,5.565352439880371E-001,-1.472839713096619E-001,3.193763494491577E-001,5.569270253181458E-001,3.114603459835053E-001,5.633260607719421E-001,4.537754654884338E-001,-3.759093880653381E-001,
1.816000000000000E+009,4.962492883205414E-001,-2.105487585067749E-001,3.622081279754639E-001,5.296071171760559E-001,3.731878399848938E-001,5.172321200370789E-001,3.990660905838013E-001,-4.350171387195587E-001,
1.863000000000000E+009,4.930971264839172E-001,-3.352640271186829E-001,4.355126321315765E-001,4.573272168636322E-001,4.354458153247833E-001,4.587091207504273E-001,3.466546237468720E-001,-4.842245876789093E-001,
1.910000000000000E+009,4.739150106906891E-001,-3.444698750972748E-001,4.819774031639099E-001,3.907750844955444E-001,4.842569231987000E-001,3.960679471492767E-001,2.820963263511658E-001,-5.297409892082214E-001,
1.957000000000000E+009,4.018891453742981E-001,-4.087786674499512E-001,5.262848734855652E-001,3.380322158336639E-001,5.264033079147339E-001,3.256959915161133E-001,2.124183177947998E-001,-5.627197027206421E-001,
2.004000000000000E+009,3.585844039916992E-001,-4.905695319175720E-001,5.542154908180237E-001,2.513068020343781E-001,5.565900802612305E-001,2.529393732547760E-001,1.409772932529450E-001,-5.902508497238159E-001,
2.051000000000000E+009,3.208956122398377E-001,-5.006560683250427E-001,5.751452445983887E-001,1.815240830183029E-001,5.773735642433167E-001,1.809134930372238E-001,6.339770555496216E-002,-6.052178144454956E-001,
2.098000000000000E+009,2.328303158283234E-001,-5.477278232574463E-001,5.954426527023315E-001,1.059684008359909E-001,5.918445587158203E-001,1.018487662076950E-001,-1.330396905541420E-002,-6.118432879447937E-001,
2.145000000000000E+009,1.752790808677673E-001,-5.877795219421387E-001,5.876787900924683E-001,2.673273161053658E-002,5.923222303390503E-001,2.650363370776177E-002,-9.123492240905762E-002,-6.081284284591675E-001,
2.192000000000000E+009,1.197715997695923E-001,-5.902766585350037E-001,5.862827897071838E-001,-4.540002718567848E-002,5.857580304145813E-001,-4.702476039528847E-002,-1.681796312332153E-001,-5.921322703361511E-001,
2.239000000000000E+009,2.666324004530907E-002,-6.080655455589294E-001,5.719991922378540E-001,-1.199149638414383E-001,5.686931014060974E-001,-1.206429451704025E-001,-2.428853213787079E-001,-5.693318247795105E-001,
2.286000000000000E+009,-3.370697051286697E-002,-6.158761382102966E-001,5.401115417480469E-001,-1.860823482275009E-001,5.435621738433838E-001,-1.888558566570282E-001,-3.137440681457520E-001,-5.351495742797852E-001,
2.333000000000000E+009,-1.010204628109932E-001,-6.021858453750610E-001,5.118461847305298E-001,-2.539720237255096E-001,5.098932981491089E-001,-2.543993592262268E-001,-3.790622651576996E-001,-4.919440150260925E-001,
2.380000000000000E+009,-1.863516569137573E-001,-5.879340171813965E-001,4.718407988548279E-001,-3.126989305019379E-001,4.691514968872070E-001,-3.127619624137878E-001,-4.405276477336884E-001,-4.421660900115967E-001,
2.427000000000000E+009,-2.453461885452271E-001,-5.689058303833008E-001,4.223430752754211E-001,-3.622667789459229E-001,4.232377409934998E-001,-3.658388257026672E-001,-4.926682710647583E-001,-3.829405307769775E-001,
2.474000000000000E+009,-3.116533160209656E-001,-5.330719351768494E-001,3.689811229705811E-001,-4.141517281532288E-001,3.687652349472046E-001,-4.130028784275055E-001,-5.385541915893555E-001,-3.189808726310730E-001,
2.521000000000000E+009,-3.800005316734314E-001,-4.921315312385559E-001,3.142861425876617E-001,-4.511765837669373E-001,3.120448589324951E-001,-4.511451125144959E-001,-5.764464139938355E-001,-2.491343617439270E-001,
2.568000000000000E+009,-4.345763325691223E-001,-4.503084719181061E-001,2.522759735584259E-001,-4.807131290435791E-001,2.506117224693298E-001,-4.831125736236572E-001,-6.028929948806763E-001,-1.752444803714752E-001,
2.615000000000000E+009,-4.837038815021515E-001,-3.926838636398315E-001,1.857597529888153E-001,-5.044574737548828E-001,1.863785982131958E-001,-5.043750405311585E-001,-6.223137974739075E-001,-9.777478873729706E-002,
2.662000000000000E+009,-5.318415164947510E-001,-3.272230923175812E-001,1.215727180242539E-001,-5.218600630760193E-001,1.199937462806702E-001,-5.206572413444519E-001,-6.295385956764221E-001,-1.857652887701988E-002,
2.709000000000000E+009,-5.738589763641357E-001,-2.642990052700043E-001,5.497971922159195E-002,-5.260302424430847E-001,5.285096541047096E-002,-5.259884595870972E-001,-6.282970309257507E-001,5.931558832526207E-002,
2.756000000000000E+009,-5.839233398437500E-001,-1.983805596828461E-001,-6.674087606370449E-003,-5.192704796791077E-001,-1.206399686634541E-002,-5.227766036987305E-001,-6.168628334999085E-001,1.397464126348496E-001,
2.803000000000000E+009,-6.094048023223877E-001,-9.616096317768097E-002,-8.283945173025131E-002,-5.131496191024780E-001,-7.883916050195694E-002,-5.137606859207153E-001,-5.950983762741089E-001,2.132910341024399E-001,
2.850000000000000E+009,-6.230198144912720E-001,-3.670785576105118E-002,-1.387932598590851E-001,-4.953020513057709E-001,-1.392659991979599E-001,-4.940834045410156E-001,-5.653654336929321E-001,2.888126075267792E-001,
2.897000000000000E+009,-6.010828018188477E-001,3.450620919466019E-003,-1.865516453981400E-001,-4.778833687305450E-001,-1.963543146848679E-001,-4.692294299602509E-001,-5.229245424270630E-001,3.552105724811554E-001,
2.944000000000000E+009,-5.420347452163696E-001,1.197612881660461E-001,-2.484899610280991E-001,-4.205805659294128E-001,-2.566916346549988E-001,-4.370501339435577E-001,-4.792406857013702E-001,4.174917936325073E-001,
2.991000000000000E+009,-5.931101441383362E-001,1.625438332557678E-001,-2.989306151866913E-001,-4.016575217247009E-001,-2.972810566425324E-001,-3.984910249710083E-001,-4.208633899688721E-001,4.756675064563751E-001,
3.038000000000000E+009,-5.640999078750610E-001,1.770240515470505E-001,-3.564551174640656E-001,-3.650247752666473E-001,-3.435396552085877E-001,-3.555061817169190E-001,-3.625676035881043E-001,5.240870714187622E-001,
3.085000000000000E+009,-4.890685379505158E-001,2.359136343002319E-001,-3.629139065742493E-001,-3.134500384330750E-001,-3.816415965557098E-001,-3.075508475303650E-001,-2.933752536773682E-001,5.671584606170654E-001,
3.132000000000000E+009,-5.201988220214844E-001,3.537188768386841E-001,-4.183003306388855E-001,-2.566551864147186E-001,-4.146372973918915E-001,-2.585489153862000E-001,-2.226020395755768E-001,5.977020859718323E-001,
