% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-3.033435344696045E-001,9.390429407358170E-002,-6.256648898124695E-002,-8.818784952163696E-001,-7.416988164186478E-002,-8.741928339004517E-001,-3.288566172122955E-001,6.029910966753960E-002,
5.470000000000000E+008,-3.477002084255219E-001,1.617754697799683E-001,-1.890032589435577E-001,-8.353649377822876E-001,-1.957348287105560E-001,-8.357539176940918E-001,-3.421906828880310E-001,1.148189157247543E-001,
5.940000000000000E+008,-3.307413458824158E-001,1.790512353181839E-001,-3.090275526046753E-001,-7.873606681823731E-001,-3.081690371036530E-001,-7.893131971359253E-001,-3.354651927947998E-001,1.722180247306824E-001,
6.410000000000000E+008,-2.781448066234589E-001,2.623525857925415E-001,-4.178308248519898E-001,-7.332895994186401E-001,-4.110830128192902E-001,-7.213911414146423E-001,-3.283368051052094E-001,2.236429303884506E-001,
6.880000000000000E+008,-2.872940599918366E-001,3.357851505279541E-001,-4.930539429187775E-001,-6.464965343475342E-001,-4.985265135765076E-001,-6.456792354583740E-001,-3.039343059062958E-001,2.857047319412231E-001,
7.350000000000000E+008,-2.486491501331329E-001,3.439098298549652E-001,-5.811824202537537E-001,-5.594994425773621E-001,-5.789281129837036E-001,-5.581845641136169E-001,-2.718027234077454E-001,3.295127749443054E-001,
7.820000000000000E+008,-1.613785773515701E-001,4.029143154621124E-001,-6.458658576011658E-001,-4.622237682342529E-001,-6.346780061721802E-001,-4.614850878715515E-001,-2.374352216720581E-001,3.849982023239136E-001,
8.290000000000000E+008,-1.427637487649918E-001,4.666340351104736E-001,-6.796295642852783E-001,-3.720059990882874E-001,-6.846009492874146E-001,-3.654282987117767E-001,-1.815676093101502E-001,4.214837551116943E-001,
8.760000000000000E+008,-8.716969192028046E-002,4.526362121105194E-001,-7.176831364631653E-001,-2.535656392574310E-001,-7.143053412437439E-001,-2.581159770488739E-001,-1.366485655307770E-001,4.544270932674408E-001,
9.230000000000000E+008,1.253937371075153E-002,4.803449809551239E-001,-7.357963919639587E-001,-1.551554203033447E-001,-7.275094985961914E-001,-1.618542969226837E-001,-6.812828779220581E-002,4.866386651992798E-001,
9.700000000000000E+008,5.703376978635788E-002,5.215196013450623E-001,-7.355154156684876E-001,-6.307398527860642E-002,-7.357590198516846E-001,-5.522311106324196E-002,-1.022249739617109E-002,4.927325844764710E-001,
1.017000000000000E+009,1.070925742387772E-001,4.819746613502502E-001,-7.133381366729736E-001,4.782889038324356E-002,-7.165398001670837E-001,4.059505462646484E-002,5.597357824444771E-002,5.116878151893616E-001,
1.064000000000000E+009,2.165920734405518E-001,4.746468663215637E-001,-7.022190093994141E-001,1.431727409362793E-001,-7.012937664985657E-001,1.338993906974793E-001,1.275914758443832E-001,5.000352263450623E-001,
1.111000000000000E+009,2.737527191638947E-001,4.861496388912201E-001,-6.685342788696289E-001,2.194159179925919E-001,-6.598240733146668E-001,2.253533303737640E-001,1.828224658966065E-001,4.965746700763702E-001,
1.158000000000000E+009,3.100430369377136E-001,4.413061439990997E-001,-6.147388219833374E-001,2.968318462371826E-001,-6.211504936218262E-001,2.962344288825989E-001,2.639171183109283E-001,4.735206067562103E-001,
1.205000000000000E+009,4.063413143157959E-001,3.662981390953064E-001,-5.536417961120606E-001,3.811747431755066E-001,-5.674280524253845E-001,3.829354345798492E-001,3.122912943363190E-001,4.403139650821686E-001,
1.252000000000000E+009,4.982734620571137E-001,3.501586318016052E-001,-5.191541910171509E-001,4.534597098827362E-001,-5.076383948326111E-001,4.356382489204407E-001,3.836067020893097E-001,4.125917553901672E-001,
