% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,3.973229229450226E-002,3.434470668435097E-002,9.158836603164673E-001,-5.487347394227982E-002,9.587550163269043E-001,9.286426007747650E-003,2.551465854048729E-002,-1.983366720378399E-002,
3.399000000000000E+007,-9.551309049129486E-003,-5.933652631938458E-003,9.955958724021912E-001,-9.637572616338730E-002,1.007996916770935E+000,-9.517717361450195E-002,1.806315383873880E-003,-1.928224787116051E-002,
5.798000000000000E+007,-5.465293768793345E-003,-1.277099084109068E-002,9.736440777778626E-001,-1.608573794364929E-001,9.866847991943359E-001,-1.635267734527588E-001,-5.400474648922682E-003,-2.257851511240006E-002,
8.197000000000000E+007,-9.790083393454552E-003,-2.840618044137955E-002,9.586552381515503E-001,-2.343092858791351E-001,9.677098393440247E-001,-2.387782931327820E-001,-9.601742960512638E-003,-1.843585446476936E-002,
1.059600000000000E+008,-8.618160150945187E-003,-3.404206782579422E-002,9.387696981430054E-001,-2.902882993221283E-001,9.441989064216614E-001,-2.992134988307953E-001,-9.921141900122166E-003,-2.432724833488464E-002,
1.299500000000000E+008,-9.096146561205387E-003,-3.341160342097282E-002,9.200802445411682E-001,-3.686853051185608E-001,9.120956659317017E-001,-3.613471984863281E-001,-7.169829681515694E-003,-3.799564763903618E-002,
1.539400000000000E+008,-2.046986855566502E-002,-3.551597148180008E-002,8.885189890861511E-001,-4.250543713569641E-001,8.896960616111755E-001,-4.201492369174957E-001,-1.687610149383545E-002,-4.562444984912872E-002,
1.779300000000000E+008,-3.540340811014175E-002,-4.092996194958687E-002,8.556952476501465E-001,-4.852237403392792E-001,8.581606149673462E-001,-4.846290349960327E-001,-3.220301866531372E-002,-5.057063326239586E-002,
2.019200000000000E+008,-4.001145064830780E-002,-5.197368562221527E-002,8.187696933746338E-001,-5.397766828536987E-001,8.196909427642822E-001,-5.405220985412598E-001,-3.949910774827004E-002,-4.554559290409088E-002,
2.259100000000000E+008,-4.186512529850006E-002,-5.826303362846375E-002,7.799032330513001E-001,-5.936340689659119E-001,7.821353077888489E-001,-5.932350158691406E-001,-4.246800392866135E-002,-4.330731928348541E-002,
2.499000000000000E+008,-4.441887512803078E-002,-5.275045335292816E-002,7.371637225151062E-001,-6.463581323623657E-001,7.330405712127686E-001,-6.438708901405335E-001,-4.396074265241623E-002,-5.255236104130745E-002,
2.738900000000000E+008,-5.537276342511177E-002,-4.571579396724701E-002,6.882708072662354E-001,-6.916438937187195E-001,6.873292326927185E-001,-6.925601363182068E-001,-5.464033037424088E-002,-6.149258837103844E-002,
2.978800000000000E+008,-7.346657663583756E-002,-4.721157997846603E-002,6.390545368194580E-001,-7.380518913269043E-001,6.388341784477234E-001,-7.356480956077576E-001,-7.245084643363953E-002,-6.161484494805336E-002,
3.218700000000000E+008,-8.659557253122330E-002,-5.184032768011093E-002,5.840111970901489E-001,-7.743258476257324E-001,5.900952219963074E-001,-7.742527127265930E-001,-8.593287318944931E-002,-4.973943531513214E-002,
3.458600000000000E+008,-8.970732986927033E-002,-5.728676915168762E-002,5.349835753440857E-001,-8.141225576400757E-001,5.314164161682129E-001,-8.121966123580933E-001,-8.748197555541992E-002,-4.113830998539925E-002,
3.698500000000000E+008,-8.971393853425980E-002,-4.849401488900185E-002,4.725433290004730E-001,-8.477896451950073E-001,4.727539718151093E-001,-8.467085957527161E-001,-8.554333448410034E-002,-4.347404465079308E-002,
3.938400000000000E+008,-9.692791849374771E-002,-3.360718488693237E-002,4.126268327236176E-001,-8.734562397003174E-001,4.132050275802612E-001,-8.736957311630249E-001,-9.895952790975571E-002,-5.173018574714661E-002,
4.178300000000000E+008,-1.156744062900543E-001,-2.373395487666130E-002,3.509040772914887E-001,-8.972396850585938E-001,3.520271778106690E-001,-8.984526991844177E-001,-1.200075820088387E-001,-4.842920228838921E-002,
4.418200000000000E+008,-1.330140084028244E-001,-2.370867133140564E-002,2.901248335838318E-001,-9.163852334022522E-001,2.913273572921753E-001,-9.153077006340027E-001,-1.318394839763641E-001,-2.989815175533295E-002,
4.658100000000000E+008,-1.387754976749420E-001,-2.778872661292553E-002,2.283138930797577E-001,-9.338302612304688E-001,2.289832234382629E-001,-9.324243068695068E-001,-1.298079937696457E-001,-1.191158778965473E-002,
4.898000000000000E+008,-1.336416006088257E-001,-2.077656611800194E-002,1.621582359075546E-001,-9.458385109901428E-001,1.651129275560379E-001,-9.436079263687134E-001,-1.242702007293701E-001,-1.015096809715033E-002,
5.137900000000000E+008,-1.317024081945419E-001,9.141983464360237E-004,9.743521362543106E-002,-9.511390328407288E-001,9.901764988899231E-002,-9.502027034759522E-001,-1.370051950216293E-001,-1.651876419782639E-002,
5.377800000000000E+008,-1.426209509372711E-001,2.327063120901585E-002,3.173909708857536E-002,-9.498312473297119E-001,3.435836359858513E-002,-9.498023986816406E-001,-1.593315452337265E-001,-8.540766313672066E-003,
5.617700000000000E+008,-1.636797338724136E-001,3.318563848733902E-002,-2.801590412855148E-002,-9.461367726325989E-001,-2.971982769668102E-002,-9.471730589866638E-001,-1.707882583141327E-001,1.721816882491112E-002,
5.857600000000000E+008,-1.745832264423370E-001,3.107487782835960E-002,-9.469606727361679E-002,-9.430090785026550E-001,-9.129396826028824E-002,-9.410469532012940E-001,-1.620002686977387E-001,3.858477994799614E-002,
6.097500000000000E+008,-1.665355265140533E-001,3.177019208669663E-002,-1.607114672660828E-001,-9.291113018989563E-001,-1.542840451002121E-001,-9.338912367820740E-001,-1.507383584976196E-001,4.110315069556236E-002,
6.337400000000000E+008,-1.510592848062515E-001,5.116267874836922E-002,-2.193736732006073E-001,-9.131370782852173E-001,-2.190130352973938E-001,-9.162279367446899E-001,-1.573186218738556E-001,3.796917945146561E-002,
6.577300000000000E+008,-1.470538377761841E-001,8.257976174354553E-002,-2.795771658420563E-001,-8.936384916305542E-001,-2.785413861274719E-001,-8.927689194679260E-001,-1.795683503150940E-001,5.070230737328529E-002,
6.817200000000000E+008,-1.625964492559433E-001,1.064554452896118E-001,-3.347265720367432E-001,-8.676732182502747E-001,-3.326319456100464E-001,-8.692020773887634E-001,-1.886834651231766E-001,8.173201233148575E-002,
7.057100000000000E+008,-1.817448437213898E-001,1.105556041002274E-001,-3.904739916324616E-001,-8.419510126113892E-001,-3.876289725303650E-001,-8.446940183639526E-001,-1.721783429384232E-001,1.069728434085846E-001,
7.297000000000000E+008,-1.785911619663239E-001,1.038632243871689E-001,-4.495126903057098E-001,-8.088709115982056E-001,-4.445996582508087E-001,-8.174924850463867E-001,-1.522984206676483E-001,1.081636548042297E-001,
7.536900000000000E+008,-1.514052599668503E-001,1.107414662837982E-001,-4.986782670021057E-001,-7.744805216789246E-001,-5.008316636085510E-001,-7.805963754653931E-001,-1.561407595872879E-001,1.040048524737358E-001,
