% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,3.215505927801132E-002,8.017730899155140E-003,9.004606008529663E-001,-1.074314117431641E-001,9.564592242240906E-001,-4.665523767471314E-002,8.506070822477341E-003,3.892502561211586E-002,
3.399000000000000E+007,1.572049222886562E-003,-9.465760551393032E-003,1.018400073051453E+000,-7.976515591144562E-002,1.004376411437988E+000,-1.021973118185997E-001,3.526236629113555E-003,-6.654747296124697E-003,
5.798000000000000E+007,-2.349714282900095E-003,-7.537170778959990E-003,9.801042079925537E-001,-1.652187108993530E-001,9.699964523315430E-001,-1.633020490407944E-001,-2.689459652174264E-004,-8.551143109798431E-003,
8.197000000000000E+007,-3.761148313060403E-003,-1.563490740954876E-002,9.605858922004700E-001,-2.388360202312470E-001,9.637711644172669E-001,-2.228837609291077E-001,-8.644461631774902E-003,-1.118656899780035E-002,
1.059600000000000E+008,-6.988134700804949E-003,-1.903171651065350E-002,9.480515718460083E-001,-2.921887338161469E-001,9.441031217575073E-001,-3.006761074066162E-001,-3.903375007212162E-003,-1.630247570574284E-002,
1.299500000000000E+008,-6.903264671564102E-003,-1.940345019102097E-002,9.214180707931519E-001,-3.620841205120087E-001,9.248152375221252E-001,-3.606907129287720E-001,-7.748404983431101E-003,-2.264567464590073E-002,
1.539400000000000E+008,-1.217298395931721E-002,-2.480874210596085E-002,8.944591879844666E-001,-4.243393242359161E-001,8.893990516662598E-001,-4.218092262744904E-001,-1.204659882932901E-002,-2.500607445836067E-002,
1.779300000000000E+008,-1.536148134618998E-002,-2.615251578390598E-002,8.621965646743774E-001,-4.819663166999817E-001,8.605923652648926E-001,-4.835428595542908E-001,-1.868253387510777E-002,-2.674443088471890E-002,
2.019200000000000E+008,-1.844360120594502E-002,-3.317081183195114E-002,8.271479010581970E-001,-5.425642132759094E-001,8.276574015617371E-001,-5.421547889709473E-001,-2.312994375824928E-002,-2.611695975065231E-002,
2.259100000000000E+008,-1.891370676457882E-002,-3.564169257879257E-002,7.889550924301148E-001,-5.975053906440735E-001,7.857494354248047E-001,-5.956110358238220E-001,-2.721568197011948E-002,-2.891910262405872E-002,
2.499000000000000E+008,-2.389932610094547E-002,-3.589174523949623E-002,7.420725822448731E-001,-6.468625068664551E-001,7.447389960289002E-001,-6.484525203704834E-001,-2.956981211900711E-002,-3.044589981436729E-002,
2.738900000000000E+008,-2.912101335823536E-002,-3.517815098166466E-002,6.961995959281921E-001,-6.947171092033386E-001,6.977611780166626E-001,-6.985297203063965E-001,-3.737509250640869E-002,-3.236055374145508E-002,
2.978800000000000E+008,-3.883520141243935E-002,-3.642296418547630E-002,6.470897793769836E-001,-7.415527105331421E-001,6.465088725090027E-001,-7.406942844390869E-001,-4.401635006070137E-002,-3.175798803567886E-002,
3.218700000000000E+008,-4.453155770897865E-002,-4.156790673732758E-002,5.948946475982666E-001,-7.827038168907166E-001,5.949850678443909E-001,-7.827780842781067E-001,-5.111021921038628E-002,-2.776515483856201E-002,
3.458600000000000E+008,-4.935926571488380E-002,-4.419267922639847E-002,5.406332612037659E-001,-8.178761005401611E-001,5.386043190956116E-001,-8.210762739181519E-001,-5.483276769518852E-002,-2.627633698284626E-002,
3.698500000000000E+008,-5.283774808049202E-002,-4.341555759310722E-002,4.805863499641419E-001,-8.550770282745361E-001,4.820981025695801E-001,-8.550744056701660E-001,-6.001105904579163E-002,-2.500379458069801E-002,
3.938400000000000E+008,-5.911725386977196E-002,-3.760812804102898E-002,4.213444292545319E-001,-8.846459984779358E-001,4.223682880401611E-001,-8.832267522811890E-001,-6.774741411209106E-002,-2.510191127657890E-002,
4.178300000000000E+008,-6.814984977245331E-002,-3.449308127164841E-002,3.607644438743591E-001,-9.090666770935059E-001,3.592229485511780E-001,-9.086986184120178E-001,-7.629736512899399E-002,-2.031476981937885E-002,
4.418200000000000E+008,-7.828038930892944E-002,-3.411663323640823E-002,2.973230481147766E-001,-9.300245642662048E-001,2.982483804225922E-001,-9.311425685882568E-001,-8.263671398162842E-002,-1.401640567928553E-002,
4.658100000000000E+008,-8.558102697134018E-002,-3.375508263707161E-002,2.331714034080505E-001,-9.470682740211487E-001,2.337949126958847E-001,-9.468505382537842E-001,-8.683575689792633E-002,-7.170313037931919E-003,
4.898000000000000E+008,-8.840581029653549E-002,-3.211914375424385E-002,1.690513640642166E-001,-9.598690271377564E-001,1.668220907449722E-001,-9.585939645767212E-001,-9.042966365814209E-002,-3.332525957375765E-003,
5.137900000000000E+008,-9.301421791315079E-002,-2.406693808734417E-002,1.028998494148254E-001,-9.660564661026001E-001,1.018700748682022E-001,-9.674207568168640E-001,-9.684452414512634E-002,3.757488448172808E-004,
5.377800000000000E+008,-1.001195609569550E-001,-1.456460729241371E-002,3.563678264617920E-002,-9.704777598381043E-001,3.488303720951080E-002,-9.701097607612610E-001,-1.043720617890358E-001,8.639018051326275E-003,
