% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-5.340911820530891E-002,-1.012923009693623E-002,2.615526318550110E-001,-9.540520906448364E-001,2.594189047813416E-001,-9.562916755676270E-001,-6.404078751802445E-002,-2.453458867967129E-002,
5.470000000000000E+008,-8.221739530563355E-002,-9.811442345380783E-003,1.423836052417755E-001,-9.789518117904663E-001,1.399845927953720E-001,-9.797772169113159E-001,-7.273837178945541E-002,-1.132787577807903E-002,
5.940000000000000E+008,-7.481484115123749E-002,-1.729866117238998E-002,1.836158335208893E-002,-9.904792904853821E-001,1.867686957120895E-002,-9.864448904991150E-001,-7.652842998504639E-002,-7.576490752398968E-003,
6.410000000000000E+008,-7.558174431324005E-002,1.550671923905611E-002,-1.006691157817841E-001,-9.842154383659363E-001,-9.936902672052383E-002,-9.820646047592163E-001,-8.955734968185425E-002,6.737231276929379E-003,
6.880000000000000E+008,-1.022424027323723E-001,2.550130337476730E-002,-2.200277149677277E-001,-9.617069363594055E-001,-2.197019755840302E-001,-9.631131291389465E-001,-8.854965865612030E-002,2.032971195876598E-002,
7.350000000000000E+008,-9.374423325061798E-002,1.897639222443104E-002,-3.393461704254150E-001,-9.263482689857483E-001,-3.352727293968201E-001,-9.274385571479797E-001,-9.693004935979843E-002,2.930605970323086E-002,
7.820000000000000E+008,-8.407686650753021E-002,5.472833290696144E-002,-4.473592936992645E-001,-8.787894845008850E-001,-4.453182220458984E-001,-8.800585269927979E-001,-9.704581648111343E-002,5.197953060269356E-002,
8.290000000000000E+008,-1.036682277917862E-001,7.181602716445923E-002,-5.520313382148743E-001,-8.167521953582764E-001,-5.500048995018005E-001,-8.195253610610962E-001,-9.348167479038239E-002,6.006771326065064E-002,
8.760000000000000E+008,-9.249934554100037E-002,6.935629993677139E-002,-6.457136869430542E-001,-7.422327399253845E-001,-6.454343199729919E-001,-7.430105209350586E-001,-9.480387717485428E-002,8.026546239852905E-002,
9.230000000000000E+008,-7.547509670257568E-002,1.026575565338135E-001,-7.313157320022583E-001,-6.580650806427002E-001,-7.307518720626831E-001,-6.600201725959778E-001,-8.194994181394577E-002,9.852207452058792E-002,
9.700000000000000E+008,-8.208080381155014E-002,1.175915524363518E-001,-8.038418292999268E-001,-5.601047873497009E-001,-8.057148456573486E-001,-5.652804374694824E-001,-7.796587795019150E-002,1.088859811425209E-001,
