% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-5.537225399166346E-003,-8.611768484115601E-003,1.000633358955383E+000,-2.049745619297028E-002,9.596701264381409E-001,-7.689028978347778E-002,6.919058971107006E-003,2.257759496569634E-002,
3.399000000000000E+007,1.828513690270484E-003,5.607809871435165E-003,9.798603653907776E-001,-7.647117972373962E-002,9.835289716720581E-001,-7.739631086587906E-002,2.293088007718325E-003,-2.330415416508913E-003,
5.798000000000000E+007,-5.176190752536058E-003,-3.286463906988502E-003,9.886386394500732E-001,-1.500373631715775E-001,9.829169511795044E-001,-1.440702080726624E-001,6.379325641319156E-004,-3.065241908188909E-004,
8.197000000000000E+007,-3.095791325904429E-004,-5.048986058682203E-003,9.742862582206726E-001,-2.004134953022003E-001,9.779610633850098E-001,-2.040273845195770E-001,-3.108909004367888E-004,-1.894991728477180E-003,
1.059600000000000E+008,9.802769636735320E-004,-6.846364121884108E-003,9.604783654212952E-001,-2.689206600189209E-001,9.544726014137268E-001,-2.612923383712769E-001,1.185641973279417E-003,-7.384045515209436E-003,
1.299500000000000E+008,1.046895049512386E-003,-6.756253540515900E-003,9.395507574081421E-001,-3.280535638332367E-001,9.438132643699646E-001,-3.224304914474487E-001,8.863447583280504E-004,-1.024323143064976E-002,
1.539400000000000E+008,-1.716161845251918E-003,-6.287300493568182E-003,9.196466207504273E-001,-3.875907361507416E-001,9.153898954391480E-001,-3.832284808158875E-001,-1.797674456611276E-003,-8.814020082354546E-003,
1.779300000000000E+008,-5.657591391354799E-003,-8.905835449695587E-003,8.943137526512146E-001,-4.388500452041626E-001,8.914538025856018E-001,-4.380107522010803E-001,-2.309827832505107E-003,-1.143790502101183E-002,
2.019200000000000E+008,-5.486737471073866E-003,-1.435208972543478E-002,8.672867417335510E-001,-4.913391172885895E-001,8.652995824813843E-001,-4.907918274402618E-001,-2.140440279617906E-003,-1.085235830396414E-002,
2.259100000000000E+008,-3.683039685711265E-003,-1.625307090580463E-002,8.355929851531982E-001,-5.469809174537659E-001,8.396259546279907E-001,-5.436931848526001E-001,-2.902269829064608E-003,-1.201611012220383E-002,
2.499000000000000E+008,-4.389156121760607E-003,-1.390211284160614E-002,8.012108206748962E-001,-5.930977463722229E-001,7.981913089752197E-001,-5.923685431480408E-001,-5.259292200207710E-003,-1.583072170615196E-002,
2.738900000000000E+008,-8.501725271344185E-003,-1.151736546307802E-002,7.586693763732910E-001,-6.436224579811096E-001,7.605831027030945E-001,-6.393741965293884E-001,-9.146769531071186E-003,-1.750801503658295E-002,
2.978800000000000E+008,-1.425506174564362E-002,-1.604900509119034E-002,7.217698097229004E-001,-6.842808127403259E-001,7.207022309303284E-001,-6.870058178901672E-001,-1.297656819224358E-002,-1.661734469234943E-002,
3.218700000000000E+008,-1.504599489271641E-002,-2.139330096542835E-002,6.782085299491882E-001,-7.287710309028626E-001,6.787477731704712E-001,-7.296786308288574E-001,-1.298298127949238E-002,-1.518325973302126E-002,
3.458600000000000E+008,-1.298295240849257E-002,-2.134066447615624E-002,6.327019333839417E-001,-7.682801485061646E-001,6.287646293640137E-001,-7.704859375953674E-001,-1.342652924358845E-002,-1.726328395307064E-002,
3.698500000000000E+008,-1.130717992782593E-002,-1.567980088293552E-002,5.840849876403809E-001,-8.077769279479981E-001,5.797383189201355E-001,-8.045131564140320E-001,-1.678694225847721E-002,-1.804771460592747E-002,
3.938400000000000E+008,-1.959176920354366E-002,-1.085646543651819E-002,5.326602458953857E-001,-8.399720191955566E-001,5.323882699012756E-001,-8.392423391342163E-001,-2.222550474107266E-002,-1.890253089368343E-002,
4.178300000000000E+008,-2.998324669897556E-002,-1.279716566205025E-002,4.818133711814880E-001,-8.717113733291626E-001,4.794978499412537E-001,-8.698417544364929E-001,-2.408559620380402E-002,-1.724275946617127E-002,
4.418200000000000E+008,-3.386939689517021E-002,-2.023172564804554E-002,4.262980818748474E-001,-8.973802924156189E-001,4.253308773040772E-001,-8.965223431587219E-001,-2.609935030341148E-002,-1.590696908533573E-002,
4.658100000000000E+008,-2.816659957170487E-002,-2.505775168538094E-002,3.703972995281220E-001,-9.248266220092773E-001,3.687284588813782E-001,-9.232689142227173E-001,-2.701096422970295E-002,-1.617405191063881E-002,
4.898000000000000E+008,-2.160477451980114E-002,-1.773737929761410E-002,3.124833405017853E-001,-9.430637359619141E-001,3.123288750648499E-001,-9.436313509941101E-001,-3.016412816941738E-002,-1.634823530912399E-002,
5.137900000000000E+008,-2.500057779252529E-002,-4.302790388464928E-003,2.558096945285797E-001,-9.615454673767090E-001,2.534723877906799E-001,-9.597725868225098E-001,-3.528033941984177E-002,-1.378138270229101E-002,
5.377800000000000E+008,-4.094955697655678E-002,3.229647642001510E-003,1.973198205232620E-001,-9.748877882957459E-001,1.928749978542328E-001,-9.724713563919067E-001,-3.921144083142281E-002,-1.063301879912615E-002,
5.617700000000000E+008,-5.582200735807419E-002,-4.795514047145844E-003,1.373313665390015E-001,-9.852703213691711E-001,1.342619806528091E-001,-9.824379682540894E-001,-4.095794633030891E-002,-7.921498268842697E-003,
5.857600000000000E+008,-5.413993075489998E-002,-1.965600065886974E-002,7.292257994413376E-002,-9.915858507156372E-001,7.586398720741272E-002,-9.888194203376770E-001,-4.120936244726181E-002,-7.593710906803608E-003,
6.097500000000000E+008,-3.760353475809097E-002,-2.145517617464066E-002,1.374210603535175E-002,-9.954480528831482E-001,1.566169038414955E-002,-9.907861351966858E-001,-4.344201087951660E-002,-5.395153071731329E-003,
6.337400000000000E+008,-2.594607695937157E-002,-3.163692774251103E-003,-4.680309444665909E-002,-9.925482869148254E-001,-4.418705403804779E-002,-9.907099604606628E-001,-4.611743614077568E-002,-1.123676192946732E-003,
6.577300000000000E+008,-3.606319427490234E-002,2.145144902169704E-002,-1.059493273496628E-001,-9.874380230903626E-001,-1.048931702971458E-001,-9.861867427825928E-001,-4.927187412977219E-002,3.250469919294119E-003,
6.817200000000000E+008,-6.128526106476784E-002,2.853053994476795E-002,-1.650489121675491E-001,-9.789234995841980E-001,-1.650394797325134E-001,-9.778667092323303E-001,-5.146611109375954E-002,6.382150575518608E-003,
7.057100000000000E+008,-7.941437512636185E-002,1.220308803021908E-002,-2.268518060445786E-001,-9.665583372116089E-001,-2.244558334350586E-001,-9.655237197875977E-001,-5.199011787772179E-002,8.248127065598965E-003,
7.297000000000000E+008,-6.893108040094376E-002,-1.066873967647553E-002,-2.881847918033600E-001,-9.494373202323914E-001,-2.820124924182892E-001,-9.499472975730896E-001,-5.397289246320725E-002,1.092719845473766E-002,
7.536900000000000E+008,-3.826665133237839E-002,-7.916984148323536E-003,-3.450902402400971E-001,-9.324676394462585E-001,-3.393509089946747E-001,-9.317831397056580E-001,-5.512303113937378E-002,1.783147640526295E-002,
7.776800000000000E+008,-2.083478681743145E-002,2.370448783040047E-002,-4.011644124984741E-001,-9.076190590858460E-001,-3.956578969955444E-001,-9.083446264266968E-001,-5.509036779403687E-002,2.374169044196606E-002,
8.016700000000000E+008,-3.726579993963242E-002,5.970388650894165E-002,-4.501355588436127E-001,-8.827484846115112E-001,-4.510371685028076E-001,-8.845958113670349E-001,-5.509478598833084E-002,2.741350606083870E-002,
8.256600000000000E+008,-7.466083019971848E-002,6.498140841722488E-002,-5.044846534729004E-001,-8.494665622711182E-001,-5.058837532997131E-001,-8.552037477493286E-001,-5.656281858682632E-002,2.960207499563694E-002,
8.496500000000000E+008,-9.462475031614304E-002,3.558511286973953E-002,-5.542154908180237E-001,-8.150134086608887E-001,-5.576248764991760E-001,-8.222478032112122E-001,-5.636716261506081E-002,3.404045104980469E-002,
8.736400000000000E+008,-7.345845550298691E-002,4.174687899649143E-003,-6.055741906166077E-001,-7.830660343170166E-001,-6.082497835159302E-001,-7.851645946502686E-001,-5.552656948566437E-002,4.013858363032341E-002,
8.976300000000000E+008,-2.844739705324173E-002,1.110526360571384E-002,-6.555770635604858E-001,-7.457865476608276E-001,-6.536693572998047E-001,-7.479619383811951E-001,-5.210672318935394E-002,4.604171961545944E-002,
9.216200000000000E+008,-3.635725006461144E-003,5.477634817361832E-002,-6.977719664573669E-001,-7.056736946105957E-001,-6.958130598068237E-001,-7.078762650489807E-001,-5.012018978595734E-002,4.988158494234085E-002,
9.456100000000000E+008,-2.618215419352055E-002,1.001007109880447E-001,-7.374513149261475E-001,-6.619945168495178E-001,-7.382179498672485E-001,-6.644765138626099E-001,-5.106161907315254E-002,5.361052230000496E-002,
9.696000000000000E+008,-7.293598353862763E-002,1.029564365744591E-001,-7.695599794387817E-001,-6.091511845588684E-001,-7.793112397193909E-001,-6.190547943115234E-001,-5.105023831129074E-002,5.990278720855713E-002,
9.935900000000000E+008,-9.561015665531158E-002,6.065981090068817E-002,-8.030139207839966E-001,-5.645959973335266E-001,-8.192059397697449E-001,-5.685511827468872E-001,-4.552735015749931E-002,6.657518446445465E-002,
