% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-2.098904550075531E-002,3.533982671797276E-003,1.011963248252869E+000,-2.487266063690186E-002,9.739428162574768E-001,1.080555841326714E-002,1.632364839315414E-002,-5.131562240421772E-003,
3.399000000000000E+007,2.608655253425241E-003,-3.709119977429509E-003,1.003829360008240E+000,-1.044552102684975E-001,1.006641268730164E+000,-8.573507517576218E-002,-2.651238813996315E-003,-2.317293401574716E-004,
5.798000000000000E+007,3.678214736282826E-003,4.947268171235919E-004,9.877740740776062E-001,-1.422131657600403E-001,9.812639951705933E-001,-1.523137688636780E-001,2.598614431917667E-003,-2.952839480713010E-003,
8.197000000000000E+007,6.260777357965708E-003,-7.772061508148909E-003,9.772998690605164E-001,-2.168908417224884E-001,9.774463176727295E-001,-2.128704935312271E-001,1.410313067026436E-003,-8.274490945041180E-003,
1.059600000000000E+008,2.564908238127828E-003,-4.631300456821919E-003,9.622363448143005E-001,-2.755093872547150E-001,9.559267163276672E-001,-2.671850323677063E-001,-1.724900328554213E-003,-8.836248889565468E-003,
1.299500000000000E+008,-2.173118991777301E-003,-7.695234846323729E-003,9.455354809761047E-001,-3.252600729465485E-001,9.444751739501953E-001,-3.275631070137024E-001,-1.514523988589644E-003,-7.875623181462288E-003,
1.539400000000000E+008,-3.649175399914384E-003,-1.184840220957995E-002,9.230312108993530E-001,-3.837514817714691E-001,9.173543453216553E-001,-3.883677423000336E-001,1.011946820653975E-003,-7.480922620743513E-003,
1.779300000000000E+008,-3.503818996250629E-003,-1.489274855703116E-002,8.975157737731934E-001,-4.414671659469605E-001,8.951171040534973E-001,-4.401108622550964E-001,-4.936154000461102E-004,-1.138112042099237E-002,
2.019200000000000E+008,-1.338090631179512E-003,-1.321480423212051E-002,8.694323897361755E-001,-4.931132197380066E-001,8.706014752388001E-001,-4.932999312877655E-001,-3.018423914909363E-003,-1.461728103458881E-002,
2.259100000000000E+008,-1.818479038774967E-003,-1.091074012219906E-002,8.337159156799316E-001,-5.458121299743652E-001,8.333739042282105E-001,-5.471053719520569E-001,-7.554426323622465E-003,-1.375157479196787E-002,
2.499000000000000E+008,-7.090881932526827E-003,-1.006474066525698E-002,8.026465177536011E-001,-5.985369682312012E-001,7.974215149879456E-001,-5.992310047149658E-001,-6.554059684276581E-003,-1.156949996948242E-002,
2.738900000000000E+008,-1.163546089082956E-002,-1.505516562610865E-002,7.632274627685547E-001,-6.433513760566711E-001,7.612663507461548E-001,-6.445732712745667E-001,-7.781925145536661E-003,-1.435925345867872E-002,
