% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-1.953261196613312E-001,-4.499829187989235E-002,8.443184494972229E-001,-8.583474904298782E-003,8.076479434967041E-001,-3.630963712930679E-002,-1.801585555076599E-001,-6.761648692190647E-003,
3.399000000000000E+007,-1.842829287052155E-001,1.067522913217545E-003,8.096660971641541E-001,-9.562174230813980E-002,7.981678843498230E-001,-8.059468865394592E-002,-1.797514408826828E-001,-1.137925311923027E-002,
5.798000000000000E+007,-1.970462054014206E-001,-6.363787222653627E-003,7.882037162780762E-001,-1.552107483148575E-001,7.961986660957336E-001,-1.621767133474350E-001,-1.987766027450562E-001,-8.485424332320690E-003,
8.197000000000000E+007,-1.993431001901627E-001,-8.424348197877407E-003,7.665019631385803E-001,-2.103940546512604E-001,7.678440809249878E-001,-2.121447622776032E-001,-2.024115175008774E-001,-1.666989177465439E-003,
1.059600000000000E+008,-2.043688446283341E-001,-1.864393474534154E-003,7.410912513732910E-001,-2.648218572139740E-001,7.472677230834961E-001,-2.599849104881287E-001,-2.091234922409058E-001,4.322387743741274E-003,
1.299500000000000E+008,-2.092814445495606E-001,1.009903568774462E-002,7.212200760841370E-001,-3.125987648963928E-001,7.199053764343262E-001,-3.109499514102936E-001,-2.128874212503433E-001,1.056167669594288E-002,
1.539400000000000E+008,-2.226409316062927E-001,2.258231677114964E-002,6.941789388656616E-001,-3.540970385074616E-001,6.929886937141419E-001,-3.538693189620972E-001,-2.234050035476685E-001,1.676095835864544E-002,
1.779300000000000E+008,-2.330875247716904E-001,2.942495979368687E-002,6.624025106430054E-001,-3.991935551166534E-001,6.614357233047485E-001,-3.985016047954559E-001,-2.333433628082275E-001,3.039648570120335E-002,
2.019200000000000E+008,-2.387178242206574E-001,3.318001329898834E-002,6.283705234527588E-001,-4.415556788444519E-001,6.272153258323669E-001,-4.401009976863861E-001,-2.369442731142044E-001,4.576384276151657E-002,
2.259100000000000E+008,-2.336325198411942E-001,4.325179010629654E-002,5.940333604812622E-001,-4.796044826507568E-001,5.933569073677063E-001,-4.808134734630585E-001,-2.371458411216736E-001,6.172426417469978E-002,
2.499000000000000E+008,-2.330132573843002E-001,6.081596016883850E-002,5.576939582824707E-001,-5.132203698158264E-001,5.562295913696289E-001,-5.131890177726746E-001,-2.367989122867584E-001,7.156407088041306E-002,
