% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,8.915137499570847E-002,3.100875951349735E-002,8.630079627037048E-001,-3.347750753164291E-002,9.965888857841492E-001,4.392454028129578E-002,7.056509703397751E-002,-9.921301156282425E-002,
3.399000000000000E+007,2.108247578144074E-002,7.641078531742096E-002,9.117428064346314E-001,-8.987725526094437E-002,8.976637125015259E-001,-7.857806980609894E-002,-4.677914455533028E-002,-8.238367736339569E-002,
5.798000000000000E+007,-4.588473215699196E-002,4.714469984173775E-002,9.151626825332642E-001,-1.533219665288925E-001,9.129025340080261E-001,-1.395425647497177E-001,-7.401398569345474E-002,2.483488805592060E-002,
8.197000000000000E+007,-8.375482261180878E-002,-2.747601829469204E-002,9.107483029365540E-001,-2.152160853147507E-001,9.121531844139099E-001,-2.166682332754135E-001,1.794509030878544E-002,4.151174053549767E-002,
1.059600000000000E+008,-4.293191060423851E-002,-8.444199711084366E-002,9.040049910545349E-001,-2.957288026809692E-001,9.040483832359314E-001,-3.019936382770538E-001,3.971826657652855E-002,-4.724460095167160E-002,
1.299500000000000E+008,9.916275739669800E-003,-9.600789099931717E-002,8.730230331420898E-001,-3.697273135185242E-001,8.782682418823242E-001,-3.686100542545319E-001,-2.391675114631653E-002,-1.031058430671692E-001,
1.539400000000000E+008,3.004080802202225E-002,-5.014002323150635E-002,8.463418483734131E-001,-4.426783323287964E-001,8.454800248146057E-001,-4.420553147792816E-001,-8.175092190504074E-002,-5.553956329822540E-002,
1.779300000000000E+008,-4.839413333684206E-003,-9.436013177037239E-003,8.161163926124573E-001,-5.144656896591187E-001,8.155148625373840E-001,-5.173148512840271E-001,-5.877444148063660E-002,-4.880598280578852E-003,
2.019200000000000E+008,-6.123455613851547E-002,-1.381940953433514E-002,7.704834938049316E-001,-5.884528756141663E-001,7.742157578468323E-001,-5.863891839981079E-001,-1.183193363249302E-002,-2.578329294919968E-002,
2.259100000000000E+008,-9.435476362705231E-002,-5.082099139690399E-002,7.197763919830322E-001,-6.510109901428223E-001,7.139486670494080E-001,-6.488348841667175E-001,-3.124530240893364E-002,-8.244745433330536E-002,
2.499000000000000E+008,-8.655040711164475E-002,-8.556128293275833E-002,6.606087684631348E-001,-7.061651349067688E-001,6.572117805480957E-001,-7.054010033607483E-001,-8.832224458456039E-002,-8.611091971397400E-002,
2.738900000000000E+008,-6.312491744756699E-002,-8.524368703365326E-002,5.996639728546143E-001,-7.559212446212769E-001,6.004549860954285E-001,-7.595735192298889E-001,-1.165876239538193E-001,-4.170992970466614E-002,
2.978800000000000E+008,-5.868911370635033E-002,-5.616872385144234E-002,5.367811322212219E-001,-8.067055344581604E-001,5.377377271652222E-001,-8.048912882804871E-001,-9.328152239322662E-002,-1.417021360248327E-002,
3.218700000000000E+008,-8.366625010967255E-002,-2.768092602491379E-002,4.673672020435333E-001,-8.532400727272034E-001,4.688279032707214E-001,-8.545291423797607E-001,-7.282717525959015E-002,-3.437623381614685E-002,
3.458600000000000E+008,-1.175947636365891E-001,-2.045074477791786E-002,3.904832005500794E-001,-8.823857903480530E-001,3.881955742835999E-001,-8.860828280448914E-001,-1.002699583768845E-001,-6.147104501724243E-002,
3.698500000000000E+008,-1.381978094577789E-001,-3.145951032638550E-002,3.223267197608948E-001,-9.128327369689941E-001,3.150090277194977E-001,-9.097209572792053E-001,-1.446250528097153E-001,-4.409357160329819E-002,
3.938400000000000E+008,-1.410554647445679E-001,-3.774372115731239E-002,2.446021437644959E-001,-9.327245354652405E-001,2.438965290784836E-001,-9.293375611305237E-001,-1.553145945072174E-001,-4.287640564143658E-003,
4.178300000000000E+008,-1.356128752231598E-001,-2.708516269922257E-002,1.693346053361893E-001,-9.460210800170898E-001,1.692599803209305E-001,-9.486407637596130E-001,-1.344902664422989E-001,1.547881588339806E-002,
4.418200000000000E+008,-1.390383094549179E-001,-4.145163577049971E-003,8.586884289979935E-002,-9.594947099685669E-001,8.837118744850159E-002,-9.606758952140808E-001,-1.259904503822327E-001,3.626895835623145E-003,
4.658100000000000E+008,-1.488645821809769E-001,1.713532768189907E-002,5.822679959237576E-003,-9.606247544288635E-001,5.771831609308720E-003,-9.602044224739075E-001,-1.516032516956329E-001,-3.298018360510469E-003,
4.898000000000000E+008,-1.613516956567764E-001,2.987486496567726E-002,-6.701836735010147E-002,-9.566423296928406E-001,-6.992839276790619E-002,-9.522507190704346E-001,-1.807314306497574E-001,2.242830395698547E-002,
5.137900000000000E+008,-1.684026718139648E-001,4.264687374234200E-002,-1.428334265947342E-001,-9.471066594123840E-001,-1.447024345397949E-001,-9.408221244812012E-001,-1.777175515890122E-001,6.388211995363236E-002,
5.377800000000000E+008,-1.717656105756760E-001,5.991351231932640E-002,-2.168794572353363E-001,-9.248577356338501E-001,-2.196339815855026E-001,-9.271438717842102E-001,-1.564417332410812E-001,8.029079437255859E-002,
5.617700000000000E+008,-1.742292791604996E-001,7.686851173639298E-002,-2.937205731868744E-001,-9.072062373161316E-001,-2.948335111141205E-001,-9.060030579566956E-001,-1.508244127035141E-001,7.300163805484772E-002,
5.857600000000000E+008,-1.745992600917816E-001,9.008064866065979E-002,-3.680184781551361E-001,-8.723408579826355E-001,-3.669649958610535E-001,-8.746994733810425E-001,-1.698932796716690E-001,7.751444727182388E-002,
