% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,4.550432041287422E-002,-1.743314415216446E-002,9.531384110450745E-001,1.216617226600647E-002,9.348397254943848E-001,2.348480373620987E-002,4.325353354215622E-002,-3.172263503074646E-002,
3.399000000000000E+007,2.876190003007650E-003,1.839779131114483E-002,9.682720899581909E-001,-1.087781190872192E-001,9.705198407173157E-001,-1.111413240432739E-001,-1.571927219629288E-002,-4.843552038073540E-002,
5.798000000000000E+007,-3.414293378591538E-002,1.250986102968454E-002,9.357569813728333E-001,-1.751067638397217E-001,9.404458403587341E-001,-1.744931787252426E-001,-3.019325993955135E-002,-1.452193711884320E-003,
8.197000000000000E+007,-3.695795685052872E-002,-3.679671511054039E-002,9.141666889190674E-001,-2.614007294178009E-001,9.262535572052002E-001,-2.563558220863342E-001,-6.564655341207981E-003,1.504964008927345E-002,
1.059600000000000E+008,-8.567295037209988E-003,-5.010725557804108E-002,9.044978022575378E-001,-3.300442993640900E-001,9.074895381927490E-001,-3.434045612812042E-001,2.118920534849167E-002,-1.090497337281704E-002,
1.299500000000000E+008,1.565440185368061E-002,-4.306707531213760E-002,8.747986555099487E-001,-3.963443934917450E-001,8.742556571960449E-001,-3.970821201801300E-001,2.541411202400923E-003,-5.310256034135819E-002,
1.539400000000000E+008,9.113807231187820E-003,-1.017704699188471E-002,8.415529727935791E-001,-4.639343321323395E-001,8.415217399597168E-001,-4.634745419025421E-001,-3.685689345002174E-002,-4.697773978114128E-002,
1.779300000000000E+008,-2.299841679632664E-002,-4.726230690721422E-004,8.013012409210205E-001,-5.325703620910645E-001,8.024275898933411E-001,-5.318886637687683E-001,-4.664780572056770E-002,-1.398893538862467E-002,
2.019200000000000E+008,-5.031820759177208E-002,-2.032893337309361E-002,7.627747058868408E-001,-5.970585942268372E-001,7.607555389404297E-001,-5.993523597717285E-001,-1.558535359799862E-002,-5.899018608033657E-003,
2.259100000000000E+008,-5.052728950977325E-002,-4.830725118517876E-002,7.086188793182373E-001,-6.569972634315491E-001,7.081380486488342E-001,-6.576114892959595E-001,-1.096322946250439E-002,-3.800012543797493E-002,
2.499000000000000E+008,-3.221507743000984E-002,-5.391614884138107E-002,6.543468832969666E-001,-7.142495512962341E-001,6.542151570320129E-001,-7.101540565490723E-001,-3.928034380078316E-002,-5.755482614040375E-002,
2.738900000000000E+008,-2.374008856713772E-002,-3.770179674029350E-002,5.966840982437134E-001,-7.611680030822754E-001,5.965375900268555E-001,-7.595773935317993E-001,-6.889611482620239E-002,-3.969969972968102E-002,
2.978800000000000E+008,-4.091551154851914E-002,-1.614623703062534E-002,5.340254306793213E-001,-8.044078350067139E-001,5.362992882728577E-001,-8.070972561836243E-001,-6.454109400510788E-002,-1.521538011729717E-002,
3.218700000000000E+008,-6.723674386739731E-002,-1.537133380770683E-002,4.669894576072693E-001,-8.499686121940613E-001,4.681244492530823E-001,-8.496256470680237E-001,-4.754490405321121E-002,-1.513106562197208E-002,
3.458600000000000E+008,-8.060327917337418E-002,-3.056279011070728E-002,3.991912007331848E-001,-8.828256726264954E-001,3.948454558849335E-001,-8.825474977493286E-001,-5.132069066166878E-002,-3.528184816241264E-002,
3.698500000000000E+008,-7.439800351858139E-002,-3.941115364432335E-002,3.247249722480774E-001,-9.156179428100586E-001,3.232447504997253E-001,-9.118139743804932E-001,-7.936172932386398E-002,-3.826637566089630E-002,
