% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-2.822233177721500E-002,2.597135957330465E-003,9.568514823913574E-001,-8.193778991699219E-002,1.054177880287170E+000,-1.216828078031540E-002,-5.021887272596359E-002,-1.997702941298485E-002,
3.399000000000000E+007,-4.033227637410164E-002,-1.377855520695448E-002,9.515280723571777E-001,-1.436303108930588E-001,9.533082246780396E-001,-1.294959783554077E-001,-3.852939233183861E-002,-3.082724846899509E-002,
5.798000000000000E+007,-4.993227124214172E-002,-3.211919590830803E-002,9.234172105789185E-001,-2.176545113325119E-001,9.254849553108215E-001,-1.980509161949158E-001,-4.922433942556381E-002,-3.306494653224945E-002,
8.197000000000000E+007,-5.823535472154617E-002,-4.382054507732391E-002,9.065156579017639E-001,-2.857603430747986E-001,9.141394495964050E-001,-2.838155925273895E-001,-5.089741200208664E-002,-4.102977365255356E-002,
1.059600000000000E+008,-6.900928169488907E-002,-5.687564611434937E-002,8.744746446609497E-001,-3.565316796302795E-001,8.715268969535828E-001,-3.635209500789642E-001,-5.863685905933380E-002,-5.740375816822052E-002,
1.299500000000000E+008,-7.852989435195923E-002,-6.197987124323845E-002,8.294410109519959E-001,-4.369863867759705E-001,8.353718519210815E-001,-4.328643083572388E-001,-7.771193236112595E-002,-6.924811750650406E-002,
1.539400000000000E+008,-8.965831249952316E-002,-6.180471554398537E-002,7.901089787483215E-001,-5.001618266105652E-001,7.896475195884705E-001,-5.022352337837219E-001,-1.003486290574074E-001,-6.775769591331482E-002,
1.779300000000000E+008,-1.080749779939652E-001,-5.592935904860497E-002,7.389780879020691E-001,-5.650030970573425E-001,7.443518042564392E-001,-5.669056177139282E-001,-1.137382164597511E-001,-6.115304306149483E-002,
2.019200000000000E+008,-1.272173970937729E-001,-5.310033261775971E-002,6.870269775390625E-001,-6.270107030868530E-001,6.890105605125427E-001,-6.211441159248352E-001,-1.207215115427971E-001,-5.868810787796974E-002,
2.259100000000000E+008,-1.480214595794678E-001,-4.793491214513779E-002,6.299248933792114E-001,-6.730163097381592E-001,6.262228488922119E-001,-6.728827953338623E-001,-1.371024698019028E-001,-6.534665822982788E-002,
2.499000000000000E+008,-1.642182767391205E-001,-4.589447379112244E-002,5.665127038955689E-001,-7.152985930442810E-001,5.647212862968445E-001,-7.182065248489380E-001,-1.629243642091751E-001,-5.950953066349030E-002,
2.738900000000000E+008,-1.768531352281570E-001,-3.764149546623230E-002,5.011576414108276E-001,-7.568750381469727E-001,5.047770738601685E-001,-7.601429224014282E-001,-1.827501654624939E-001,-4.071705788373947E-002,
2.978800000000000E+008,-1.850852072238922E-001,-2.352105081081390E-002,4.331991076469421E-001,-7.910331487655640E-001,4.373716115951538E-001,-7.932880520820618E-001,-1.878935992717743E-001,-2.304118312895298E-002,
3.218700000000000E+008,-1.949012726545334E-001,-3.758423961699009E-003,3.658678829669952E-001,-8.255096077919006E-001,3.694267868995667E-001,-8.257932066917419E-001,-1.927404999732971E-001,-1.681219413876534E-002,
3.458600000000000E+008,-2.061014324426651E-001,1.883099228143692E-002,2.945297956466675E-001,-8.443729877471924E-001,2.906348705291748E-001,-8.449454903602600E-001,-2.120310217142105E-001,-1.086978893727064E-002,
3.698500000000000E+008,-2.201626896858215E-001,3.869421780109406E-002,2.264401912689209E-001,-8.635190725326538E-001,2.214362323284149E-001,-8.576717376708984E-001,-2.326154559850693E-001,1.100560650229454E-002,
3.938400000000000E+008,-2.329001277685165E-001,5.746713653206825E-002,1.538182199001312E-001,-8.699313402175903E-001,1.531900763511658E-001,-8.663915395736694E-001,-2.408529520034790E-001,4.044418409466744E-002,
4.178300000000000E+008,-2.374803125858307E-001,7.475454360246658E-002,8.343019336462021E-002,-8.718397021293640E-001,8.240191638469696E-002,-8.735743761062622E-001,-2.340575754642487E-001,6.368411332368851E-002,
4.418200000000000E+008,-2.361139357089996E-001,9.624262154102325E-002,8.510474115610123E-003,-8.716178536415100E-001,9.855408221483231E-003,-8.747553825378418E-001,-2.344529628753662E-001,7.449531555175781E-002,
4.658100000000000E+008,-2.282447069883347E-001,1.209233850240707E-001,-6.277682632207871E-002,-8.655672073364258E-001,-6.237849593162537E-002,-8.643236756324768E-001,-2.469300031661987E-001,8.996803313493729E-002,
4.898000000000000E+008,-2.235103398561478E-001,1.479655653238297E-001,-1.277352422475815E-001,-8.538252711296082E-001,-1.276807785034180E-001,-8.490151166915894E-001,-2.576155364513397E-001,1.202315986156464E-001,
5.137900000000000E+008,-2.210346609354019E-001,1.787572354078293E-001,-1.939200758934021E-001,-8.368693590164185E-001,-1.922044754028320E-001,-8.315279483795166E-001,-2.488244026899338E-001,1.563995033502579E-001,
5.377800000000000E+008,-2.177596092224121E-001,2.057554721832275E-001,-2.537908256053925E-001,-8.096681833267212E-001,-2.579240798950195E-001,-8.116225600242615E-001,-2.311574965715408E-001,1.785402446985245E-001,
5.617700000000000E+008,-2.092538923025131E-001,2.271966785192490E-001,-3.185629248619080E-001,-7.827969789505005E-001,-3.217882812023163E-001,-7.839128375053406E-001,-2.229043841362000E-001,1.882358193397522E-001,
5.857600000000000E+008,-1.940616071224213E-001,2.435596138238907E-001,-3.816279768943787E-001,-7.450632452964783E-001,-3.807198703289032E-001,-7.458327412605286E-001,-2.259507030248642E-001,2.061960250139237E-001,
6.097500000000000E+008,-1.731291115283966E-001,2.615303695201874E-001,-4.394360482692719E-001,-7.162800431251526E-001,-4.300018548965454E-001,-7.084745168685913E-001,-2.216108441352844E-001,2.416552752256393E-001,
