% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.381646189838648E-002,1.980485394597054E-002,9.648333787918091E-001,-4.853902012109757E-002,1.041311502456665E+000,-5.773797631263733E-003,-1.130639109760523E-002,-1.839597150683403E-002,
3.399000000000000E+007,5.417123436927795E-003,1.040714792907238E-002,9.850124716758728E-001,-1.110395193099976E-001,9.781452417373657E-001,-9.871918708086014E-002,7.590173278003931E-003,-5.121549125760794E-003,
5.798000000000000E+007,-1.528757042251527E-003,4.633362405002117E-003,9.645692110061646E-001,-1.920736134052277E-001,9.598825573921204E-001,-1.846673339605331E-001,-7.265055552124977E-003,4.812675062566996E-003,
8.197000000000000E+007,-7.442610803991556E-004,7.972804014571011E-004,9.469609856605530E-001,-2.441552728414536E-001,9.589424133300781E-001,-2.489169090986252E-001,8.502936922013760E-003,1.182037591934204E-002,
1.059600000000000E+008,6.761274300515652E-003,-3.039183095097542E-003,9.350645542144775E-001,-3.101218342781067E-001,9.334607720375061E-001,-3.183720409870148E-001,1.417525671422482E-002,3.593617351725698E-003,
1.299500000000000E+008,1.297056581825018E-002,-3.694873536005616E-003,9.071121811866760E-001,-3.900348842144013E-001,9.040933847427368E-001,-3.873222768306732E-001,1.368996407836676E-002,-5.934603977948427E-003,
1.539400000000000E+008,1.488489657640457E-002,-9.510040399618447E-005,8.733605146408081E-001,-4.504885375499725E-001,8.752051591873169E-001,-4.538316130638123E-001,4.569595679640770E-003,-6.496213842183352E-003,
1.779300000000000E+008,1.416793186217547E-002,1.599036389961839E-003,8.415858745574951E-001,-5.103638172149658E-001,8.383318781852722E-001,-5.153298974037170E-001,4.593451507389545E-003,1.931372215040028E-003,
2.019200000000000E+008,1.052487362176180E-002,-8.033385383896530E-004,7.975350022315979E-001,-5.762372016906738E-001,7.972940802574158E-001,-5.700777173042297E-001,1.307586021721363E-002,2.540866611525416E-003,
2.259100000000000E+008,7.378894370049238E-003,-3.639965783804655E-003,7.519165277481079E-001,-6.304977536201477E-001,7.486736774444580E-001,-6.283342242240906E-001,1.783387549221516E-002,-8.341928943991661E-003,
2.499000000000000E+008,7.678961846977472E-003,-1.042120903730393E-002,7.044866085052490E-001,-6.822727918624878E-001,7.041019201278687E-001,-6.825672388076782E-001,1.123552117496729E-002,-1.610834337770939E-002,
2.738900000000000E+008,9.317030198872089E-003,-1.323131844401360E-002,6.502717733383179E-001,-7.321419715881348E-001,6.513887047767639E-001,-7.332420945167542E-001,1.944641117006540E-003,-1.231454126536846E-002,
2.978800000000000E+008,1.145843416452408E-002,-1.467389240860939E-002,5.940809249877930E-001,-7.747514247894287E-001,5.970394611358643E-001,-7.753427624702454E-001,5.189124494791031E-003,-3.695919411256909E-003,
3.218700000000000E+008,1.206435915082693E-002,-1.526420749723911E-002,5.383286476135254E-001,-8.204817771911621E-001,5.405303239822388E-001,-8.198755979537964E-001,1.544494740664959E-002,-7.035186048597097E-003,
3.458600000000000E+008,1.077181287109852E-002,-1.284627523273230E-002,4.732758104801178E-001,-8.510420322418213E-001,4.752549231052399E-001,-8.553236126899719E-001,1.458359137177467E-002,-1.946191489696503E-002,
3.698500000000000E+008,7.601981516927481E-003,-1.115903910249472E-002,4.143297672271729E-001,-8.861359357833862E-001,4.106833636760712E-001,-8.861489295959473E-001,1.911843195557594E-003,-2.494009025394917E-002,
3.938400000000000E+008,-4.617274680640549E-004,-1.326024066656828E-002,3.457502424716950E-001,-9.136279821395874E-001,3.455398976802826E-001,-9.114991426467896E-001,-6.559708621352911E-003,-1.837925054132938E-002,
4.178300000000000E+008,-5.748427473008633E-003,-1.873268745839596E-002,2.791360616683960E-001,-9.323210716247559E-001,2.773257791996002E-001,-9.323863387107849E-001,-1.147923059761524E-003,-9.380455128848553E-003,
4.418200000000000E+008,-7.142553571611643E-003,-2.551231160759926E-002,2.078911513090134E-001,-9.517851471900940E-001,2.109203934669495E-001,-9.513525962829590E-001,7.262083701789379E-003,-1.486831158399582E-002,
4.658100000000000E+008,-1.167931593954563E-003,-2.757347375154495E-002,1.402156502008438E-001,-9.626824259757996E-001,1.395989656448364E-001,-9.626596570014954E-001,2.989241620525718E-003,-2.729309722781181E-002,
4.898000000000000E+008,1.721906126476824E-003,-2.224102057516575E-002,7.271235436201096E-002,-9.697842001914978E-001,7.020893692970276E-002,-9.738191366195679E-001,-1.273434702306986E-002,-2.999366819858551E-002,
5.137900000000000E+008,-2.489202190190554E-003,-1.212327834218741E-002,4.714000970125198E-004,-9.744935631752014E-001,-3.653250634670258E-003,-9.722158908843994E-001,-2.052691020071507E-002,-1.627656817436218E-002,
5.377800000000000E+008,-1.604053936898708E-002,-5.909751635044813E-003,-7.129955291748047E-002,-9.666845798492432E-001,-7.302211970090866E-002,-9.678208827972412E-001,-1.340094208717346E-002,-8.062541484832764E-003,
5.617700000000000E+008,-2.885290980339050E-002,-1.194325834512711E-002,-1.408877521753311E-001,-9.629001617431641E-001,-1.411946117877960E-001,-9.605444669723511E-001,-4.996156319975853E-003,-1.667733117938042E-002,
5.857600000000000E+008,-3.183974698185921E-002,-2.445615082979202E-002,-2.100188434123993E-001,-9.444723725318909E-001,-2.088781595230103E-001,-9.472536444664002E-001,-1.241286192089319E-002,-2.956938743591309E-002,
6.097500000000000E+008,-2.192508056759834E-002,-3.034720011055470E-002,-2.743718326091766E-001,-9.363927841186523E-001,-2.753912508487701E-001,-9.296090006828308E-001,-3.099635615944862E-002,-2.530061826109886E-002,
6.337400000000000E+008,-9.091496467590332E-003,-2.145235799252987E-002,-3.479660153388977E-001,-9.103673100471497E-001,-3.422310054302216E-001,-9.079899787902832E-001,-3.556365519762039E-002,-7.472238037735224E-003,
6.577300000000000E+008,-1.131913904100657E-002,-1.219248748384416E-003,-4.077445864677429E-001,-8.804919123649597E-001,-4.076515734195709E-001,-8.803816437721252E-001,-2.296642027795315E-002,2.188669517636299E-003,
6.817200000000000E+008,-2.767947874963284E-002,1.320732291787863E-002,-4.712364375591278E-001,-8.493786454200745E-001,-4.702807068824768E-001,-8.488745689392090E-001,-1.555675640702248E-002,-9.798036888241768E-003,
