% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.132474037352949E-004,2.634814241901040E-003,9.724413752555847E-001,-2.103528380393982E-002,9.838470220565796E-001,-8.391508460044861E-002,1.607153005897999E-002,1.205024588853121E-002,
3.399000000000000E+007,1.435743528418243E-003,-4.556062631309032E-003,9.927788972854614E-001,-1.036321818828583E-001,9.844418168067932E-001,-1.240522786974907E-001,-5.327236838638783E-003,-4.026723094284535E-003,
5.798000000000000E+007,-2.243067137897015E-003,-7.938371971249580E-003,9.826800823211670E-001,-1.839358210563660E-001,9.925158023834229E-001,-1.787734925746918E-001,8.340390195371583E-006,-1.170375850051642E-002,
8.197000000000000E+007,-4.696891177445650E-003,-1.261076796799898E-002,9.619975090026856E-001,-2.541060447692871E-001,9.602093696594238E-001,-2.568201422691345E-001,-1.522178208688274E-004,-1.046105753630400E-002,
1.059600000000000E+008,-8.511924184858799E-003,-1.375054940581322E-002,9.384825229644775E-001,-3.216307759284973E-001,9.359721541404724E-001,-3.214362561702728E-001,-3.954333718866110E-003,-1.508891768753529E-002,
1.299500000000000E+008,-8.798423223197460E-003,-1.910125091671944E-002,9.062558412551880E-001,-3.966606557369232E-001,9.049370884895325E-001,-3.964766860008240E-001,-9.725630283355713E-003,-1.896555535495281E-002,
1.539400000000000E+008,-1.421369425952435E-002,-1.942343451082707E-002,8.758652806282044E-001,-4.630869030952454E-001,8.758633136749268E-001,-4.600254297256470E-001,-1.349448226392269E-002,-2.049529738724232E-002,
1.779300000000000E+008,-1.683409325778484E-002,-2.230874635279179E-002,8.392907381057739E-001,-5.299611091613770E-001,8.373460769653320E-001,-5.269706249237061E-001,-1.743356510996819E-002,-1.826695166528225E-002,
2.019200000000000E+008,-1.690609380602837E-002,-2.305278554558754E-002,7.957242727279663E-001,-5.902130007743835E-001,7.910717725753784E-001,-5.878095626831055E-001,-1.785290986299515E-002,-1.940984651446343E-002,
2.259100000000000E+008,-1.992874592542648E-002,-2.128778956830502E-002,7.489859461784363E-001,-6.452794671058655E-001,7.461893558502197E-001,-6.498271822929382E-001,-2.326371893286705E-002,-2.251714654266834E-002,
2.499000000000000E+008,-2.475211583077908E-002,-1.789204403758049E-002,6.971172690391541E-001,-7.004736065864563E-001,6.955707073211670E-001,-7.008786201477051E-001,-2.859940938651562E-002,-2.347609587013722E-002,
2.738900000000000E+008,-3.303545713424683E-002,-1.829075999557972E-002,6.422234773635864E-001,-7.488217949867249E-001,6.419520378112793E-001,-7.480046749114990E-001,-3.560513257980347E-002,-2.010421641170979E-002,
2.978800000000000E+008,-4.186392575502396E-002,-2.028344944119453E-002,5.826776027679443E-001,-7.955451607704163E-001,5.855899453163147E-001,-7.969104647636414E-001,-3.784808889031410E-002,-1.863842830061913E-002,
3.218700000000000E+008,-4.513799771666527E-002,-2.552188374102116E-002,5.244892835617065E-001,-8.348199725151062E-001,5.207638144493103E-001,-8.382446765899658E-001,-3.894177079200745E-002,-1.779663190245628E-002,
3.458600000000000E+008,-4.224437475204468E-002,-2.501954883337021E-002,4.577487707138062E-001,-8.721693158149719E-001,4.543534815311432E-001,-8.718901276588440E-001,-4.449519142508507E-002,-1.840650476515293E-002,
3.698500000000000E+008,-4.158697649836540E-002,-1.586103066802025E-002,3.912900686264038E-001,-9.041015505790710E-001,3.905569911003113E-001,-9.007863998413086E-001,-5.317160859704018E-002,-1.310239173471928E-002,
3.938400000000000E+008,-4.882446303963661E-002,-5.316760856658220E-003,3.220115900039673E-001,-9.286530613899231E-001,3.217366039752960E-001,-9.263998270034790E-001,-5.748489126563072E-002,-7.186959963291884E-003,
4.178300000000000E+008,-6.120690703392029E-002,2.313050907105207E-003,2.534817159175873E-001,-9.486534595489502E-001,2.522382140159607E-001,-9.491282701492310E-001,-5.634610354900360E-002,-2.376395976170898E-003,
4.418200000000000E+008,-7.229827344417572E-002,-1.241753343492746E-003,1.781581491231918E-001,-9.644886255264282E-001,1.810903251171112E-001,-9.636127948760986E-001,-5.800881236791611E-002,-5.860328092239797E-004,
4.658100000000000E+008,-7.233960181474686E-002,-6.790038198232651E-003,1.060486137866974E-001,-9.747061729431152E-001,1.058788076043129E-001,-9.747384190559387E-001,-6.367035210132599E-002,1.925081014633179E-003,
4.898000000000000E+008,-6.446456164121628E-002,-4.331272095441818E-003,3.201478347182274E-002,-9.805518984794617E-001,3.470032662153244E-002,-9.784640669822693E-001,-6.837759912014008E-002,1.090645696967840E-002,
5.137900000000000E+008,-5.791494250297546E-002,8.974642492830753E-003,-4.054779559373856E-002,-9.780976176261902E-001,-3.925869613885880E-002,-9.763880968093872E-001,-7.056572288274765E-002,1.995548233389854E-002,
5.377800000000000E+008,-6.271772086620331E-002,2.814660966396332E-002,-1.088343560695648E-001,-9.716035127639771E-001,-1.122331246733666E-001,-9.705779552459717E-001,-6.894399970769882E-002,2.651854790747166E-002,
5.617700000000000E+008,-7.635316252708435E-002,3.887528926134110E-002,-1.847421079874039E-001,-9.632080197334290E-001,-1.826710551977158E-001,-9.591545462608337E-001,-6.954049319028854E-002,2.715246006846428E-002,
5.857600000000000E+008,-8.823691308498383E-002,3.651687130331993E-002,-2.563719749450684E-001,-9.405377507209778E-001,-2.530039548873901E-001,-9.410018324851990E-001,-7.275813072919846E-002,3.283691406250000E-002,
6.097500000000000E+008,-8.484676480293274E-002,3.054034523665905E-002,-3.268247544765472E-001,-9.189669489860535E-001,-3.230417966842651E-001,-9.201221466064453E-001,-7.411867380142212E-002,4.322220012545586E-002,
6.337400000000000E+008,-6.940896064043045E-002,3.231035917997360E-002,-3.929058015346527E-001,-8.903589844703674E-001,-3.898453712463379E-001,-8.930358290672302E-001,-7.011882215738297E-002,5.596661940217018E-002,
6.577300000000000E+008,-5.793162435293198E-002,4.870541393756867E-002,-4.569053649902344E-001,-8.611902594566345E-001,-4.564991891384125E-001,-8.613379001617432E-001,-6.602501124143601E-002,6.197854503989220E-002,
6.817200000000000E+008,-5.828721448779106E-002,7.099252194166184E-002,-5.186154842376709E-001,-8.232798576354981E-001,-5.195711255073547E-001,-8.251134753227234E-001,-6.469263881444931E-002,6.463953107595444E-002,
7.057100000000000E+008,-7.009470462799072E-002,8.421935141086578E-002,-5.773790478706360E-001,-7.798708677291870E-001,-5.772656798362732E-001,-7.830671668052673E-001,-6.563194841146469E-002,7.038811594247818E-002,
7.297000000000000E+008,-7.962424308061600E-002,8.248377591371536E-002,-6.326638460159302E-001,-7.343909144401550E-001,-6.333554387092590E-001,-7.362781763076782E-001,-6.191901862621307E-002,8.199643343687058E-002,
7.536900000000000E+008,-7.245222479104996E-002,7.465326786041260E-002,-6.865853667259216E-001,-6.825162172317505E-001,-6.866271495819092E-001,-6.861345767974854E-001,-5.336289107799530E-002,9.247224777936935E-002,
7.776800000000000E+008,-5.364510789513588E-002,7.412436604499817E-002,-7.335540652275085E-001,-6.317899227142334E-001,-7.359669804573059E-001,-6.335391402244568E-001,-4.337359592318535E-002,9.714098274707794E-002,
8.016700000000000E+008,-3.576892614364624E-002,8.978059887886047E-002,-7.825050354003906E-001,-5.755200386047363E-001,-7.811289429664612E-001,-5.758187770843506E-001,-3.935854136943817E-002,9.988484531641007E-002,
8.256600000000000E+008,-3.087807819247246E-002,1.109192222356796E-001,-8.173821568489075E-001,-5.159351229667664E-001,-8.204579949378967E-001,-5.144417285919190E-001,-3.759136423468590E-002,1.061479374766350E-001,
8.496500000000000E+008,-3.710894659161568E-002,1.244571655988693E-001,-8.527438044548035E-001,-4.535848498344421E-001,-8.548933267593384E-001,-4.514878392219544E-001,-3.106310404837132E-002,1.147141456604004E-001,
8.736400000000000E+008,-4.146585613489151E-002,1.227015405893326E-001,-8.832950592041016E-001,-3.867792785167694E-001,-8.851434588432312E-001,-3.867045938968658E-001,-1.810823753476143E-002,1.209935396909714E-001,
8.976300000000000E+008,-3.272343799471855E-002,1.133446767926216E-001,-9.092953205108643E-001,-3.176118731498718E-001,-9.105232357978821E-001,-3.204199373722076E-001,-5.100618582218885E-003,1.217457577586174E-001,
9.216200000000000E+008,-1.277356036007404E-002,1.100135520100594E-001,-9.318973422050476E-001,-2.508644759654999E-001,-9.329723715782166E-001,-2.508580982685089E-001,1.924277981743217E-003,1.218403875827789E-001,
9.456100000000000E+008,6.644007749855518E-003,1.198716387152672E-001,-9.471111893653870E-001,-1.805406510829926E-001,-9.467621445655823E-001,-1.802908629179001E-001,6.594896316528320E-003,1.263900250196457E-001,
9.696000000000000E+008,1.690624654293060E-002,1.358511149883270E-001,-9.554434418678284E-001,-1.142530739307404E-001,-9.571540355682373E-001,-1.098599135875702E-001,1.711237989366055E-002,1.333408802747726E-001,
9.935900000000000E+008,1.727611385285854E-002,1.449346095323563E-001,-9.604531526565552E-001,-4.169320315122604E-002,-9.608997106552124E-001,-3.861685469746590E-002,3.188385814428330E-002,1.338342577219009E-001,
1.017580000000000E+009,1.874795742332935E-002,1.408627033233643E-001,-9.586174488067627E-001,3.121128864586353E-002,-9.600932002067566E-001,3.339577093720436E-002,4.450446367263794E-002,1.296577453613281E-001,
1.041570000000000E+009,2.808253280818462E-002,1.308666020631790E-001,-9.531222581863403E-001,1.051619425415993E-001,-9.542498588562012E-001,1.044205203652382E-001,5.242208391427994E-002,1.256567984819412E-001,
1.065560000000000E+009,4.578073695302010E-002,1.244186460971832E-001,-9.435483813285828E-001,1.751357913017273E-001,-9.430301189422607E-001,1.746083199977875E-001,6.038623303174973E-002,1.267584860324860E-001,
1.089550000000000E+009,6.397047638893127E-002,1.262969225645065E-001,-9.304733872413635E-001,2.428449541330338E-001,-9.264366626739502E-001,2.440686821937561E-001,7.236479222774506E-002,1.290705651044846E-001,
1.113540000000000E+009,7.708050310611725E-002,1.316112130880356E-001,-9.074031114578247E-001,3.086298108100891E-001,-9.054353833198547E-001,3.106296658515930E-001,8.777257800102234E-002,1.249274611473084E-001,
1.137530000000000E+009,8.405910432338715E-002,1.329275816679001E-001,-8.797148466110230E-001,3.744812011718750E-001,-8.786230087280273E-001,3.768237829208374E-001,9.929796308279038E-002,1.153511330485344E-001,
1.161520000000000E+009,8.901204168796539E-002,1.275124549865723E-001,-8.468282818794251E-001,4.391363859176636E-001,-8.480468988418579E-001,4.418285191059113E-001,1.053531020879746E-001,1.067951843142510E-001,
1.185510000000000E+009,9.619448333978653E-002,1.176421493291855E-001,-8.108259439468384E-001,5.029544830322266E-001,-8.130054473876953E-001,5.038063526153565E-001,1.127673834562302E-001,1.041723489761353E-001,
1.209500000000000E+009,1.074987947940826E-001,1.084752455353737E-001,-7.733290195465088E-001,5.624587535858154E-001,-7.717870473861694E-001,5.609647631645203E-001,1.238502413034439E-001,1.008465811610222E-001,
1.233490000000000E+009,1.201985627412796E-001,1.004376634955406E-001,-7.308878898620606E-001,6.179813146591187E-001,-7.276538014411926E-001,6.157094240188599E-001,1.380280256271362E-001,9.176148474216461E-002,
