% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.617241349071264E-003,1.426863204687834E-002,1.015660881996155E+000,-3.415847569704056E-002,1.012949109077454E+000,1.506036520004273E-002,1.735918596386910E-002,-2.305130474269390E-002,
3.399000000000000E+007,1.541593228466809E-004,2.614877372980118E-002,9.736900925636292E-001,-1.078282222151756E-001,9.702864289283752E-001,-8.735784888267517E-002,-5.614852067083120E-003,-2.893562987446785E-002,
5.798000000000000E+007,-2.099452912807465E-002,2.354346215724945E-002,9.495231509208679E-001,-1.605036705732346E-001,9.488840103149414E-001,-1.644282639026642E-001,-2.770374156534672E-002,9.284546598792076E-003,
8.197000000000000E+007,-2.291607111692429E-002,-1.330513786524534E-002,9.425663352012634E-001,-2.339278459548950E-001,9.381684064865112E-001,-2.399720400571823E-001,-1.357045024633408E-003,2.933571673929691E-002,
1.059600000000000E+008,1.666052732616663E-003,-2.967438101768494E-002,9.219860434532166E-001,-3.037884533405304E-001,9.205913543701172E-001,-2.929947972297669E-001,2.968440391123295E-002,1.074336096644402E-002,
1.299500000000000E+008,2.688479237258434E-002,-1.405973453074694E-002,9.051373600959778E-001,-3.640721440315247E-001,8.988502025604248E-001,-3.620528280735016E-001,2.034232020378113E-002,-2.073641307651997E-002,
1.539400000000000E+008,2.898220717906952E-002,1.362067647278309E-002,8.755483031272888E-001,-4.228222668170929E-001,8.701653480529785E-001,-4.269830584526062E-001,-1.416713092476130E-002,-1.905792765319347E-002,
1.779300000000000E+008,3.413295606151223E-003,2.818860672414303E-002,8.447017073631287E-001,-4.830029010772705E-001,8.439269065856934E-001,-4.848892092704773E-001,-1.917875930666924E-002,1.397302374243736E-002,
2.019200000000000E+008,-1.981761865317822E-002,1.423286367207766E-002,8.097083568572998E-001,-5.434592366218567E-001,8.107435107231140E-001,-5.426794290542603E-001,1.173844281584024E-002,2.633435279130936E-002,
2.259100000000000E+008,-1.718281023204327E-002,-1.325831096619368E-002,7.650523185729981E-001,-6.012789607048035E-001,7.675608396530151E-001,-6.022883653640747E-001,3.097211383283138E-002,1.007940969429910E-003,
2.499000000000000E+008,6.786660756915808E-003,-2.350558154284954E-002,7.232814431190491E-001,-6.569318175315857E-001,7.214108705520630E-001,-6.579917073249817E-001,1.166329532861710E-002,-2.206541225314140E-002,
2.738900000000000E+008,2.733162418007851E-002,-1.148699223995209E-002,6.774931550025940E-001,-7.057749629020691E-001,6.772468686103821E-001,-7.068381905555725E-001,-1.654382050037384E-002,-1.236187014728785E-002,
2.978800000000000E+008,2.446026541292667E-002,9.878553450107575E-003,6.245683431625366E-001,-7.546738982200623E-001,6.256765723228455E-001,-7.526010274887085E-001,-1.068294234573841E-002,1.584289036691189E-002,
3.218700000000000E+008,5.027822684496641E-003,1.859182678163052E-002,5.761664509773254E-001,-7.963835000991821E-001,5.712612271308899E-001,-7.966923713684082E-001,1.815057545900345E-002,1.869448274374008E-002,
3.458600000000000E+008,-1.132784597575665E-002,5.954659543931484E-003,5.119957923889160E-001,-8.386307954788208E-001,5.122907757759094E-001,-8.369396328926086E-001,2.583409287035465E-002,-7.707708515226841E-003,
3.698500000000000E+008,-9.617664851248264E-003,-1.106369495391846E-002,4.519266188144684E-001,-8.727217316627502E-001,4.500421285629273E-001,-8.725875616073608E-001,3.573821857571602E-003,-2.293505147099495E-002,
3.938400000000000E+008,5.051646381616592E-003,-1.808871887624264E-002,3.880561888217926E-001,-9.030420780181885E-001,3.879129588603973E-001,-9.039911031723023E-001,-1.540001947432756E-002,-6.261096335947514E-003,
4.178300000000000E+008,1.633376814424992E-002,-8.101196959614754E-003,3.241240978240967E-001,-9.285863041877747E-001,3.197999894618988E-001,-9.299159646034241E-001,-6.466825958341360E-003,1.544486079365015E-002,
4.418200000000000E+008,1.439338363707066E-002,4.006267525255680E-003,2.560487985610962E-001,-9.532566070556641E-001,2.544938325881958E-001,-9.490040540695190E-001,1.867195777595043E-002,1.182889658957720E-002,
4.658100000000000E+008,3.093215869739652E-003,6.463698111474514E-003,1.852347999811173E-001,-9.664473533630371E-001,1.855950057506561E-001,-9.670333266258240E-001,2.163302712142468E-002,-1.269789319485426E-002,
4.898000000000000E+008,-4.846151452511549E-003,2.009973977692425E-004,1.162137463688850E-001,-9.795619845390320E-001,1.153081208467484E-001,-9.793179631233215E-001,-1.509609865024686E-003,-2.187676727771759E-002,
5.137900000000000E+008,-1.692489138804376E-003,-6.455482449382544E-003,4.416732490062714E-002,-9.868488311767578E-001,4.540040343999863E-002,-9.851706624031067E-001,-1.676770299673080E-002,-3.616415429860354E-003,
5.377800000000000E+008,1.345469499938190E-003,-7.771960459649563E-003,-2.420231513679028E-002,-9.817637801170349E-001,-2.562182396650314E-002,-9.866192936897278E-001,-3.364986274391413E-003,1.620976813137531E-002,
5.617700000000000E+008,2.044537803158164E-003,-3.828543005511165E-003,-9.114228188991547E-002,-9.864484667778015E-001,-9.666853398084641E-002,-9.816808700561523E-001,1.712352782487869E-002,6.635146681219339E-003,
5.857600000000000E+008,1.044390490278602E-003,-6.065447814762592E-003,-1.692514419555664E-001,-9.743556380271912E-001,-1.676676422357559E-001,-9.716441631317139E-001,1.512881089001894E-002,-1.550570037215948E-002,
6.097500000000000E+008,1.379445195198059E-003,-7.839151658117771E-003,-2.346368730068207E-001,-9.579625725746155E-001,-2.347029894590378E-001,-9.584856629371643E-001,-7.689428515732288E-003,-1.870031841099262E-002,
6.337400000000000E+008,5.761026870459318E-003,-5.159199703484774E-003,-3.044846355915070E-001,-9.399591684341431E-001,-3.021266162395477E-001,-9.410000443458557E-001,-1.853981800377369E-002,2.373556373640895E-003,
6.577300000000000E+008,5.930016748607159E-003,3.063035430386663E-003,-3.684431910514832E-001,-9.161233901977539E-001,-3.693436384201050E-001,-9.175340533256531E-001,-1.231871079653502E-003,1.739770174026489E-002,
6.817200000000000E+008,-3.360090544447303E-003,8.921658620238304E-003,-4.353050887584686E-001,-8.920982480049133E-001,-4.345106184482575E-001,-8.891207575798035E-001,1.658955588936806E-002,6.118112243711948E-003,
7.057100000000000E+008,-1.582777500152588E-002,1.866599312052131E-003,-5.018698573112488E-001,-8.570768833160400E-001,-4.965418577194214E-001,-8.553130030632019E-001,1.013958547264338E-002,-1.532582379877567E-002,
7.297000000000000E+008,-1.428781170397997E-002,-1.267740968614817E-002,-5.589898824691773E-001,-8.163003325462341E-001,-5.566186308860779E-001,-8.176119923591614E-001,-1.263204682618380E-002,-1.421570219099522E-002,
7.536900000000000E+008,1.984099624678493E-003,-1.949339359998703E-002,-6.176069378852844E-001,-7.759774923324585E-001,-6.140228509902954E-001,-7.770289182662964E-001,-1.874277740716934E-002,8.484265767037869E-003,
7.776800000000000E+008,1.823826320469379E-002,-7.012876681983471E-003,-6.668295264244080E-001,-7.279361486434937E-001,-6.682657599449158E-001,-7.330073714256287E-001,2.309661358594894E-003,2.197729796171188E-002,
8.016700000000000E+008,1.686937920749188E-002,1.699994876980782E-002,-7.221378087997437E-001,-6.875520944595337E-001,-7.201558351516724E-001,-6.843420863151550E-001,1.902576908469200E-002,6.774865090847015E-003,
8.256600000000000E+008,-5.675653461366892E-003,2.934593521058559E-002,-7.730013728141785E-001,-6.240599751472473E-001,-7.688001394271851E-001,-6.318219304084778E-001,6.978594698011875E-003,-1.508484594523907E-002,
8.496500000000000E+008,-3.011813201010227E-002,1.325928606092930E-002,-8.081850409507752E-001,-5.713037252426148E-001,-8.130663037300110E-001,-5.743213295936585E-001,-1.651486381888390E-002,-9.124428965151310E-003,
8.736400000000000E+008,-2.876669541001320E-002,-1.567254960536957E-002,-8.510073423385620E-001,-5.126503705978394E-001,-8.515821099281311E-001,-5.144866108894348E-001,-1.708691753447056E-002,1.701469160616398E-002,
8.976300000000000E+008,1.711258955765516E-004,-3.022206760942936E-002,-8.862512707710266E-001,-4.497042596340179E-001,-8.860163688659668E-001,-4.535616040229797E-001,8.042694069445133E-003,2.573849074542522E-002,
9.216200000000000E+008,2.908372879028320E-002,-1.253526005893946E-002,-9.158408045768738E-001,-3.889977633953095E-001,-9.169275760650635E-001,-3.895797729492188E-001,2.373300679028034E-002,5.042220931500197E-003,
9.456100000000000E+008,3.194399923086166E-002,2.388366498053074E-002,-9.489512443542481E-001,-3.184927999973297E-001,-9.441141486167908E-001,-3.248810470104218E-001,7.586292456835508E-003,-1.585290580987930E-002,
9.696000000000000E+008,1.105616218410432E-003,4.495949670672417E-002,-9.579846858978272E-001,-2.489808946847916E-001,-9.681950807571411E-001,-2.575539648532867E-001,-1.900383643805981E-002,-2.980926539748907E-003,
9.935900000000000E+008,-3.748034313321114E-002,2.943645790219307E-002,-9.761207103729248E-001,-1.880614906549454E-001,-9.860857129096985E-001,-1.860236823558807E-001,-1.314681768417358E-002,2.529794164001942E-002,
1.017580000000000E+009,-3.938494250178337E-002,-9.564948268234730E-003,-9.878973364830017E-001,-1.168897002935410E-001,-9.970214962959290E-001,-1.129215210676193E-001,1.910910941660404E-002,2.869579941034317E-002,
1.041570000000000E+009,-7.856008596718311E-003,-3.647149354219437E-002,-1.005087375640869E+000,-4.462048411369324E-002,-1.002076745033264E+000,-4.018783941864967E-002,3.221189975738525E-002,-1.600545831024647E-003,
1.065560000000000E+009,3.200995549559593E-002,-2.556614391505718E-002,-1.001130580902100E+000,3.123987838625908E-002,-1.002164483070374E+000,2.939692698419094E-002,3.176709404215217E-003,-2.137453109025955E-002,
1.089550000000000E+009,4.858799651265144E-002,1.484546903520823E-002,-1.000736951828003E+000,9.523748606443405E-002,-9.991903305053711E-001,9.886293858289719E-002,-2.356578595936298E-002,2.443392062559724E-003,
1.113540000000000E+009,2.416385523974896E-002,5.157629400491715E-002,-9.942122697830200E-001,1.641675382852554E-001,-9.927001595497131E-001,1.678644418716431E-001,-5.821777973324060E-003,3.756531327962875E-002,
1.137530000000000E+009,-1.913913339376450E-002,5.310865491628647E-002,-9.786188006401062E-001,2.336519658565521E-001,-9.823889732360840E-001,2.384738475084305E-001,3.728651627898216E-002,2.809863351285458E-002,
1.161520000000000E+009,-4.300278425216675E-002,1.951122283935547E-002,-9.656456708908081E-001,3.054838776588440E-001,-9.669135212898254E-001,3.104437589645386E-001,3.934134915471077E-002,-1.913788542151451E-002,
1.185510000000000E+009,-3.562189266085625E-002,-2.011802792549133E-002,-9.475575089454651E-001,3.816128671169281E-001,-9.458044171333313E-001,3.798523247241974E-001,-1.013521105051041E-002,-3.288612142205238E-002,
