% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-1.852419786155224E-002,1.025176607072353E-002,1.042263746261597E+000,-4.440744221210480E-002,9.950303435325623E-001,-6.438374519348145E-003,1.284130942076445E-002,-1.101731136441231E-002,
3.399000000000000E+007,7.691398495808244E-004,1.156164705753326E-002,9.906248450279236E-001,-1.173170879483223E-001,9.901835322380066E-001,-9.881800413131714E-002,-5.604468286037445E-003,-1.749161444604397E-002,
5.798000000000000E+007,-8.647209033370018E-003,1.589355990290642E-002,9.610106945037842E-001,-1.658187061548233E-001,9.668867588043213E-001,-1.710498481988907E-001,-1.434332784265280E-002,7.454723585397005E-003,
8.197000000000000E+007,-5.863339640200138E-003,-9.499474428594112E-003,9.535271525382996E-001,-2.518327832221985E-001,9.556667804718018E-001,-2.505615949630737E-001,-1.498447847552598E-003,1.837771385908127E-002,
1.059600000000000E+008,5.692439153790474E-003,-1.703980192542076E-002,9.261962175369263E-001,-3.229732811450958E-001,9.268972277641296E-001,-3.156193196773529E-001,1.676992885768414E-002,5.534237250685692E-003,
1.299500000000000E+008,1.898183114826679E-002,-5.969233345240355E-003,9.059600830078125E-001,-3.882282972335815E-001,9.027132987976074E-001,-3.895556926727295E-001,1.220273226499558E-002,-1.268254034221172E-002,
1.539400000000000E+008,1.724976114928722E-002,5.838871467858553E-003,8.706991672515869E-001,-4.488847553730011E-001,8.655970692634583E-001,-4.521198272705078E-001,-4.928926005959511E-003,-1.393005996942520E-002,
1.779300000000000E+008,1.536374446004629E-003,1.063375454396009E-002,8.328494429588318E-001,-5.157958269119263E-001,8.336779475212097E-001,-5.181673169136047E-001,-1.109324302524328E-002,3.039859235286713E-003,
2.019200000000000E+008,-1.005906891077757E-002,5.504029686562717E-004,7.916052341461182E-001,-5.767377018928528E-001,7.955316305160523E-001,-5.747520327568054E-001,5.261378362774849E-003,1.269158348441124E-002,
2.259100000000000E+008,-6.063115783035755E-003,-1.517624966800213E-002,7.445531487464905E-001,-6.327970027923584E-001,7.481803894042969E-001,-6.337592005729675E-001,1.826826669275761E-002,-6.812262581661344E-004,
2.499000000000000E+008,8.251198567450047E-003,-1.861621253192425E-002,6.996662616729736E-001,-6.890803575515747E-001,6.983654499053955E-001,-6.877374053001404E-001,9.814515709877014E-003,-1.670685037970543E-002,
2.738900000000000E+008,1.862437836825848E-002,-1.065631955862045E-002,6.466161608695984E-001,-7.352062463760376E-001,6.442334651947022E-001,-7.373003959655762E-001,-9.842847473919392E-003,-1.456797868013382E-002,
2.978800000000000E+008,1.199977751821280E-002,2.630265662446618E-004,5.882998108863831E-001,-7.824717164039612E-001,5.909142494201660E-001,-7.826944589614868E-001,-9.996511042118073E-003,2.628594171255827E-003,
3.218700000000000E+008,-2.052278257906437E-003,-1.336601679213345E-003,5.331787467002869E-001,-8.229739069938660E-001,5.291272401809692E-001,-8.249512314796448E-001,7.762317545711994E-003,6.319048814475536E-003,
3.458600000000000E+008,-7.770129479467869E-003,-9.659442119300365E-003,4.651301205158234E-001,-8.633889555931091E-001,4.649914503097534E-001,-8.635864257812500E-001,1.305907592177391E-002,-8.388546295464039E-003,
