% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.413759380578995E-002,-3.610083460807800E-002,9.460424780845642E-001,6.088912487030029E-003,1.006921172142029E+000,1.044651120901108E-002,1.706549525260925E-002,-2.412915974855423E-002,
3.399000000000000E+007,2.023695968091488E-003,-1.775514916516841E-003,1.000714302062988E+000,-1.046799272298813E-001,9.845822453498840E-001,-1.131817549467087E-001,3.882629331201315E-003,-1.094479579478502E-003,
5.798000000000000E+007,4.584955517202616E-003,-5.189326475374401E-004,9.773490428924561E-001,-1.800992637872696E-001,9.789717197418213E-001,-1.762788593769074E-001,-8.039569365791977E-005,3.071284620091319E-003,
8.197000000000000E+007,2.503385185264051E-004,5.207864101976156E-003,9.618766307830811E-001,-2.362787127494812E-001,9.681065678596497E-001,-2.422636598348618E-001,4.512135405093432E-003,2.228710101917386E-003,
1.059600000000000E+008,-7.988967117853463E-004,-4.521226510405541E-003,9.431177377700806E-001,-3.106601536273956E-001,9.490078091621399E-001,-3.106686174869537E-001,7.613346911966801E-003,-3.248886205255985E-003,
1.299500000000000E+008,-7.346940692514181E-004,-7.719388231635094E-003,9.226724505424500E-001,-3.839075565338135E-001,9.177754521369934E-001,-3.868339061737061E-001,6.247441051527858E-004,-6.624021101742983E-003,
1.539400000000000E+008,5.121694877743721E-003,-8.005615323781967E-003,8.898421525955200E-001,-4.434664845466614E-001,8.856745362281799E-001,-4.462681710720062E-001,-3.385015530511737E-003,-2.897603902965784E-003,
1.779300000000000E+008,8.133223280310631E-003,-4.356965422630310E-003,8.547890186309815E-001,-5.071783661842346E-001,8.601623177528381E-001,-5.097060203552246E-001,-2.073510258924216E-004,-7.495870813727379E-004,
2.019200000000000E+008,4.389217123389244E-003,3.113112325081602E-005,8.154003024101257E-001,-5.708412528038025E-001,8.207596540451050E-001,-5.679881572723389E-001,6.540917325764895E-003,-2.216438530012965E-003,
2.259100000000000E+008,-3.868650179356337E-003,4.186975711490959E-004,7.732616066932678E-001,-6.272776126861572E-001,7.710340619087219E-001,-6.252850890159607E-001,2.897969679906964E-003,-1.302835810929537E-002,
2.499000000000000E+008,-1.095300447195768E-002,-5.544965155422688E-003,7.284530401229858E-001,-6.795417070388794E-001,7.269256114959717E-001,-6.801757812500000E-001,-6.281908135861158E-003,-1.315628830343485E-002,
2.738900000000000E+008,-8.343289606273174E-003,-1.438863109797239E-002,6.744467616081238E-001,-7.308340668678284E-001,6.770971417427063E-001,-7.322651147842407E-001,-1.109760440886021E-002,-5.143410060554743E-003,
2.978800000000000E+008,2.523442963138223E-004,-1.637094654142857E-002,6.196082830429077E-001,-7.760556936264038E-001,6.231752634048462E-001,-7.781163454055786E-001,-3.537381533533335E-003,1.222727587446570E-003,
