% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.445512276959909E+000,-2.189945672563372E+001,1.091309823095799E-002,-4.274345003068447E-003,
7.015500000000000E+008,-3.831915321488827E+001,-2.072811027646498E+001,1.087827607989311E-002,-4.951805341988802E-003,
7.131000000000000E+008,-2.644291651278105E+001,8.676672084962043E+000,1.070247218012810E-002,-5.518463440239430E-003,
7.246500000000000E+008,-2.276592003958277E+001,4.879819512707433E+001,1.049182843416929E-002,-5.906423088163137E-003,
7.362000000000000E+008,5.942676399765583E+000,1.571641726398834E+001,1.036485191434622E-002,-6.162001285701990E-003,
7.477500000000000E+008,2.001316342239165E+001,9.475216758871744E+000,1.038668677210808E-002,-6.412730086594820E-003,
7.593000000000000E+008,2.872475899238630E+001,-8.940062963518457E+000,1.051858998835087E-002,-6.745856255292893E-003,
7.708500000000000E+008,1.405501010944123E+001,-2.406827263247179E+001,1.068041473627091E-002,-7.239794824272394E-003,
7.824000000000000E+008,-1.150350933673206E+001,-4.920632809468424E+001,1.074936613440514E-002,-7.892804220318794E-003,
7.939500000000000E+008,-1.046549407100269E+002,-6.431271946439182E+001,1.060636155307293E-002,-8.601984009146690E-003,
8.055000000000000E+008,-4.184716940793430E+001,1.140436138388664E+001,1.028897147625685E-002,-9.233128279447556E-003,
8.170500000000000E+008,-3.046015193899925E+001,5.969089462398613E+001,9.902530349791050E-003,-9.673682972788811E-003,
8.286000000000000E+008,9.372241610963677E+000,2.560245919392232E+001,9.590144269168377E-003,-9.951944462954998E-003,
8.401500000000000E+008,8.945485408971490E+001,4.066566006974243E+001,9.433601051568985E-003,-1.017435174435377E-002,
8.517000000000000E+008,2.608152357399326E+001,-8.975972982742752E+000,9.411249309778214E-003,-1.048254128545523E-002,
8.632500000000000E+008,2.177575629657493E+001,-4.011510184475139E+001,9.439747780561447E-003,-1.094709057360888E-002,
8.748000000000000E+008,-1.897006618554550E+001,-7.380141550115387E+001,9.407419711351395E-003,-1.155759114772081E-002,
8.863500000000000E+008,-2.884883980624978E+001,-1.741682011262567E+001,9.203485213220120E-003,-1.229373831301928E-002,
8.979000000000000E+008,-3.594308538751047E+001,9.692523274691459E+000,8.780126459896565E-003,-1.299049519002438E-002,
9.094500000000000E+008,-1.699045805380463E+001,3.369393466125723E+001,8.215072564780712E-003,-1.352286804467440E-002,
9.210000000000000E+008,9.463591780719999E+001,2.388000002161597E+002,7.657301612198353E-003,-1.384677924215794E-002,
9.325500000000000E+008,3.419689149994540E+001,1.321651997773050E+001,7.235186174511910E-003,-1.406354922801256E-002,
9.441000000000000E+008,1.363302235151755E+002,-6.060836875981805E+001,6.972989067435265E-003,-1.427313964813948E-002,
9.556500000000000E+008,2.539236589853330E+001,-6.118446559579308E+001,6.816461216658354E-003,-1.462532393634319E-002,
9.672000000000000E+008,-1.450086834001478E+001,-3.905064947121225E+001,6.641323212534189E-003,-1.513548567891121E-002,
9.787500000000000E+008,-2.586303716619714E+001,-1.264162234323500E+001,6.345860660076141E-003,-1.578925177454948E-002,
