% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-9.437464710905367E-003,1.701643180934575E-003,-8.144627940964710E-007,-4.846190677199047E-006,
7.015500000000000E+008,-2.297454490471534E-002,-1.217227607610356E-002,7.068848844937747E-006,-2.666829459485598E-006,
7.131000000000000E+008,-2.039192631673031E-002,1.447582761386012E-002,8.554270607419312E-006,-8.118701771309134E-006,
7.246500000000000E+008,-7.132695768226578E-003,3.521897381146864E-002,6.011574441799894E-006,-6.135554940556176E-006,
7.362000000000000E+008,8.309453121567416E-003,4.381043377527085E-003,1.564259378028510E-006,-6.609830961679108E-006,
7.477500000000000E+008,1.159424529550524E-002,-4.328298675993630E-003,1.030520252243150E-006,-6.363664851960493E-006,
7.593000000000000E+008,6.406953059787738E-003,-3.332315938051698E-002,-1.019309365801746E-006,-1.289980082219699E-005,
7.708500000000000E+008,1.690624006967016E-003,-2.964682401089619E-002,6.877544365124777E-006,-1.085856456484180E-005,
7.824000000000000E+008,-4.966955749139095E-002,-5.162327679207009E-004,-3.842739261017414E-006,-1.234229057445191E-005,
7.939500000000000E+008,-6.955230264622067E-002,1.121023033693454E-001,-8.638494364276994E-006,-1.270826851396123E-005,
8.055000000000000E+008,2.369847173774088E-002,3.812217495882035E-002,-1.302681266679429E-005,-8.543777767044958E-006,
8.170500000000000E+008,5.927977075685160E-002,-8.981015253090875E-003,-1.327258087258088E-005,-1.895108994176553E-006,
8.286000000000000E+008,1.516366868192502E-002,-1.078048865986627E-002,-8.852545761328656E-006,-3.984844170190627E-006,
8.401500000000000E+008,2.278431230288600E-002,-8.278984413332251E-002,-1.013504152069800E-005,-5.768760274804663E-006,
8.517000000000000E+008,-2.267982442336855E-002,-2.062643478468549E-002,-1.411812809237745E-005,-2.993494490510784E-006,
8.632500000000000E+008,-5.808054744041922E-002,1.250358136095650E-002,-1.739369690767489E-005,-7.768731506985205E-007,
8.748000000000000E+008,-1.954030283896223E-002,8.352412657706981E-002,-1.540400990052149E-005,5.131940724822925E-006,
8.863500000000000E+008,1.958016180870450E-002,1.561824891098764E-002,-8.897778570826631E-006,7.653564352949616E-006,
8.979000000000000E+008,1.992607530960122E-002,-9.927660904190786E-003,-4.366708708403166E-006,9.132369086728431E-006,
9.094500000000000E+008,5.595596559449887E-003,-2.296546457774642E-002,-3.257899606978754E-006,1.031792180583580E-005,
9.210000000000000E+008,-8.730495307187143E-002,-8.653643497451734E-002,-1.989588298556555E-007,7.974412255862262E-006,
9.325500000000000E+008,-1.908632356965990E-002,6.231631278661669E-003,2.443299308652058E-006,8.179216820280999E-006,
9.441000000000000E+008,-3.174684694920477E-002,4.806439933587872E-002,9.023746656566800E-007,5.644513294100761E-006,
9.556500000000000E+008,3.789805522305617E-002,1.140485966204983E-002,8.310712473758031E-006,3.069691274504294E-006,
9.672000000000000E+008,2.655583916339294E-002,-1.180916118271419E-002,9.978504749597050E-006,4.476863523450447E-006,
9.787500000000000E+008,-1.024524089476773E-002,-2.016712457951109E-002,1.204358432005392E-005,-5.854004484717734E-006,
9.903000000000000E+008,-9.638978304819522E-002,-5.546475138575497E-002,1.237763081007870E-005,-3.944225682062097E-006,
1.001850000000000E+009,-6.555815715185710E-002,8.647190669836834E-002,7.652823114767671E-006,-1.282902485399973E-005,
1.013400000000000E+009,2.216442869396001E-002,3.399944938396597E-002,7.239801220748632E-007,-1.510920174041530E-005,
1.024950000000000E+009,5.502717848829266E-002,2.519058410353411E-003,-2.785449623843306E-006,-2.045642941084225E-005,
1.036500000000000E+009,2.105150387230349E-002,-4.040749900232191E-002,-8.169411557901185E-006,-1.585919198987540E-005,
1.048050000000000E+009,-6.174399303128034E-002,-5.667414896612007E-002,-1.298327788390452E-005,-8.729665751161519E-006,
1.059600000000000E+009,-4.850666876667782E-002,1.108693702783363E-002,-1.347377838101238E-005,-5.899519237573259E-006,
1.071150000000000E+009,5.705360092691125E-005,5.416341291288591E-002,-1.346575572824804E-005,2.379388433837448E-006,
1.082700000000000E+009,2.522970901059550E-001,-2.707034301111402E-002,-4.198404440103332E-006,8.472708941553719E-006,
1.094250000000000E+009,9.637904552028456E-002,-4.478515632332043E-002,-5.977854925731663E-006,5.142934696777957E-006,
1.105800000000000E+009,2.904757882640703E-002,4.956766043118458E-002,-3.929563661131397E-007,-6.113733888923889E-006,
1.117350000000000E+009,2.252512710364500E-002,-1.354738175642458E-002,-7.922825716377702E-006,-6.530085101985605E-006,
1.128900000000000E+009,-1.794983260690145E-002,-3.069570456265716E-002,-7.893577276263386E-006,6.047927172403433E-007,
1.140450000000000E+009,-4.173887698003558E-002,2.084385715895136E-002,-6.627876700804336E-006,6.533256510010688E-006,
1.152000000000000E+009,1.607375908788561E-002,-4.622778764743097E-002,3.454124680501991E-006,-3.290881295470172E-006,
1.163550000000000E+009,-9.117401475042376E-002,2.290433744607499E-002,-5.761814463767223E-006,-8.818976311886217E-006,
1.175100000000000E+009,-1.869615765621728E-003,2.981415371529326E-002,-1.009968127618777E-005,-5.163788046047557E-006,
1.186650000000000E+009,5.106636477955211E-002,2.499494561303543E-002,-7.881762030592654E-006,-2.125995450796836E-007,
1.198200000000000E+009,5.307511996558351E-002,6.705229146479966E-003,-1.021481421048520E-005,-4.826984877581708E-006,
1.209750000000000E+009,4.165635486122964E-002,-3.836047189298026E-002,-1.396694733557524E-005,-4.863917638431303E-006,
1.221300000000000E+009,2.399455848457901E-003,-6.394146294080937E-002,-1.754239929141477E-005,-6.124818355601747E-006,
1.232850000000000E+009,-9.842833540462512E-002,-5.159363639063434E-002,-1.780417005647905E-005,-2.575284270278644E-007,
1.244400000000000E+009,-4.582511039428193E-002,2.750049916362584E-002,-1.554819755256176E-005,3.391345217096387E-006,
1.255950000000000E+009,-1.327995681460680E-002,3.216861099350842E-002,-1.869689913291950E-005,1.726094978948822E-006,
